row_id,case_id,pressure_row,loss_class,span_or_feature,f6_anchor_role,anchor_status,ordinary_f6_legitimate_now,recirculation_diagnostic_now,required_before_use,forbidden_use,source_path
named_pressure:024,salt_3,cluster_K:corner_lower_left,cluster_K,corner_lower_left,not_ordinary_f6_component_k_lane,component_or_cluster_diagnostic,no,yes,component isolation and two-tap K gates; do not use for F6 distributed friction,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:025,salt_3,cluster_K:corner_lower_right,cluster_K,corner_lower_right,not_ordinary_f6_component_k_lane,component_or_cluster_diagnostic,no,yes,component isolation and two-tap K gates; do not use for F6 distributed friction,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:026,salt_3,cluster_K:corner_upper_right,cluster_K,corner_upper_right,not_ordinary_f6_component_k_lane,component_or_cluster_diagnostic,no,yes,component isolation and two-tap K gates; do not use for F6 distributed friction,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:027,salt_3,cluster_K:corner_upper_left,cluster_K,corner_upper_left,not_ordinary_f6_component_k_lane,component_or_cluster_diagnostic,no,yes,component isolation and two-tap K gates; do not use for F6 distributed friction,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:028,salt_3,cluster_K:test_section_complex,cluster_K,test_section_complex,not_ordinary_f6_component_k_lane,component_or_cluster_diagnostic,no,yes,component isolation and two-tap K gates; do not use for F6 distributed friction,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:029,salt_4,cluster_K:corner_lower_left,cluster_K,corner_lower_left,not_ordinary_f6_component_k_lane,component_or_cluster_diagnostic,no,yes,component isolation and two-tap K gates; do not use for F6 distributed friction,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:030,salt_4,cluster_K:corner_lower_right,cluster_K,corner_lower_right,not_ordinary_f6_component_k_lane,component_or_cluster_diagnostic,no,yes,component isolation and two-tap K gates; do not use for F6 distributed friction,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:031,salt_4,cluster_K:corner_upper_right,cluster_K,corner_upper_right,not_ordinary_f6_component_k_lane,component_or_cluster_diagnostic,no,yes,component isolation and two-tap K gates; do not use for F6 distributed friction,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:032,salt_4,cluster_K:corner_upper_left,cluster_K,corner_upper_left,not_ordinary_f6_component_k_lane,component_or_cluster_diagnostic,no,yes,component isolation and two-tap K gates; do not use for F6 distributed friction,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:033,salt_4,cluster_K:test_section_complex,cluster_K,test_section_complex,not_ordinary_f6_component_k_lane,component_or_cluster_diagnostic,no,yes,component isolation and two-tap K gates; do not use for F6 distributed friction,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
