source_id,case_id,mesh_level,family,family_exists,segment_count,file_count,first_segment_start_s,last_segment_start_s,latest_file_count,notes
salt_test_4_jin_coarse_mesh_external_20260707,salt_test_4_jin,coarse,yPlus,yes,1,1,1.0,1.0,1,full_restart_segments_available
salt_test_4_jin_coarse_mesh_external_20260707,salt_test_4_jin,coarse,temperature_probes,yes,1,1,0.0,0.0,1,full_restart_segments_available
salt_test_4_jin_coarse_mesh_external_20260707,salt_test_4_jin,coarse,wall_temperature_probes,yes,1,1,0.0,0.0,1,full_restart_segments_available
salt_test_4_jin_coarse_mesh_external_20260707,salt_test_4_jin,coarse,velocity_profiles,yes,2084,12504,0.0,2083.0,6,full_restart_segments_available
salt_test_4_jin_medium_mesh_external_20260707,salt_test_4_jin,medium,mdot_pipeleg_left_04_test_section,yes,2,2,0.0,602.0,1,full_restart_segments_available
salt_test_4_jin_medium_mesh_external_20260707,salt_test_4_jin,medium,mdot_pipeleg_lower_05_straight,yes,2,2,0.0,602.0,1,full_restart_segments_available
salt_test_4_jin_medium_mesh_external_20260707,salt_test_4_jin,medium,mdot_pipeleg_right_02_middle,yes,2,2,0.0,602.0,1,full_restart_segments_available
salt_test_4_jin_medium_mesh_external_20260707,salt_test_4_jin,medium,mdot_pipeleg_upper_05_cooler,yes,2,2,0.0,602.0,1,full_restart_segments_available
salt_test_4_jin_medium_mesh_external_20260707,salt_test_4_jin,medium,wallHeatFlux,yes,2,2,1.0,603.0,1,full_restart_segments_available
salt_test_4_jin_medium_mesh_external_20260707,salt_test_4_jin,medium,yPlus,yes,2,2,1.0,603.0,1,full_restart_segments_available
salt_test_4_jin_medium_mesh_external_20260707,salt_test_4_jin,medium,temperature_probes,yes,2,2,0.0,602.0,1,full_restart_segments_available
salt_test_4_jin_medium_mesh_external_20260707,salt_test_4_jin,medium,wall_temperature_probes,yes,2,2,0.0,602.0,1,full_restart_segments_available
salt_test_4_jin_medium_mesh_external_20260707,salt_test_4_jin,medium,velocity_profiles,yes,1161,6966,0.0,1160.0,6,full_restart_segments_available
salt_test_4_jin_fine_mesh_external_20260707,salt_test_4_jin,fine,mdot_pipeleg_left_04_test_section,yes,3,3,0.0,279.0,1,full_restart_segments_available
salt_test_4_jin_fine_mesh_external_20260707,salt_test_4_jin,fine,mdot_pipeleg_lower_05_straight,yes,3,3,0.0,279.0,1,full_restart_segments_available
salt_test_4_jin_fine_mesh_external_20260707,salt_test_4_jin,fine,mdot_pipeleg_right_02_middle,yes,3,3,0.0,279.0,1,full_restart_segments_available
salt_test_4_jin_fine_mesh_external_20260707,salt_test_4_jin,fine,mdot_pipeleg_upper_05_cooler,yes,3,3,0.0,279.0,1,full_restart_segments_available
salt_test_4_jin_fine_mesh_external_20260707,salt_test_4_jin,fine,wallHeatFlux,yes,3,3,1.0,280.0,1,full_restart_segments_available
salt_test_4_jin_fine_mesh_external_20260707,salt_test_4_jin,fine,yPlus,yes,3,3,1.0,280.0,1,full_restart_segments_available
salt_test_4_jin_fine_mesh_external_20260707,salt_test_4_jin,fine,temperature_probes,yes,3,3,0.0,279.0,1,full_restart_segments_available
salt_test_4_jin_fine_mesh_external_20260707,salt_test_4_jin,fine,wall_temperature_probes,yes,3,3,0.0,279.0,1,full_restart_segments_available
salt_test_4_jin_fine_mesh_external_20260707,salt_test_4_jin,fine,velocity_profiles,yes,419,2514,0.0,418.0,6,full_restart_segments_available
