frozen_case_label,source_id,sensor,kind,reference_k,time_sample_count,bulk_proxy_k,wall_proxy_k,reference_source_field
Salt 1 Jin,viscosity_screening_salt_test_1_jin_coarse_mesh,TW1,TW,448.7815497890379,4,429.5577791839047,448.7815497890379,t_wall_area_avg_k
Salt 1 Jin,viscosity_screening_salt_test_1_jin_coarse_mesh,TW2,TW,443.9031935866814,4,427.10623167997255,443.9031935866814,t_wall_area_avg_k
Salt 1 Jin,viscosity_screening_salt_test_1_jin_coarse_mesh,TW3,TW,423.5061704783801,4,425.5846410683936,423.5061704783801,t_wall_area_avg_k
Salt 1 Jin,viscosity_screening_salt_test_1_jin_coarse_mesh,TW4,TW,424.00826398514965,4,437.2230192631788,424.00826398514965,t_wall_area_avg_k
Salt 1 Jin,viscosity_screening_salt_test_1_jin_coarse_mesh,TW5,TW,424.75974679065416,4,436.80086437127574,424.75974679065416,t_wall_area_avg_k
Salt 1 Jin,viscosity_screening_salt_test_1_jin_coarse_mesh,TW6,TW,425.72250619886427,4,436.7904617128634,425.72250619886427,t_wall_area_avg_k
Salt 1 Jin,viscosity_screening_salt_test_1_jin_coarse_mesh,TW7,TW,432.02336607170867,4,436.8106937038152,432.02336607170867,t_wall_area_avg_k
Salt 1 Jin,viscosity_screening_salt_test_1_jin_coarse_mesh,TW8,TW,432.3781991226833,4,436.43317910096056,432.3781991226833,t_wall_area_avg_k
Salt 1 Jin,viscosity_screening_salt_test_1_jin_coarse_mesh,TW9,TW,417.4791834711414,4,427.8014673794293,417.4791834711414,t_wall_area_avg_k
Salt 1 Jin,viscosity_screening_salt_test_1_jin_coarse_mesh,TW10,TW,414.88400660484274,4,431.3663629930031,414.88400660484274,t_wall_area_avg_k
Salt 1 Jin,viscosity_screening_salt_test_1_jin_coarse_mesh,TW11,TW,427.13401653464746,4,435.22720497845626,427.13401653464746,t_wall_area_avg_k
Salt 1 Kirst,viscosity_screening_salt_test_1_kirst_coarse_mesh,TP1,TP,431.6387118846153,8,436.3670787435768,431.87531761830934,t_core_k
Salt 1 Kirst,viscosity_screening_salt_test_1_kirst_coarse_mesh,TP2,TP,424.9839286923077,8,426.32523602714116,422.0848909416604,t_core_k
Salt 1 Kirst,viscosity_screening_salt_test_1_kirst_coarse_mesh,TP3,TP,428.10358083846154,8,436.73302359832815,425.35847128910916,t_core_k
Salt 1 Kirst,viscosity_screening_salt_test_1_kirst_coarse_mesh,TP4,TP,431.54808915384615,8,437.1382351495879,432.8197453993098,t_core_k
Salt 1 Kirst,viscosity_screening_salt_test_1_kirst_coarse_mesh,TP5,TP,432.36417473076926,8,436.8841299962448,431.87574608073044,t_core_k
Salt 1 Kirst,viscosity_screening_salt_test_1_kirst_coarse_mesh,TP6,TP,433.80720399999996,8,nan,nan,t_core_k
Salt 1 Kirst,viscosity_screening_salt_test_1_kirst_coarse_mesh,TW1,TW,449.3475017752339,4,429.6670872411319,449.3475017752339,t_wall_area_avg_k
Salt 1 Kirst,viscosity_screening_salt_test_1_kirst_coarse_mesh,TW2,TW,444.2443573385469,4,427.1406859203299,444.2443573385469,t_wall_area_avg_k
Salt 1 Kirst,viscosity_screening_salt_test_1_kirst_coarse_mesh,TW3,TW,423.59437478987144,4,425.5713636447781,423.59437478987144,t_wall_area_avg_k
Salt 1 Kirst,viscosity_screening_salt_test_1_kirst_coarse_mesh,TW4,TW,424.03058079994423,4,437.5255395012912,424.03058079994423,t_wall_area_avg_k
Salt 1 Kirst,viscosity_screening_salt_test_1_kirst_coarse_mesh,TW5,TW,424.82021452443354,4,437.0667846639151,424.82021452443354,t_wall_area_avg_k
Salt 1 Kirst,viscosity_screening_salt_test_1_kirst_coarse_mesh,TW6,TW,425.81918222834565,4,437.0795836600381,425.81918222834565,t_wall_area_avg_k
Salt 1 Kirst,viscosity_screening_salt_test_1_kirst_coarse_mesh,TW7,TW,431.7553089792563,4,437.07073345156823,431.7553089792563,t_wall_area_avg_k
Salt 1 Kirst,viscosity_screening_salt_test_1_kirst_coarse_mesh,TW8,TW,432.2643868981456,4,436.7270855100294,432.2643868981456,t_wall_area_avg_k
Salt 1 Kirst,viscosity_screening_salt_test_1_kirst_coarse_mesh,TW9,TW,417.5406227900226,4,427.85709791762883,417.5406227900226,t_wall_area_avg_k
Salt 1 Kirst,viscosity_screening_salt_test_1_kirst_coarse_mesh,TW10,TW,415.0205396910173,4,431.5305038092574,415.0205396910173,t_wall_area_avg_k
Salt 1 Kirst,viscosity_screening_salt_test_1_kirst_coarse_mesh,TW11,TW,427.3617308690542,4,435.50709473902606,427.3617308690542,t_wall_area_avg_k
Salt 2 Jin,viscosity_screening_salt_test_2_jin_coarse_mesh,TP1,TP,450.59911807211535,8,453.67399464051124,449.7013688643792,t_core_k
Salt 2 Jin,viscosity_screening_salt_test_2_jin_coarse_mesh,TP2,TP,445.20583020192305,8,444.8822423673318,440.00670459568113,t_core_k
Salt 2 Jin,viscosity_screening_salt_test_2_jin_coarse_mesh,TP3,TP,447.21367115576925,8,454.18528464009944,444.9712473017105,t_core_k
Salt 2 Jin,viscosity_screening_salt_test_2_jin_coarse_mesh,TP4,TP,449.1947641730769,8,454.8019943362454,451.9423424629639,t_core_k
Salt 2 Jin,viscosity_screening_salt_test_2_jin_coarse_mesh,TP5,TP,450.1655591923077,8,454.3462647193743,450.1450700075328,t_core_k
Salt 2 Jin,viscosity_screening_salt_test_2_jin_coarse_mesh,TP6,TP,451.5412866923077,8,nan,nan,t_core_k
Salt 2 Jin,viscosity_screening_salt_test_2_jin_coarse_mesh,TW1,TW,467.69797049054876,4,447.95664164728197,467.69797049054876,t_wall_area_avg_k
Salt 2 Jin,viscosity_screening_salt_test_2_jin_coarse_mesh,TW2,TW,463.2119433562136,4,445.78407077880036,463.2119433562136,t_wall_area_avg_k
Salt 2 Jin,viscosity_screening_salt_test_2_jin_coarse_mesh,TW3,TW,441.1316035928104,4,444.1403366674027,441.1316035928104,t_wall_area_avg_k
Salt 2 Jin,viscosity_screening_salt_test_2_jin_coarse_mesh,TW4,TW,441.77588272831076,4,455.35862545165105,441.77588272831076,t_wall_area_avg_k
Salt 2 Jin,viscosity_screening_salt_test_2_jin_coarse_mesh,TW5,TW,442.3297095546473,4,454.788696738534,442.3297095546473,t_wall_area_avg_k
Salt 2 Jin,viscosity_screening_salt_test_2_jin_coarse_mesh,TW6,TW,443.1321612970871,4,454.56014269259225,443.1321612970871,t_wall_area_avg_k
Salt 2 Jin,viscosity_screening_salt_test_2_jin_coarse_mesh,TW7,TW,451.27980253590795,4,454.8386269271156,451.27980253590795,t_wall_area_avg_k
Salt 2 Jin,viscosity_screening_salt_test_2_jin_coarse_mesh,TW8,TW,450.84413125463334,4,454.1677433007304,450.84413125463334,t_wall_area_avg_k
Salt 2 Jin,viscosity_screening_salt_test_2_jin_coarse_mesh,TW9,TW,436.07755721224385,4,446.43469725769717,436.07755721224385,t_wall_area_avg_k
Salt 2 Jin,viscosity_screening_salt_test_2_jin_coarse_mesh,TW10,TW,433.2972710335672,4,449.5293226189737,433.2972710335672,t_wall_area_avg_k
Salt 2 Jin,viscosity_screening_salt_test_2_jin_coarse_mesh,TW11,TW,445.00208184901396,4,452.88441568849134,445.00208184901396,t_wall_area_avg_k
Salt 2 Kirst,viscosity_screening_salt_test_2_kirst_coarse_mesh,TP1,TP,449.5577359134616,8,453.25283023043374,450.47903890464625,t_core_k
Salt 2 Kirst,viscosity_screening_salt_test_2_kirst_coarse_mesh,TP2,TP,443.251463576923,8,443.7816882784272,438.940276179032,t_core_k
Salt 2 Kirst,viscosity_screening_salt_test_2_kirst_coarse_mesh,TP3,TP,446.36856229230773,8,453.7069718512663,442.6779636136039,t_core_k
Salt 2 Kirst,viscosity_screening_salt_test_2_kirst_coarse_mesh,TP4,TP,447.8380663076923,8,454.284329089882,450.51201164267644,t_core_k
Salt 2 Kirst,viscosity_screening_salt_test_2_kirst_coarse_mesh,TP5,TP,448.98032473076915,8,453.8802503284389,448.89755104602796,t_core_k
Salt 2 Kirst,viscosity_screening_salt_test_2_kirst_coarse_mesh,TP6,TP,450.4067392307693,8,nan,nan,t_core_k
Salt 2 Kirst,viscosity_screening_salt_test_2_kirst_coarse_mesh,TW1,TW,467.601593086138,4,447.0975528781381,467.601593086138,t_wall_area_avg_k
Salt 2 Kirst,viscosity_screening_salt_test_2_kirst_coarse_mesh,TW2,TW,462.5931051209401,4,444.7547098319686,462.5931051209401,t_wall_area_avg_k
Salt 2 Kirst,viscosity_screening_salt_test_2_kirst_coarse_mesh,TW3,TW,440.35545548728606,4,442.9772441914276,440.35545548728606,t_wall_area_avg_k
Salt 2 Kirst,viscosity_screening_salt_test_2_kirst_coarse_mesh,TW4,TW,440.7699627791714,4,455.0663883382148,440.7699627791714,t_wall_area_avg_k
Salt 2 Kirst,viscosity_screening_salt_test_2_kirst_coarse_mesh,TW5,TW,441.46789308236345,4,454.25465867713086,441.46789308236345,t_wall_area_avg_k
Salt 2 Kirst,viscosity_screening_salt_test_2_kirst_coarse_mesh,TW6,TW,442.40327676996606,4,454.0909789126506,442.40327676996606,t_wall_area_avg_k
Salt 2 Kirst,viscosity_screening_salt_test_2_kirst_coarse_mesh,TW7,TW,449.75077241154554,4,454.30021150606285,449.75077241154554,t_wall_area_avg_k
Salt 2 Kirst,viscosity_screening_salt_test_2_kirst_coarse_mesh,TW8,TW,449.6780570023179,4,453.69817263765907,449.6780570023179,t_wall_area_avg_k
Salt 2 Kirst,viscosity_screening_salt_test_2_kirst_coarse_mesh,TW9,TW,435.1342238488975,4,445.45782711052567,435.1342238488975,t_wall_area_avg_k
Salt 2 Kirst,viscosity_screening_salt_test_2_kirst_coarse_mesh,TW10,TW,432.4811165519901,4,448.78979873613787,432.4811165519901,t_wall_area_avg_k
Salt 2 Kirst,viscosity_screening_salt_test_2_kirst_coarse_mesh,TW11,TW,444.5179583736997,4,452.3997440333713,444.5179583736997,t_wall_area_avg_k
Salt 3 Jin,viscosity_screening_salt_test_3_jin_coarse_mesh,TP1,TP,463.67977199278846,8,466.06081850947464,462.4690946468508,t_core_k
Salt 3 Jin,viscosity_screening_salt_test_3_jin_coarse_mesh,TP2,TP,458.96985492307687,8,457.49657185175994,452.3280507251993,t_core_k
Salt 3 Jin,viscosity_screening_salt_test_3_jin_coarse_mesh,TP3,TP,460.4473172038461,8,466.62114965417936,459.21924773644764,t_core_k
Salt 3 Jin,viscosity_screening_salt_test_3_jin_coarse_mesh,TP4,TP,462.56225466346154,8,467.3952404404493,464.9941394669647,t_core_k
Salt 3 Jin,viscosity_screening_salt_test_3_jin_coarse_mesh,TP5,TP,463.31026349038456,8,466.77676249136266,462.6259004852889,t_core_k
Salt 3 Jin,viscosity_screening_salt_test_3_jin_coarse_mesh,TP6,TP,464.4611859711539,8,nan,nan,t_core_k
Salt 3 Jin,viscosity_screening_salt_test_3_jin_coarse_mesh,TW1,TW,481.16033864516805,4,460.5014375989377,481.16033864516805,t_wall_area_avg_k
Salt 3 Jin,viscosity_screening_salt_test_3_jin_coarse_mesh,TW2,TW,476.5067604878569,4,458.37006199211197,476.5067604878569,t_wall_area_avg_k
Salt 3 Jin,viscosity_screening_salt_test_3_jin_coarse_mesh,TW3,TW,453.5271112880224,4,456.76608532416407,453.5271112880224,t_wall_area_avg_k
Salt 3 Jin,viscosity_screening_salt_test_3_jin_coarse_mesh,TW4,TW,453.8304074081926,4,467.8881549533501,453.8304074081926,t_wall_area_avg_k
Salt 3 Jin,viscosity_screening_salt_test_3_jin_coarse_mesh,TW5,TW,454.17635587640734,4,467.3980568880956,454.17635587640734,t_wall_area_avg_k
Salt 3 Jin,viscosity_screening_salt_test_3_jin_coarse_mesh,TW6,TW,454.7670929047291,4,467.0251090109687,454.7670929047291,t_wall_area_avg_k
Salt 3 Jin,viscosity_screening_salt_test_3_jin_coarse_mesh,TW7,TW,464.60419470714317,4,467.46157977671913,464.60419470714317,t_wall_area_avg_k
Salt 3 Jin,viscosity_screening_salt_test_3_jin_coarse_mesh,TW8,TW,463.5261374560208,4,466.59995046441713,463.5261374560208,t_wall_area_avg_k
Salt 3 Jin,viscosity_screening_salt_test_3_jin_coarse_mesh,TW9,TW,447.8956837478137,4,459.01543958555044,447.8956837478137,t_wall_area_avg_k
Salt 3 Jin,viscosity_screening_salt_test_3_jin_coarse_mesh,TW10,TW,444.826231258216,4,462.026842192522,444.826231258216,t_wall_area_avg_k
Salt 3 Jin,viscosity_screening_salt_test_3_jin_coarse_mesh,TW11,TW,456.6950928696251,4,465.2950411993995,456.6950928696251,t_wall_area_avg_k
Salt 3 Kirst,viscosity_screening_salt_test_3_kirst_coarse_mesh,TP1,TP,463.8977472235577,8,466.7434514752762,462.7055001364743,t_core_k
Salt 3 Kirst,viscosity_screening_salt_test_3_kirst_coarse_mesh,TP2,TP,458.5060339615384,8,457.5939422874407,452.4245712097907,t_core_k
Salt 3 Kirst,viscosity_screening_salt_test_3_kirst_coarse_mesh,TP3,TP,460.2493440346154,8,467.28523730206734,458.38797928845884,t_core_k
Salt 3 Kirst,viscosity_screening_salt_test_3_kirst_coarse_mesh,TP4,TP,462.2438374903846,8,468.03155813982045,464.9599375016032,t_core_k
Salt 3 Kirst,viscosity_screening_salt_test_3_kirst_coarse_mesh,TP5,TP,463.2597280865385,8,467.44752851944537,462.7976266385215,t_core_k
Salt 3 Kirst,viscosity_screening_salt_test_3_kirst_coarse_mesh,TP6,TP,464.66766645192314,8,nan,nan,t_core_k
Salt 3 Kirst,viscosity_screening_salt_test_3_kirst_coarse_mesh,TW1,TW,482.20077825115527,4,460.7985862538219,482.20077825115527,t_wall_area_avg_k
Salt 3 Kirst,viscosity_screening_salt_test_3_kirst_coarse_mesh,TW2,TW,477.39531638707496,4,458.52633401687643,477.39531638707496,t_wall_area_avg_k
Salt 3 Kirst,viscosity_screening_salt_test_3_kirst_coarse_mesh,TW3,TW,453.43095091855776,4,456.8472644811778,453.43095091855776,t_wall_area_avg_k
Salt 3 Kirst,viscosity_screening_salt_test_3_kirst_coarse_mesh,TW4,TW,454.1186251352186,4,468.68827665467035,454.1186251352186,t_wall_area_avg_k
Salt 3 Kirst,viscosity_screening_salt_test_3_kirst_coarse_mesh,TW5,TW,454.6258947318352,4,468.01355654593885,454.6258947318352,t_wall_area_avg_k
Salt 3 Kirst,viscosity_screening_salt_test_3_kirst_coarse_mesh,TW6,TW,455.394373994481,4,467.7010319717308,455.394373994481,t_wall_area_avg_k
Salt 3 Kirst,viscosity_screening_salt_test_3_kirst_coarse_mesh,TW7,TW,464.44603153916967,4,468.0720118863761,464.44603153916967,t_wall_area_avg_k
Salt 3 Kirst,viscosity_screening_salt_test_3_kirst_coarse_mesh,TW8,TW,463.7717287806759,4,467.26700871238506,463.7717287806759,t_wall_area_avg_k
Salt 3 Kirst,viscosity_screening_salt_test_3_kirst_coarse_mesh,TW9,TW,448.0591949483511,4,459.211810708081,448.0591949483511,t_wall_area_avg_k
Salt 3 Kirst,viscosity_screening_salt_test_3_kirst_coarse_mesh,TW10,TW,445.1045194681777,4,462.4300927320365,445.1045194681777,t_wall_area_avg_k
Salt 3 Kirst,viscosity_screening_salt_test_3_kirst_coarse_mesh,TW11,TW,457.25041148018266,4,465.9165377940526,457.25041148018266,t_wall_area_avg_k
Salt 4 Jin,viscosity_screening_salt_test_4_jin_coarse_mesh,TP1,TP,479.3941917788461,8,481.50771997049304,478.46048165197317,t_core_k
Salt 4 Jin,viscosity_screening_salt_test_4_jin_coarse_mesh,TP2,TP,474.8261652307692,8,473.129793571832,467.3129751788316,t_core_k
Salt 4 Jin,viscosity_screening_salt_test_4_jin_coarse_mesh,TP3,TP,476.9516193653846,8,482.0597029140836,474.9743285868091,t_core_k
Salt 4 Jin,viscosity_screening_salt_test_4_jin_coarse_mesh,TP4,TP,478.46962568269237,8,483.0286209970003,480.9247271080068,t_core_k
Salt 4 Jin,viscosity_screening_salt_test_4_jin_coarse_mesh,TP5,TP,478.9440140673077,8,482.21927586270357,477.80538713376404,t_core_k
Salt 4 Jin,viscosity_screening_salt_test_4_jin_coarse_mesh,TP6,TP,480.0486931634615,8,nan,nan,t_core_k
Salt 4 Jin,viscosity_screening_salt_test_4_jin_coarse_mesh,TW1,TW,497.77874111473716,4,476.05990386799385,497.77874111473716,t_wall_area_avg_k
Salt 4 Jin,viscosity_screening_salt_test_4_jin_coarse_mesh,TW2,TW,493.16637576339417,4,473.93082106459343,493.16637576339417,t_wall_area_avg_k
Salt 4 Jin,viscosity_screening_salt_test_4_jin_coarse_mesh,TW3,TW,469.4103505406739,4,472.291413170304,469.4103505406739,t_wall_area_avg_k
Salt 4 Jin,viscosity_screening_salt_test_4_jin_coarse_mesh,TW4,TW,468.6934347416901,4,483.5058633491009,468.6934347416901,t_wall_area_avg_k
Salt 4 Jin,viscosity_screening_salt_test_4_jin_coarse_mesh,TW5,TW,468.7636653263919,4,483.04141995774137,468.7636653263919,t_wall_area_avg_k
Salt 4 Jin,viscosity_screening_salt_test_4_jin_coarse_mesh,TW6,TW,468.95911810558175,4,482.4915845622397,468.95911810558175,t_wall_area_avg_k
Salt 4 Jin,viscosity_screening_salt_test_4_jin_coarse_mesh,TW7,TW,480.8106396023236,4,483.11777772146974,480.8106396023236,t_wall_area_avg_k
Salt 4 Jin,viscosity_screening_salt_test_4_jin_coarse_mesh,TW8,TW,478.94718357928235,4,482.0367662687557,478.94718357928235,t_wall_area_avg_k
Salt 4 Jin,viscosity_screening_salt_test_4_jin_coarse_mesh,TW9,TW,462.6631251828679,4,474.61568170042926,462.6631251828679,t_wall_area_avg_k
Salt 4 Jin,viscosity_screening_salt_test_4_jin_coarse_mesh,TW10,TW,459.19475823045684,4,477.5164369217245,459.19475823045684,t_wall_area_avg_k
Salt 4 Jin,viscosity_screening_salt_test_4_jin_coarse_mesh,TW11,TW,471.225751056205,4,480.77026194618867,471.225751056205,t_wall_area_avg_k
Salt 4 Kirst,viscosity_screening_salt_test_4_kirst_coarse_mesh,TP1,TP,479.7238272548077,8,482.09691888487816,478.36280527832196,t_core_k
Salt 4 Kirst,viscosity_screening_salt_test_4_kirst_coarse_mesh,TP2,TP,474.8525665673077,8,473.08656222732213,467.46512324940835,t_core_k
Salt 4 Kirst,viscosity_screening_salt_test_4_kirst_coarse_mesh,TP3,TP,476.3667295826923,8,482.6684240351398,475.00619607426137,t_core_k
Salt 4 Kirst,viscosity_screening_salt_test_4_kirst_coarse_mesh,TP4,TP,478.5667213557693,8,483.6090010958686,480.8515861531018,t_core_k
Salt 4 Kirst,viscosity_screening_salt_test_4_kirst_coarse_mesh,TP5,TP,479.26066290384614,8,482.82724012751873,478.01983530775107,t_core_k
Salt 4 Kirst,viscosity_screening_salt_test_4_kirst_coarse_mesh,TP6,TP,480.42623413461536,8,nan,nan,t_core_k
Salt 4 Kirst,viscosity_screening_salt_test_4_kirst_coarse_mesh,TW1,TW,498.83206668484314,4,476.22462395093413,498.83206668484314,t_wall_area_avg_k
Salt 4 Kirst,viscosity_screening_salt_test_4_kirst_coarse_mesh,TW2,TW,493.84749968602256,4,473.97267003426293,493.84749968602256,t_wall_area_avg_k
Salt 4 Kirst,viscosity_screening_salt_test_4_kirst_coarse_mesh,TW3,TW,468.98875621729695,4,472.3251855354837,468.98875621729695,t_wall_area_avg_k
Salt 4 Kirst,viscosity_screening_salt_test_4_kirst_coarse_mesh,TW4,TW,468.9024091416339,4,484.2012083616297,468.9024091416339,t_wall_area_avg_k
Salt 4 Kirst,viscosity_screening_salt_test_4_kirst_coarse_mesh,TW5,TW,469.1914896359373,4,483.6035948990037,469.1914896359373,t_wall_area_avg_k
Salt 4 Kirst,viscosity_screening_salt_test_4_kirst_coarse_mesh,TW6,TW,469.6845231539565,4,483.1146497860897,469.6845231539565,t_wall_area_avg_k
Salt 4 Kirst,viscosity_screening_salt_test_4_kirst_coarse_mesh,TW7,TW,480.6408184167815,4,483.6746019269456,480.6408184167815,t_wall_area_avg_k
Salt 4 Kirst,viscosity_screening_salt_test_4_kirst_coarse_mesh,TW8,TW,479.2418132141227,4,482.64917111053296,479.2418132141227,t_wall_area_avg_k
Salt 4 Kirst,viscosity_screening_salt_test_4_kirst_coarse_mesh,TW9,TW,462.574403916701,4,474.65884564525084,462.574403916701,t_wall_area_avg_k
Salt 4 Kirst,viscosity_screening_salt_test_4_kirst_coarse_mesh,TW10,TW,459.2018697979803,4,477.83239938516914,459.2018697979803,t_wall_area_avg_k
Salt 4 Kirst,viscosity_screening_salt_test_4_kirst_coarse_mesh,TW11,TW,471.79827832358313,4,481.26980448813447,471.79827832358313,t_wall_area_avg_k
