source_id,case_id,one_d_segment,fluid_parent_segment,role,patch_count,area_m2,realized_wallHeatFlux_W,realized_source_W,realized_loss_W,imposed_Q_W,imposed_source_W,imposed_loss_W,bc_types,wall_layer_metadata_statuses,radiation_metadata_statuses
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,junction,top_horizontal_exit,junction_other,29,0.042478796,-43.234690515,0.0,43.234690515,0.0,0.0,-0.0,externalTemperature;rcExternalTemperature;zeroGradient,h_and_layers_present;h_only;no_wall_layer_metadata,emissivity_and_Tsur_metadata_present;no_emissivity_metadata
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,lower_leg,heated_incline,ambient_wall,6,0.016563776,-7.327263296,0.0,7.327263296,0.0,0.0,-0.0,rcExternalTemperature,h_and_layers_present,emissivity_and_Tsur_metadata_present
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,lower_leg,heated_incline,heater,3,0.045786417,273.15537485,273.15537485,0.0,297.5,297.5,0.0,rcExternalTemperature,h_and_layers_present,emissivity_and_Tsur_metadata_present
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,upcomer,left_upper_vertical,ambient_wall,6,0.050313118,-22.073866293,0.0,22.073866293,0.0,0.0,-0.0,rcExternalTemperature,h_and_layers_present,emissivity_and_Tsur_metadata_present
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,upcomer,left_upper_vertical,test_section,1,0.012258449,-10.54504039,0.0,10.54504039,37.0,37.0,0.0,rcExternalTemperature,h_and_layers_present,emissivity_and_Tsur_metadata_present
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,cooling_branch,cooled_incline_hx_active,ambient_wall,6,0.032571682,-15.087091646,0.0,15.087091646,0.0,0.0,-0.0,rcExternalTemperature,h_and_layers_present,emissivity_and_Tsur_metadata_present
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,cooling_branch,cooled_incline_hx_active,cooler,3,0.029778515,-169.22681377,0.0,169.22681377,-169.226815038,0.0,169.226815038,externalTemperature,no_wall_layer_metadata,no_emissivity_metadata
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,downcomer,right_vertical,ambient_wall,3,0.063435,-28.124643037,0.0,28.124643037,0.0,0.0,-0.0,rcExternalTemperature,h_and_layers_present,emissivity_and_Tsur_metadata_present
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,junction,top_horizontal_exit,junction_other,29,0.042478796,-48.485215891,0.0,48.485215891,0.0,0.0,-0.0,externalTemperature;rcExternalTemperature;zeroGradient,h_and_layers_present;h_only;no_wall_layer_metadata,emissivity_and_Tsur_metadata_present;no_emissivity_metadata
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,lower_leg,heated_incline,ambient_wall,6,0.016563776,-8.155480513,0.0,8.155480513,0.0,0.0,-0.0,rcExternalTemperature,h_and_layers_present,emissivity_and_Tsur_metadata_present
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,lower_leg,heated_incline,heater,3,0.045786417,310.4870585,310.4870585,0.0,337.6,337.6,0.0,rcExternalTemperature,h_and_layers_present,emissivity_and_Tsur_metadata_present
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,upcomer,left_upper_vertical,ambient_wall,6,0.050313118,-24.559901843,0.0,24.559901843,0.0,0.0,-0.0,rcExternalTemperature,h_and_layers_present,emissivity_and_Tsur_metadata_present
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,upcomer,left_upper_vertical,test_section,1,0.012258449,-16.76868551,0.0,16.76868551,37.0,37.0,0.0,rcExternalTemperature,h_and_layers_present,emissivity_and_Tsur_metadata_present
