case_slug,fluid,group,series,unit,verdict,screen_reason,osc_mean,osc_rmse_about_trend,fit_slope,unc_sem_corrected,unc_rel_sem_corrected
modern_runs__2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave__salt2_jin_lo5q_balq__viscosity_screening_salt_test_2_jin_coarse_mesh,salt2,heat,total_Q,W,not steady (drifting),not_uncertainty_usable_verdict:not steady (drifting),0.2100326744186047,0.009073629312176378,-4.9566976304151773e-05,0.0012320024142201142,0.005865765494013932
modern_runs__2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave__salt3_jin_hi5q_balq__viscosity_screening_salt_test_3_jin_coarse_mesh,salt3,heat,total_Q,W,not steady (drifting),not_uncertainty_usable_verdict:not steady (drifting),0.6134978305647841,0.021627552591710893,-0.00016081606741325828,0.003261287168634965,0.005315890303365269
modern_runs__2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave__salt3_jin_lo5q_balq__viscosity_screening_salt_test_3_jin_coarse_mesh,salt3,heat,total_Q,W,not steady (drifting),not_uncertainty_usable_verdict:not steady (drifting),0.5768347840531562,0.022045358609367564,-0.00015363608325449384,0.003268251752971228,0.005665836810337106
modern_runs__2026-07-01_insulation_truesteady__salt2_jin_hiins_loH__salt2_jin_hiins_loH,salt2,heat,total_Q,W,not steady (drifting),not_uncertainty_usable_verdict:not steady (drifting),0.9562992823920269,0.008933388303985507,-0.0002678760093287276,0.0030578612481817523,0.003197598601698216
modern_runs__2026-07-01_insulation_truesteady__salt2_jin_loins_hiH__salt2_jin_loins_hiH,salt2,heat,total_Q,W,not steady (drifting),not_uncertainty_usable_verdict:not steady (drifting),-0.8886483787375413,0.009383277690161989,0.0002622893634903523,0.0030330821984545222,0.00341314098019677
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt1_jin_hi10q_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,mdot,lower (heater),kg/s,quasi-steady (bounded drift/oscillation),live_or_active_case:salt1_jin_hi10q_corrected,-0.011758216981562509,0.0001923796298067836,3.1620943822338204e-07,6.711455794484891e-05,0.005707885647125581
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt1_jin_hi10q_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,temperature,probe 0 (0.887519 0.70409 0),K,steady,live_or_active_case:salt1_jin_hi10q_corrected,431.96910735937485,0.06860241363226645,0.0015283560855968061,0.05495462221924956,0.00012721887117156806
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt1_jin_hi10q_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,temperature,probe 1 (0.887519 -0.245426 0),K,steady,live_or_active_case:salt1_jin_hi10q_corrected,424.1581512421881,0.18596886537931165,-0.0005705344188198203,0.06941347644869647,0.0001636499882070223
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt1_jin_hi10q_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,temperature,probe 2 (-0 0 0),K,steady,live_or_active_case:salt1_jin_hi10q_corrected,421.8803071406257,0.05193145975447926,0.0004990862442650518,0.026540693102741483,6.291048113296896e-05
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt1_jin_hi10q_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,temperature,probe 3 (-0 0.323501 0),K,steady,live_or_active_case:salt1_jin_hi10q_corrected,430.16271182031124,0.028370608053340414,-0.00021533067546653195,0.012948929575326068,3.010239897486775e-05
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt1_jin_hi10q_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,temperature,probe 4 (-0 0.574779 0),K,steady,live_or_active_case:salt1_jin_hi10q_corrected,431.2335733828123,0.04971222504007432,-0.0006548247885289723,0.030304044930798562,7.027292586029061e-05
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt1_jin_hi10q_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,temperature,probe 5 (-0 0.949515 0),K,steady,live_or_active_case:salt1_jin_hi10q_corrected,433.1155532226562,0.07966343737032215,-0.0010985087444252478,0.0466592368955855,0.00010772930352745588
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt1_jin_hi10q_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,wall_temperature,wall T (spatial mean),K,steady,live_or_active_case:salt1_jin_hi10q_corrected,429.8042598439268,0.011149636476366352,5.3838340354288334e-05,0.0044407907433492945,1.0332123615903347e-05
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt1_jin_hi10q_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,heat,total_Q,W,not steady (drifting),live_or_active_case:salt1_jin_hi10q_corrected,0.3223781490196079,0.045445867325633944,-0.00011804923043440963,0.017402629640279735,0.05398203846384533
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt1_jin_lo10q_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,mdot,lower (heater),kg/s,steady,live_or_active_case:salt1_jin_lo10q_corrected,-0.010420655851993353,1.6288490827983015e-07,3.583035042573316e-08,1.3493957426248752e-06,0.00012949240065026723
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt1_jin_lo10q_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,temperature,probe 0 (0.887519 0.70409 0),K,steady,live_or_active_case:salt1_jin_lo10q_corrected,424.35828363787385,0.0019234299742458296,-0.0021134948441178234,0.08405119944604308,0.0001980665929871848
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt1_jin_lo10q_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,temperature,probe 1 (0.887519 -0.245426 0),K,steady,live_or_active_case:salt1_jin_lo10q_corrected,417.62161746843867,0.0018955873054458826,-0.0021326595375239493,0.08529589855064304,0.0002042420578410053
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt1_jin_lo10q_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,temperature,probe 2 (-0 0 0),K,steady,live_or_active_case:salt1_jin_lo10q_corrected,414.51085025581386,0.0018343694065863201,-0.002061230590746083,0.08195724219107842,0.000197720378466568
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt1_jin_lo10q_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,temperature,probe 3 (-0 0.323501 0),K,steady,live_or_active_case:salt1_jin_lo10q_corrected,424.31836798338895,0.0020485430178016554,-0.001526917739983723,0.06130390254569482,0.00014447619328158504
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt1_jin_lo10q_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,temperature,probe 4 (-0 0.574779 0),K,steady,live_or_active_case:salt1_jin_lo10q_corrected,425.36004283720945,0.0018905154866802442,-0.0016378925154562124,0.06520058364444374,0.0001532832825799691
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt1_jin_lo10q_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,temperature,probe 5 (-0 0.949515 0),K,steady,live_or_active_case:salt1_jin_lo10q_corrected,427.3467778504983,0.0017267233195567462,-0.0017011721854304676,0.06828554660797385,0.00015978954363817075
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt1_jin_lo10q_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,wall_temperature,wall T (spatial mean),K,steady,live_or_active_case:salt1_jin_lo10q_corrected,422.3837936676985,0.0018970528863903188,-0.0021159445034311278,0.08406105491471036,0.00019901581494114712
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt1_jin_lo10q_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,heat,total_Q,W,not steady (drifting),live_or_active_case:salt1_jin_lo10q_corrected,-9.502382259136205,0.0023426680927169357,0.0025387307561989857,0.1010212712874383,0.010631152118755266
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt2_jin_hi10q_corrected__viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,salt2,heat,total_Q,W,not steady (drifting),not_uncertainty_usable_verdict:not steady (drifting),8.04883508305647,0.012797276028199557,-0.002321335944203647,0.025106901054320924,0.0031193210937037626
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt2_jin_hi5q_corrected__viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,salt2,heat,total_Q,W,not steady (drifting),not_uncertainty_usable_verdict:not steady (drifting),3.953802757475085,0.010819815054894372,-0.0011363116103056039,0.012321892112801236,0.003116466062831634
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt2_jin_lo10q_corrected__viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,salt2,heat,total_Q,W,not steady (drifting),not_uncertainty_usable_verdict:not steady (drifting),-6.633560132890368,0.006228000442049778,0.0018798039427075303,0.020486607376487442,0.0030883276801714978
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt2_jin_lo5q_corrected__viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,salt2,heat,total_Q,W,not steady (drifting),not_uncertainty_usable_verdict:not steady (drifting),-3.286456312292359,0.007594233807558278,0.0009398163076719983,0.010078099024499802,0.0030665549962750477
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt3_jin_hi10q_corrected__viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,salt3,mdot,lower (heater),kg/s,not steady (drifting),not_uncertainty_usable_verdict:not steady (drifting),-0.015141190429499999,2.862311306569979e-05,-2.2675099240601487e-05,6.0050424038225976e-05,0.0039660305652868665
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt3_jin_hi10q_corrected__viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,salt3,heat,total_Q,W,not steady (drifting),not_uncertainty_usable_verdict:not steady (drifting),14.704278947368422,0.03907286479923915,-0.009417017543859676,0.03150095619462609,0.002142298599433447
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt3_jin_hi5q_corrected__viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,salt3,mdot,lower (heater),kg/s,not steady (drifting),not_uncertainty_usable_verdict:not steady (drifting),-0.015077335932272729,1.6710802917103668e-05,-1.2072284703557303e-05,3.5053440478279676e-05,0.0023249094293407964
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt3_jin_hi5q_corrected__viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,salt3,heat,total_Q,W,not steady (drifting),not_uncertainty_usable_verdict:not steady (drifting),7.487678571428572,0.032419604040376734,-0.003830103896103887,0.01952649979407637,0.0026078175776114965
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt3_jin_lo10q_corrected__viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,salt3,heat,total_Q,W,not steady (drifting),not_uncertainty_usable_verdict:not steady (drifting),-8.599805913621259,0.017080080410076002,0.002530985580075245,0.02728700648397235,0.003172979339074662
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt3_jin_lo5q_corrected__viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,salt3,heat,total_Q,W,not steady (drifting),not_uncertainty_usable_verdict:not steady (drifting),-4.2575900664451805,0.02014575391002577,0.0012679911729114874,0.013950359946564699,0.003276585986168549
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt4_jin_hi10q_corrected__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,salt4,mdot,lower (heater),kg/s,steady,live_or_active_case:salt4_jin_hi10q_corrected,-0.018232084623122927,4.380013628059141e-05,-5.4122941321422976e-08,8.893183947086234e-06,0.0004877765834745749
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt4_jin_hi10q_corrected__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,salt4,temperature,probe 0 (0.887519 0.70409 0),K,steady,live_or_active_case:salt4_jin_hi10q_corrected,483.1769271827244,0.0992168294177804,0.0024010082343622896,0.03404558222106504,7.046193703738242e-05
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt4_jin_hi10q_corrected__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,salt4,temperature,probe 1 (0.887519 -0.245426 0),K,steady,live_or_active_case:salt4_jin_hi10q_corrected,478.86565505647803,0.6280897837818926,0.002022549561945833,0.05637364301823954,0.00011772329550673406
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt4_jin_hi10q_corrected__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,salt4,temperature,probe 2 (-0 0 0),K,steady,live_or_active_case:salt4_jin_hi10q_corrected,479.58100199999933,0.09823792648632393,0.0024687155037293046,0.05217151710861207,0.00010878562097130809
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt4_jin_hi10q_corrected__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,salt4,temperature,probe 3 (-0 0.323501 0),K,steady,live_or_active_case:salt4_jin_hi10q_corrected,483.42658571760825,0.03636008265410345,0.002469713734791327,0.044008317023507604,9.103412663616909e-05
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt4_jin_hi10q_corrected__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,salt4,temperature,probe 4 (-0 0.574779 0),K,steady,live_or_active_case:salt4_jin_hi10q_corrected,483.6743846976744,0.03188709822331533,0.0024487149726078695,0.047144398914830944,9.74713576041432e-05
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt4_jin_hi10q_corrected__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,salt4,temperature,probe 5 (-0 0.949515 0),K,steady,live_or_active_case:salt4_jin_hi10q_corrected,485.0878176146177,0.08022796127565045,0.002273961430551573,0.043905619124754686,9.051066122554307e-05
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt4_jin_hi10q_corrected__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,salt4,wall_temperature,wall T (spatial mean),K,steady,live_or_active_case:salt4_jin_hi10q_corrected,481.13179901245854,0.020015011018565117,0.0023662298131253597,0.02608127707870697,5.4208175664630344e-05
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt4_jin_hi10q_corrected__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,salt4,heat,total_Q,W,not steady (drifting),live_or_active_case:salt4_jin_hi10q_corrected,10.54554750830565,0.04482381268144725,-0.0033636702822820203,0.0400998435461453,0.003802537849700336
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt4_jin_hi5q_corrected__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,salt4,heat,total_Q,W,not steady (drifting),not_uncertainty_usable_verdict:not steady (drifting),5.550344784053153,0.045975825073389806,-0.0017641582979472394,0.021298355053598107,0.003837303065350281
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt4_jin_lo10q_corrected__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,salt4,heat,total_Q,W,not steady (drifting),not_uncertainty_usable_verdict:not steady (drifting),-10.204888471760798,0.04296051409836148,0.003183192299399354,0.03830714520154951,0.0037538034156427993
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt4_jin_lo5q_corrected__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,salt4,heat,total_Q,W,not steady (drifting),not_uncertainty_usable_verdict:not steady (drifting),-5.010931362126241,0.04237791261551303,0.001568098858110932,0.01879262401566093,0.0037503255697533314
modern_runs__2026-07-08_salt1_nominal_continuation_candidate__salt1_jin_nominal_continuation_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,mdot,lower (heater),kg/s,steady,live_or_active_case:2026-07-08_salt1_nominal_continuation_candidate,-0.011229506111295643,4.2296189531199776e-10,2.3625442554642113e-14,2.4379405487239573e-11,2.1710131545960497e-09
modern_runs__2026-07-08_salt1_nominal_continuation_candidate__salt1_jin_nominal_continuation_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,temperature,probe 0 (0.887519 0.70409 0),K,steady,live_or_active_case:2026-07-08_salt1_nominal_continuation_candidate,431.7171709999975,2.5011104298755527e-12,0.0,1.4416160854003885e-13,3.3392604747713334e-16
modern_runs__2026-07-08_salt1_nominal_continuation_candidate__salt1_jin_nominal_continuation_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,temperature,probe 1 (0.887519 -0.245426 0),K,steady,live_or_active_case:2026-07-08_salt1_nominal_continuation_candidate,424.4088259999991,8.526512829121202e-13,0.0,4.9146002911376883e-14,1.1579872966962516e-16
modern_runs__2026-07-08_salt1_nominal_continuation_candidate__salt1_jin_nominal_continuation_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,temperature,probe 2 (-0 0 0),K,steady,live_or_active_case:2026-07-08_salt1_nominal_continuation_candidate,421.60356299999785,2.1600499167107046e-12,0.0,1.245032073754881e-13,2.953087172450882e-16
modern_runs__2026-07-08_salt1_nominal_continuation_candidate__salt1_jin_nominal_continuation_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,temperature,probe 3 (-0 0.323501 0),K,steady,live_or_active_case:2026-07-08_salt1_nominal_continuation_candidate,430.13344499999954,4.547473508864641e-13,0.0,2.6211201552734336e-14,6.09373715469495e-17
modern_runs__2026-07-08_salt1_nominal_continuation_candidate__salt1_jin_nominal_continuation_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,temperature,probe 4 (-0 0.574779 0),K,steady,live_or_active_case:2026-07-08_salt1_nominal_continuation_candidate,431.2475100000009,9.094947017729282e-13,0.0,5.242240310546867e-14,1.2155989748316126e-16
modern_runs__2026-07-08_salt1_nominal_continuation_candidate__salt1_jin_nominal_continuation_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,temperature,probe 5 (-0 0.949515 0),K,steady,live_or_active_case:2026-07-08_salt1_nominal_continuation_candidate,433.18073599999775,2.2737367544323206e-12,0.0,1.3105600776367167e-13,3.025434809817405e-16
modern_runs__2026-07-08_salt1_nominal_continuation_candidate__salt1_jin_nominal_continuation_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,wall_temperature,wall T (spatial mean),K,steady,live_or_active_case:2026-07-08_salt1_nominal_continuation_candidate,429.6352447045472,1.6484591469634324e-12,0.0,9.501560562866197e-14,2.21154122711703e-16
modern_runs__2026-07-08_salt1_nominal_continuation_candidate__salt1_jin_nominal_continuation_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,heat,total_Q,W,steady,live_or_active_case:2026-07-08_salt1_nominal_continuation_candidate,-8.886890000000047,4.796163466380676e-14,0.0,2.7644626637649494e-15,3.1107200199000264e-16
salt2__2026-06-01_continuation_candidate__val_salt_test_2_coarse_mesh_laminar_continuation,salt2,heat,total_Q,W,not steady (drifting),not_uncertainty_usable_verdict:not steady (drifting),0.18228581063122903,0.012506157951235391,-4.4290665111878744e-05,0.0015925821921041355,0.008736731545857886
