row_id,evidence_family,case_key,lane,RAF,RMF,pressure_evidence,reverse_flow_gate,scoreable_now,promotion_allowed,source_status,primary_blocker,next_action,source_path
pm5:salt4_hi5q:test_section_span,PM5,salt4_hi5q,recirculation_diagnostic,0.3778960681,0.4999891842,no_admitted_hybrid_pressure_residual_movement,fail_material_reverse_flow,no,no,diagnostic_recirculation,material_recirculation_blocks_ordinary_f6; missing_hybrid_admission_evidence,do not fit ordinary F6 from PM5; use only as diagnostic/onset evidence,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
pm5:salt4_hi5q:left_upper_leg,PM5,salt4_hi5q,recirculation_diagnostic,0.7762644,0.5001364439,no_admitted_hybrid_pressure_residual_movement,fail_material_reverse_flow,no,no,diagnostic_recirculation,material_recirculation_blocks_ordinary_f6; missing_hybrid_admission_evidence,do not fit ordinary F6 from PM5; use only as diagnostic/onset evidence,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
pm10:salt2_lo10q,PM10,salt2_lo10q,blocked_pending_terminal,,,not_postprocessed_in_this_package,not_evaluated_pending_terminal_harvest,no,no,live_unknown_check_before_harvest,terminal_harvest_and_pm5_style_postprocessing_missing,wait for terminal then run full output-contract postprocessing,work_products/2026-07/2026-07-17/2026-07-17_salt_pm10_terminal_admission_readiness/pm10_case_readiness.csv
pm10:salt2_hi10q,PM10,salt2_hi10q,blocked_pending_terminal,,,not_postprocessed_in_this_package,not_evaluated_pending_terminal_harvest,no,no,live_unknown_check_before_harvest,terminal_harvest_and_pm5_style_postprocessing_missing,wait for terminal then run full output-contract postprocessing,work_products/2026-07/2026-07-17/2026-07-17_salt_pm10_terminal_admission_readiness/pm10_case_readiness.csv
pm10:salt4_lo10q,PM10,salt4_lo10q,blocked_pending_terminal,,,not_postprocessed_in_this_package,not_evaluated_pending_terminal_harvest,no,no,live_unknown_check_before_harvest,terminal_harvest_and_pm5_style_postprocessing_missing,wait for terminal then run full output-contract postprocessing,work_products/2026-07/2026-07-17/2026-07-17_salt_pm10_terminal_admission_readiness/pm10_case_readiness.csv
pm10:salt4_hi10q,PM10,salt4_hi10q,blocked_pending_terminal,,,not_postprocessed_in_this_package,not_evaluated_pending_terminal_harvest,no,no,live_unknown_check_before_harvest,terminal_harvest_and_pm5_style_postprocessing_missing,wait for terminal then run full output-contract postprocessing,work_products/2026-07/2026-07-17/2026-07-17_salt_pm10_terminal_admission_readiness/pm10_case_readiness.csv
high_heat:salt4_jin_q0500w_no_recirc_probe,high_heat,salt4_jin_q0500w_no_recirc_probe,blocked_pending_terminal,,,not_harvested_in_this_package,not_evaluated_pending_terminal_harvest,no,no,live_unknown_check_before_harvest,terminal_harvest_missing,harvest after terminal and test ordinary anchor gate first,work_products/2026-07/2026-07-17/2026-07-17_high_heat_harvest_readiness_and_live_monitor/harvest_readiness_queue.csv
high_heat:salt4_jin_q1000w_no_recirc_probe,high_heat,salt4_jin_q1000w_no_recirc_probe,blocked_pending_terminal,,,not_harvested_in_this_package,not_evaluated_pending_terminal_harvest,no,no,live_unknown_check_before_harvest,terminal_harvest_missing,harvest after terminal and test ordinary anchor gate first,work_products/2026-07/2026-07-17/2026-07-17_high_heat_harvest_readiness_and_live_monitor/harvest_readiness_queue.csv
high_heat:salt4_jin_q3x_no_recirc_probe,high_heat,salt4_jin_q3x_no_recirc_probe,blocked_pending_terminal,,,not_harvested_in_this_package,not_evaluated_pending_terminal_harvest,no,no,live_unknown_check_before_harvest,terminal_harvest_missing,harvest after terminal and test ordinary anchor gate first,work_products/2026-07/2026-07-17/2026-07-17_high_heat_harvest_readiness_and_live_monitor/harvest_readiness_queue.csv
high_heat:salt4_jin_q1500w_no_recirc_probe,high_heat,salt4_jin_q1500w_no_recirc_probe,blocked_pending_terminal,,,not_harvested_in_this_package,not_evaluated_pending_terminal_harvest,no,no,live_unknown_check_before_harvest,terminal_harvest_missing,harvest after terminal and test ordinary anchor gate first,work_products/2026-07/2026-07-17/2026-07-17_high_heat_harvest_readiness_and_live_monitor/harvest_readiness_queue.csv
