mesh_level,case_name,case_id,fluid_variant,source_path,proc_dir,nprocs,cell_count,mesh_group_id,first_cell_size,bulk_cell_size,stored_time_dir_count,latest_solver_time_s,latest_postprocessing_time_s,foamrun_terminal_state,tail_signal15,tail_convergence_monitor,dir_mtime,log_mtime,initial_admission_priority
medium,viscosity_screening_salt_test_2_jin_medium_mesh,salt_test_2_jin,jin,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/medium/viscosity_screening_salt_test_2_jin_medium_mesh,processors64,64,6744264,d9a216dc1a1a0424,0.15,0.75,8,518,518.93359375,clean_end,no,yes,2026-07-07 17:26:02,2026-07-07 17:23:06,highest_mesh_gci_endpoint_candidate
medium,viscosity_screening_salt_test_2_kirst_medium_mesh,salt_test_2_kirst,kirst,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/medium/viscosity_screening_salt_test_2_kirst_medium_mesh,processors64,64,6744264,d9a216dc1a1a0424,0.15,0.75,9,1118,1119,signal15,yes,no,2026-07-07 17:43:40,2026-07-07 17:43:39,historical_kirst_inventory_only
medium,viscosity_screening_salt_test_3_jin_medium_mesh,salt_test_3_jin,jin,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/medium/viscosity_screening_salt_test_3_jin_medium_mesh,processors64,64,6744264,d9a216dc1a1a0424,0.15,0.75,9,1340,1341,signal15,yes,no,2026-07-07 17:57:12,2026-07-07 17:56:54,secondary_after_endpoint_gci
medium,viscosity_screening_salt_test_3_kirst_medium_mesh,salt_test_3_kirst,kirst,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/medium/viscosity_screening_salt_test_3_kirst_medium_mesh,processors64,64,6744264,d9a216dc1a1a0424,0.15,0.75,9,1043,1044,signal15,yes,no,2026-07-07 18:08:48,2026-07-07 18:08:48,historical_kirst_inventory_only
medium,viscosity_screening_salt_test_4_jin_medium_mesh,salt_test_4_jin,jin,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/medium/viscosity_screening_salt_test_4_jin_medium_mesh,processors64,64,6744264,d9a216dc1a1a0424,0.15,0.75,9,1159,1160,signal15,yes,no,2026-07-07 18:12:22,2026-07-07 18:08:53,high_endpoint_but_not_converged_in_tail
medium,viscosity_screening_salt_test_4_kirst_medium_mesh,salt_test_4_kirst,kirst,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/medium/viscosity_screening_salt_test_4_kirst_medium_mesh,processors64,64,6744264,d9a216dc1a1a0424,0.15,0.75,9,935,936,signal15,yes,no,2026-07-07 18:28:21,2026-07-07 18:28:21,historical_kirst_inventory_only
fine,viscosity_screening_salt_test_1_jin_fine_mesh,salt_test_1_jin,jin,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/fine/viscosity_screening_salt_test_1_jin_fine_mesh,processors128,128,21781672,8cbc7f2f3d28cbeb,0.1,0.5,14,756,756,signal15,yes,no,2026-07-08 10:53:53,2026-07-08 10:48:49,secondary_after_salt2_4_jin
fine,viscosity_screening_salt_test_1_kirst_fine_mesh,salt_test_1_kirst,kirst,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/fine/viscosity_screening_salt_test_1_kirst_fine_mesh,processors128,128,21781672,8cbc7f2f3d28cbeb,0.1,0.5,5,213,214,signal15,yes,no,2026-07-08 11:13:59,2026-07-08 11:13:58,historical_kirst_inventory_only
fine,viscosity_screening_salt_test_2_jin_fine_mesh,salt_test_2_jin,jin,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/fine/viscosity_screening_salt_test_2_jin_fine_mesh,processors128,128,21781672,8cbc7f2f3d28cbeb,0.1,0.5,12,399,399.408415842,clean_end,no,yes,2026-07-08 11:29:06,2026-07-08 11:14:07,highest_mesh_gci_endpoint_candidate
fine,viscosity_screening_salt_test_2_kirst_fine_mesh,salt_test_2_kirst,kirst,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/fine/viscosity_screening_salt_test_2_kirst_fine_mesh,processors128,128,21781672,8cbc7f2f3d28cbeb,0.1,0.5,5,174,175,signal15,yes,no,2026-07-08 11:36:01,2026-07-08 11:31:41,historical_kirst_inventory_only
fine,viscosity_screening_salt_test_3_jin_fine_mesh,salt_test_3_jin,jin,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/fine/viscosity_screening_salt_test_3_jin_fine_mesh,processors128,128,21781672,8cbc7f2f3d28cbeb,0.1,0.5,13,533,534,signal15,yes,no,2026-07-08 11:48:22,2026-07-08 11:36:08,secondary_after_endpoint_gci
fine,viscosity_screening_salt_test_3_kirst_fine_mesh,salt_test_3_kirst,kirst,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/fine/viscosity_screening_salt_test_3_kirst_fine_mesh,processors128,128,21781672,8cbc7f2f3d28cbeb,0.1,0.5,5,185,186,signal15,yes,no,2026-07-08 11:58:04,2026-07-08 11:52:45,historical_kirst_inventory_only
fine,viscosity_screening_salt_test_4_jin_fine_mesh,salt_test_4_jin,jin,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/fine/viscosity_screening_salt_test_4_jin_fine_mesh,processors128,128,21781672,8cbc7f2f3d28cbeb,0.1,0.5,13,417,418,signal15,yes,no,2026-07-08 12:01:56,2026-07-08 12:01:08,high_endpoint_but_not_converged_in_tail
fine,viscosity_screening_salt_test_4_kirst_fine_mesh,salt_test_4_kirst,kirst,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/fine/viscosity_screening_salt_test_4_kirst_fine_mesh,processors128,128,21781672,8cbc7f2f3d28cbeb,0.1,0.5,5,150,151,signal15,yes,no,2026-07-08 12:18:33,2026-07-08 12:18:34,historical_kirst_inventory_only
