case_id,geometry_lane,candidate_id,source_path,prior_classification,prior_release_status,recovery_decision,release_now,decision_reason,next_action
salt_4,exchange_interface,mdot_pipeleg_right_02_middle,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/system/topoSetDict,loop_mass_flow_plane_not_exchange_interface,rejected,do_not_use,false,"loop faceZone is ordinary section flow, not the main/recirculation exchange boundary",define a conservative exchange surface from a recirculation cell mask; do not reuse loop mdot planes
salt_4,exchange_interface,mdot_pipeleg_lower_05_straight,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/system/topoSetDict,loop_mass_flow_plane_not_exchange_interface,rejected,do_not_use,false,"loop faceZone is ordinary section flow, not the main/recirculation exchange boundary",define a conservative exchange surface from a recirculation cell mask; do not reuse loop mdot planes
salt_4,exchange_interface,mdot_pipeleg_upper_05_cooler,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/system/topoSetDict,loop_mass_flow_plane_not_exchange_interface,rejected,do_not_use,false,"loop faceZone is ordinary section flow, not the main/recirculation exchange boundary",define a conservative exchange surface from a recirculation cell mask; do not reuse loop mdot planes
salt_4,exchange_interface,mdot_pipeleg_left_04_test_section,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/system/topoSetDict,loop_mass_flow_plane_not_exchange_interface,rejected,do_not_use,false,"loop faceZone is ordinary section flow, not the main/recirculation exchange boundary",define a conservative exchange surface from a recirculation cell mask; do not reuse loop mdot planes
salt_4,exchange_interface,upcomer_outlet_proxy,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_surface_source_generation/surface_extraction_contract.csv,representative_proxy_not_exchange_interface,rejected,do_not_use,false,upcomer outlet proxy is explicitly forbidden as an exchange-interface substitute,replace with a trusted exchange-interface VTK and normal/area provenance
salt_2,wall_core_band,lower_leg,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json,known_wall_span_not_recirc_band,blocked,needs_manual_geometry_definition,false,wall patch names are known but not linked to a released recirculation cell region,define recirculation cell mask first; then emit wall/core band and Q_wall_W integration basis
salt_2,wall_core_band,right_leg,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json,upcomer_related_wall_span_not_sufficient,blocked,needs_manual_geometry_definition,false,right-leg/upcomer wall patches are plausible support context but lack an approved recirculation region,"define recirculation cell mask first, then derive wall/core band and area weighting"
salt_2,wall_core_band,left_lower_leg,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json,known_wall_span_not_recirc_band,blocked,needs_manual_geometry_definition,false,wall patch names are known but not linked to a released recirculation cell region,define recirculation cell mask first; then emit wall/core band and Q_wall_W integration basis
salt_2,wall_core_band,test_section_span,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json,known_wall_span_not_recirc_band,blocked,needs_manual_geometry_definition,false,wall patch names are known but not linked to a released recirculation cell region,define recirculation cell mask first; then emit wall/core band and Q_wall_W integration basis
salt_2,wall_core_band,left_upper_leg,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json,known_wall_span_not_recirc_band,blocked,needs_manual_geometry_definition,false,wall patch names are known but not linked to a released recirculation cell region,define recirculation cell mask first; then emit wall/core band and Q_wall_W integration basis
salt_2,wall_core_band,upper_leg,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json,known_wall_span_not_recirc_band,blocked,needs_manual_geometry_definition,false,wall patch names are known but not linked to a released recirculation cell region,define recirculation cell mask first; then emit wall/core band and Q_wall_W integration basis
salt_3,wall_core_band,lower_leg,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_3_jin_coarse_mesh/mesh_stations.json,known_wall_span_not_recirc_band,blocked,needs_manual_geometry_definition,false,wall patch names are known but not linked to a released recirculation cell region,define recirculation cell mask first; then emit wall/core band and Q_wall_W integration basis
salt_3,wall_core_band,right_leg,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_3_jin_coarse_mesh/mesh_stations.json,upcomer_related_wall_span_not_sufficient,blocked,needs_manual_geometry_definition,false,right-leg/upcomer wall patches are plausible support context but lack an approved recirculation region,"define recirculation cell mask first, then derive wall/core band and area weighting"
salt_3,wall_core_band,left_lower_leg,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_3_jin_coarse_mesh/mesh_stations.json,known_wall_span_not_recirc_band,blocked,needs_manual_geometry_definition,false,wall patch names are known but not linked to a released recirculation cell region,define recirculation cell mask first; then emit wall/core band and Q_wall_W integration basis
salt_3,wall_core_band,test_section_span,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_3_jin_coarse_mesh/mesh_stations.json,known_wall_span_not_recirc_band,blocked,needs_manual_geometry_definition,false,wall patch names are known but not linked to a released recirculation cell region,define recirculation cell mask first; then emit wall/core band and Q_wall_W integration basis
salt_3,wall_core_band,left_upper_leg,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_3_jin_coarse_mesh/mesh_stations.json,known_wall_span_not_recirc_band,blocked,needs_manual_geometry_definition,false,wall patch names are known but not linked to a released recirculation cell region,define recirculation cell mask first; then emit wall/core band and Q_wall_W integration basis
salt_3,wall_core_band,upper_leg,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_3_jin_coarse_mesh/mesh_stations.json,known_wall_span_not_recirc_band,blocked,needs_manual_geometry_definition,false,wall patch names are known but not linked to a released recirculation cell region,define recirculation cell mask first; then emit wall/core band and Q_wall_W integration basis
salt_4,wall_core_band,lower_leg,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_4_jin_coarse_mesh/mesh_stations.json,known_wall_span_not_recirc_band,blocked,needs_manual_geometry_definition,false,wall patch names are known but not linked to a released recirculation cell region,define recirculation cell mask first; then emit wall/core band and Q_wall_W integration basis
salt_4,wall_core_band,right_leg,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_4_jin_coarse_mesh/mesh_stations.json,upcomer_related_wall_span_not_sufficient,blocked,needs_manual_geometry_definition,false,right-leg/upcomer wall patches are plausible support context but lack an approved recirculation region,"define recirculation cell mask first, then derive wall/core band and area weighting"
salt_4,wall_core_band,left_lower_leg,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_4_jin_coarse_mesh/mesh_stations.json,known_wall_span_not_recirc_band,blocked,needs_manual_geometry_definition,false,wall patch names are known but not linked to a released recirculation cell region,define recirculation cell mask first; then emit wall/core band and Q_wall_W integration basis
salt_4,wall_core_band,test_section_span,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_4_jin_coarse_mesh/mesh_stations.json,known_wall_span_not_recirc_band,blocked,needs_manual_geometry_definition,false,wall patch names are known but not linked to a released recirculation cell region,define recirculation cell mask first; then emit wall/core band and Q_wall_W integration basis
salt_4,wall_core_band,left_upper_leg,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_4_jin_coarse_mesh/mesh_stations.json,known_wall_span_not_recirc_band,blocked,needs_manual_geometry_definition,false,wall patch names are known but not linked to a released recirculation cell region,define recirculation cell mask first; then emit wall/core band and Q_wall_W integration basis
salt_4,wall_core_band,upper_leg,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_4_jin_coarse_mesh/mesh_stations.json,known_wall_span_not_recirc_band,blocked,needs_manual_geometry_definition,false,wall patch names are known but not linked to a released recirculation cell region,define recirculation cell mask first; then emit wall/core band and Q_wall_W integration basis
