case_id,fluid_case_name,split_role,segment_name,parent_segment,segment_type,mapped_external_role_count,mapped_external_hA_W_K,mapped_roles,mapped_source_segments,Q_source_W,Q_hx_sink_W,Q_ambient_W,q_ambient_W_per_m,T_in_K,T_out_K,T_avg_K,h_outer_W_m2K,h_rad_W_m2K,external_boundary_source,external_boundary_drive_selector,external_ambient_temperature_K,external_surroundings_temperature_K,external_emissivity,external_prescribed_h_W_m2K
salt_2,Salt 2,train,cooled_incline_post_hx__s01,cooled_incline_post_hx,incline,1,0.03293975449468344,ambient_wall,cooling_branch,0.0,0.0,2.2325714840105326,87.89651511852385,367.09233454196556,366.84225906848616,366.9672968052258,5.100305350367384,5.349133465557073,,,300.0,300.0,0.85,
salt_2,Salt 2,train,cooled_incline_post_hx__s02,cooled_incline_post_hx,incline,1,0.03293975449468344,ambient_wall,cooling_branch,0.0,0.0,2.2243492133815974,21.893200919110217,366.84225906848616,366.5931045904756,366.71768182948085,3.9340300321444217,5.364208959632185,,,300.0,300.0,0.85,
salt_2,Salt 2,train,cooled_incline_post_hx__s03,cooled_incline_post_hx,incline,1,0.03293975449468344,ambient_wall,cooling_branch,0.0,0.0,2.2161572243068166,21.812571105382045,366.5931045904756,366.34486771602724,366.4689861532514,3.930361097018043,5.363603874410155,,,300.0,300.0,0.85,
salt_2,Salt 2,train,top_horizontal_exit,top_horizontal_exit,horizontal,2,0.13512165086318204,ambient_wall;junction_other,cooling_branch;junction,0.0,0.0,9.005982251579724,354.5662303771545,366.34486771602724,365.33604312187606,365.84045541895165,3.438358711233529,5.370484355925702,,,300.0,300.0,0.85,
salt_2,Salt 2,train,right_vertical__s00,right_vertical,vertical,1,0.2171942261718,ambient_wall,downcomer,0.0,0.0,14.194019269279824,108.65937760822266,365.33604312187606,363.7460158301495,364.5410294760128,3.526428109545202,5.36463411428573,,,300.0,300.0,0.85,
salt_2,Salt 2,train,right_vertical__s01,right_vertical,vertical,1,0.2171942261718,ambient_wall,downcomer,0.0,0.0,13.852821565649016,141.3965455811351,363.7460158301495,362.19420982376533,362.9701128269574,3.7038692137913305,5.357748576190521,,,300.0,300.0,0.85,
salt_2,Salt 2,train,right_vertical__s02,right_vertical,vertical,1,0.2171942261718,ambient_wall,downcomer,0.0,0.0,13.51982561733181,413.9929104169934,362.19420982376533,360.6797063344353,361.43695807910035,4.8659303997025765,5.3386175362124915,,,300.0,300.0,0.85,
salt_2,Salt 2,train,right_vertical__s03,right_vertical,vertical,1,0.2171942261718,ambient_wall,downcomer,0.0,0.0,13.194834269454299,101.01032358506137,360.6797063344353,359.2016086793441,359.9406575068897,3.458310463017551,5.353136648279598,,,300.0,300.0,0.85,
salt_2,Salt 2,train,right_vertical__s04,right_vertical,vertical,1,0.2171942261718,ambient_wall,downcomer,0.0,0.0,12.877655106377448,197.1644482603723,359.2016086793441,357.759041730256,358.4803252048,3.9794661667319735,5.342196794062205,,,300.0,300.0,0.85,
salt_2,Salt 2,train,right_vertical__s05,right_vertical,vertical,1,0.2171942261718,ambient_wall,downcomer,0.0,0.0,12.568100337774661,192.42498329926198,357.759041730256,356.351151395383,357.0550965628195,3.95576860809789,5.338842065683523,,,300.0,300.0,0.85,
salt_2,Salt 2,train,right_vertical__s06,right_vertical,vertical,1,0.2171942261718,ambient_wall,downcomer,0.0,0.0,12.265986687447917,93.89972311038426,356.351151395383,354.9771041137079,355.66412775454546,3.391959085652097,5.342534841160853,,,300.0,300.0,0.85,
salt_2,Salt 2,train,right_vertical__s07,right_vertical,vertical,1,0.2171942261718,ambient_wall,downcomer,0.0,0.0,11.971135284816576,366.5701968229061,354.9771041137079,353.6360863614631,354.3065952375855,4.736440524676286,5.323048703595039,,,300.0,300.0,0.85,
salt_2,Salt 2,train,right_vertical__s08,right_vertical,vertical,1,0.2171942261718,ambient_wall,downcomer,0.0,0.0,11.683371559014608,119.25284472601669,353.6360863614631,352.3273041704722,352.98169526596763,3.5448507677962713,5.333444351815091,,,300.0,300.0,0.85,
salt_2,Salt 2,train,right_vertical__s09,right_vertical,vertical,1,0.2171942261718,ambient_wall,downcomer,0.0,0.0,11.402525135533358,87.28967185994472,352.3273041704722,351.0499826580704,351.68864341427127,3.3272817127466503,5.3327471336072465,,,300.0,300.0,0.85,
salt_2,Salt 2,train,bottom_horizontal_inlet,bottom_horizontal_inlet,horizontal,1,0.1021818963684986,junction_other,junction,0.0,0.0,5.269024977406499,207.44192824435035,351.0499826580704,350.4597695696157,350.754876113843,3.2099488853675258,5.332402083064895,,,300.0,300.0,0.85,
salt_2,Salt 2,train,heated_incline__s00,heated_incline,heater,1,0.06536064649713991,ambient_wall,lower_leg,37.957142857142856,0.0,3.477124735686082,26.61840895647701,350.4597695696157,354.32200969839107,352.3908896340034,3.5926308906991213,5.331139655467863,,,300.0,300.0,0.85,
salt_2,Salt 2,train,heated_incline__s01,heated_incline,heater,1,0.06536064649713991,ambient_wall,lower_leg,28.467857142857337,0.0,3.6940658798697545,37.70554266417046,354.32200969839107,357.09701783268997,355.7095137655405,3.7807520644941333,5.337479051365022,,,300.0,300.0,0.85,
salt_2,Salt 2,train,heated_incline__s02,heated_incline,heater,1,0.06536064649713991,ambient_wall,lower_leg,9.489285714285518,0.0,3.8056262579858715,116.53273755862499,357.09701783268997,357.7336665012924,357.4153421669912,4.638388902835767,5.33158898832892,,,300.0,300.0,0.85,
salt_2,Salt 2,train,heated_incline__s03,heated_incline,heater,1,0.06536064649713991,ambient_wall,lower_leg,37.957142857142856,0.0,3.950818959151702,30.244677071371296,357.7336665012924,361.54284630880596,359.6382564050492,3.7104352846347304,5.348603047054512,,,300.0,300.0,0.85,
salt_2,Salt 2,train,heated_incline__s04,heated_incline,heater,1,0.06536064649713991,ambient_wall,lower_leg,18.978571428571108,0.0,4.129727163649608,63.2285436254325,361.54284630880596,363.20612276022484,362.37448453451543,4.125532049779309,5.3502382588790125,,,300.0,300.0,0.85,
salt_2,Salt 2,train,heated_incline__s05,heated_incline,heater,1,0.06536064649713991,ambient_wall,lower_leg,18.978571428571744,0.0,4.238043854752615,64.88693565894096,363.20612276022484,364.8572662403234,364.0316945002741,4.15147507070473,5.3541525210236465,,,300.0,300.0,0.85,
salt_2,Salt 2,train,heated_incline__s06,heated_incline,heater,1,0.06536064649713991,ambient_wall,lower_leg,37.95714285714287,0.0,4.414725456364376,33.796017273130595,364.8572662403234,368.6144820876318,366.7358741639776,3.817285371274038,5.365932009026202,,,300.0,300.0,0.85,
salt_2,Salt 2,train,heated_incline__s07,heated_incline,heater,1,0.06536064649713991,ambient_wall,lower_leg,9.48928571428571,0.0,4.555672118929916,139.50002113958635,368.6144820876318,369.16711521968915,368.89079865366045,4.828151545222552,5.357322119620456,,,300.0,300.0,0.85,
salt_2,Salt 2,train,heated_incline__s08,heated_incline,heater,1,0.06536064649713991,ambient_wall,lower_leg,28.467857142857127,0.0,4.660815999953665,47.57321668077527,369.16711521968915,371.83383393560274,370.50047457764595,4.0074730956109255,5.373166746789967,,,300.0,300.0,0.85,
salt_2,Salt 2,train,heated_incline__s09,heated_incline,heater,1,0.06536064649713991,ambient_wall,lower_leg,37.95714285714287,0.0,4.869056861924845,37.27405734194433,371.83383393560274,375.54015836573916,373.68699615067095,3.91529958297141,5.383150045669977,,,300.0,300.0,0.85,
salt_2,Salt 2,train,bottom_horizontal_exit,bottom_horizontal_exit,horizontal,1,0.1021818963684986,junction_other,junction,0.0,0.0,7.757250790276093,305.40357442031865,375.54015836573916,374.6712251254378,375.1056917455885,3.5627316144096186,5.394439895354052,,,300.0,300.0,0.85,
