case_key,source_id,salt_number,variant,patch_or_role,thermal_role,bc_type,patch_count,heater_source,cooler_hx_removal,passive_wall,rcExternalTemperature_radiative_wall,inlet_outlet_other,imposed_Q_W,realized_wallHeatFlux_W,emissivity_values,Tsur_K_values,radiation_wallHeatFlux_semantics,evidence_path,admission_use
salt3_jin_nominal_continuation,viscosity_screening_salt_test_3_jin_coarse_mesh,salt3,nominal,test_section,intended_test_section_exchange,rcExternalTemperature:1,1,no,no,yes,yes,no,37,-10.54504039,0.95,299.78999999999996,rcExternalTemperature includes emissivity/Tsur; OpenFOAM wallHeatFlux is the total wall heat balance with radiation folded in and no separate exported qr term.,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/patch_role_area_heat_summary.csv,admitted baseline BC label
salt3_jin_nominal_continuation,viscosity_screening_salt_test_3_jin_coarse_mesh,salt3,nominal,zero_gradient_ncc_connector,zero_gradient_connector,zeroGradient:12,12,no,no,no,no,yes,0,0,,,rcExternalTemperature includes emissivity/Tsur; OpenFOAM wallHeatFlux is the total wall heat balance with radiation folded in and no separate exported qr term.,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/patch_role_area_heat_summary.csv,admitted baseline BC label
salt4_jin_nominal_continuation,viscosity_screening_salt_test_4_jin_coarse_mesh,salt4,nominal,ambient_wall,passive_ambient_wall_exchange,rcExternalTemperature:21,21,no,no,yes,yes,no,0,-75.927117039,0.95,299.96999999999997,rcExternalTemperature includes emissivity/Tsur; OpenFOAM wallHeatFlux is the total wall heat balance with radiation folded in and no separate exported qr term.,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/patch_role_area_heat_summary.csv,admitted baseline BC label
salt4_jin_nominal_continuation,viscosity_screening_salt_test_4_jin_coarse_mesh,salt4,nominal,cooler,intended_cooler_removal,externalTemperature:3,3,no,yes,no,no,no,-169.226815038,-169.22681377,,,rcExternalTemperature includes emissivity/Tsur; OpenFOAM wallHeatFlux is the total wall heat balance with radiation folded in and no separate exported qr term.,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/patch_role_area_heat_summary.csv,admitted baseline BC label
salt4_jin_nominal_continuation,viscosity_screening_salt_test_4_jin_coarse_mesh,salt4,nominal,heater,intended_heater_input,rcExternalTemperature:3,3,yes,no,no,yes,no,337.6,310.4870585,0.95,299.96999999999997,rcExternalTemperature includes emissivity/Tsur; OpenFOAM wallHeatFlux is the total wall heat balance with radiation folded in and no separate exported qr term.,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/patch_role_area_heat_summary.csv,admitted baseline BC label
salt4_jin_nominal_continuation,viscosity_screening_salt_test_4_jin_coarse_mesh,salt4,nominal,junction_other,junction_or_stub_diagnostic,externalTemperature:7;rcExternalTemperature:11;zeroGradient:11,29,no,no,yes,yes,no,0,-48.485215891,0.95,299.96999999999997,rcExternalTemperature includes emissivity/Tsur; OpenFOAM wallHeatFlux is the total wall heat balance with radiation folded in and no separate exported qr term.,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/patch_role_area_heat_summary.csv,admitted baseline BC label
salt4_jin_nominal_continuation,viscosity_screening_salt_test_4_jin_coarse_mesh,salt4,nominal,test_section,intended_test_section_exchange,rcExternalTemperature:1,1,no,no,yes,yes,no,37,-16.76868551,0.95,299.96999999999997,rcExternalTemperature includes emissivity/Tsur; OpenFOAM wallHeatFlux is the total wall heat balance with radiation folded in and no separate exported qr term.,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/patch_role_area_heat_summary.csv,admitted baseline BC label
salt4_jin_nominal_continuation,viscosity_screening_salt_test_4_jin_coarse_mesh,salt4,nominal,zero_gradient_ncc_connector,zero_gradient_connector,zeroGradient:12,12,no,no,no,no,yes,0,0,,,rcExternalTemperature includes emissivity/Tsur; OpenFOAM wallHeatFlux is the total wall heat balance with radiation folded in and no separate exported qr term.,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/patch_role_area_heat_summary.csv,admitted baseline BC label
salt1_lo10q,salt1_jin_lo10q_corrected,salt1,lo10q,heater,intended_heater_input,fixedValue/coded thermal source patches,3,yes,no,no,no,no,manifest target_heater_power_W,,inherits parent; terminal row reduction pending,inherits parent; terminal row reduction pending,rcExternalTemperature includes emissivity/Tsur; OpenFOAM wallHeatFlux is the total wall heat balance with radiation folded in and no separate exported qr term.,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/corrected_case_manifest.csv,not admitted until terminal harvest/admission gate
salt1_lo10q,salt1_jin_lo10q_corrected,salt1,lo10q,cooler,intended_cooler_removal,fixedValue/coded balanced sink patches,3,no,yes,no,no,no,manifest target_cooler_q04/q05/q06_W,,inherits parent; terminal row reduction pending,inherits parent; terminal row reduction pending,rcExternalTemperature includes emissivity/Tsur; OpenFOAM wallHeatFlux is the total wall heat balance with radiation folded in and no separate exported qr term.,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/corrected_case_manifest.csv,not admitted until terminal harvest/admission gate
salt1_lo10q,salt1_jin_lo10q_corrected,salt1,lo10q,ambient_wall,passive_ambient_wall_exchange,rcExternalTemperature inherited from parent,,no,no,yes,yes,no,,,inherits parent; terminal row reduction pending,inherits parent; terminal row reduction pending,rcExternalTemperature includes emissivity/Tsur; OpenFOAM wallHeatFlux is the total wall heat balance with radiation folded in and no separate exported qr term.,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/corrected_case_manifest.csv,not admitted until terminal harvest/admission gate
salt2_lo10q,salt2_jin_lo10q_corrected,salt2,lo10q,heater,intended_heater_input,fixedValue/coded thermal source patches,3,yes,no,no,no,no,manifest target_heater_power_W,,inherits parent; terminal row reduction pending,inherits parent; terminal row reduction pending,rcExternalTemperature includes emissivity/Tsur; OpenFOAM wallHeatFlux is the total wall heat balance with radiation folded in and no separate exported qr term.,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/corrected_case_manifest.csv,not admitted until terminal harvest/admission gate
salt2_lo10q,salt2_jin_lo10q_corrected,salt2,lo10q,cooler,intended_cooler_removal,fixedValue/coded balanced sink patches,3,no,yes,no,no,no,manifest target_cooler_q04/q05/q06_W,,inherits parent; terminal row reduction pending,inherits parent; terminal row reduction pending,rcExternalTemperature includes emissivity/Tsur; OpenFOAM wallHeatFlux is the total wall heat balance with radiation folded in and no separate exported qr term.,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/corrected_case_manifest.csv,not admitted until terminal harvest/admission gate
salt2_lo10q,salt2_jin_lo10q_corrected,salt2,lo10q,ambient_wall,passive_ambient_wall_exchange,rcExternalTemperature inherited from parent,,no,no,yes,yes,no,,,inherits parent; terminal row reduction pending,inherits parent; terminal row reduction pending,rcExternalTemperature includes emissivity/Tsur; OpenFOAM wallHeatFlux is the total wall heat balance with radiation folded in and no separate exported qr term.,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/corrected_case_manifest.csv,not admitted until terminal harvest/admission gate
salt2_lo5q,salt2_jin_lo5q_corrected,salt2,lo5q,heater,intended_heater_input,fixedValue/coded thermal source patches,3,yes,no,no,no,no,manifest target_heater_power_W,,inherits parent; terminal row reduction pending,inherits parent; terminal row reduction pending,rcExternalTemperature includes emissivity/Tsur; OpenFOAM wallHeatFlux is the total wall heat balance with radiation folded in and no separate exported qr term.,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/corrected_case_manifest.csv,not admitted until terminal harvest/admission gate
salt2_lo5q,salt2_jin_lo5q_corrected,salt2,lo5q,cooler,intended_cooler_removal,fixedValue/coded balanced sink patches,3,no,yes,no,no,no,manifest target_cooler_q04/q05/q06_W,,inherits parent; terminal row reduction pending,inherits parent; terminal row reduction pending,rcExternalTemperature includes emissivity/Tsur; OpenFOAM wallHeatFlux is the total wall heat balance with radiation folded in and no separate exported qr term.,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/corrected_case_manifest.csv,not admitted until terminal harvest/admission gate
salt2_lo5q,salt2_jin_lo5q_corrected,salt2,lo5q,ambient_wall,passive_ambient_wall_exchange,rcExternalTemperature inherited from parent,,no,no,yes,yes,no,,,inherits parent; terminal row reduction pending,inherits parent; terminal row reduction pending,rcExternalTemperature includes emissivity/Tsur; OpenFOAM wallHeatFlux is the total wall heat balance with radiation folded in and no separate exported qr term.,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/corrected_case_manifest.csv,not admitted until terminal harvest/admission gate
salt2_hi5q,salt2_jin_hi5q_corrected,salt2,hi5q,heater,intended_heater_input,fixedValue/coded thermal source patches,3,yes,no,no,no,no,manifest target_heater_power_W,,inherits parent; terminal row reduction pending,inherits parent; terminal row reduction pending,rcExternalTemperature includes emissivity/Tsur; OpenFOAM wallHeatFlux is the total wall heat balance with radiation folded in and no separate exported qr term.,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/corrected_case_manifest.csv,not admitted until terminal harvest/admission gate
salt2_hi5q,salt2_jin_hi5q_corrected,salt2,hi5q,cooler,intended_cooler_removal,fixedValue/coded balanced sink patches,3,no,yes,no,no,no,manifest target_cooler_q04/q05/q06_W,,inherits parent; terminal row reduction pending,inherits parent; terminal row reduction pending,rcExternalTemperature includes emissivity/Tsur; OpenFOAM wallHeatFlux is the total wall heat balance with radiation folded in and no separate exported qr term.,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/corrected_case_manifest.csv,not admitted until terminal harvest/admission gate
salt2_hi5q,salt2_jin_hi5q_corrected,salt2,hi5q,ambient_wall,passive_ambient_wall_exchange,rcExternalTemperature inherited from parent,,no,no,yes,yes,no,,,inherits parent; terminal row reduction pending,inherits parent; terminal row reduction pending,rcExternalTemperature includes emissivity/Tsur; OpenFOAM wallHeatFlux is the total wall heat balance with radiation folded in and no separate exported qr term.,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/corrected_case_manifest.csv,not admitted until terminal harvest/admission gate
salt2_hi10q,salt2_jin_hi10q_corrected,salt2,hi10q,heater,intended_heater_input,fixedValue/coded thermal source patches,3,yes,no,no,no,no,manifest target_heater_power_W,,inherits parent; terminal row reduction pending,inherits parent; terminal row reduction pending,rcExternalTemperature includes emissivity/Tsur; OpenFOAM wallHeatFlux is the total wall heat balance with radiation folded in and no separate exported qr term.,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/corrected_case_manifest.csv,not admitted until terminal harvest/admission gate
salt2_hi10q,salt2_jin_hi10q_corrected,salt2,hi10q,cooler,intended_cooler_removal,fixedValue/coded balanced sink patches,3,no,yes,no,no,no,manifest target_cooler_q04/q05/q06_W,,inherits parent; terminal row reduction pending,inherits parent; terminal row reduction pending,rcExternalTemperature includes emissivity/Tsur; OpenFOAM wallHeatFlux is the total wall heat balance with radiation folded in and no separate exported qr term.,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/corrected_case_manifest.csv,not admitted until terminal harvest/admission gate
salt2_hi10q,salt2_jin_hi10q_corrected,salt2,hi10q,ambient_wall,passive_ambient_wall_exchange,rcExternalTemperature inherited from parent,,no,no,yes,yes,no,,,inherits parent; terminal row reduction pending,inherits parent; terminal row reduction pending,rcExternalTemperature includes emissivity/Tsur; OpenFOAM wallHeatFlux is the total wall heat balance with radiation folded in and no separate exported qr term.,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/corrected_case_manifest.csv,not admitted until terminal harvest/admission gate
salt3_lo10q,salt3_jin_lo10q_corrected,salt3,lo10q,heater,intended_heater_input,fixedValue/coded thermal source patches,3,yes,no,no,no,no,manifest target_heater_power_W,,inherits parent; terminal row reduction pending,inherits parent; terminal row reduction pending,rcExternalTemperature includes emissivity/Tsur; OpenFOAM wallHeatFlux is the total wall heat balance with radiation folded in and no separate exported qr term.,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/corrected_case_manifest.csv,not admitted until terminal harvest/admission gate
salt3_lo10q,salt3_jin_lo10q_corrected,salt3,lo10q,cooler,intended_cooler_removal,fixedValue/coded balanced sink patches,3,no,yes,no,no,no,manifest target_cooler_q04/q05/q06_W,,inherits parent; terminal row reduction pending,inherits parent; terminal row reduction pending,rcExternalTemperature includes emissivity/Tsur; OpenFOAM wallHeatFlux is the total wall heat balance with radiation folded in and no separate exported qr term.,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/corrected_case_manifest.csv,not admitted until terminal harvest/admission gate
salt3_lo10q,salt3_jin_lo10q_corrected,salt3,lo10q,ambient_wall,passive_ambient_wall_exchange,rcExternalTemperature inherited from parent,,no,no,yes,yes,no,,,inherits parent; terminal row reduction pending,inherits parent; terminal row reduction pending,rcExternalTemperature includes emissivity/Tsur; OpenFOAM wallHeatFlux is the total wall heat balance with radiation folded in and no separate exported qr term.,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/corrected_case_manifest.csv,not admitted until terminal harvest/admission gate
salt3_lo5q,salt3_jin_lo5q_corrected,salt3,lo5q,heater,intended_heater_input,fixedValue/coded thermal source patches,3,yes,no,no,no,no,manifest target_heater_power_W,,inherits parent; terminal row reduction pending,inherits parent; terminal row reduction pending,rcExternalTemperature includes emissivity/Tsur; OpenFOAM wallHeatFlux is the total wall heat balance with radiation folded in and no separate exported qr term.,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/corrected_case_manifest.csv,not admitted until terminal harvest/admission gate
salt3_lo5q,salt3_jin_lo5q_corrected,salt3,lo5q,cooler,intended_cooler_removal,fixedValue/coded balanced sink patches,3,no,yes,no,no,no,manifest target_cooler_q04/q05/q06_W,,inherits parent; terminal row reduction pending,inherits parent; terminal row reduction pending,rcExternalTemperature includes emissivity/Tsur; OpenFOAM wallHeatFlux is the total wall heat balance with radiation folded in and no separate exported qr term.,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/corrected_case_manifest.csv,not admitted until terminal harvest/admission gate
salt3_lo5q,salt3_jin_lo5q_corrected,salt3,lo5q,ambient_wall,passive_ambient_wall_exchange,rcExternalTemperature inherited from parent,,no,no,yes,yes,no,,,inherits parent; terminal row reduction pending,inherits parent; terminal row reduction pending,rcExternalTemperature includes emissivity/Tsur; OpenFOAM wallHeatFlux is the total wall heat balance with radiation folded in and no separate exported qr term.,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/corrected_case_manifest.csv,not admitted until terminal harvest/admission gate
salt4_lo10q,salt4_jin_lo10q_corrected,salt4,lo10q,heater,intended_heater_input,fixedValue/coded thermal source patches,3,yes,no,no,no,no,manifest target_heater_power_W,,inherits parent; terminal row reduction pending,inherits parent; terminal row reduction pending,rcExternalTemperature includes emissivity/Tsur; OpenFOAM wallHeatFlux is the total wall heat balance with radiation folded in and no separate exported qr term.,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/corrected_case_manifest.csv,not admitted until terminal harvest/admission gate
salt4_lo10q,salt4_jin_lo10q_corrected,salt4,lo10q,cooler,intended_cooler_removal,fixedValue/coded balanced sink patches,3,no,yes,no,no,no,manifest target_cooler_q04/q05/q06_W,,inherits parent; terminal row reduction pending,inherits parent; terminal row reduction pending,rcExternalTemperature includes emissivity/Tsur; OpenFOAM wallHeatFlux is the total wall heat balance with radiation folded in and no separate exported qr term.,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/corrected_case_manifest.csv,not admitted until terminal harvest/admission gate
salt4_lo10q,salt4_jin_lo10q_corrected,salt4,lo10q,ambient_wall,passive_ambient_wall_exchange,rcExternalTemperature inherited from parent,,no,no,yes,yes,no,,,inherits parent; terminal row reduction pending,inherits parent; terminal row reduction pending,rcExternalTemperature includes emissivity/Tsur; OpenFOAM wallHeatFlux is the total wall heat balance with radiation folded in and no separate exported qr term.,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/corrected_case_manifest.csv,not admitted until terminal harvest/admission gate
salt4_lo5q,salt4_jin_lo5q_corrected,salt4,lo5q,heater,intended_heater_input,fixedValue/coded thermal source patches,3,yes,no,no,no,no,manifest target_heater_power_W,,inherits parent; terminal row reduction pending,inherits parent; terminal row reduction pending,rcExternalTemperature includes emissivity/Tsur; OpenFOAM wallHeatFlux is the total wall heat balance with radiation folded in and no separate exported qr term.,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/corrected_case_manifest.csv,not admitted until terminal harvest/admission gate
salt4_lo5q,salt4_jin_lo5q_corrected,salt4,lo5q,cooler,intended_cooler_removal,fixedValue/coded balanced sink patches,3,no,yes,no,no,no,manifest target_cooler_q04/q05/q06_W,,inherits parent; terminal row reduction pending,inherits parent; terminal row reduction pending,rcExternalTemperature includes emissivity/Tsur; OpenFOAM wallHeatFlux is the total wall heat balance with radiation folded in and no separate exported qr term.,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/corrected_case_manifest.csv,not admitted until terminal harvest/admission gate
salt4_lo5q,salt4_jin_lo5q_corrected,salt4,lo5q,ambient_wall,passive_ambient_wall_exchange,rcExternalTemperature inherited from parent,,no,no,yes,yes,no,,,inherits parent; terminal row reduction pending,inherits parent; terminal row reduction pending,rcExternalTemperature includes emissivity/Tsur; OpenFOAM wallHeatFlux is the total wall heat balance with radiation folded in and no separate exported qr term.,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/corrected_case_manifest.csv,not admitted until terminal harvest/admission gate
salt4_hi5q,salt4_jin_hi5q_corrected,salt4,hi5q,heater,intended_heater_input,fixedValue/coded thermal source patches,3,yes,no,no,no,no,manifest target_heater_power_W,,inherits parent; terminal row reduction pending,inherits parent; terminal row reduction pending,rcExternalTemperature includes emissivity/Tsur; OpenFOAM wallHeatFlux is the total wall heat balance with radiation folded in and no separate exported qr term.,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/corrected_case_manifest.csv,not admitted until terminal harvest/admission gate
salt4_hi5q,salt4_jin_hi5q_corrected,salt4,hi5q,cooler,intended_cooler_removal,fixedValue/coded balanced sink patches,3,no,yes,no,no,no,manifest target_cooler_q04/q05/q06_W,,inherits parent; terminal row reduction pending,inherits parent; terminal row reduction pending,rcExternalTemperature includes emissivity/Tsur; OpenFOAM wallHeatFlux is the total wall heat balance with radiation folded in and no separate exported qr term.,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/corrected_case_manifest.csv,not admitted until terminal harvest/admission gate
salt4_hi5q,salt4_jin_hi5q_corrected,salt4,hi5q,ambient_wall,passive_ambient_wall_exchange,rcExternalTemperature inherited from parent,,no,no,yes,yes,no,,,inherits parent; terminal row reduction pending,inherits parent; terminal row reduction pending,rcExternalTemperature includes emissivity/Tsur; OpenFOAM wallHeatFlux is the total wall heat balance with radiation folded in and no separate exported qr term.,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/corrected_case_manifest.csv,not admitted until terminal harvest/admission gate
salt4_hi10q,salt4_jin_hi10q_corrected,salt4,hi10q,heater,intended_heater_input,fixedValue/coded thermal source patches,3,yes,no,no,no,no,manifest target_heater_power_W,,inherits parent; terminal row reduction pending,inherits parent; terminal row reduction pending,rcExternalTemperature includes emissivity/Tsur; OpenFOAM wallHeatFlux is the total wall heat balance with radiation folded in and no separate exported qr term.,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/corrected_case_manifest.csv,not admitted until terminal harvest/admission gate
salt4_hi10q,salt4_jin_hi10q_corrected,salt4,hi10q,cooler,intended_cooler_removal,fixedValue/coded balanced sink patches,3,no,yes,no,no,no,manifest target_cooler_q04/q05/q06_W,,inherits parent; terminal row reduction pending,inherits parent; terminal row reduction pending,rcExternalTemperature includes emissivity/Tsur; OpenFOAM wallHeatFlux is the total wall heat balance with radiation folded in and no separate exported qr term.,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/corrected_case_manifest.csv,not admitted until terminal harvest/admission gate
salt4_hi10q,salt4_jin_hi10q_corrected,salt4,hi10q,ambient_wall,passive_ambient_wall_exchange,rcExternalTemperature inherited from parent,,no,no,yes,yes,no,,,inherits parent; terminal row reduction pending,inherits parent; terminal row reduction pending,rcExternalTemperature includes emissivity/Tsur; OpenFOAM wallHeatFlux is the total wall heat balance with radiation folded in and no separate exported qr term.,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/corrected_case_manifest.csv,not admitted until terminal harvest/admission gate
salt2_mesh_refinement_family_coarse_medium_fine,viscosity_screening_salt_test_2_jin_coarse_mesh,salt2,mesh-level,coarse/medium/fine mesh-family BCs,diagnostic mesh-family inheritance,inherits Salt2 setup; refined BC reduction not separately admitted,,yes,yes,yes,yes,yes,,,0.95 on admitted Salt2 mainline rcExternalTemperature patches,299.19 on admitted Salt2 mainline rcExternalTemperature patches,rcExternalTemperature includes emissivity/Tsur; OpenFOAM wallHeatFlux is the total wall heat balance with radiation folded in and no separate exported qr term.,work_products/2026-07/2026-07-14/2026-07-14_thermal_closure_mesh_gate_refresh/refreshed_qoi_mesh_gate_status.csv,diagnostic mesh/GCI only
