case_key,source_id,salt_number,variant,classification,source_path,run_root,case_stage_path,latest_time_s,run_state,scheduler_job_id,terminal_status_evidence_path,solver_log_path,postprocessing_availability,steady_state_admission_evidence_path,admission_verdict,reason_for_verdict,part_of_live_job_3293924,action_needed,split_recommendation,bc_label_status,Re_upcomer,recirculation_evidence_available,candidate_onset_role,next_action_to_unlock
salt3_lo10q,salt3_jin_lo10q_corrected,salt3,lo10q,perturbation/sensitivity,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,9428.159090909,stopped,,work_products/2026-07/2026-07-13/2026-07-13_corrected_q_latest_time_refresh/all_corrected_q_status_table.csv,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/logs/log.foamRun_corrected_q,prior latest-time/steady review only,work_products/2026-07/2026-07-13/2026-07-13_corrected_q_latest_time_refresh/all_corrected_q_status_table.csv,sensitivity-only,Partial/under-advanced; gate says too_short; deferred continuation candidate.,no,continue or re-gate after sufficient perturbed operating-point window; do not fit until split policy is revised,perturbation/sensitivity candidates only after terminal admission,manifest/root audit available; row-level BC reduction pending,,no,sensitivity_only,"continue only if sensitivity coverage is needed; then run terminal harvest, postprocessing, and steady/admission gate"
salt3_lo5q,salt3_jin_lo5q_corrected,salt3,lo5q,perturbation/sensitivity,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,9389.171270718,stopped,,work_products/2026-07/2026-07-13/2026-07-13_corrected_q_latest_time_refresh/all_corrected_q_status_table.csv,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/logs/log.foamRun_corrected_q,prior latest-time/steady review only,work_products/2026-07/2026-07-13/2026-07-13_corrected_q_latest_time_refresh/all_corrected_q_status_table.csv,sensitivity-only,Partial/under-advanced; gate says too_short; deferred continuation candidate.,no,continue or re-gate after sufficient perturbed operating-point window; do not fit until split policy is revised,perturbation/sensitivity candidates only after terminal admission,manifest/root audit available; row-level BC reduction pending,,no,sensitivity_only,"continue only if sensitivity coverage is needed; then run terminal harvest, postprocessing, and steady/admission gate"
salt3_hi5q,salt3_jin_hi5q_corrected,salt3,hi5q,failed,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,7639.476190476,failed,3275450,work_products/2026-07/2026-07-13/2026-07-13_corrected_q_latest_time_refresh/all_corrected_q_status_table.csv,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/logs/log.foamRun_corrected_q,prior latest-time/steady review only,work_products/2026-07/2026-07-13/2026-07-13_corrected_q_latest_time_refresh/all_corrected_q_status_table.csv,not-admissible,Not accepted; investigate before resubmission. Investigate cancelled high-Q attempt for BC/log/launcher issues; rerun or rebuild from corrected restart only after cause is documented.,no,"investigate failed high-Q attempt, document cause, then rebuild/rerun from corrected restart if still needed",excluded until rerun,manifest/root audit available; row-level BC reduction pending,,no,not_useful,"investigate failed high-Q attempt, document cause, then rebuild/rerun from corrected restart if still needed"
salt3_hi10q,salt3_jin_hi10q_corrected,salt3,hi10q,failed,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,7637.875696673,failed,,work_products/2026-07/2026-07-13/2026-07-13_corrected_q_latest_time_refresh/all_corrected_q_status_table.csv,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/logs/log.foamRun_corrected_q,prior latest-time/steady review only,work_products/2026-07/2026-07-13/2026-07-13_corrected_q_latest_time_refresh/all_corrected_q_status_table.csv,not-admissible,Not accepted; investigate before resubmission. Investigate cancelled high-Q attempt for BC/log/launcher issues; rerun or rebuild from corrected restart only after cause is documented.,no,"investigate failed high-Q attempt, document cause, then rebuild/rerun from corrected restart if still needed",excluded until rerun,manifest/root audit available; row-level BC reduction pending,,no,not_useful,"investigate failed high-Q attempt, document cause, then rebuild/rerun from corrected restart if still needed"
salt4_lo10q,salt4_jin_lo10q_corrected,salt4,lo10q,perturbation/sensitivity,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,11966.208333,running,3293924,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/slurm-saltq_sel_cont-3293924.out; jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/slurm-saltq_sel_cont-3293924.err; jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/logs/selected_runtime_preflight_3293924.csv,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/logs/log.foamRun_corrected_q,pending terminal postprocessing,work_products/2026-07/2026-07-14/2026-07-14_corrected_q_terminal_admission_gate/corrected_q_terminal_gate_rows.csv,pending-terminal-harvest,Selected live continuation job 3293924 is RUNNING; terminal steady/admission gate has not run.,yes,"harvest terminal logs and postprocess after Slurm exits, then run operating-point steady/admission gate",perturbation/sensitivity candidates only after terminal admission,runtime preflight OK; row-level BC reduction pending,,no,sensitivity_only,"wait for job 3293924 terminal state; then harvest stdout/stderr/solver logs, run postprocessing, and run steady/admission plus recirculation extraction"
salt4_lo5q,salt4_jin_lo5q_corrected,salt4,lo5q,perturbation/sensitivity,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,11695.222222222,stopped,,work_products/2026-07/2026-07-13/2026-07-13_corrected_q_latest_time_refresh/all_corrected_q_status_table.csv,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/logs/log.foamRun_corrected_q,prior latest-time/steady review only,work_products/2026-07/2026-07-13/2026-07-13_corrected_q_latest_time_refresh/all_corrected_q_status_table.csv,sensitivity-only,Partial/under-advanced; gate says too_short; deferred continuation candidate.,no,continue or re-gate after sufficient perturbed operating-point window; do not fit until split policy is revised,perturbation/sensitivity candidates only after terminal admission,manifest/root audit available; row-level BC reduction pending,,no,sensitivity_only,"continue only if sensitivity coverage is needed; then run terminal harvest, postprocessing, and steady/admission gate"
salt4_hi5q,salt4_jin_hi5q_corrected,salt4,hi5q,perturbation/sensitivity,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,11399.1875,stopped,3275451;3275558,work_products/2026-07/2026-07-13/2026-07-13_corrected_q_latest_time_refresh/all_corrected_q_status_table.csv,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/logs/log.foamRun_corrected_q,prior latest-time/steady review only,work_products/2026-07/2026-07-13/2026-07-13_corrected_q_latest_time_refresh/all_corrected_q_status_table.csv,sensitivity-only,Partial/under-advanced; gate says too_short; deferred continuation candidate.,no,continue or re-gate after sufficient perturbed operating-point window; do not fit until split policy is revised,perturbation/sensitivity candidates only after terminal admission,manifest/root audit available; row-level BC reduction pending,,no,transition_candidate,"continue or rerun to terminal corrected-Q state, then postprocess for Re_upcomer/backflow/Ri before treating as a near-onset candidate"
salt4_hi10q,salt4_jin_hi10q_corrected,salt4,hi10q,perturbation/sensitivity,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,12896.986047,running,3293924,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/slurm-saltq_sel_cont-3293924.out; jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/slurm-saltq_sel_cont-3293924.err; jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/logs/selected_runtime_preflight_3293924.csv,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/logs/log.foamRun_corrected_q,pending terminal postprocessing,work_products/2026-07/2026-07-14/2026-07-14_corrected_q_terminal_admission_gate/corrected_q_terminal_gate_rows.csv,pending-terminal-harvest,Selected live continuation job 3293924 is RUNNING; terminal steady/admission gate has not run.,yes,"harvest terminal logs and postprocess after Slurm exits, then run operating-point steady/admission gate",perturbation/sensitivity candidates only after terminal admission,runtime preflight OK; row-level BC reduction pending,,no,transition_candidate,"wait for job 3293924 terminal state; then harvest stdout/stderr/solver logs, run postprocessing, and run steady/admission plus recirculation extraction"
salt2_mesh_refinement_family_coarse_medium_fine,viscosity_screening_salt_test_2_jin_coarse_mesh,salt2,mesh-level,mesh refinement family,work_products/2026-07/2026-07-14/2026-07-14_thermal_closure_mesh_gate_refresh/refreshed_qoi_mesh_gate_status.csv,Salt2 coarse/medium/fine mesh-family evidence packages,,,completed,,operational_notes/maps/mesh-gci-and-uncertainty.md,,pressure and thermal repair-smoke summaries available; closure-QOI GCI not publication-ready,work_products/2026-07/2026-07-14/2026-07-14_thermal_closure_mesh_gate_refresh/refreshed_qoi_mesh_gate_status.csv; work_products/2026-07/2026-07-14/2026-07-14_thermal_closure_mesh_gate_refresh/thermal_admission_table.csv; work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/fit_safety_summary.csv,diagnostic-only,"Mesh family exists and selected Salt2 pressure/thermal outputs are readable, but 0 closure-QOI rows are publication-ready and 0 thermal rows are fit-admissible.",no,resolve closure-QOI GCI/sign/heat-balance gates before using mesh rows for fit or publication uncertainty,diagnostic mesh/GCI evidence only,inherits Salt2 mainline roles for coarse; refined row-level BC reduction not promoted,,no,not_useful,resolve closure-QOI GCI/sign/heat-balance gates before using mesh rows for fit or publication uncertainty
salt1_kirst_historical_reference,viscosity_screening_salt_test_1_kirst_coarse_mesh,salt1,kirst,historical/Kirst,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/registry/salt1/ethan_modern_runs_staged/salt_test_1_kirst/viscosity_screening_salt_test_1_kirst_coarse_mesh,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/registry/salt1/ethan_modern_runs_staged/salt_test_1_kirst/viscosity_screening_salt_test_1_kirst_coarse_mesh,,,completed,,operational_notes/maps/cfd-runs-and-admission.md,,registry aggregates available,operational_notes/maps/cfd-runs-and-admission.md,diagnostic-only,Historical/reference Salt row; not current mainline and not re-admitted for training.,no,dated re-admission task required before any downstream use,excluded,not current mainline,,no,not_useful,define Salt1 admission policy and extract matched recirculation metrics before using as an onset anchor
salt2_native_historical_reference,val_salt_test_2_coarse_mesh_laminar,salt2,native_reference,historical/native-reference,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/registry/salt2/native_2d_cfd_external/salt_test_2/val_salt_test_2_coarse_mesh_laminar,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/registry/salt2/native_2d_cfd_external/salt_test_2/val_salt_test_2_coarse_mesh_laminar,,,stopped,,operational_notes/maps/cfd-runs-and-admission.md,,registry aggregates available,operational_notes/maps/cfd-runs-and-admission.md,diagnostic-only,Historical/reference Salt row; not current mainline and not re-admitted for training.,no,dated re-admission task required before any downstream use,excluded,not current mainline,,no,not_useful,dated re-admission task required before any downstream use
salt2_kirst_historical_reference,viscosity_screening_salt_test_2_kirst_coarse_mesh,salt2,kirst,historical/Kirst,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/registry/salt2/ethan_modern_runs_staged/salt_test_2_kirst/viscosity_screening_salt_test_2_kirst_coarse_mesh,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/registry/salt2/ethan_modern_runs_staged/salt_test_2_kirst/viscosity_screening_salt_test_2_kirst_coarse_mesh,,,completed,,operational_notes/maps/cfd-runs-and-admission.md,,registry aggregates available,operational_notes/maps/cfd-runs-and-admission.md,diagnostic-only,Historical/reference Salt row; not current mainline and not re-admitted for training.,no,dated re-admission task required before any downstream use,excluded,not current mainline,,no,not_useful,dated re-admission task required before any downstream use
salt3_kirst_historical_reference,viscosity_screening_salt_test_3_kirst_coarse_mesh,salt3,kirst,historical/Kirst,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/registry/salt3/ethan_modern_runs_staged/salt_test_3_kirst/viscosity_screening_salt_test_3_kirst_coarse_mesh,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/registry/salt3/ethan_modern_runs_staged/salt_test_3_kirst/viscosity_screening_salt_test_3_kirst_coarse_mesh,,,stopped,,operational_notes/maps/cfd-runs-and-admission.md,,registry aggregates available,operational_notes/maps/cfd-runs-and-admission.md,diagnostic-only,Historical/reference Salt row; not current mainline and not re-admitted for training.,no,dated re-admission task required before any downstream use,excluded,not current mainline,,no,not_useful,dated re-admission task required before any downstream use
salt4_kirst_historical_reference,viscosity_screening_salt_test_4_kirst_coarse_mesh,salt4,kirst,historical/Kirst,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/registry/salt4/ethan_modern_runs_staged/salt_test_4_kirst/viscosity_screening_salt_test_4_kirst_coarse_mesh,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/registry/salt4/ethan_modern_runs_staged/salt_test_4_kirst/viscosity_screening_salt_test_4_kirst_coarse_mesh,,,stopped,,operational_notes/maps/cfd-runs-and-admission.md,,registry aggregates available,operational_notes/maps/cfd-runs-and-admission.md,diagnostic-only,Historical/reference Salt row; not current mainline and not re-admitted for training.,no,dated re-admission task required before any downstream use,excluded,not current mainline,,no,not_useful,dated re-admission task required before any downstream use
original_q_insulation_perturbation_sweep,invalid_14_case_q_insulation_campaign,salt1-salt4,old_false_steady_q_insulation,failed,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/README.md,old invalid roots quarantined/deleted,,,failed,,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/README.md,,not usable,operational_notes/maps/cfd-runs-and-admission.md,not-admissible,Historical Q perturbation roots were false-steady/invalid because live restart fields did not carry the intended perturbation.,no,none; use corrected Salt-Q campaign only after terminal admission,excluded,invalid live BC/restart evidence,,no,not_useful,none; use corrected Salt-Q campaign only after terminal admission
