case_id,time_window_s,lane,surface_or_mask,required_source_field,required_for,geometry_or_mask_ready,whole_mesh_field_present,sampled_surface_field_present,sampler_ready,status,blocking_reason,source_path
salt_3,7618,interface_U,exchange_interface,U,mdot_exchange;energy_residual,true,true,false,false,geometry_ready_whole_mesh_field_present_surface_sampling_not_run,geometry-only VTK has no sampled face or wall field arrays,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_vtk_from_seeded_cv/vtk/salt_3_exchange_interface.vtk
salt_3,7618,interface_T,exchange_interface,T,mdot_exchange*T_terms;energy_residual,true,true,false,false,geometry_ready_whole_mesh_field_present_surface_sampling_not_run,geometry-only VTK has no sampled face or wall field arrays,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_vtk_from_seeded_cv/vtk/salt_3_exchange_interface.vtk
salt_3,7618,interface_rho,exchange_interface,rho,mdot_exchange;R_rho,true,true,false,false,geometry_ready_whole_mesh_field_present_surface_sampling_not_run,geometry-only VTK has no sampled face or wall field arrays,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_vtk_from_seeded_cv/vtk/salt_3_exchange_interface.vtk
salt_3,7618,interface_pressure,exchange_interface,p_or_p_rgh,pressure_residual,true,false,false,false,blocked_missing_pressure_basis,whole-mesh cell VTK inventory has no p or p_rgh field,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_vtk_from_seeded_cv/vtk/salt_3_exchange_interface.vtk
salt_3,7618,wall_T,trusted_wall,T,wall_core_thermal_contrast;T_recirc_support,true,true,false,false,geometry_ready_whole_mesh_field_present_surface_sampling_not_run,geometry-only VTK has no sampled face or wall field arrays,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_vtk_from_seeded_cv/vtk/salt_3_trusted_wall.vtk
salt_3,7618,wallHeatFlux,trusted_wall,wallHeatFlux,Q_wall_W;energy_residual,true,false,false,false,blocked_missing_wallHeatFlux_Q_wall,wallHeatFlux is not present in the whole-mesh VTK and Q_wall_W has not been integrated or released,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_vtk_from_seeded_cv/vtk/salt_3_trusted_wall.vtk
salt_3,7618,recirc_cell_T,recirc_cell_mask,T,T_recirc;energy_residual,true,true,false,false,input_support_ready_reduction_not_run,diagnostic reduction still must be run and same-QOI UQ is absent,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_input_manifest_from_seeded_cv/masks/salt_3_seeded_recirc_cell_mask.csv
salt_3,7618,recirc_cell_rho,recirc_cell_mask,rho,R_rho,true,true,false,false,input_support_ready_reduction_not_run,diagnostic reduction still must be run and same-QOI UQ is absent,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_input_manifest_from_seeded_cv/masks/salt_3_seeded_recirc_cell_mask.csv
salt_3,7618,mu_or_nu,recirc_cell_mask,mu_or_nu,R_mu,true,false,false,false,blocked_missing_mu_or_nu_basis,whole-mesh cell VTK inventory has no mu/nu/nut field suitable for R_mu,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_input_manifest_from_seeded_cv/masks/salt_3_seeded_recirc_cell_mask.csv
salt_3,7618,cp_J_kg_K,property_contract,cp,energy_residual,false,false,false,false,blocked_missing_cp_property_contract,cp_J_kg_K is blank in the current sampler manifest,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_cell_vtk_salt3_salt4_matrix/vtk/salt_3_cell_fields.vtk
salt_4,10000,interface_U,exchange_interface,U,mdot_exchange;energy_residual,true,true,false,false,geometry_ready_whole_mesh_field_present_surface_sampling_not_run,geometry-only VTK has no sampled face or wall field arrays,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_vtk_from_seeded_cv/vtk/salt_4_exchange_interface.vtk
salt_4,10000,interface_T,exchange_interface,T,mdot_exchange*T_terms;energy_residual,true,true,false,false,geometry_ready_whole_mesh_field_present_surface_sampling_not_run,geometry-only VTK has no sampled face or wall field arrays,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_vtk_from_seeded_cv/vtk/salt_4_exchange_interface.vtk
salt_4,10000,interface_rho,exchange_interface,rho,mdot_exchange;R_rho,true,true,false,false,geometry_ready_whole_mesh_field_present_surface_sampling_not_run,geometry-only VTK has no sampled face or wall field arrays,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_vtk_from_seeded_cv/vtk/salt_4_exchange_interface.vtk
salt_4,10000,interface_pressure,exchange_interface,p_or_p_rgh,pressure_residual,true,false,false,false,blocked_missing_pressure_basis,whole-mesh cell VTK inventory has no p or p_rgh field,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_vtk_from_seeded_cv/vtk/salt_4_exchange_interface.vtk
salt_4,10000,wall_T,trusted_wall,T,wall_core_thermal_contrast;T_recirc_support,true,true,false,false,geometry_ready_whole_mesh_field_present_surface_sampling_not_run,geometry-only VTK has no sampled face or wall field arrays,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_vtk_from_seeded_cv/vtk/salt_4_trusted_wall.vtk
salt_4,10000,wallHeatFlux,trusted_wall,wallHeatFlux,Q_wall_W;energy_residual,true,false,false,false,blocked_missing_wallHeatFlux_Q_wall,wallHeatFlux is not present in the whole-mesh VTK and Q_wall_W has not been integrated or released,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_vtk_from_seeded_cv/vtk/salt_4_trusted_wall.vtk
salt_4,10000,recirc_cell_T,recirc_cell_mask,T,T_recirc;energy_residual,true,true,false,false,input_support_ready_reduction_not_run,diagnostic reduction still must be run and same-QOI UQ is absent,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_input_manifest_from_seeded_cv/masks/salt_4_seeded_recirc_cell_mask.csv
salt_4,10000,recirc_cell_rho,recirc_cell_mask,rho,R_rho,true,true,false,false,input_support_ready_reduction_not_run,diagnostic reduction still must be run and same-QOI UQ is absent,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_input_manifest_from_seeded_cv/masks/salt_4_seeded_recirc_cell_mask.csv
salt_4,10000,mu_or_nu,recirc_cell_mask,mu_or_nu,R_mu,true,false,false,false,blocked_missing_mu_or_nu_basis,whole-mesh cell VTK inventory has no mu/nu/nut field suitable for R_mu,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_input_manifest_from_seeded_cv/masks/salt_4_seeded_recirc_cell_mask.csv
salt_4,10000,cp_J_kg_K,property_contract,cp,energy_residual,false,false,false,false,blocked_missing_cp_property_contract,cp_J_kg_K is blank in the current sampler manifest,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_cell_vtk_salt3_salt4_matrix/vtk/salt_4_cell_fields.vtk
