case_id,mesh_level,source_id,profile_source_id,branch,endpoint_pair,endpoint_role,station_label,sample_time_s,metric_status,area_weight_status,ordinary_flow_gate,admission_use,source_path,face_count_total,positive_face_count_proxy,reverse_face_count_proxy,positive_mass_flux_proxy,reverse_mass_flux_proxy,total_abs_mass_flux_proxy,RAF_count_proxy,RMF_count_proxy,SVF_count_proxy,mean_p_rgh_pa,mean_rho_kg_m3,mean_u_streamwise_m_s,dynamic_head_proxy_pa
salt_4,coarse,viscosity_screening_salt_test_4_jin_coarse_mesh,viscosity_screening_salt_test_4_jin_coarse_mesh,test_section_span,test_section_span__s03->test_section_span__s01,upstream,test_section_span__s03,10000,harvested_raw_xy_count_proxy,count_proxy_not_true_face_area,diagnostic_fail,diagnostic_only_until_true_face_area_weighting,tmp/2026-06-30_claude_action_items/recon_salt4_of13/postProcessing/secmeanSurfaces/10000/plane_test_section_span__s03.xy,460,338,122,18849.3236512,-1331.04006981,20180.3637211,0.265217391304,0.065957189286,0.00352966737608,-9.62254123963,1933.2849273,0.0197302823851,0.376298486384
salt_4,coarse,viscosity_screening_salt_test_4_jin_coarse_mesh,viscosity_screening_salt_test_4_jin_coarse_mesh,test_section_span,test_section_span__s03->test_section_span__s01,downstream,test_section_span__s01,10000,harvested_raw_xy_count_proxy,count_proxy_not_true_face_area,diagnostic_fail,diagnostic_only_until_true_face_area_weighting,tmp/2026-06-30_claude_action_items/recon_salt4_of13/postProcessing/secmeanSurfaces/10000/plane_test_section_span__s01.xy,460,341,119,17846.8069692,-1030.47257389,18877.2795431,0.258695652174,0.0545879808339,0.00381419673343,-9.88550657041,1933.4265275,0.0189350089016,0.346600116697
salt_2,medium,viscosity_screening_salt_test_2_jin_medium_mesh,viscosity_screening_salt_test_2_jin_coarse_mesh,right_leg,right_leg__s03->right_leg__s01,upstream,right_leg__s03,518,harvested_raw_xy_count_proxy,count_proxy_not_true_face_area,diagnostic_pass,diagnostic_only_until_true_face_area_weighting,work_products/2026-07/2026-07-10/2026-07-10_salt2_refined_pressure_smoke_and_8pm_batch/recon/medium/postProcessing/secmeanSurfaces/518/plane_right_leg__s03.xy,1188,1188,0,32220.1827124,0,32220.1827124,0,0,0.000873633742127,5.74571521285,1961.20386496,0.0138286699418,0.187522578931
salt_2,medium,viscosity_screening_salt_test_2_jin_medium_mesh,viscosity_screening_salt_test_2_jin_coarse_mesh,right_leg,right_leg__s03->right_leg__s01,downstream,right_leg__s01,518,harvested_raw_xy_count_proxy,count_proxy_not_true_face_area,diagnostic_pass,diagnostic_only_until_true_face_area_weighting,work_products/2026-07/2026-07-10/2026-07-10_salt2_refined_pressure_smoke_and_8pm_batch/recon/medium/postProcessing/secmeanSurfaces/518/plane_right_leg__s01.xy,1188,1188,0,32438.6106897,0,32438.6106897,0,0,0.000692411249768,0.374812724705,1961.88552524,0.0139194199673,0.190057907677
salt_2,medium,viscosity_screening_salt_test_2_jin_medium_mesh,viscosity_screening_salt_test_2_jin_coarse_mesh,test_section_span,test_section_span__s03->test_section_span__s01,upstream,test_section_span__s03,518,harvested_raw_xy_count_proxy,count_proxy_not_true_face_area,diagnostic_fail,diagnostic_only_until_true_face_area_weighting,work_products/2026-07/2026-07-10/2026-07-10_salt2_refined_pressure_smoke_and_8pm_batch/recon/medium/postProcessing/secmeanSurfaces/518/plane_test_section_span__s03.xy,1024,752,272,32105.6583383,-1821.40861782,33927.0669561,0.265625,0.0536860029833,0.0017119976288,-13.4855927145,1955.36063334,0.0151466811682,0.224301325128
salt_2,medium,viscosity_screening_salt_test_2_jin_medium_mesh,viscosity_screening_salt_test_2_jin_coarse_mesh,test_section_span,test_section_span__s03->test_section_span__s01,downstream,test_section_span__s01,518,harvested_raw_xy_count_proxy,count_proxy_not_true_face_area,diagnostic_fail,diagnostic_only_until_true_face_area_weighting,work_products/2026-07/2026-07-10/2026-07-10_salt2_refined_pressure_smoke_and_8pm_batch/recon/medium/postProcessing/secmeanSurfaces/518/plane_test_section_span__s01.xy,1024,744,280,31850.4713812,-1895.595484,33746.0668652,0.2734375,0.0561723382926,0.000915249830243,-14.2035705178,1955.51095365,0.0149807795652,0.219431556931
salt_2,fine,viscosity_screening_salt_test_2_jin_fine_mesh,viscosity_screening_salt_test_2_jin_coarse_mesh,right_leg,right_leg__s03->right_leg__s01,upstream,right_leg__s03,399,harvested_raw_xy_count_proxy,count_proxy_not_true_face_area,diagnostic_pass,diagnostic_only_until_true_face_area_weighting,work_products/2026-07/2026-07-10/2026-07-10_salt2_refined_pressure_smoke_and_8pm_batch/recon/fine/postProcessing/secmeanSurfaces/399/plane_right_leg__s03.xy,2548,2548,0,68786.6795873,0,68786.6795873,0,0,0.000901496629062,5.72983577052,1961.20037082,0.0137647797736,0.1857934956
salt_2,fine,viscosity_screening_salt_test_2_jin_fine_mesh,viscosity_screening_salt_test_2_jin_coarse_mesh,right_leg,right_leg__s03->right_leg__s01,downstream,right_leg__s01,399,harvested_raw_xy_count_proxy,count_proxy_not_true_face_area,diagnostic_pass,diagnostic_only_until_true_face_area_weighting,work_products/2026-07/2026-07-10/2026-07-10_salt2_refined_pressure_smoke_and_8pm_batch/recon/fine/postProcessing/secmeanSurfaces/399/plane_right_leg__s01.xy,2548,2548,0,69295.4082767,0,69295.4082767,0,0,0.000700082696031,0.43142746827,1961.93305562,0.0138632933243,0.188532841612
salt_2,fine,viscosity_screening_salt_test_2_jin_fine_mesh,viscosity_screening_salt_test_2_jin_coarse_mesh,test_section_span,test_section_span__s03->test_section_span__s01,upstream,test_section_span__s03,399,harvested_raw_xy_count_proxy,count_proxy_not_true_face_area,diagnostic_fail,diagnostic_only_until_true_face_area_weighting,work_products/2026-07/2026-07-10/2026-07-10_salt2_refined_pressure_smoke_and_8pm_batch/recon/fine/postProcessing/secmeanSurfaces/399/plane_test_section_span__s03.xy,2208,1626,582,70932.2511853,-4101.94864902,75034.1998343,0.263586956522,0.054667720294,0.00170330007078,-13.3670814689,1955.38798302,0.015501358312,0.234932151683
salt_2,fine,viscosity_screening_salt_test_2_jin_fine_mesh,viscosity_screening_salt_test_2_jin_coarse_mesh,test_section_span,test_section_span__s03->test_section_span__s01,downstream,test_section_span__s01,399,harvested_raw_xy_count_proxy,count_proxy_not_true_face_area,diagnostic_fail,diagnostic_only_until_true_face_area_weighting,work_products/2026-07/2026-07-10/2026-07-10_salt2_refined_pressure_smoke_and_8pm_batch/recon/fine/postProcessing/secmeanSurfaces/399/plane_test_section_span__s01.xy,2208,1604,604,70454.6867291,-4298.19072882,74752.8774579,0.273550724638,0.0574986659374,0.000913808107463,-14.0816083461,1955.53825139,0.0153439220534,0.230201997102
