row_id,case_key,segment,classification,missing_field_count,missing_fields,blocks_fit_admission
recirc_feature:f6_pm5:salt2_lo5q:left_lower_leg,salt2_lo5q,left_lower_leg,recirculation_diagnostic,4,wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
recirc_feature:f6_pm5:salt2_lo5q:test_section_span,salt2_lo5q,test_section_span,recirculation_diagnostic,4,wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
recirc_feature:f6_pm5:salt2_lo5q:left_upper_leg,salt2_lo5q,left_upper_leg,recirculation_diagnostic,4,wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
recirc_feature:f6_pm5:salt2_hi5q:left_lower_leg,salt2_hi5q,left_lower_leg,recirculation_diagnostic,4,wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
recirc_feature:f6_pm5:salt2_hi5q:test_section_span,salt2_hi5q,test_section_span,recirculation_diagnostic,4,wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
recirc_feature:f6_pm5:salt2_hi5q:left_upper_leg,salt2_hi5q,left_upper_leg,recirculation_diagnostic,4,wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
recirc_feature:f6_pm5:salt4_lo5q:left_lower_leg,salt4_lo5q,left_lower_leg,recirculation_diagnostic,4,wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
recirc_feature:f6_pm5:salt4_lo5q:test_section_span,salt4_lo5q,test_section_span,recirculation_diagnostic,4,wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
recirc_feature:f6_pm5:salt4_lo5q:left_upper_leg,salt4_lo5q,left_upper_leg,recirculation_diagnostic,4,wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
recirc_feature:f6_pm5:salt4_hi5q:left_lower_leg,salt4_hi5q,left_lower_leg,recirculation_diagnostic,4,wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
recirc_feature:f6_pm5:salt4_hi5q:test_section_span,salt4_hi5q,test_section_span,recirculation_diagnostic,4,wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
recirc_feature:f6_pm5:salt4_hi5q:left_upper_leg,salt4_hi5q,left_upper_leg,recirculation_diagnostic,4,wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
recirc_feature:mainline_onset:salt_2_jin,salt_2_jin,upcomer,recirculation_diagnostic,4,wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
recirc_feature:mainline_onset:salt_3_jin,salt_3_jin,upcomer,recirculation_diagnostic,4,wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
recirc_feature:mainline_onset:salt_4_jin,salt_4_jin,upcomer,recirculation_diagnostic,4,wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
recirc_feature:hybrid_lane:salt2_lo5q:upcomer_inlet:left_lower_leg,salt2_lo5q,upcomer_inlet,not_admissible_missing_same_window_fields,5,pressure_evidence_status;wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
recirc_feature:hybrid_lane:salt2_lo5q:upcomer_mid:test_section_span,salt2_lo5q,upcomer_mid,not_admissible_missing_same_window_fields,5,pressure_evidence_status;wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
recirc_feature:hybrid_lane:salt2_lo5q:upcomer_outlet:left_upper_leg,salt2_lo5q,upcomer_outlet,not_admissible_missing_same_window_fields,5,pressure_evidence_status;wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
recirc_feature:hybrid_lane:salt2_hi5q:upcomer_inlet:left_lower_leg,salt2_hi5q,upcomer_inlet,not_admissible_missing_same_window_fields,5,pressure_evidence_status;wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
recirc_feature:hybrid_lane:salt2_hi5q:upcomer_mid:test_section_span,salt2_hi5q,upcomer_mid,not_admissible_missing_same_window_fields,5,pressure_evidence_status;wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
recirc_feature:hybrid_lane:salt2_hi5q:upcomer_outlet:left_upper_leg,salt2_hi5q,upcomer_outlet,not_admissible_missing_same_window_fields,5,pressure_evidence_status;wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
recirc_feature:hybrid_lane:salt4_lo5q:upcomer_inlet:left_lower_leg,salt4_lo5q,upcomer_inlet,not_admissible_missing_same_window_fields,5,pressure_evidence_status;wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
recirc_feature:hybrid_lane:salt4_lo5q:upcomer_mid:test_section_span,salt4_lo5q,upcomer_mid,not_admissible_missing_same_window_fields,5,pressure_evidence_status;wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
recirc_feature:hybrid_lane:salt4_lo5q:upcomer_outlet:left_upper_leg,salt4_lo5q,upcomer_outlet,not_admissible_missing_same_window_fields,5,pressure_evidence_status;wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
recirc_feature:hybrid_lane:salt4_hi5q:upcomer_inlet:left_lower_leg,salt4_hi5q,upcomer_inlet,not_admissible_missing_same_window_fields,5,pressure_evidence_status;wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
recirc_feature:hybrid_lane:salt4_hi5q:upcomer_mid:test_section_span,salt4_hi5q,upcomer_mid,not_admissible_missing_same_window_fields,5,pressure_evidence_status;wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
recirc_feature:hybrid_lane:salt4_hi5q:upcomer_outlet:left_upper_leg,salt4_hi5q,upcomer_outlet,not_admissible_missing_same_window_fields,5,pressure_evidence_status;wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
recirc_feature:hybrid_lane:salt_2:left_lower_leg__s00->left_upper_leg__s04,salt2_mainline,test_section_complex,not_admissible_missing_same_window_fields,5,pressure_evidence_status;wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
recirc_feature:hybrid_lane:salt_3:left_lower_leg__s00->left_upper_leg__s04,salt3_mainline,test_section_complex,not_admissible_missing_same_window_fields,5,pressure_evidence_status;wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
recirc_feature:hybrid_lane:salt_4:left_lower_leg__s00->left_upper_leg__s04,salt4_mainline,test_section_complex,not_admissible_missing_same_window_fields,5,pressure_evidence_status;wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
recirc_feature:hybrid_lane:salt2_lo5q:upcomer_inlet:left_lower_leg,salt2_lo5q,left_lower_leg,not_admissible_missing_same_window_fields,5,pressure_evidence_status;wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
recirc_feature:hybrid_lane:salt2_lo5q:upcomer_mid:test_section_span,salt2_lo5q,test_section_span,not_admissible_missing_same_window_fields,5,pressure_evidence_status;wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
recirc_feature:hybrid_lane:salt2_lo5q:upcomer_outlet:left_upper_leg,salt2_lo5q,left_upper_leg,not_admissible_missing_same_window_fields,5,pressure_evidence_status;wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
recirc_feature:hybrid_lane:salt2_hi5q:upcomer_inlet:left_lower_leg,salt2_hi5q,left_lower_leg,not_admissible_missing_same_window_fields,5,pressure_evidence_status;wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
recirc_feature:hybrid_lane:salt2_hi5q:upcomer_mid:test_section_span,salt2_hi5q,test_section_span,not_admissible_missing_same_window_fields,5,pressure_evidence_status;wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
recirc_feature:hybrid_lane:salt2_hi5q:upcomer_outlet:left_upper_leg,salt2_hi5q,left_upper_leg,not_admissible_missing_same_window_fields,5,pressure_evidence_status;wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
recirc_feature:hybrid_lane:salt4_lo5q:upcomer_inlet:left_lower_leg,salt4_lo5q,left_lower_leg,not_admissible_missing_same_window_fields,5,pressure_evidence_status;wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
recirc_feature:hybrid_lane:salt4_lo5q:upcomer_mid:test_section_span,salt4_lo5q,test_section_span,not_admissible_missing_same_window_fields,5,pressure_evidence_status;wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
recirc_feature:hybrid_lane:salt4_lo5q:upcomer_outlet:left_upper_leg,salt4_lo5q,left_upper_leg,not_admissible_missing_same_window_fields,5,pressure_evidence_status;wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
recirc_feature:hybrid_lane:salt4_hi5q:upcomer_inlet:left_lower_leg,salt4_hi5q,left_lower_leg,not_admissible_missing_same_window_fields,5,pressure_evidence_status;wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
recirc_feature:hybrid_lane:salt4_hi5q:upcomer_mid:test_section_span,salt4_hi5q,test_section_span,not_admissible_missing_same_window_fields,5,pressure_evidence_status;wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
recirc_feature:hybrid_lane:salt4_hi5q:upcomer_outlet:left_upper_leg,salt4_hi5q,left_upper_leg,not_admissible_missing_same_window_fields,5,pressure_evidence_status;wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
high_heat_queue:salt4_jin_q0500w_no_recirc_probe,salt4_jin_q0500w_no_recirc_probe,upcomer,not_admissible_missing_same_window_fields,5,pressure_evidence_status;wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
high_heat_queue:salt4_jin_q1000w_no_recirc_probe,salt4_jin_q1000w_no_recirc_probe,upcomer,not_admissible_missing_same_window_fields,5,pressure_evidence_status;wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
high_heat_queue:salt4_jin_q3x_no_recirc_probe,salt4_jin_q3x_no_recirc_probe,upcomer,not_admissible_missing_same_window_fields,5,pressure_evidence_status;wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
high_heat_queue:salt4_jin_q1500w_no_recirc_probe,salt4_jin_q1500w_no_recirc_probe,upcomer,not_admissible_missing_same_window_fields,5,pressure_evidence_status;wall_bulk_deltaT_status;wallHeatFlux_status;same_window_consistency_status;mesh_time_uncertainty_status,yes
