row_id,case_key,segment,source_family,split_or_use_class,Re,Ri_median,backflow_fraction,reverse_area_fraction,reverse_mass_fraction,pressure_evidence_status,wall_bulk_deltaT_status,wallHeatFlux_status,same_window_consistency_status,mesh_time_uncertainty_status,classification,allowed_use,forbidden_use,ordinary_Nu_fit_allowed,ordinary_f_D_fit_allowed,component_K_fit_allowed,reason,source_path
f6_inventory:salt4_lo5q:test_section_span,salt4_lo5q,test_section_span,pm5_f6_inventory,training,160.035202,29.72248589,,0.3764033442,0.4999969289,present,missing,partial,partial,missing,recirculation_diagnostic,hybrid_onset_diagnostic_and_validity_boundary,ordinary_Nu; ordinary_f_D; component_K,no,no,no,Reverse-flow area or mass fraction is material; true single-stream f_D/F6 fitting is invalid.,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
f6_inventory:salt4_lo5q:left_upper_leg,salt4_lo5q,left_upper_leg,pm5_f6_inventory,training,153.2865418,25.44596167,,0.7765350946,0.5000757768,present,missing,partial,partial,missing,recirculation_diagnostic,hybrid_onset_diagnostic_and_validity_boundary,ordinary_Nu; ordinary_f_D; component_K,no,no,no,Reverse-flow area or mass fraction is material; true single-stream f_D/F6 fitting is invalid.,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
f6_inventory:salt4_hi5q:left_lower_leg,salt4_hi5q,left_lower_leg,pm5_f6_inventory,training,166.7382592,47.1734398,,0.5228637749,0.4999749795,present,missing,partial,partial,missing,recirculation_diagnostic,hybrid_onset_diagnostic_and_validity_boundary,ordinary_Nu; ordinary_f_D; component_K,no,no,no,Reverse-flow area or mass fraction is material; true single-stream f_D/F6 fitting is invalid.,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
f6_inventory:salt4_hi5q:test_section_span,salt4_hi5q,test_section_span,pm5_f6_inventory,training,180.5527051,28.86760099,,0.3778960681,0.4999891842,present,missing,partial,partial,missing,recirculation_diagnostic,hybrid_onset_diagnostic_and_validity_boundary,ordinary_Nu; ordinary_f_D; component_K,no,no,no,Reverse-flow area or mass fraction is material; true single-stream f_D/F6 fitting is invalid.,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
f6_inventory:salt4_hi5q:left_upper_leg,salt4_hi5q,left_upper_leg,pm5_f6_inventory,training,172.3447967,91.3338926,,0.7762644,0.5001364439,present,missing,partial,partial,missing,recirculation_diagnostic,hybrid_onset_diagnostic_and_validity_boundary,ordinary_Nu; ordinary_f_D; component_K,no,no,no,Reverse-flow area or mass fraction is material; true single-stream f_D/F6 fitting is invalid.,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
pm5_readiness:salt2_lo5q:left_lower_leg,salt2_lo5q,left_lower_leg,pm5_recirc_readiness,holdout_testing_only_no_fit_no_tune,83.1101106,70.00886497,,0.6177451405,0.5000044571,present,present,present,present,missing,recirculation_diagnostic,hybrid_onset_diagnostic_and_validity_boundary,ordinary_Nu; ordinary_f_D; component_K,no,no,no,Use for bounded F6/internal-Nu diagnostic review only; do not fit or tune on holdout rows.,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv;work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/pm5_f6_internal_nu_unlock_scorecard.csv;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json
pm5_readiness:salt2_lo5q:test_section_span,salt2_lo5q,test_section_span,pm5_recirc_readiness,holdout_testing_only_no_fit_no_tune,87.454516,45.11688157,,0.3692928784,0.5000060995,present,present,present,present,missing,recirculation_diagnostic,hybrid_onset_diagnostic_and_validity_boundary,ordinary_Nu; ordinary_f_D; component_K,no,no,no,Use for bounded F6/internal-Nu diagnostic review only; do not fit or tune on holdout rows.,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv;work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/pm5_f6_internal_nu_unlock_scorecard.csv;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json
pm5_readiness:salt2_lo5q:left_upper_leg,salt2_lo5q,left_upper_leg,pm5_recirc_readiness,holdout_testing_only_no_fit_no_tune,85.86111594,23.79729264,,0.7901396438,0.5000621677,present,present,present,present,missing,recirculation_diagnostic,hybrid_onset_diagnostic_and_validity_boundary,ordinary_Nu; ordinary_f_D; component_K,no,no,no,Use for bounded F6/internal-Nu diagnostic review only; do not fit or tune on holdout rows.,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv;work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/pm5_f6_internal_nu_unlock_scorecard.csv;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json
pm5_readiness:salt2_hi5q:left_lower_leg,salt2_hi5q,left_lower_leg,pm5_recirc_readiness,holdout_testing_only_no_fit_no_tune,94.87281344,54.20195191,,0.6096763649,0.4999936722,present,present,present,present,missing,recirculation_diagnostic,hybrid_onset_diagnostic_and_validity_boundary,ordinary_Nu; ordinary_f_D; component_K,no,no,no,Use for bounded F6/internal-Nu diagnostic review only; do not fit or tune on holdout rows.,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv;work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/pm5_f6_internal_nu_unlock_scorecard.csv;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json
pm5_readiness:salt2_hi5q:test_section_span,salt2_hi5q,test_section_span,pm5_recirc_readiness,holdout_testing_only_no_fit_no_tune,100.0030491,78.04208245,,0.3748113482,0.4999916556,present,present,present,present,missing,recirculation_diagnostic,hybrid_onset_diagnostic_and_validity_boundary,ordinary_Nu; ordinary_f_D; component_K,no,no,no,Use for bounded F6/internal-Nu diagnostic review only; do not fit or tune on holdout rows.,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv;work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/pm5_f6_internal_nu_unlock_scorecard.csv;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json
pm5_readiness:salt2_hi5q:left_upper_leg,salt2_hi5q,left_upper_leg,pm5_recirc_readiness,holdout_testing_only_no_fit_no_tune,98.26301912,108.7458056,,0.785845516,0.5000672828,present,present,present,present,missing,recirculation_diagnostic,hybrid_onset_diagnostic_and_validity_boundary,ordinary_Nu; ordinary_f_D; component_K,no,no,no,Use for bounded F6/internal-Nu diagnostic review only; do not fit or tune on holdout rows.,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv;work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/pm5_f6_internal_nu_unlock_scorecard.csv;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json
pm5_readiness:val_salt2:left_lower_leg;test_section_span;left_upper_leg,val_salt2,left_lower_leg;test_section_span;left_upper_leg,pm5_recirc_readiness,external_test_only_no_fit_no_tune,,,,,,missing,missing,missing,present,missing,not_admissible_missing_same_window_fields,diagnostic_or_future_extraction_queue,ordinary_Nu; ordinary_f_D; component_K,no,no,no,Optional follow-on: run val_salt2 PM5/upcomer extraction on staged copies if final external scoring requires matched-plane recirculation metrics.,work_products/2026-07/2026-07-15/2026-07-15_val_salt2_postprocessing_admission_unlock/val_salt2_section_heat_loss_ledger.csv;work_products/2026-07/2026-07-17/2026-07-17_val_salt2_training_readiness_and_corner_k_unlock/val_salt2_training_admission_gate.csv
recirc_feature:f6_pm5:salt2_lo5q:left_lower_leg,salt2_lo5q,left_lower_leg,pm5_f6_matched_plane,holdout,83.1101106,70.00886497,,0.6177451405,0.5000044571,present,missing,missing,partial,missing,recirculation_diagnostic,hybrid_onset_diagnostic_and_validity_boundary,ordinary_Nu; ordinary_f_D; component_K,no,no,no,regime_diagnostic_and_hybrid_model_evidence,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
recirc_feature:f6_pm5:salt2_lo5q:test_section_span,salt2_lo5q,test_section_span,pm5_f6_matched_plane,holdout,87.454516,45.11688157,,0.3692928784,0.5000060995,present,missing,missing,partial,missing,recirculation_diagnostic,hybrid_onset_diagnostic_and_validity_boundary,ordinary_Nu; ordinary_f_D; component_K,no,no,no,regime_diagnostic_and_hybrid_model_evidence,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
recirc_feature:f6_pm5:salt2_lo5q:left_upper_leg,salt2_lo5q,left_upper_leg,pm5_f6_matched_plane,holdout,85.86111594,23.79729264,,0.7901396438,0.5000621677,present,missing,missing,partial,missing,recirculation_diagnostic,hybrid_onset_diagnostic_and_validity_boundary,ordinary_Nu; ordinary_f_D; component_K,no,no,no,regime_diagnostic_and_hybrid_model_evidence,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
recirc_feature:f6_pm5:salt2_hi5q:left_lower_leg,salt2_hi5q,left_lower_leg,pm5_f6_matched_plane,holdout,94.87281344,54.20195191,,0.6096763649,0.4999936722,present,missing,missing,partial,missing,recirculation_diagnostic,hybrid_onset_diagnostic_and_validity_boundary,ordinary_Nu; ordinary_f_D; component_K,no,no,no,regime_diagnostic_and_hybrid_model_evidence,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
recirc_feature:f6_pm5:salt2_hi5q:test_section_span,salt2_hi5q,test_section_span,pm5_f6_matched_plane,holdout,100.0030491,78.04208245,,0.3748113482,0.4999916556,present,missing,missing,partial,missing,recirculation_diagnostic,hybrid_onset_diagnostic_and_validity_boundary,ordinary_Nu; ordinary_f_D; component_K,no,no,no,regime_diagnostic_and_hybrid_model_evidence,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
recirc_feature:f6_pm5:salt2_hi5q:left_upper_leg,salt2_hi5q,left_upper_leg,pm5_f6_matched_plane,holdout,98.26301912,108.7458056,,0.785845516,0.5000672828,present,missing,missing,partial,missing,recirculation_diagnostic,hybrid_onset_diagnostic_and_validity_boundary,ordinary_Nu; ordinary_f_D; component_K,no,no,no,regime_diagnostic_and_hybrid_model_evidence,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
recirc_feature:f6_pm5:salt4_lo5q:left_lower_leg,salt4_lo5q,left_lower_leg,pm5_f6_matched_plane,training,148.9247963,16.86404752,,0.5466041262,0.5000026995,present,missing,missing,partial,missing,recirculation_diagnostic,hybrid_onset_diagnostic_and_validity_boundary,ordinary_Nu; ordinary_f_D; component_K,no,no,no,regime_diagnostic_and_hybrid_model_evidence,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
recirc_feature:f6_pm5:salt4_lo5q:test_section_span,salt4_lo5q,test_section_span,pm5_f6_matched_plane,training,160.035202,29.72248589,,0.3764033442,0.4999969289,present,missing,missing,partial,missing,recirculation_diagnostic,hybrid_onset_diagnostic_and_validity_boundary,ordinary_Nu; ordinary_f_D; component_K,no,no,no,regime_diagnostic_and_hybrid_model_evidence,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
recirc_feature:f6_pm5:salt4_lo5q:left_upper_leg,salt4_lo5q,left_upper_leg,pm5_f6_matched_plane,training,153.2865418,25.44596167,,0.7765350946,0.5000757768,present,missing,missing,partial,missing,recirculation_diagnostic,hybrid_onset_diagnostic_and_validity_boundary,ordinary_Nu; ordinary_f_D; component_K,no,no,no,regime_diagnostic_and_hybrid_model_evidence,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
recirc_feature:f6_pm5:salt4_hi5q:left_lower_leg,salt4_hi5q,left_lower_leg,pm5_f6_matched_plane,training,166.7382592,47.1734398,,0.5228637749,0.4999749795,present,missing,missing,partial,missing,recirculation_diagnostic,hybrid_onset_diagnostic_and_validity_boundary,ordinary_Nu; ordinary_f_D; component_K,no,no,no,regime_diagnostic_and_hybrid_model_evidence,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
recirc_feature:f6_pm5:salt4_hi5q:test_section_span,salt4_hi5q,test_section_span,pm5_f6_matched_plane,training,180.5527051,28.86760099,,0.3778960681,0.4999891842,present,missing,missing,partial,missing,recirculation_diagnostic,hybrid_onset_diagnostic_and_validity_boundary,ordinary_Nu; ordinary_f_D; component_K,no,no,no,regime_diagnostic_and_hybrid_model_evidence,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
recirc_feature:f6_pm5:salt4_hi5q:left_upper_leg,salt4_hi5q,left_upper_leg,pm5_f6_matched_plane,training,172.3447967,91.3338926,,0.7762644,0.5001364439,present,missing,missing,partial,missing,recirculation_diagnostic,hybrid_onset_diagnostic_and_validity_boundary,ordinary_Nu; ordinary_f_D; component_K,no,no,no,regime_diagnostic_and_hybrid_model_evidence,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
recirc_feature:mainline_onset:salt_2_jin,salt_2_jin,upcomer,mainline_onset,mainline_onset,71.12521667906103,2.6337849550000003,0.2777777777777778,,,present,missing,missing,partial,missing,recirculation_diagnostic,hybrid_onset_diagnostic_and_validity_boundary,ordinary_Nu; ordinary_f_D; component_K,no,no,no,regime_diagnostic_and_hybrid_model_evidence,work_products/2026-07/2026-07-14/2026-07-14_upcomer_onset_blocker_resolution/upcomer_onset_evidence_status.csv
recirc_feature:mainline_onset:salt_3_jin,salt_3_jin,upcomer,mainline_onset,mainline_onset,96.7702467137881,2.39573092,0.21875,,,present,missing,missing,partial,missing,recirculation_diagnostic,hybrid_onset_diagnostic_and_validity_boundary,ordinary_Nu; ordinary_f_D; component_K,no,no,no,regime_diagnostic_and_hybrid_model_evidence,work_products/2026-07/2026-07-14/2026-07-14_upcomer_onset_blocker_resolution/upcomer_onset_evidence_status.csv
recirc_feature:mainline_onset:salt_4_jin,salt_4_jin,upcomer,mainline_onset,mainline_onset,134.88326391686644,1.4979865399999999,0.171875,,,present,missing,missing,partial,missing,recirculation_diagnostic,hybrid_onset_diagnostic_and_validity_boundary,ordinary_Nu; ordinary_f_D; component_K,no,no,no,regime_diagnostic_and_hybrid_model_evidence,work_products/2026-07/2026-07-14/2026-07-14_upcomer_onset_blocker_resolution/upcomer_onset_evidence_status.csv
recirc_feature:hybrid_lane:salt2_lo5q:upcomer_inlet:left_lower_leg,salt2_lo5q,upcomer_inlet,hybrid_lane_policy,hybrid_lane_support,,,,0.6177451405,0.5000044571,partial,missing,missing,partial,missing,not_admissible_missing_same_window_fields,diagnostic_or_future_extraction_queue,ordinary_Nu; ordinary_f_D; component_K,no,no,no,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
recirc_feature:hybrid_lane:salt2_lo5q:upcomer_mid:test_section_span,salt2_lo5q,upcomer_mid,hybrid_lane_policy,hybrid_lane_support,,,,0.3692928784,0.5000060995,partial,missing,missing,partial,missing,not_admissible_missing_same_window_fields,diagnostic_or_future_extraction_queue,ordinary_Nu; ordinary_f_D; component_K,no,no,no,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
recirc_feature:hybrid_lane:salt2_lo5q:upcomer_outlet:left_upper_leg,salt2_lo5q,upcomer_outlet,hybrid_lane_policy,hybrid_lane_support,,,,0.7901396438,0.5000621677,partial,missing,missing,partial,missing,not_admissible_missing_same_window_fields,diagnostic_or_future_extraction_queue,ordinary_Nu; ordinary_f_D; component_K,no,no,no,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
recirc_feature:hybrid_lane:salt2_hi5q:upcomer_inlet:left_lower_leg,salt2_hi5q,upcomer_inlet,hybrid_lane_policy,hybrid_lane_support,,,,0.6096763649,0.4999936722,partial,missing,missing,partial,missing,not_admissible_missing_same_window_fields,diagnostic_or_future_extraction_queue,ordinary_Nu; ordinary_f_D; component_K,no,no,no,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
recirc_feature:hybrid_lane:salt2_hi5q:upcomer_mid:test_section_span,salt2_hi5q,upcomer_mid,hybrid_lane_policy,hybrid_lane_support,,,,0.3748113482,0.4999916556,partial,missing,missing,partial,missing,not_admissible_missing_same_window_fields,diagnostic_or_future_extraction_queue,ordinary_Nu; ordinary_f_D; component_K,no,no,no,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
recirc_feature:hybrid_lane:salt2_hi5q:upcomer_outlet:left_upper_leg,salt2_hi5q,upcomer_outlet,hybrid_lane_policy,hybrid_lane_support,,,,0.785845516,0.5000672828,partial,missing,missing,partial,missing,not_admissible_missing_same_window_fields,diagnostic_or_future_extraction_queue,ordinary_Nu; ordinary_f_D; component_K,no,no,no,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
recirc_feature:hybrid_lane:salt4_lo5q:upcomer_inlet:left_lower_leg,salt4_lo5q,upcomer_inlet,hybrid_lane_policy,hybrid_lane_support,,,,0.5466041262,0.5000026995,partial,missing,missing,partial,missing,not_admissible_missing_same_window_fields,diagnostic_or_future_extraction_queue,ordinary_Nu; ordinary_f_D; component_K,no,no,no,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
recirc_feature:hybrid_lane:salt4_lo5q:upcomer_mid:test_section_span,salt4_lo5q,upcomer_mid,hybrid_lane_policy,hybrid_lane_support,,,,0.3764033442,0.4999969289,partial,missing,missing,partial,missing,not_admissible_missing_same_window_fields,diagnostic_or_future_extraction_queue,ordinary_Nu; ordinary_f_D; component_K,no,no,no,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
recirc_feature:hybrid_lane:salt4_lo5q:upcomer_outlet:left_upper_leg,salt4_lo5q,upcomer_outlet,hybrid_lane_policy,hybrid_lane_support,,,,0.7765350946,0.5000757768,partial,missing,missing,partial,missing,not_admissible_missing_same_window_fields,diagnostic_or_future_extraction_queue,ordinary_Nu; ordinary_f_D; component_K,no,no,no,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
