task_id,row_index,role,owner,board_status,status_file,status_file_exists,duplicate_active_id,has_active_like_status,scope_contains_scheduler,scope_contains_external_fluid,goal_summary,cleanup_recommendation
AGENT-363,20,cfd-pp / therm-reconstr / Implementer / Tester / Writer,codex,COMPLETE WITH EXTERNAL JOB PENDING 2026-07-14T17:33:00-05:00,.agent/status/2026-07-14_AGENT-363.md,true,false,true,true,true,"Built patch-complete Salt1 terminal BC role table from actual terminal case dictionaries, resolved Salt1 hi10q evidence conflict as training-admissible perturbed-Q, and checked +/-5Q matched pressure/upcomer job `3295901`; job remains pendi",Leave active; avoid overlapping scope.
AGENT-362,21,Forward-pred / Scientific-closure / Implementer / Tester / Writer,codex,COMPLETE 2026-07-14T17:30:00-05:00,.agent/status/2026-07-14_AGENT-362.md,true,false,false,true,true,"Integrated completed +/-5Q corrected-Q admission/split evidence and hydraulic tap-length refresh into a forward-v1 delta package. Result: 4 terminal-harvested +/-5Q rows, 0 independent training expansion rows, 12 resolved hydraulic tap-leng",Move completed row out of Active during next board cleanup.
AGENT-361,22,Hydraulics / Fluid API / Implementer / Tester / Writer,codex,COMPLETE 2026-07-14T17:48:00-05:00,.agent/status/2026-07-14_AGENT-361.md,true,false,false,true,true,"Implemented HYD-RESET-API: added backward-compatible Fluid `reset_development_k_by_segment` input on `MinorLosses`, parser support in minor-loss presets, separate reset/development K pressure charge in `distributed_and_minor_losses`, and fo",Move completed row out of Active during next board cleanup.
AGENT-360,23,Forward-pred / BC-modeling / Implementer / Tester / Writer,codex,COMPLETE 2026-07-14T17:39:07-0500,.agent/status/2026-07-14_AGENT-360.md,true,false,false,true,true,"Build a paper-ready Salt1-4 1D predictivity audit comparing mdot error against TP/TW probe temperature errors across full CFD heat-flux, heater/test/cooler, heater/cooler, cooling-leg, and heating-leg modes, with appendix copies of compact ",Move completed row out of Active during next board cleanup.
AGENT-359,24,BC-modeling / cfd-pp / Scientific writer / Implementer / Tester,codex,COMPLETE 2026-07-14T17:00:22-0500,.agent/status/2026-07-14_AGENT-359.md,true,false,false,true,true,"Hardened the flow-rate/temperature/boundary-condition response study for scientific-paper use: added reproducible correlation/regression analysis, paper-ready interpretation/conclusions, updated corrected-Q +/-5 evidence handling, explicit ",Move completed row out of Active during next board cleanup.
AGENT-358,25,Thermal parity / Forward-pred / Writer / Implementer / Tester,codex,COMPLETE 2026-07-14T17:35:00-05:00,.agent/status/2026-07-14_AGENT-358.md,true,false,false,true,true,"Hardened the best-predictive heat-loss discrepancy study for tomorrow's presentation and future thesis/1D-refinement reuse: added generated presentation brief, repeatability guide, thesis reuse index, clearer README/methodology, tests for f",Move completed row out of Active during next board cleanup.
AGENT-357,26,therm-reconstr / cfd-pp / Implementer / Tester / Writer,codex,SUBMITTED/PENDING 2026-07-14T16:45:00-05:00,.agent/status/2026-07-14_AGENT-357.md,true,false,true,true,true,"Resolved the stale +/-5Q matched pressure/upcomer blocker after harvest job `3295437`: explained Salt1 caveats/conflict, built a dedicated harvested-root case list/sbatch for Salt2/Salt4 +/-5Q matched-plane extraction, preflighted source ti",Leave active; avoid overlapping scope.
AGENT-356,27,Thermal parity / Forward-pred / Implementer / Tester / Writer,codex,COMPLETE 2026-07-14T17:10:00-05:00,.agent/status/2026-07-14_AGENT-356.md,true,false,false,true,true,"Compared current best predictive-style model (`solve_case` `F1_heater_only`, heater-only source with imposed cooler duty) against CFD heat loss by Salt case and physical leg: 15 leg discrepancy rows, 3 case summaries, and 5 model-change rec",Move completed row out of Active during next board cleanup.
AGENT-355,28,cfd-pp / Implementer / Tester / Writer,codex,COMPLETE 2026-07-14T16:31:00-05:00,.agent/status/2026-07-14_AGENT-355.md,true,false,false,true,true,"Built user-requested salt training promotion package: Salt1 admission readiness, Salt4 nominal training split override, Salt2 +/-5Q holdout and Salt4 +/-5Q training labels, trustworthy legacy Salt4/Salt3 `balq`/`hiins` mutation/BC/postproce",Move completed row out of Active during next board cleanup.
AGENT-354,29,cfd-pp / Writer / Implementer,codex-worker,COMPLETE 2026-07-14T16:09:19-05:00,.agent/status/2026-07-14_AGENT-354.md,true,false,false,true,true,"Built reproducible documentation package for `val_salt_test_2_coarse_mesh`: display-label migration plan preserving `val_salt_test_2_coarse_mesh_laminar` provenance, BC/property extraction, Salt2 Jin comparison, source manifest, summary, st",Move completed row out of Active during next board cleanup.
AGENT-353,30,cfd-pp / Forward-pred / Implementer / Tester / Writer,codex,COMPLETE 2026-07-14T15:45:13-05:00,.agent/status/2026-07-14_AGENT-353.md,true,false,false,true,true,"Processed completed corrected-Q +/-5Q harvest `3295437` into split-aware admission/use artifacts: terminal/admission matrix, heat/BC-role reduction from registry aggregates, and forward-v1 gate queue, while preserving current split discipli",Move completed row out of Active during next board cleanup.
AGENT-352,31,Writer / Synthesizer,codex,COMPLETE 2026-07-14T16:34:00-05:00,.agent/status/2026-07-14_AGENT-352.md,true,false,false,true,true,"Completed the existing LitRev summary with a current tried/demoted/untried model-form crosswalk, preserving author/title provenance and strict predictive/calibrated/diagnostic/reference/sensitivity/blocked/future-method evidence classes. ST",Move completed row out of Active during next board cleanup.
AGENT-351,32,BC-modeling / cfd-pp / Implementer / Tester / Writer,codex,COMPLETE 2026-07-14T15:48:47-0500,.agent/status/2026-07-14_AGENT-351.md,true,false,false,true,true,"Built the reproducible flow-rate vs temperature and boundary-condition response study: 60 case response rows, 18 patch-role BC rows, 16 response-summary rows, 7 SVG figures, 14 invalid false-steady perturbation rows, and 4 terminal-harveste",Move completed row out of Active during next board cleanup.
AGENT-350,33,Thermal parity / Implementer / Tester / Writer,codex,COMPLETE 2026-07-14T16:05:00-05:00,.agent/status/2026-07-14_AGENT-350.md,true,false,false,true,true,"Built reproducible diagnostic 3D-vs-1D heat-loss alignment package for Salt2-4 mainline rows: 21 assumption rows, 90 segment alignment rows, 63 role/lane rows, 18 case/path summaries, and thesis methodology notes. Result is diagnostic parit",Move completed row out of Active during next board cleanup.
AGENT-349,34,Hydraulics / Implementer / Tester / Writer,codex,COMPLETE 2026-07-14T15:36:00-05:00,.agent/status/2026-07-14_AGENT-349.md,true,false,false,true,true,Implemented HYD-TAP first slice: 12 preserved corner rows now use existing mesh-centerline endpoint lengths instead of dz proxy; 3 test-section connector rows remain blocked pending raw two-tap extraction; recomputed component/cluster K has,Move completed row out of Active during next board cleanup.
AGENT-348,35,Scientific-closure / Forward-pred / Implementer / Tester / Writer,codex,COMPLETE 2026-07-14T15:38:00-0500,.agent/status/2026-07-14_AGENT-348.md,true,false,false,true,true,"Implemented the first safe slice of the scientific-closure plus forward-v1 plan: built reproducible thesis/useful dashboard tables from landed artifacts, separated admitted/diagnostic/pending evidence, encoded next-gate dependencies for ter",Move completed row out of Active during next board cleanup.
AGENT-347,36,cfd-pp / Implementer / Tester / Writer,codex,COMPLETE 2026-07-14T15:34:00-05:00,.agent/status/2026-07-14_AGENT-347.md,true,false,false,true,true,"Built workflow automation/triage package for corrected postprocessing, BC labeling, admission, and split discipline; explained why named steady rows are not training-admitted, reviewed hiins/loins construction evidence, defined drift ratio,",Move completed row out of Active during next board cleanup.
AGENT-346,37,cfd-pp / Implementer / Tester / Writer,codex,COMPLETE 2026-07-14T14:31:00-05:00,.agent/status/2026-07-14_AGENT-346.md,true,false,false,true,true,Built compact lineage-collapsed table: 50 full rows to 47 compact rows; Salt1 nominal latest is `salt1_jin_nominal_continuation_corrected` with `salt1_jin` and `salt1_jin_basecont` superseded; changed-Q variants remain separate. STATUS: COM,Move completed row out of Active during next board cleanup.
AGENT-345,38,Coordinator / Implementer / Tester / Writer,codex,COMPLETE 2026-07-14T13:59:52-0500,.agent/status/2026-07-14_AGENT-345.md,true,false,false,true,true,"Integrated the internal-Nu blocker/progress plan into durable assumptions, methods, process, blocker/action, and admission-decision artifacts without changing the current zero-fit internal-Nu admission state. Wrote 10 assumptions, 6 blocker",Move completed row out of Active during next board cleanup.
AGENT-344,39,therm-reconstr / Implementer / Tester / Writer,codex,SUBMITTED/PENDING 2026-07-14T14:04:00-05:00,.agent/status/2026-07-14_AGENT-344.md,true,false,true,true,true,"Implemented the compute-node matched upcomer extraction workflow, generated method/readiness/admission scaffolds, validated tests/preflight, and submitted nominal Salt2/Salt3/Salt4 Slurm job `3295492`. First queue check: PENDING (Priority);",Leave active; avoid overlapping scope.
AGENT-343,40,cfd-pp / Implementer / Tester / Writer,codex,COMPLETE 2026-07-14T13:52:00-05:00,.agent/status/2026-07-14_AGENT-343.md,true,false,false,true,true,"Built consolidated submitted CFD solver run steady-state table: 50 rows, including continuations and corrected/perturbed-Q rows; 14 `steady`, 33 `needs continuation`, 3 `not run`; source manifest and README included. STATUS: COMPLETE 2026-0",Move completed row out of Active during next board cleanup.
AGENT-342,41,cfd-pp / Implementer / Tester / Writer,codex,COMPLETE 2026-07-14T13:41:00-05:00,.agent/status/2026-07-14_AGENT-342.md,true,false,false,true,true,"Submitted Salt2/Salt4 corrected-Q harvest jobs: `3295437` immediate for stopped +/-5Q rows, and `3295438` dependency-held on `afterany:3293924` for selected +/-10Q rows. Salt1 remains diagnostic pending Salt1-specific policy/gate and quasi-",Move completed row out of Active during next board cleanup.
AGENT-341,42,therm-reconstr / Implementer / Tester / Writer,codex,COMPLETE 2026-07-14T13:41:24-05:00,.agent/status/2026-07-14_AGENT-341.md,true,false,false,true,true,"Delivered matched upcomer inlet/mid/outlet extraction package, diagnostic existing-postprocessing parser, OpenFOAM compute-node target table/sbatch plan, mesh-family repeat plan, and focused tests. Existing rows are diagnostic-only; admissi",Move completed row out of Active during next board cleanup.
AGENT-340,43,cfd-pp / Implementer / Tester / Writer,codex,COMPLETE 2026-07-14T12:42:35-05:00,.agent/status/2026-07-14_AGENT-340.md,true,false,false,true,true,Extended the salt CFD inventory with upcomer onset candidates and actions: existing mined diagnostics span Re_upcomer 71.125-134.883 and all remain recirculating; Salt4 high-Q corrected rows are pending/running transition candidates; Re 150,Move completed row out of Active during next board cleanup.
AGENT-339,44,Implementer / Tester / Writer,codex,COMPLETE 2026-07-14T12:38:00-0500,.agent/status/2026-07-14_AGENT-339.md,true,false,false,true,true,"Implemented the therm-reconstr executable extraction/admission contract for upcomer internal-Nu: exact matched-plane fields, formulas, acceptance criteria, classification rules, naming policy, and reopen evidence for internal-Nu fitting wit",Move completed row out of Active during next board cleanup.
AGENT-338,45,Hydraulics / Implementer / Tester / Writer,codex,COMPLETE 2026-07-14T12:37:00-05:00,.agent/status/2026-07-14_AGENT-338.md,true,false,false,true,true,"Produced reset/development contract, component/cluster K admission table, tap-length gap table, and F6 readiness handoff from existing evidence. Result: H1 faithful path requires first-class reset/development API plus admitted component/clu",Move completed row out of Active during next board cleanup.
AGENT-337,46,Forward-pred / Implementer / Tester / Writer,codex,COMPLETE 2026-07-14T12:35:00-0500,.agent/status/2026-07-14_AGENT-337.md,true,false,false,true,true,"Updated the forward-v1 gate after upcomer recirculation/internal-Nu admissibility: fitted internal-Nu consumption is rejected, `Nu_section_effective_upcomer_diagnostic` is diagnostic/validation-only, cfd-pp onset candidates plus therm-recon",Move completed row out of Active during next board cleanup.
AGENT-336,47,BC-modeling / Implementer / Tester / Writer,codex,COMPLETE 2026-07-14T12:31:51-05:00,.agent/status/2026-07-14_AGENT-336.md,true,false,false,true,true,"Converted internal-Nu’s zero-fit and upcomer-recirculation decisions into boundary-model residual ownership guardrails, listing which heat residuals belong to heater, cooler/HX, wall/external convection, radiation metadata, storage, or bran",Move completed row out of Active during next board cleanup.
AGENT-335,48,Thesis / Presentation / Documentation,codex,COMPLETE 2026-07-14T12:29:00-05:00,.agent/status/2026-07-14_AGENT-335.md,true,false,false,true,true,"Updated the thesis/presentation story after internal-Nu’s upcomer recirculation result: current Salt2-4 upcomer evidence is recirculating, single-stream Nu/f_D/K labels are invalid there, this is a scientific admission rule rather than just",Move completed row out of Active during next board cleanup.
AGENT-334,49,cfd-pp / Implementer / Tester / Writer,codex,COMPLETE 2026-07-14T12:34:24-05:00,.agent/status/2026-07-14_AGENT-334.md,true,false,false,true,true,"Built the authoritative salt-only CFD run-status, steady-state, BC-role, admission, and split-candidate inventory: 25 salt candidate rows, 14 corrected-Q rows, 52 BC-role rows, 6 action groups, 12 excluded/diagnostic rows, and 0 corrected-Q",Move completed row out of Active during next board cleanup.
AGENT-333,50,Hydraulics / Implementer / Tester / Writer,codex,COMPLETE 2026-07-14T12:20:00-0500,.agent/status/2026-07-14_AGENT-333.md,true,false,false,true,true,"Retired current H1 forms as proxy-only after localized fixed-K-only scoring failed and reset/redevelopment remains missing; selected `F6_phi_re` as the next bounded hydraulic candidate after admitted Re-variation evidence, with pressure-los",Move completed row out of Active during next board cleanup.
AGENT-332,51,Implementer / Tester / Writer,codex,COMPLETE 2026-07-14T12:10:46-05:00,.agent/status/2026-07-14_AGENT-332.md,true,false,false,true,true,"Executed the repo-local `BCM-HEATER-FRACTION-V1` split screen from existing heater-contract evidence: fit at most one source scalar on Salt2, scored Salt3 validation and Salt4 holdout without Fluid rerun, CFD mdot, realized CFD wallHeatFlux",Move completed row out of Active during next board cleanup.
AGENT-331,52,Implementer / Tester / Writer,codex,COMPLETE 2026-07-14T12:10:00-05:00,.agent/status/2026-07-14_AGENT-331.md,true,false,false,true,true,"Built the cfd-pp admission inventory: 20 case rows, 38 boundary-role rows, and 20 split-candidate rows. Current admitted split remains Salt2 train / Salt3 validation / Salt4 holdout; Salt1 is diagnostic/context-only; corrected Salt-Q has ze",Move completed row out of Active during next board cleanup.
AGENT-330,53,Implementer / Tester / Writer,codex,COMPLETE 2026-07-14T12:20:00-05:00,.agent/status/2026-07-14_AGENT-330.md,true,false,false,true,true,"Built the upcomer recirculation onset/admissibility package requested by internal-Nu: produced onset-conditions and coefficient-naming-rule CSVs, identified observed correlations and missing metrics, and decided `0` internal Nu rows are fit",Move completed row out of Active during next board cleanup.
AGENT-329,54,Thesis / Presentation / Documentation,codex,COMPLETE 2026-07-14T12:18:00-05:00,.agent/status/2026-07-14_AGENT-329.md,true,false,false,true,true,"Synchronized the human-facing thesis/presentation story after landed cfd/thermal/hydraulic/predictive/boundary outputs, keeping stale blockers out and preserving strict predictive/calibrated/diagnostic/blocked wording. STATUS: COMPLETE 2026",Move completed row out of Active during next board cleanup.
AGENT-328,55,Implementer / Tester / Writer,codex,COMPLETE 2026-07-14T12:12:00-05:00,.agent/status/2026-07-14_AGENT-328.md,true,false,false,true,true,"Scored Salt2 train / Salt3 validation / Salt4 holdout through the existing Fluid localized fixed-K hook without thermal fitting, CFD-mdot runtime input, realized CFD wallHeatFlux runtime input, or validation-temperature runtime input. Resul",Move completed row out of Active during next board cleanup.
AGENT-327,56,Coordinator / Writer,codex,COMPLETE 2026-07-14T12:04:00-05:00,.agent/status/2026-07-14_AGENT-327.md,true,false,false,true,true,"Converted boundary/HX/wall-layer decisions into setup-only predictive model task matrix rows, separated heater fraction, cooler/HX, wall/external convection, and radiation semantics, identified repo-local versus Fluid API work, and recommen",Move completed row out of Active during next board cleanup.
AGENT-325,57,Implementer / Tester / Writer,codex,COMPLETE 2026-07-14T11:49:00-05:00,.agent/status/2026-07-14_AGENT-325.md,true,false,false,true,true,"Implemented the daily + gate-triggered table update cadence contract from the execution plan: generated update matrices, result-watchlist hooks, rigor checks, and closeout instructions so gate-moving packages update blocker/admission/scorec",Move completed row out of Active during next board cleanup.
AGENT-324,58,Implementer / Tester / Writer,codex,COMPLETE 2026-07-14T11:47:10-05:00,.agent/status/2026-07-14_AGENT-324.md,true,false,false,true,true,"Implemented the upcomer-onset blocker-resolution packet. The `upcomer-onset-data-sparsity` blocker remains open: 3 admitted points are all recirculation-cell observed, there is no non-recirculating anchor, and proposed midpoint Re routes re",Move completed row out of Active during next board cleanup.
AGENT-323,59,Coordinator / Implementer / Tester / Writer,codex,COMPLETE 2026-07-14T12:00:00-05:00,.agent/status/2026-07-14_AGENT-323.md,true,false,false,true,true,"Built and documented a rigorous three-area blocker-resolution plan covering thermal admission/mesh-GCI/internal-Nu, forward predictive boundary/HX submodels, and hydraulic/API/friction/onset blockers; kept smoke evidence diagnostic, exclude",Move completed row out of Active during next board cleanup.
AGENT-322,60,Implementer / Tester / Writer,codex,COMPLETE 2026-07-14T11:42:00-05:00,.agent/status/2026-07-14_AGENT-322.md,true,false,false,true,true,"Implemented the cross-cutting math/theory/assumptions/results register requested by the plan: documented governing equations, assumptions, overclaim boundaries, result intake fields, and current evidence hooks so gate-moving agents can cite",Move completed row out of Active during next board cleanup.
AGENT-318,61,Implementer / Tester / Writer,codex,COMPLETE 2026-07-14T11:57:00-05:00,.agent/status/2026-07-14_AGENT-318.md,true,false,false,true,true,"Completed F6 hydraulic screen plus the narrow Fluid external-boundary/localized-loss API bridge. `F6_phi_re` remains screen-only/open; H1 remains sufficient for forward-v1 diagnostic scoring only; no global friction multiplier was exported,",Move completed row out of Active during next board cleanup.
AGENT-317,62,Coordinator / Integrator / Writer,codex,COMPLETE 2026-07-14T11:45:00-05:00,.agent/status/2026-07-14_AGENT-317.md,true,false,false,true,true,"Coordinated AGENT-326 and AGENT-319..321 and integrated the current final forward-v1 gate. Decision is `blocked_no_go_final_forward_v1_not_admitted`; next gates are calibrated localized H1/reset rerun, first-class boundary/HX/wall setup inp",Move completed row out of Active during next board cleanup.
AGENT-326,63,Implementer / Tester / Writer,codex,COMPLETE 2026-07-14T11:45:00-05:00,.agent/status/2026-07-14_AGENT-326.md,true,false,false,true,true,Added a backward-compatible localized fixed-K hook for parent/segment named losses in Fluid and tested the no-op/default plus direct/parent-key behavior. Faithful reset/redevelopment and first-class boundary dictionaries remain gate blocker,Move completed row out of Active during next board cleanup.
AGENT-319,64,Implementer / Tester / Writer,codex,COMPLETE 2026-07-14T11:45:00-05:00,.agent/status/2026-07-14_AGENT-319.md,true,false,false,true,true,"Produced the final thermal admission/internal-Nu table: 16 rows, 0 fit-eligible, 11 validation-only, 5 blocked; forward-v1 cannot fit internal Nu from these rows. STATUS: COMPLETE 2026-07-14T11:45:00-05:00.",Move completed row out of Active during next board cleanup.
AGENT-320,65,Coordinator / Writer,codex,COMPLETE 2026-07-14T11:47:34-05:00,.agent/status/2026-07-14_AGENT-320.md,true,false,false,true,true,Re-checked corrected Salt-Q job `3293924`: top-level and all four `foamRun` steps remain `RUNNING`; all four rows are `blocked_pending_terminal_gate` and none are admitted. STATUS: COMPLETE 2026-07-14T11:47:34-05:00.,Move completed row out of Active during next board cleanup.
AGENT-321,66,Implementer / Tester / Writer,codex,COMPLETE 2026-07-14T11:45:00-05:00,.agent/status/2026-07-14_AGENT-321.md,true,false,false,true,true,"Built the final forward-v1 gate scorecard; decision is `blocked_no_go_final_forward_v1_not_admitted` because localized H1/reset is not final, thermal Nu has zero fit rows, corrected-Q has zero admitted rows, and boundary/HX/wall/radiation s",Move completed row out of Active during next board cleanup.
AGENT-316,67,Coordinator / Writer,codex,COMPLETE 2026-07-14,.agent/status/2026-07-14_AGENT-316.md,true,false,false,true,true,"Document the project mission, core scientific questions, finish-line criteria, blocker-driving coordination rules, and current agent-lane responsibilities so the coordinator can prompt `cfd-pp`, `therm-reconstr`, `internal-Nu`, `hydraulics`",Move completed row out of Active during next board cleanup.
AGENT-313,68,Coordinator / Writer,codex,COMPLETE 2026-07-14T11:16:09-05:00,.agent/status/2026-07-14_AGENT-313.md,true,false,false,true,true,"Monitored corrected Salt-Q job `3293924`: top-level and all four `foamRun` steps still `RUNNING` after ~18 h, all four current solver-log tails advancing, no row admitted downstream because terminal operating-point gate evidence is still pe",Move completed row out of Active during next board cleanup.
AGENT-314,69,Coordinator / Writer,codex,COMPLETE 2026-07-14T11:18:30-05:00,.agent/status/2026-07-14_AGENT-314.md,true,false,false,true,true,"Produced a compact downstream decision table for boundary/HX/wall-layer/radiation model forms, separating property-lane decisions from friction/thermal fitting and marking sources as admitted, sensitivity-only, reference-only, or rejected u",Move completed row out of Active during next board cleanup.
