source_id,case_id,case_family,source_owner,source_root,runtime_root,postprocessing_root,postprocessing_exists,parsed_tidy_rows,profile_time_dirs_seen,profile_files_seen,profile_mode,terminal_rows_per_file,profile_time_dirs_parsed,missing_function_objects,native_solver_output_mutated,registry_or_admission_mutated
salt1_jin_hi10q_corrected,salt_test_1_jin_corrected_q_hi10q,salt1,corrected_salt_q_sensitivity,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/postProcessing,true,64976,1833,10998,latest,500,1,,false,false
salt2_jin_lo10q_corrected,salt_test_2_jin_corrected_q_lo10q,salt2,corrected_salt_q_sensitivity,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing,true,122300,4981,29886,latest,500,1,,false,false
salt2_jin_lo5q_corrected,salt_test_2_jin_corrected_q_lo5q,salt2,corrected_salt_q_sensitivity,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing,true,42300,2361,14166,latest,500,1,,false,false
salt2_jin_hi5q_corrected,salt_test_2_jin_corrected_q_hi5q,salt2,corrected_salt_q_sensitivity,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing,true,42300,1866,11196,latest,500,1,,false,false
salt2_jin_hi10q_corrected,salt_test_2_jin_corrected_q_hi10q,salt2,corrected_salt_q_sensitivity,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing,true,117827,4191,25146,latest,500,1,,false,false
salt3_jin_lo10q_corrected,salt_test_3_jin_corrected_q_lo10q,salt3,corrected_salt_q_sensitivity,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/postProcessing,true,42300,1811,10866,latest,500,1,,false,false
salt3_jin_lo5q_corrected,salt_test_3_jin_corrected_q_lo5q,salt3,corrected_salt_q_sensitivity,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/postProcessing,true,42300,1772,10632,latest,500,1,,false,false
salt3_jin_hi5q_corrected,salt_test_3_jin_corrected_q_hi5q,salt3,corrected_salt_q_sensitivity,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/postProcessing,true,7883,22,132,latest,500,1,,false,false
salt3_jin_hi10q_corrected,salt_test_3_jin_corrected_q_hi10q,salt3,corrected_salt_q_sensitivity,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/postProcessing,true,7739,20,120,latest,500,1,,false,false
salt4_jin_lo10q_corrected,salt_test_4_jin_corrected_q_lo10q,salt4,corrected_salt_q_sensitivity,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/postProcessing,true,121333,3823,22938,latest,500,1,,false,false
salt4_jin_lo5q_corrected,salt_test_4_jin_corrected_q_lo5q,salt4,corrected_salt_q_sensitivity,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/postProcessing,true,48291,1696,10176,latest,500,1,,false,false
salt4_jin_hi5q_corrected,salt_test_4_jin_corrected_q_hi5q,salt4,corrected_salt_q_sensitivity,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/postProcessing,true,47249,1400,8400,latest,500,1,,false,false
salt4_jin_hi10q_corrected,salt_test_4_jin_corrected_q_hi10q,salt4,corrected_salt_q_sensitivity,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/postProcessing,true,155798,4365,26190,latest,500,1,,false,false
