run_key,fluid_family,variant,submitted_job_names,submitted_job_ids,steady_detection_run,last_time_or_window_start_s,last_time_or_window_end_s,mdot_verdict,heat_verdict,notes,steady_or_needs_continuation,steady_state_detection_status,recommended_action,admission_overlay,needs_continuation_reason,latest_scheduler_state_observed,run_root,submission_evidence_path,steady_evidence_path
kirst_continuation_candidate,salt1,other,,,yes,3139,3438.28,steady,quasi-steady (bounded drift/oscillation),Historical/diagnostic row; use only if a future task reopens its evidence contract.,steady,steady_with_quasi_series,do_not_prioritize_continuation,not_assessed,,,,,work_products/2026-07/2026-07-09/2026-07-09_cfd_steady_state_continuation_table/all_timeseries_case_rollup.csv
salt4_jin_hiq_hiins_job3246562_failed_missing_system_controlDict,salt4,legacy_perturbation,,,yes,5476,5776,steady,not_available,Historical/diagnostic row; use only if a future task reopens its evidence contract.,steady,all_representative_series_steady,do_not_prioritize_continuation,not_assessed,,,,,work_products/2026-07/2026-07-09/2026-07-09_cfd_steady_state_continuation_table/all_timeseries_case_rollup.csv
2026-06-01_continuation_candidate,salt2,other,,,yes,8302,8602,steady,not steady (drifting),Historical/diagnostic row; use only if a future task reopens its evidence contract.,needs continuation,hydraulic_stationary_heat_drifting,do_not_prioritize_continuation,not_assessed,last-window detector found drifting series,,,,work_products/2026-07/2026-07-09/2026-07-09_cfd_steady_state_continuation_table/all_timeseries_case_rollup.csv
salt2_jin,salt2,nominal_or_continuation,,,yes,7615,7915,steady,not steady (drifting),"Mdot and temperature series are steady, but total_Q is drifting; hydraulic closure can use current admitted row, thermal closure should carry caveat or refresh latest-window contract.",needs continuation,hydraulic_stationary_heat_drifting,admitted_with_thermal_drift_caveat_do_not_continue_for_hydraulics_only,current_mainline_nominal_evidence,last-window detector found drifting series,,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,,work_products/2026-07/2026-07-09/2026-07-09_cfd_steady_state_continuation_table/all_timeseries_case_rollup.csv
salt2_jin_hi5q_balq,salt2,legacy_perturbation,ethan_s2mid_nq9d_s1;ethan_s2mid_nq9d_s2;ethan_s2mid_nq9d_s3;ethan_s2mid_nq9d_s4;ethan_s2mid_nq9d_s5,3259080;3259081;3259082;3259083;3259084,yes,5999,6299,steady,not steady (drifting),Historical/diagnostic row; use only if a future task reopens its evidence contract.,needs continuation,hydraulic_stationary_heat_drifting,do_not_prioritize_continuation,not_assessed,last-window detector found drifting series,,,jadyn_runs/modern_runs/2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave/submitted_jobs.csv,work_products/2026-07/2026-07-09/2026-07-09_cfd_steady_state_continuation_table/all_timeseries_case_rollup.csv
salt2_jin_hi5q_corrected,salt2,hi5q,corr_saltq_g2,3275449,yes,9480,9780,steady,not steady (drifting),Do not resubmit in wave 1; revisit only if midpoint support is needed.,needs continuation,hydraulic_stationary_heat_drifting,defer_midpoint,not_admitted_too_short,last-window detector found drifting series,,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/submitted_jobs.csv,work_products/2026-07/2026-07-09/2026-07-09_cfd_steady_state_continuation_table/all_timeseries_case_rollup.csv
salt2_jin_hiins_loH,salt2,other,,,yes,8093,8393,steady,not steady (drifting),Historical/diagnostic row; use only if a future task reopens its evidence contract.,needs continuation,hydraulic_stationary_heat_drifting,do_not_prioritize_continuation,not_assessed,last-window detector found drifting series,,,,work_products/2026-07/2026-07-09/2026-07-09_cfd_steady_state_continuation_table/all_timeseries_case_rollup.csv
salt2_jin_hiq_balq,salt2,legacy_perturbation,ethan_s23hi_nq9d_s1;ethan_s23hi_nq9d_s2;ethan_s23hi_nq9d_s3;ethan_s23hi_nq9d_s4;ethan_s23hi_nq9d_s5,3259070;3259071;3259072;3259073;3259074,yes,2132,2432,steady,not steady (drifting),Historical/diagnostic row; use only if a future task reopens its evidence contract.,needs continuation,hydraulic_stationary_heat_drifting,do_not_prioritize_continuation,not_assessed,last-window detector found drifting series,,,jadyn_runs/modern_runs/2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave/submitted_jobs.csv,work_products/2026-07/2026-07-09/2026-07-09_cfd_steady_state_continuation_table/all_timeseries_case_rollup.csv
salt2_jin_hiq_hiins,salt2,legacy_perturbation,,,yes,9159,9459,steady,not steady (drifting),Historical/diagnostic row; use only if a future task reopens its evidence contract.,needs continuation,hydraulic_stationary_heat_drifting,do_not_prioritize_continuation,not_assessed,last-window detector found drifting series,,,,work_products/2026-07/2026-07-09/2026-07-09_cfd_steady_state_continuation_table/all_timeseries_case_rollup.csv
salt2_jin_lo5q_balq,salt2,legacy_perturbation,ethan_s2mid_nq9d_s1;ethan_s2mid_nq9d_s2;ethan_s2mid_nq9d_s3;ethan_s2mid_nq9d_s4;ethan_s2mid_nq9d_s5,3259080;3259081;3259082;3259083;3259084,yes,6009,6309,steady,not steady (drifting),Historical/diagnostic row; use only if a future task reopens its evidence contract.,needs continuation,hydraulic_stationary_heat_drifting,do_not_prioritize_continuation,not_assessed,last-window detector found drifting series,,,jadyn_runs/modern_runs/2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave/submitted_jobs.csv,work_products/2026-07/2026-07-09/2026-07-09_cfd_steady_state_continuation_table/all_timeseries_case_rollup.csv
salt2_jin_lo5q_corrected,salt2,lo5q,corr_saltq_g1,3275448,yes,9975,10275,steady,not steady (drifting),Do not resubmit in wave 1; revisit only if midpoint support is needed.,needs continuation,hydraulic_stationary_heat_drifting,defer_midpoint,not_admitted_too_short,last-window detector found drifting series,,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/submitted_jobs.csv,work_products/2026-07/2026-07-09/2026-07-09_cfd_steady_state_continuation_table/all_timeseries_case_rollup.csv
salt2_jin_loins_hiH,salt2,other,,,yes,8090,8390,steady,not steady (drifting),Historical/diagnostic row; use only if a future task reopens its evidence contract.,needs continuation,hydraulic_stationary_heat_drifting,do_not_prioritize_continuation,not_assessed,last-window detector found drifting series,,,,work_products/2026-07/2026-07-09/2026-07-09_cfd_steady_state_continuation_table/all_timeseries_case_rollup.csv
salt2_jin_loq_loins,salt2,legacy_perturbation,,,yes,7408,7708,steady,not steady (drifting),Historical/diagnostic row; use only if a future task reopens its evidence contract.,needs continuation,hydraulic_stationary_heat_drifting,do_not_prioritize_continuation,not_assessed,last-window detector found drifting series,,,,work_products/2026-07/2026-07-09/2026-07-09_cfd_steady_state_continuation_table/all_timeseries_case_rollup.csv
salt2_jin_optins,salt2,other,,,yes,2132,2432,steady,not steady (drifting),Historical/diagnostic row; use only if a future task reopens its evidence contract.,needs continuation,hydraulic_stationary_heat_drifting,do_not_prioritize_continuation,not_assessed,last-window detector found drifting series,,,,work_products/2026-07/2026-07-09/2026-07-09_cfd_steady_state_continuation_table/all_timeseries_case_rollup.csv
salt3_jin,salt3,nominal_or_continuation,,,yes,7318,7618,steady,not steady (drifting),"Mdot and temperature series are steady, but total_Q is drifting; hydraulic closure can use current admitted row, thermal closure should carry caveat or refresh latest-window contract.",needs continuation,hydraulic_stationary_heat_drifting,admitted_with_thermal_drift_caveat_do_not_continue_for_hydraulics_only,current_mainline_nominal_evidence,last-window detector found drifting series,,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,,work_products/2026-07/2026-07-09/2026-07-09_cfd_steady_state_continuation_table/all_timeseries_case_rollup.csv
salt3_jin_hi10q_corrected,salt3,hi10q,corr_saltq_g3,3275450,yes,7618,7637,not steady (drifting),not steady (drifting),Investigate cancelled high-Q attempt for BC/log/launcher issues; rerun or rebuild from corrected restart only after cause is documented.,needs continuation,mdot_drifting_not_steady,investigate_before_resubmit,not_admitted_too_short,last-window detector found drifting series,,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/submitted_jobs.csv,work_products/2026-07/2026-07-09/2026-07-09_cfd_steady_state_continuation_table/all_timeseries_case_rollup.csv
salt3_jin_hi5q_balq,salt3,legacy_perturbation,ethan_s3mid_nq9d_s1;ethan_s3mid_nq9d_s2;ethan_s3mid_nq9d_s3;ethan_s3mid_nq9d_s4;ethan_s3mid_nq9d_s5,3259085;3259086;3259087;3259088;3259089,yes,4490,4790,steady,not steady (drifting),Historical/diagnostic row; use only if a future task reopens its evidence contract.,needs continuation,hydraulic_stationary_heat_drifting,do_not_prioritize_continuation,not_assessed,last-window detector found drifting series,,,jadyn_runs/modern_runs/2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave/submitted_jobs.csv,work_products/2026-07/2026-07-09/2026-07-09_cfd_steady_state_continuation_table/all_timeseries_case_rollup.csv
salt3_jin_hi5q_corrected,salt3,hi5q,corr_saltq_g3,3275450,yes,7618,7639,not steady (drifting),not steady (drifting),Investigate cancelled high-Q attempt for BC/log/launcher issues; rerun or rebuild from corrected restart only after cause is documented.,needs continuation,mdot_drifting_not_steady,investigate_before_resubmit,not_admitted_too_short,last-window detector found drifting series,,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/submitted_jobs.csv,work_products/2026-07/2026-07-09/2026-07-09_cfd_steady_state_continuation_table/all_timeseries_case_rollup.csv
salt3_jin_hiq_hiins,salt3,legacy_perturbation,,,yes,6927,7227,steady,not steady (drifting),Historical/diagnostic row; use only if a future task reopens its evidence contract.,needs continuation,hydraulic_stationary_heat_drifting,do_not_prioritize_continuation,not_assessed,last-window detector found drifting series,,,,work_products/2026-07/2026-07-09/2026-07-09_cfd_steady_state_continuation_table/all_timeseries_case_rollup.csv
salt3_jin_lo10q_corrected,salt3,lo10q,corr_saltq_g2,3275449,yes,9128,9428,steady,not steady (drifting),Defer until Salt3 high-Q side is repaired or an asymmetric-support plan is explicitly approved.,needs continuation,hydraulic_stationary_heat_drifting,defer_asymmetric_support,not_admitted_too_short,last-window detector found drifting series,,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/submitted_jobs.csv,work_products/2026-07/2026-07-09/2026-07-09_cfd_steady_state_continuation_table/all_timeseries_case_rollup.csv
salt3_jin_lo5q_balq,salt3,legacy_perturbation,ethan_s3mid_nq9d_s1;ethan_s3mid_nq9d_s2;ethan_s3mid_nq9d_s3;ethan_s3mid_nq9d_s4;ethan_s3mid_nq9d_s5,3259085;3259086;3259087;3259088;3259089,yes,4725,5025,steady,not steady (drifting),Historical/diagnostic row; use only if a future task reopens its evidence contract.,needs continuation,hydraulic_stationary_heat_drifting,do_not_prioritize_continuation,not_assessed,last-window detector found drifting series,,,jadyn_runs/modern_runs/2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave/submitted_jobs.csv,work_products/2026-07/2026-07-09/2026-07-09_cfd_steady_state_continuation_table/all_timeseries_case_rollup.csv
salt3_jin_lo5q_corrected,salt3,lo5q,corr_saltq_g2,3275449,yes,9089,9389,steady,not steady (drifting),Defer behind Salt2 wave and any Salt4 bracket; do not use alone for balanced response fitting.,needs continuation,hydraulic_stationary_heat_drifting,defer_asymmetric_support,not_admitted_too_short,last-window detector found drifting series,,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/submitted_jobs.csv,work_products/2026-07/2026-07-09/2026-07-09_cfd_steady_state_continuation_table/all_timeseries_case_rollup.csv
salt3_jin_loq_loins,salt3,legacy_perturbation,,,yes,5301,5601,steady,not steady (drifting),Historical/diagnostic row; use only if a future task reopens its evidence contract.,needs continuation,hydraulic_stationary_heat_drifting,do_not_prioritize_continuation,not_assessed,last-window detector found drifting series,,,,work_products/2026-07/2026-07-09/2026-07-09_cfd_steady_state_continuation_table/all_timeseries_case_rollup.csv
salt3_jin_optins,salt3,other,,,yes,2215,2515,steady,not steady (drifting),Historical/diagnostic row; use only if a future task reopens its evidence contract.,needs continuation,hydraulic_stationary_heat_drifting,do_not_prioritize_continuation,not_assessed,last-window detector found drifting series,,,,work_products/2026-07/2026-07-09/2026-07-09_cfd_steady_state_continuation_table/all_timeseries_case_rollup.csv
salt4_jin_hi5q_corrected,salt4,hi5q,corr_saltq_g4;corr_saltq_g4_delayed;corr_saltq_salt4_all,3275451;3275558;3275560,yes,11099,11399,steady,not steady (drifting),Defer until a Salt4 +/-10Q bracket is justified and midpoint support is needed.,needs continuation,hydraulic_stationary_heat_drifting,defer_midpoint,not_admitted_too_short,last-window detector found drifting series,,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/submitted_jobs.csv,work_products/2026-07/2026-07-09/2026-07-09_cfd_steady_state_continuation_table/all_timeseries_case_rollup.csv
salt4_jin_lo5q_corrected,salt4,lo5q,corr_saltq_g3;corr_saltq_salt4_all,3275450;3275560,yes,11395,11695,steady,not steady (drifting),Defer until a Salt4 +/-10Q bracket is justified and midpoint support is needed.,needs continuation,hydraulic_stationary_heat_drifting,defer_midpoint,not_admitted_too_short,last-window detector found drifting series,,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/submitted_jobs.csv,work_products/2026-07/2026-07-09/2026-07-09_cfd_steady_state_continuation_table/all_timeseries_case_rollup.csv
