segment_name,parent_name,localized_fixed_k,reset_development_k,localized_fixed_dp_pa,reset_development_dp_pa,combined_named_dp_pa,component_separation,thermal_fitting,error
left_lower_vertical__s02,left_lower_vertical,10.0,6.0,2.0,1.2000000000000002,3.2,pass,not_used,
left_lower_vertical__s03,left_lower_vertical,0.0,0.0,0.0,0.0,0.0,pass,not_used,
left_lower_vertical__s03,left_lower_vertical,0.0,1.0,0.0,0.2,0.2,pass,not_used,
left_lower_vertical__s03,left_lower_vertical,0.0,3.0,0.0,0.6000000000000001,0.6000000000000001,pass,not_used,
left_lower_vertical__s03,left_lower_vertical,0.0,6.0,0.0,1.2000000000000002,1.2000000000000002,pass,not_used,
left_lower_vertical__s03,left_lower_vertical,2.0,0.0,0.4,0.0,0.4,pass,not_used,
left_lower_vertical__s03,left_lower_vertical,2.0,1.0,0.4,0.2,0.6000000000000001,pass,not_used,
left_lower_vertical__s03,left_lower_vertical,2.0,3.0,0.4,0.6000000000000001,1.0,pass,not_used,
left_lower_vertical__s03,left_lower_vertical,2.0,6.0,0.4,1.2000000000000002,1.6,pass,not_used,
left_lower_vertical__s03,left_lower_vertical,5.0,0.0,1.0,0.0,1.0,pass,not_used,
left_lower_vertical__s03,left_lower_vertical,5.0,1.0,1.0,0.2,1.2000000000000002,pass,not_used,
left_lower_vertical__s03,left_lower_vertical,5.0,3.0,1.0,0.6000000000000001,1.6,pass,not_used,
left_lower_vertical__s03,left_lower_vertical,5.0,6.0,1.0,1.2000000000000002,2.2,pass,not_used,
left_lower_vertical__s03,left_lower_vertical,10.0,0.0,2.0,0.0,2.0,pass,not_used,
left_lower_vertical__s03,left_lower_vertical,10.0,1.0,2.0,0.2,2.2,pass,not_used,
left_lower_vertical__s03,left_lower_vertical,10.0,3.0,2.0,0.6000000000000001,2.6,pass,not_used,
left_lower_vertical__s03,left_lower_vertical,10.0,6.0,2.0,1.2000000000000002,3.2,pass,not_used,
test_section__s00,test_section,0.0,0.0,0.0,0.0,0.0,pass,not_used,
test_section__s00,test_section,0.0,1.0,0.0,0.2,0.2,pass,not_used,
test_section__s00,test_section,0.0,3.0,0.0,0.6000000000000001,0.6000000000000001,pass,not_used,
test_section__s00,test_section,0.0,6.0,0.0,1.2000000000000002,1.2000000000000002,pass,not_used,
test_section__s00,test_section,2.0,0.0,0.4,0.0,0.4,pass,not_used,
test_section__s00,test_section,2.0,1.0,0.4,0.2,0.6000000000000001,pass,not_used,
test_section__s00,test_section,2.0,3.0,0.4,0.6000000000000001,1.0,pass,not_used,
test_section__s00,test_section,2.0,6.0,0.4,1.2000000000000002,1.6,pass,not_used,
test_section__s00,test_section,5.0,0.0,1.0,0.0,1.0,pass,not_used,
test_section__s00,test_section,5.0,1.0,1.0,0.2,1.2000000000000002,pass,not_used,
test_section__s00,test_section,5.0,3.0,1.0,0.6000000000000001,1.6,pass,not_used,
test_section__s00,test_section,5.0,6.0,1.0,1.2000000000000002,2.2,pass,not_used,
test_section__s00,test_section,10.0,0.0,2.0,0.0,2.0,pass,not_used,
test_section__s00,test_section,10.0,1.0,2.0,0.2,2.2,pass,not_used,
test_section__s00,test_section,10.0,3.0,2.0,0.6000000000000001,2.6,pass,not_used,
test_section__s00,test_section,10.0,6.0,2.0,1.2000000000000002,3.2,pass,not_used,
test_section__s01,test_section,0.0,0.0,0.0,0.0,0.0,pass,not_used,
test_section__s01,test_section,0.0,1.0,0.0,0.2,0.2,pass,not_used,
test_section__s01,test_section,0.0,3.0,0.0,0.6000000000000001,0.6000000000000001,pass,not_used,
test_section__s01,test_section,0.0,6.0,0.0,1.2000000000000002,1.2000000000000002,pass,not_used,
test_section__s01,test_section,2.0,0.0,0.4,0.0,0.4,pass,not_used,
test_section__s01,test_section,2.0,1.0,0.4,0.2,0.6000000000000001,pass,not_used,
test_section__s01,test_section,2.0,3.0,0.4,0.6000000000000001,1.0,pass,not_used,
test_section__s01,test_section,2.0,6.0,0.4,1.2000000000000002,1.6,pass,not_used,
test_section__s01,test_section,5.0,0.0,1.0,0.0,1.0,pass,not_used,
test_section__s01,test_section,5.0,1.0,1.0,0.2,1.2000000000000002,pass,not_used,
test_section__s01,test_section,5.0,3.0,1.0,0.6000000000000001,1.6,pass,not_used,
test_section__s01,test_section,5.0,6.0,1.0,1.2000000000000002,2.2,pass,not_used,
test_section__s01,test_section,10.0,0.0,2.0,0.0,2.0,pass,not_used,
test_section__s01,test_section,10.0,1.0,2.0,0.2,2.2,pass,not_used,
test_section__s01,test_section,10.0,3.0,2.0,0.6000000000000001,2.6,pass,not_used,
test_section__s01,test_section,10.0,6.0,2.0,1.2000000000000002,3.2,pass,not_used,
left_upper_vertical__s00,left_upper_vertical,0.0,0.0,0.0,0.0,0.0,pass,not_used,
left_upper_vertical__s00,left_upper_vertical,0.0,1.0,0.0,0.2,0.2,pass,not_used,
left_upper_vertical__s00,left_upper_vertical,0.0,3.0,0.0,0.6000000000000001,0.6000000000000001,pass,not_used,
left_upper_vertical__s00,left_upper_vertical,0.0,6.0,0.0,1.2000000000000002,1.2000000000000002,pass,not_used,
left_upper_vertical__s00,left_upper_vertical,2.0,0.0,0.4,0.0,0.4,pass,not_used,
left_upper_vertical__s00,left_upper_vertical,2.0,1.0,0.4,0.2,0.6000000000000001,pass,not_used,
left_upper_vertical__s00,left_upper_vertical,2.0,3.0,0.4,0.6000000000000001,1.0,pass,not_used,
left_upper_vertical__s00,left_upper_vertical,2.0,6.0,0.4,1.2000000000000002,1.6,pass,not_used,
left_upper_vertical__s00,left_upper_vertical,5.0,0.0,1.0,0.0,1.0,pass,not_used,
left_upper_vertical__s00,left_upper_vertical,5.0,1.0,1.0,0.2,1.2000000000000002,pass,not_used,
left_upper_vertical__s00,left_upper_vertical,5.0,3.0,1.0,0.6000000000000001,1.6,pass,not_used,
left_upper_vertical__s00,left_upper_vertical,5.0,6.0,1.0,1.2000000000000002,2.2,pass,not_used,
left_upper_vertical__s00,left_upper_vertical,10.0,0.0,2.0,0.0,2.0,pass,not_used,
left_upper_vertical__s00,left_upper_vertical,10.0,1.0,2.0,0.2,2.2,pass,not_used,
left_upper_vertical__s00,left_upper_vertical,10.0,3.0,2.0,0.6000000000000001,2.6,pass,not_used,
left_upper_vertical__s00,left_upper_vertical,10.0,6.0,2.0,1.2000000000000002,3.2,pass,not_used,
left_upper_vertical__s01,left_upper_vertical,0.0,0.0,0.0,0.0,0.0,pass,not_used,
left_upper_vertical__s01,left_upper_vertical,0.0,1.0,0.0,0.2,0.2,pass,not_used,
left_upper_vertical__s01,left_upper_vertical,0.0,3.0,0.0,0.6000000000000001,0.6000000000000001,pass,not_used,
left_upper_vertical__s01,left_upper_vertical,0.0,6.0,0.0,1.2000000000000002,1.2000000000000002,pass,not_used,
left_upper_vertical__s01,left_upper_vertical,2.0,0.0,0.4,0.0,0.4,pass,not_used,
left_upper_vertical__s01,left_upper_vertical,2.0,1.0,0.4,0.2,0.6000000000000001,pass,not_used,
left_upper_vertical__s01,left_upper_vertical,2.0,3.0,0.4,0.6000000000000001,1.0,pass,not_used,
left_upper_vertical__s01,left_upper_vertical,2.0,6.0,0.4,1.2000000000000002,1.6,pass,not_used,
left_upper_vertical__s01,left_upper_vertical,5.0,0.0,1.0,0.0,1.0,pass,not_used,
left_upper_vertical__s01,left_upper_vertical,5.0,1.0,1.0,0.2,1.2000000000000002,pass,not_used,
left_upper_vertical__s01,left_upper_vertical,5.0,3.0,1.0,0.6000000000000001,1.6,pass,not_used,
left_upper_vertical__s01,left_upper_vertical,5.0,6.0,1.0,1.2000000000000002,2.2,pass,not_used,
left_upper_vertical__s01,left_upper_vertical,10.0,0.0,2.0,0.0,2.0,pass,not_used,
left_upper_vertical__s01,left_upper_vertical,10.0,1.0,2.0,0.2,2.2,pass,not_used,
left_upper_vertical__s01,left_upper_vertical,10.0,3.0,2.0,0.6000000000000001,2.6,pass,not_used,
left_upper_vertical__s01,left_upper_vertical,10.0,6.0,2.0,1.2000000000000002,3.2,pass,not_used,
