case_id,path_id,lane,model_W,cfd_imposed_W,cfd_realized_W,model_minus_cfd_realized_W,interpretation
salt_3,N3_realized_wallflux_diagnostic_rad_off,cooler_sink,-0.0,-150.769639,-150.769639,150.769639,Cooling-jacket duty parity; negative means heat removed from fluid.
salt_3,N3_realized_wallflux_diagnostic_rad_off,test_section,0.0,37.0,-10.54504,10.54504,Quartz/test-section role discrepancy; CFD setup source can realize as net sink.
salt_3,N3_realized_wallflux_diagnostic_rad_off,external_passive_loss,-272.869069,0.0,-111.55439,-161.314679,Ambient/junction passive external heat-loss lane with radiation disabled in the 1D pass; heater/test/cooler are reported separately.
salt_3,N2_cfd_setup_bc_plus_passive_conv_rad_off,heater_source,297.5,297.5,273.155375,24.344625,Heater setup versus heat actually transferred to the fluid.
salt_3,N2_cfd_setup_bc_plus_passive_conv_rad_off,cooler_sink,-150.769639,-150.769639,-150.769639,-0.0,Cooling-jacket duty parity; negative means heat removed from fluid.
salt_3,N2_cfd_setup_bc_plus_passive_conv_rad_off,test_section,37.0,37.0,-10.54504,47.54504,Quartz/test-section role discrepancy; CFD setup source can realize as net sink.
salt_3,N2_cfd_setup_bc_plus_passive_conv_rad_off,external_passive_loss,-183.726184,0.0,-111.55439,-72.171794,Ambient/junction passive external heat-loss lane with radiation disabled in the 1D pass; heater/test/cooler are reported separately.
salt_4,N0_current_fluid_rad_off,heater_source,337.6,337.6,310.487058,27.112942,Heater setup versus heat actually transferred to the fluid.
salt_4,N0_current_fluid_rad_off,cooler_sink,-53.999574,-169.226815,-169.226814,115.227239,Cooling-jacket duty parity; negative means heat removed from fluid.
salt_4,N0_current_fluid_rad_off,test_section,37.0,37.0,-16.768686,53.768686,Quartz/test-section role discrepancy; CFD setup source can realize as net sink.
salt_4,N0_current_fluid_rad_off,external_passive_loss,-179.991474,0.0,-124.412333,-55.579141,Ambient/junction passive external heat-loss lane with radiation disabled in the 1D pass; heater/test/cooler are reported separately.
salt_4,N1_heater_cooler_imposed_rad_off,heater_source,337.6,337.6,310.487058,27.112942,Heater setup versus heat actually transferred to the fluid.
salt_4,N1_heater_cooler_imposed_rad_off,cooler_sink,-169.226815,-169.226815,-169.226814,-1e-06,Cooling-jacket duty parity; negative means heat removed from fluid.
salt_4,N1_heater_cooler_imposed_rad_off,test_section,0.0,37.0,-16.768686,16.768686,Quartz/test-section role discrepancy; CFD setup source can realize as net sink.
salt_4,N1_heater_cooler_imposed_rad_off,external_passive_loss,-120.528256,0.0,-124.412333,3.884077,Ambient/junction passive external heat-loss lane with radiation disabled in the 1D pass; heater/test/cooler are reported separately.
salt_4,N3_realized_wallflux_diagnostic_rad_off,heater_source,310.487058,337.6,310.487058,0.0,Heater setup versus heat actually transferred to the fluid.
salt_4,N3_realized_wallflux_diagnostic_rad_off,cooler_sink,-0.0,-169.226815,-169.226814,169.226814,Cooling-jacket duty parity; negative means heat removed from fluid.
salt_4,N3_realized_wallflux_diagnostic_rad_off,test_section,0.0,37.0,-16.768686,16.768686,Quartz/test-section role discrepancy; CFD setup source can realize as net sink.
salt_4,N3_realized_wallflux_diagnostic_rad_off,external_passive_loss,-310.407832,0.0,-124.412333,-185.995499,Ambient/junction passive external heat-loss lane with radiation disabled in the 1D pass; heater/test/cooler are reported separately.
salt_4,N2_cfd_setup_bc_plus_passive_conv_rad_off,heater_source,337.6,337.6,310.487058,27.112942,Heater setup versus heat actually transferred to the fluid.
salt_4,N2_cfd_setup_bc_plus_passive_conv_rad_off,cooler_sink,-169.226815,-169.226815,-169.226814,-1e-06,Cooling-jacket duty parity; negative means heat removed from fluid.
salt_4,N2_cfd_setup_bc_plus_passive_conv_rad_off,test_section,37.0,37.0,-16.768686,53.768686,Quartz/test-section role discrepancy; CFD setup source can realize as net sink.
salt_4,N2_cfd_setup_bc_plus_passive_conv_rad_off,external_passive_loss,-205.368926,0.0,-124.412333,-80.956593,Ambient/junction passive external heat-loss lane with radiation disabled in the 1D pass; heater/test/cooler are reported separately.
