case_id,case_key,branch,from_station,to_station,delta_p_to_minus_from_Pa,delta_p_rgh_to_minus_from_Pa,from_reverse_area_fraction_proxy,to_reverse_area_fraction_proxy,status,next_use
salt_2,salt2_mainline,test_section_span,test_section_span__s02,test_section_span__s03,940.9741464,-0.07496392535,0.3223938224,0.3262548263,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_2,salt2_mainline,test_section_span,test_section_span__s03,test_section_span__s04,954.9059584,-0.1771066374,0.3262548263,0.3359073359,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_2,salt2_mainline,left_upper_leg,left_upper_leg__s00,left_upper_leg__s01,-1385.357558,-2.29440635,0.6684027778,0.6614583333,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_2,salt2_mainline,left_upper_leg,left_upper_leg__s01,left_upper_leg__s02,-1372.545855,11.44854377,0.6614583333,0.8365930599,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_2,salt2_mainline,left_upper_leg,left_upper_leg__s02,left_upper_leg__s03,-1370.426654,-1.389988358,0.8365930599,0.8446153846,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_2,salt2_mainline,left_upper_leg,left_upper_leg__s03,left_upper_leg__s04,-1372.727583,-24.12482604,0.8446153846,0.837962963,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_2,salt2_mainline,upper_leg,upper_leg__s00,upper_leg__s01,9312.634696,5.791417496,0.4915584416,0.5447916667,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_2,salt2_mainline,upper_leg,upper_leg__s01,upper_leg__s02,-2864.651352,12.15622544,0.5447916667,0.5783308931,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_2,salt2_mainline,upper_leg,upper_leg__s02,upper_leg__s03,-132.9907746,4.640319418,0.5783308931,0.4864864865,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_2,salt2_mainline,upper_leg,upper_leg__s03,upper_leg__s04,640.1155396,0.6005537651,0.4864864865,0.4470588235,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_3,salt3_mainline,lower_leg,lower_leg__s00,lower_leg__s01,437.0994249,7.883388375,0.5405797101,0.4882550336,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_3,salt3_mainline,lower_leg,lower_leg__s01,lower_leg__s02,237.9874494,-0.3489073067,0.4882550336,0.4198250729,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_3,salt3_mainline,lower_leg,lower_leg__s02,lower_leg__s03,-2904.315773,-0.7801664647,0.4198250729,0.2930672269,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_3,salt3_mainline,lower_leg,lower_leg__s03,lower_leg__s04,9279.335906,-9.306824041,0.2930672269,0.2374283896,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_3,salt3_mainline,right_leg,right_leg__s00,right_leg__s01,-3486.586906,-2.404076064,0.2222222222,0.5885416667,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_3,salt3_mainline,right_leg,right_leg__s01,right_leg__s02,-3504.179418,0.07558958259,0.5885416667,0.6128472222,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_3,salt3_mainline,right_leg,right_leg__s02,right_leg__s03,-3492.564601,2.80216507,0.6128472222,0.6718146718,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_3,salt3_mainline,right_leg,right_leg__s03,right_leg__s04,-3499.685439,-0.2948652573,0.6718146718,0.6614583333,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_3,salt3_mainline,left_lower_leg,left_lower_leg__s00,left_lower_leg__s01,-1175.394847,-0.1473068677,0.5902777778,0.59375,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_3,salt3_mainline,left_lower_leg,left_lower_leg__s01,left_lower_leg__s02,-1164.420949,0.08531779124,0.59375,0.609375,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_3,salt3_mainline,left_lower_leg,left_lower_leg__s02,left_lower_leg__s03,-1164.336936,0.160851647,0.609375,0.6128472222,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_3,salt3_mainline,left_lower_leg,left_lower_leg__s03,left_lower_leg__s04,-1175.034052,0.1660326548,0.6128472222,0.609375,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_3,salt3_mainline,test_section_span,test_section_span__s00,test_section_span__s01,949.9600135,0.01894276888,0.3281853282,0.3262548263,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_3,salt3_mainline,test_section_span,test_section_span__s01,test_section_span__s02,948.1612295,-0.3264665819,0.3262548263,0.3281853282,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_3,salt3_mainline,test_section_span,test_section_span__s02,test_section_span__s03,936.2094742,-0.3455425656,0.3281853282,0.3281853282,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_3,salt3_mainline,test_section_span,test_section_span__s03,test_section_span__s04,950.1382334,-0.5436132157,0.3281853282,0.3416988417,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_3,salt3_mainline,left_upper_leg,left_upper_leg__s00,left_upper_leg__s01,-1378.327483,-4.107194276,0.6614583333,0.6510416667,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_3,salt3_mainline,left_upper_leg,left_upper_leg__s01,left_upper_leg__s02,-1365.3744,13.79328915,0.6510416667,0.8324921136,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_3,salt3_mainline,left_upper_leg,left_upper_leg__s02,left_upper_leg__s03,-1363.694401,-0.7984957919,0.8324921136,0.8361538462,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_3,salt3_mainline,left_upper_leg,left_upper_leg__s03,left_upper_leg__s04,-1366.027709,-24.04690821,0.8361538462,0.8302469136,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_3,salt3_mainline,upper_leg,upper_leg__s00,upper_leg__s01,9265.441839,5.328146532,0.511038961,0.5890625,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_3,salt3_mainline,upper_leg,upper_leg__s01,upper_leg__s02,-2849.926108,13.49805304,0.5890625,0.5783308931,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_3,salt3_mainline,upper_leg,upper_leg__s02,upper_leg__s03,-132.0663675,4.561677607,0.5783308931,0.4864864865,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_3,salt3_mainline,upper_leg,upper_leg__s03,upper_leg__s04,637.0175799,0.3823397589,0.4864864865,0.4470588235,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_4,salt4_mainline,lower_leg,lower_leg__s00,lower_leg__s01,434.5616662,7.715560246,0.5405797101,0.4882550336,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_4,salt4_mainline,lower_leg,lower_leg__s01,lower_leg__s02,236.5439622,-0.4355018698,0.4882550336,0.4198250729,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_4,salt4_mainline,lower_leg,lower_leg__s02,lower_leg__s03,-2887.227663,0.3387412528,0.4198250729,0.3148634454,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_4,salt4_mainline,lower_leg,lower_leg__s03,lower_leg__s04,9224.278222,-10.93296525,0.3148634454,0.2374283896,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_4,salt4_mainline,right_leg,right_leg__s00,right_leg__s01,-3466.097577,-2.687234478,0.2222222222,0.5416666667,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_4,salt4_mainline,right_leg,right_leg__s01,right_leg__s02,-3483.36175,0.218234458,0.5416666667,0.5920138889,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_4,salt4_mainline,right_leg,right_leg__s02,right_leg__s03,-3471.940872,4.200441569,0.5920138889,0.6756756757,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_4,salt4_mainline,right_leg,right_leg__s03,right_leg__s04,-3479.024875,-0.04046701062,0.6756756757,0.65625,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_4,salt4_mainline,left_lower_leg,left_lower_leg__s00,left_lower_leg__s01,-1168.401633,-0.06795220657,0.5416666667,0.5659722222,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_4,salt4_mainline,left_lower_leg,left_lower_leg__s01,left_lower_leg__s02,-1157.525913,0.07470919274,0.5659722222,0.5859375,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_4,salt4_mainline,left_lower_leg,left_lower_leg__s02,left_lower_leg__s03,-1157.4157,0.2314799464,0.5859375,0.5928819444,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_4,salt4_mainline,left_lower_leg,left_lower_leg__s03,left_lower_leg__s04,-1168.003708,0.2537287549,0.5928819444,0.5902777778,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_4,salt4_mainline,test_section_span,test_section_span__s00,test_section_span__s01,944.3436536,0.08625272346,0.333976834,0.3291505792,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_4,salt4_mainline,test_section_span,test_section_span__s01,test_section_span__s02,942.5747956,-0.7342813101,0.3291505792,0.3281853282,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_4,salt4_mainline,test_section_span,test_section_span__s02,test_section_span__s03,930.7132874,-0.7417609498,0.3281853282,0.3262548263,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_4,salt4_mainline,test_section_span,test_section_span__s03,test_section_span__s04,944.6057149,-1.024587552,0.3262548263,0.3436293436,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_4,salt4_mainline,left_upper_leg,left_upper_leg__s00,left_upper_leg__s01,-1370.127078,-5.501744617,0.65625,0.6475694444,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_4,salt4_mainline,left_upper_leg,left_upper_leg__s01,left_upper_leg__s02,-1357.146251,14.22598905,0.6475694444,0.8255520505,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_4,salt4_mainline,left_upper_leg,left_upper_leg__s02,left_upper_leg__s03,-1355.602492,0.3065256612,0.8255520505,0.8346153846,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_4,salt4_mainline,left_upper_leg,left_upper_leg__s03,left_upper_leg__s04,-1358.019199,-24.57597884,0.8346153846,0.8287037037,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_4,salt4_mainline,upper_leg,upper_leg__s00,upper_leg__s01,9210.769821,5.321546732,0.5217532468,0.6106770833,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_4,salt4_mainline,upper_leg,upper_leg__s01,upper_leg__s02,-2833.097813,14.28922961,0.6106770833,0.5783308931,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_4,salt4_mainline,upper_leg,upper_leg__s02,upper_leg__s03,-131.2601879,3.870250245,0.5783308931,0.4864864865,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_4,salt4_mainline,upper_leg,upper_leg__s03,upper_leg__s04,633.2071026,0.5834958449,0.4864864865,0.4470588235,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
