case_id,validation_split_role,segment_id,fluid_parent_segment,patch_group,physical_role,heat_path,patch_count,area_m2,coverage_factor,coverage_basis,h_W_m2_K,hA_W_K,external_convection_resistance_K_W,Ta_K,Tsur_K,emissivity,thicknessLayers,thickness_total_m,kappaLayerCoeffs,wall_layer_metadata_status,wall_or_layer_resistance_status,boundary_field_availability_status,drive_temperature_selector,predictive_runtime_status,replay_runtime_status,radiation_policy,wallHeatFlux_runtime_allowed_predictive,realized_wallHeatFlux_diagnostic_W,imposed_Q_documentation_W,source_property_label_status,source_use_category,runtime_leakage_policy,provenance_author_title,source_paths
salt_3,validation,downcomer,right_vertical,ambient_wall,ambient_wall,external_convection;radiation;wall_conduction;contact_layer_resistance,3,0.063435,1.0,grouped_segment_role_from_prior_external_boundary_dictionary,3.490328488,0.221408988,4.51652848728,299.79,299.79,0.95,(0.001651 0.035559999999999994),0.037211,((9.248 0.01571 0 0 0 0 0 0) (0.036056549855 -6.2436910698e-05 1.9275102287e-07 0 0 0 0 0)),h_and_layers_present,available_from_layer_metadata_future_compute,setup_convection_and_radiation_fields_present,fluid_segment_bulk_temperature_for_v1_setup_mode,schema_ready_setup_inputs_only,diagnostic_total_wallHeatFlux_only_no_extra_convection_or_radiation,predictive_radiation_from_emissivity_Tsur;embedded_in_wallHeatFlux_replay_no_extra_term,false,-25.347860491,0,required_before_final_scorecard,setup_schema_or_diagnostic_not_fit_candidate,forbidden predictive use; diagnostic wallHeatFlux/source path only,AGENT-297 predictive external BC implementation wave,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5287/wallHeatFlux.dat
salt_3,validation,junction,top_horizontal_exit,junction_other,junction_other,external_convection;radiation;wall_conduction;residual,29,0.042478796,1.0,grouped_segment_role_from_prior_external_boundary_dictionary,9.80371389,0.416449962,2.40124886624,299.79,299.79,0.95,(0.006096001 0.035559999999999994),0.041656001,((9.248 0.01571 0 0 0 0 0 0) (0.036056549855 -6.2436910698e-05 1.9275102287e-07 0 0 0 0 0)),mixed:h_and_layers_present | h_only | no_wall_layer_metadata,mixed_available_grouped_row_future_split_needed,setup_convection_and_radiation_fields_present,fluid_segment_bulk_temperature_for_v1_setup_mode,schema_ready_setup_inputs_only,diagnostic_total_wallHeatFlux_only_no_extra_convection_or_radiation,predictive_radiation_from_emissivity_Tsur;embedded_in_wallHeatFlux_replay_no_extra_term,false,-43.234690515,0,required_before_final_scorecard,setup_schema_or_diagnostic_not_fit_candidate,forbidden predictive use; diagnostic wallHeatFlux/source path only,AGENT-297 predictive external BC implementation wave,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5287/wallHeatFlux.dat
salt_3,validation,lower_leg,heated_incline,ambient_wall,ambient_wall,external_convection;radiation;wall_conduction;contact_layer_resistance,6,0.016563776,1.0,grouped_segment_role_from_prior_external_boundary_dictionary,4.023408039,0.06664283,15.0053652776,299.79,299.79,0.95,mixed:(0.001651 0.035559999999999994) | (0.006096001 0.035559999999999994),mixed:0.037211 | 0.041656001,((9.248 0.01571 0 0 0 0 0 0) (0.036056549855 -6.2436910698e-05 1.9275102287e-07 0 0 0 0 0)),h_and_layers_present,available_from_layer_metadata_future_compute,setup_convection_and_radiation_fields_present,fluid_segment_bulk_temperature_for_v1_setup_mode,schema_ready_setup_inputs_only,diagnostic_total_wallHeatFlux_only_no_extra_convection_or_radiation,predictive_radiation_from_emissivity_Tsur;embedded_in_wallHeatFlux_replay_no_extra_term,false,-7.327263296,0,required_before_final_scorecard,setup_schema_or_diagnostic_not_fit_candidate,forbidden predictive use; diagnostic wallHeatFlux/source path only,AGENT-297 predictive external BC implementation wave,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5287/wallHeatFlux.dat
salt_3,validation,lower_leg,heated_incline,heater,heater,heater_source_to_fluid;external_convection;radiation;wall_conduction,3,0.045786417,1.0,grouped_segment_role_from_prior_external_boundary_dictionary,4.084369372,0.187008639,5.34734653981,299.79,299.79,0.95,(0.001651 0.003175 0.035559999999999994),0.040386,((9.248 0.01571 0 0 0 0 0 0) (50 0 0 0 0 0 0 0) (0.036056549855 -6.2436910698e-05 1.9275102287e-07 0 0 0 0 0)),h_and_layers_present,available_from_layer_metadata_future_compute,setup_convection_and_radiation_fields_present,fluid_segment_bulk_temperature_for_v1_setup_mode,document_only_source_sink_not_passive_external_fit,diagnostic_total_wallHeatFlux_only_no_extra_convection_or_radiation,predictive_radiation_from_emissivity_Tsur;embedded_in_wallHeatFlux_replay_no_extra_term,false,273.15537485,297.5,required_before_final_scorecard,setup_schema_or_diagnostic_not_fit_candidate,forbidden predictive use; diagnostic wallHeatFlux/source path only,AGENT-297 predictive external BC implementation wave,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5287/wallHeatFlux.dat
salt_3,validation,upcomer,left_upper_vertical,ambient_wall,ambient_wall,external_convection;radiation;wall_conduction;contact_layer_resistance,6,0.050313118,1.0,grouped_segment_role_from_prior_external_boundary_dictionary,3.773078793,0.189835359,5.26772255556,299.79,299.79,0.95,mixed:(0.001651 0.035559999999999994) | (0.002199999999999999 0.006096001 0.035559999999999994),mixed:0.037211 | 0.043856001,mixed:((1.4 0 0 0 0 0 0 0) (9.248 0.01571 0 0 0 0 0 0) (0.036056549855 -6.2436910698e-05 1.9275102287e-07 0 0 0 0 0)) | ((9.248 0.01571 0 0 0 0 0 0) (0.036056549855 -6.2436910698e-05 1.9275102287e-07 0 0 0 0 0)),h_and_layers_present,available_from_layer_metadata_future_compute,setup_convection_and_radiation_fields_present,fluid_segment_bulk_temperature_for_v1_setup_mode,schema_ready_setup_inputs_only,diagnostic_total_wallHeatFlux_only_no_extra_convection_or_radiation,predictive_radiation_from_emissivity_Tsur;embedded_in_wallHeatFlux_replay_no_extra_term,false,-22.073866293,0,required_before_final_scorecard,setup_schema_or_diagnostic_not_fit_candidate,forbidden predictive use; diagnostic wallHeatFlux/source path only,AGENT-297 predictive external BC implementation wave,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5287/wallHeatFlux.dat
salt_3,validation,upcomer,left_upper_vertical,test_section,test_section,insulation_quartz;external_convection;radiation,1,0.012258449,1.0,grouped_segment_role_from_prior_external_boundary_dictionary,7.580433781,0.092924361,10.7614407061,299.79,299.79,0.95,(0.002199999999999999),0.0022,((1.4 0 0 0 0 0 0 0)),h_and_layers_present,available_from_layer_metadata_future_compute,setup_convection_and_radiation_fields_present,fluid_segment_bulk_temperature_for_v1_setup_mode,document_only_source_sink_not_passive_external_fit,diagnostic_total_wallHeatFlux_only_no_extra_convection_or_radiation,predictive_radiation_from_emissivity_Tsur;embedded_in_wallHeatFlux_replay_no_extra_term,false,-10.54504039,37,required_before_final_scorecard,setup_schema_or_diagnostic_not_fit_candidate,forbidden predictive use; diagnostic wallHeatFlux/source path only,AGENT-297 predictive external BC implementation wave,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5287/wallHeatFlux.dat
salt_4,holdout,cooling_branch,cooled_incline_hx_active,ambient_wall,ambient_wall,external_convection;radiation;wall_conduction;contact_layer_resistance,6,0.032571682,1.0,grouped_segment_role_from_prior_external_boundary_dictionary,4.216948761,0.137353114,7.28050475514,299.97,299.97,0.95,(0.001651 0.035559999999999994),0.037211,((9.248 0.01571 0 0 0 0 0 0) (0.036056549855 -6.2436910698e-05 1.9275102287e-07 0 0 0 0 0)),h_and_layers_present,available_from_layer_metadata_future_compute,setup_convection_and_radiation_fields_present,fluid_segment_bulk_temperature_for_v1_setup_mode,schema_ready_setup_inputs_only,diagnostic_total_wallHeatFlux_only_no_extra_convection_or_radiation,predictive_radiation_from_emissivity_Tsur;embedded_in_wallHeatFlux_replay_no_extra_term,false,-15.087091646,0,required_before_final_scorecard,setup_schema_or_diagnostic_not_fit_candidate,forbidden predictive use; diagnostic wallHeatFlux/source path only,AGENT-297 predictive external BC implementation wave,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/8124/wallHeatFlux.dat
salt_4,holdout,cooling_branch,cooled_incline_hx_active,cooler,cooler,jacket_cooler_removal,3,0.029778515,1.0,grouped_segment_role_from_prior_external_boundary_dictionary,,,,,,,,,,no_wall_layer_metadata,not_applicable_or_blocked_missing_metadata,explicit_unavailable_active_cooler_sink_not_passive_external_bc,fluid_segment_bulk_temperature_for_v1_setup_mode,document_only_source_sink_not_passive_external_fit,diagnostic_total_wallHeatFlux_only_no_extra_convection_or_radiation,not_applicable_or_blocked_missing_metadata,false,-169.22681377,-169.226815038,required_before_final_scorecard,setup_schema_or_diagnostic_not_fit_candidate,forbidden predictive use; diagnostic wallHeatFlux/source path only,AGENT-297 predictive external BC implementation wave,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/8124/wallHeatFlux.dat
salt_4,holdout,downcomer,right_vertical,ambient_wall,ambient_wall,external_convection;radiation;wall_conduction;contact_layer_resistance,3,0.063435,1.0,grouped_segment_role_from_prior_external_boundary_dictionary,3.585349949,0.227436674,4.39682827904,299.97,299.97,0.95,(0.001651 0.035559999999999994),0.037211,((9.248 0.01571 0 0 0 0 0 0) (0.036056549855 -6.2436910698e-05 1.9275102287e-07 0 0 0 0 0)),h_and_layers_present,available_from_layer_metadata_future_compute,setup_convection_and_radiation_fields_present,fluid_segment_bulk_temperature_for_v1_setup_mode,schema_ready_setup_inputs_only,diagnostic_total_wallHeatFlux_only_no_extra_convection_or_radiation,predictive_radiation_from_emissivity_Tsur;embedded_in_wallHeatFlux_replay_no_extra_term,false,-28.124643037,0,required_before_final_scorecard,setup_schema_or_diagnostic_not_fit_candidate,forbidden predictive use; diagnostic wallHeatFlux/source path only,AGENT-297 predictive external BC implementation wave,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/8124/wallHeatFlux.dat
salt_4,holdout,junction,top_horizontal_exit,junction_other,junction_other,external_convection;radiation;wall_conduction;residual,29,0.042478796,1.0,grouped_segment_role_from_prior_external_boundary_dictionary,10.059960558,0.427335012,2.34008440963,299.97,299.97,0.95,(0.006096001 0.035559999999999994),0.041656001,((9.248 0.01571 0 0 0 0 0 0) (0.036056549855 -6.2436910698e-05 1.9275102287e-07 0 0 0 0 0)),mixed:h_and_layers_present | h_only | no_wall_layer_metadata,mixed_available_grouped_row_future_split_needed,setup_convection_and_radiation_fields_present,fluid_segment_bulk_temperature_for_v1_setup_mode,schema_ready_setup_inputs_only,diagnostic_total_wallHeatFlux_only_no_extra_convection_or_radiation,predictive_radiation_from_emissivity_Tsur;embedded_in_wallHeatFlux_replay_no_extra_term,false,-48.485215891,0,required_before_final_scorecard,setup_schema_or_diagnostic_not_fit_candidate,forbidden predictive use; diagnostic wallHeatFlux/source path only,AGENT-297 predictive external BC implementation wave,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/8124/wallHeatFlux.dat
salt_4,holdout,lower_leg,heated_incline,ambient_wall,ambient_wall,external_convection;radiation;wall_conduction;contact_layer_resistance,6,0.016563776,1.0,grouped_segment_role_from_prior_external_boundary_dictionary,4.129743128,0.06840414,14.6189981834,299.97,299.97,0.95,mixed:(0.001651 0.035559999999999994) | (0.006096001 0.035559999999999994),mixed:0.037211 | 0.041656001,((9.248 0.01571 0 0 0 0 0 0) (0.036056549855 -6.2436910698e-05 1.9275102287e-07 0 0 0 0 0)),h_and_layers_present,available_from_layer_metadata_future_compute,setup_convection_and_radiation_fields_present,fluid_segment_bulk_temperature_for_v1_setup_mode,schema_ready_setup_inputs_only,diagnostic_total_wallHeatFlux_only_no_extra_convection_or_radiation,predictive_radiation_from_emissivity_Tsur;embedded_in_wallHeatFlux_replay_no_extra_term,false,-8.155480513,0,required_before_final_scorecard,setup_schema_or_diagnostic_not_fit_candidate,forbidden predictive use; diagnostic wallHeatFlux/source path only,AGENT-297 predictive external BC implementation wave,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/8124/wallHeatFlux.dat
salt_4,holdout,lower_leg,heated_incline,heater,heater,heater_source_to_fluid;external_convection;radiation;wall_conduction,3,0.045786417,1.0,grouped_segment_role_from_prior_external_boundary_dictionary,4.193009572,0.191982885,5.20879765563,299.97,299.97,0.95,(0.001651 0.003175 0.035559999999999994),0.040386,((9.248 0.01571 0 0 0 0 0 0) (50 0 0 0 0 0 0 0) (0.036056549855 -6.2436910698e-05 1.9275102287e-07 0 0 0 0 0)),h_and_layers_present,available_from_layer_metadata_future_compute,setup_convection_and_radiation_fields_present,fluid_segment_bulk_temperature_for_v1_setup_mode,document_only_source_sink_not_passive_external_fit,diagnostic_total_wallHeatFlux_only_no_extra_convection_or_radiation,predictive_radiation_from_emissivity_Tsur;embedded_in_wallHeatFlux_replay_no_extra_term,false,310.4870585,337.6,required_before_final_scorecard,setup_schema_or_diagnostic_not_fit_candidate,forbidden predictive use; diagnostic wallHeatFlux/source path only,AGENT-297 predictive external BC implementation wave,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/8124/wallHeatFlux.dat
salt_4,holdout,upcomer,left_upper_vertical,ambient_wall,ambient_wall,external_convection;radiation;wall_conduction;contact_layer_resistance,6,0.050313118,1.0,grouped_segment_role_from_prior_external_boundary_dictionary,3.873728187,0.194899343,5.13085361242,299.97,299.97,0.95,mixed:(0.001651 0.035559999999999994) | (0.002199999999999999 0.006096001 0.035559999999999994),mixed:0.037211 | 0.043856001,mixed:((1.4 0 0 0 0 0 0 0) (9.248 0.01571 0 0 0 0 0 0) (0.036056549855 -6.2436910698e-05 1.9275102287e-07 0 0 0 0 0)) | ((9.248 0.01571 0 0 0 0 0 0) (0.036056549855 -6.2436910698e-05 1.9275102287e-07 0 0 0 0 0)),h_and_layers_present,available_from_layer_metadata_future_compute,setup_convection_and_radiation_fields_present,fluid_segment_bulk_temperature_for_v1_setup_mode,schema_ready_setup_inputs_only,diagnostic_total_wallHeatFlux_only_no_extra_convection_or_radiation,predictive_radiation_from_emissivity_Tsur;embedded_in_wallHeatFlux_replay_no_extra_term,false,-24.559901843,0,required_before_final_scorecard,setup_schema_or_diagnostic_not_fit_candidate,forbidden predictive use; diagnostic wallHeatFlux/source path only,AGENT-297 predictive external BC implementation wave,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/8124/wallHeatFlux.dat
