case_name,family,thickness_in,q_unaccounted_w,q_expected_loss_w,q_total_loss_w,q_passive_w,q_fins_w,temperature_offset_c
Salt 4,salt,1.4,-8.055432422664865,293.26025871398105,301.3156911366459,257.3546345236031,43.961056613042814,0.0
Salt 4,salt,1.65,-2.435962466565627,293.26025871398105,295.6962211805467,248.00933818460734,47.68688299593936,0.0
Salt 4,salt,1.8,-0.3239108510215942,293.26025871398105,293.58416956500264,243.47705658898053,50.107112976022115,0.0
Salt 4,salt,1.8277331840374482,0.002701380387009067,293.26025871398105,293.25755733359404,242.70862835818215,50.548928975411904,0.0
Salt 4,salt,2.0,1.3263108718975332,293.26025871398105,291.9339478420835,238.3437137609485,53.590234081134994,0.0
Salt 4,salt,2.4,2.020841346169334,293.26025871398105,291.2394173678117,230.29695528024968,60.942462087562006,0.0
Salt 4,salt,2.8,0.20417197417515354,293.26025871398105,293.0560867398059,224.23384130257364,68.82224543723228,0.0
Water 1,water,0.05,-24.818297839753843,31.135617669368347,55.95391550912219,50.453504984782924,5.500410524339266,0.0
Water 1,water,0.1,-16.955346598721658,31.135617669368347,48.090964268090005,43.104339353513886,4.986624914576119,0.0
Water 1,water,0.2,-7.69980032487501,31.135617669368347,38.83541799424336,34.659583582468755,4.1758344117746,0.0
Water 1,water,0.3,-2.3898722645464083,31.135617669368347,33.525489933914756,29.870696812680578,3.654793121234181,0.0
Water 1,water,0.37235510352933876,0.0005392632961935817,31.135617669368347,31.135078406072154,27.497586916484817,3.6374914895873354,0.0
Water 1,water,0.4,0.838973783426983,31.135617669368347,30.296643885941364,26.746565075287634,3.5500788106537295,0.0
Water 1,water,0.5,3.185447433299018,31.135617669368347,27.95017023606933,24.532395602386842,3.417774633682487,0.0
Water 1,water,0.6,5.0643470524027485,31.135617669368347,26.0712706169656,22.871960589564985,3.1993100274006143,0.0
Water 1,water,0.8,7.37377198136058,31.135617669368347,23.761845688007767,20.53129772232682,3.230547965680948,0.0
Water 1,water,1.0,8.772927151770169,31.135617669368347,22.36269051759818,18.947320289853646,3.4153702277445324,0.0
Water 1,water,1.2,9.848404835855394,31.135617669368347,21.287212833512953,17.794852991258477,3.492359842254475,0.0
Water 2,water,0.05,-36.3165200609876,40.71381861913051,77.0303386801181,69.5013820445388,7.528956635579307,0.0
Water 2,water,0.1,-25.086352280860126,40.71381861913051,65.80017089999063,59.00835408423906,6.7918168157515755,0.0
Water 2,water,0.2,-12.121565240202806,40.71381861913051,52.83538385933331,47.178337151868504,5.657046707464807,0.0
Water 2,water,0.3,-4.793186867674812,40.71381861913051,45.50700548680532,40.568531831291835,4.938473655513482,0.0
Water 2,water,0.4,-0.3702852771580112,40.71381861913051,41.08410389628852,36.2919942885742,4.792109607714316,0.0
Water 2,water,0.40625,-0.15582400818019693,40.71381861913051,40.869642627310704,36.07406286843726,4.795579758873444,0.0
Water 2,water,0.5,2.8266187033239873,40.71381861913051,37.88719991580652,33.27671697727683,4.61048293852969,0.0
Water 2,water,0.6,5.375900404241584,40.71381861913051,35.33791821488892,31.023707206376972,4.3142110085119505,0.0
Water 2,water,0.8,8.498720123180064,40.71381861913051,32.21509849595044,27.859258964231604,4.355839531718842,0.0
Water 2,water,1.0,10.383972662880097,40.71381861913051,30.32984595625041,25.724673411479774,4.605172544770634,0.0
Water 2,water,1.2,11.82889491690661,40.71381861913051,28.884923702223897,24.174964284022934,4.709959418200962,0.0
Water 3,water,0.05,-43.91147038758185,48.370320853054444,92.2817912406363,83.33858506959939,8.94320617103691,0.0
Water 3,water,0.1,-30.163838754288157,48.370320853054444,78.5341596073426,70.48949196787298,8.044667639469628,0.0
Water 3,water,0.2,-14.474581184272381,48.370320853054444,62.844902037326825,56.16567460998007,6.679227427346753,0.0
Water 3,water,0.3,-5.6836112021293275,48.370320853054444,54.05393205518377,48.23188607344885,5.822045981734926,0.0
Water 3,water,0.4,-0.39932042345851926,48.370320853054444,48.769641276512964,43.123444567648555,5.646196708864411,0.0
Water 3,water,0.40625,-0.143450750633491,48.370320853054444,48.513771603687935,42.863609241142655,5.650162362545279,0.0
Water 3,water,0.5,3.407516662298555,48.370320853054444,44.96280419075589,39.532526975314845,5.430277215441048,0.0
Water 3,water,0.6,6.434576058551201,48.370320853054444,41.93574479450324,36.85517190784433,5.080572886658911,0.0
Water 3,water,0.8,10.138242160504163,48.370320853054444,38.23207869255028,33.10256786222603,5.129510830324249,0.0
Water 3,water,1.0,12.37102043082237,48.370320853054444,35.999300422232075,30.575820541622114,5.423479880609962,0.0
Water 3,water,1.2,14.07817621329017,48.370320853054444,34.292144639764274,28.74407495940583,5.548069680358447,0.0
Water 4,water,0.05,-62.30530742480488,68.22537273097407,130.53068015577895,118.02461250554144,12.506067650237508,0.0
Water 4,water,0.1,-42.043000165030904,68.22537273097407,110.26837289600498,99.08278097845053,11.185591917554442,0.0
Water 4,water,0.2,-19.439371333691753,68.22537273097407,87.66474406466583,78.43437901570856,9.230365048957275,0.0
Water 4,water,0.3,-6.989596777850863,68.22537273097407,75.21496950882494,67.19182814737411,8.023141361450824,0.0
Water 4,water,0.38777403604554117,-0.00022822644466202746,68.22537273097407,68.22560095741873,60.7581262938357,7.467474663583027,0.0
Water 4,water,0.4,0.4322882371286454,68.22537273097407,67.79308449384543,60.02048298103404,7.77260151281139,0.0
Water 4,water,0.5,5.74529890565568,68.22537273097407,62.48007382531839,55.00946063596401,7.4706131893543795,0.0
Water 4,water,0.6,9.94933833949031,68.22537273097407,58.27603439148376,51.288427557387536,6.9876068340962245,0.0
Water 4,water,0.8,15.076035498330931,68.22537273097407,53.14933723264314,46.09414971657522,7.055187516067927,0.0
Water 4,water,1.0,18.155016026978167,68.22537273097407,50.070356703995905,42.609689721086426,7.460666982909478,0.0
Water 4,water,1.2,20.501112047369027,68.22537273097407,47.724260683605046,40.089271831846474,7.634988851758571,0.0
