case_id,variant_id,input_family,level,scenario_id,delta_family,baseline_mdot_model_kg_s,variant_mdot_model_kg_s,delta_mdot_model_kg_s,baseline_qhx_total_W,variant_qhx_total_W,delta_qhx_total_W,baseline_qambient_total_W,variant_qambient_total_W,delta_qambient_total_W,baseline_temperature_periodicity_error_K,variant_temperature_periodicity_error_K,delta_temperature_periodicity_error_K,baseline_pressure_residual_Pa,variant_pressure_residual_Pa,delta_pressure_residual_Pa
salt_2,V07,pressure_loss_terms,major_loss_1p1,salt_2__V07__major_loss_1p1,case_baseline_delta,0.0202249109771,0.0194008027078,-0.00082410826928,46.3059033707,46.2969821236,-0.00892124702581,256.393763167,256.402671725,0.0089085582581,-5.70696556679e-09,-1.0777512216e-10,5.59919044463e-09,-9.79072751761e-08,4.46756516226e-08,1.42582926799e-07
salt_3,V01,heater_source_fraction,upstream_plus_0p10,salt_3__V01__upstream_plus_0p10,case_baseline_delta,0.0224379768059,0.022360071765,-7.79050408576e-05,49.7430738118,49.7467977738,0.0037239620024,284.756460812,284.752616825,-0.00384398739999,-9.27229848458e-10,2.98518898489e-09,3.91241883335e-09,-2.00182483923e-08,5.21506891005e-08,7.21689374927e-08
salt_3,V01,heater_source_fraction,downstream_plus_0p10,salt_3__V01__downstream_plus_0p10,case_baseline_delta,0.0224379768059,0.0217150364202,-0.000722940385677,49.7430738118,49.7819080303,0.0388342184573,284.756460812,284.717550182,-0.0389106303261,-9.27229848458e-10,2.82796008833e-09,3.75518993678e-09,-2.00182483923e-08,1.18175762509e-08,3.18358246432e-08
salt_3,V02,cooler_hx_strength,hx_ua_0p8,salt_3__V02__hx_ua_0p8,case_baseline_delta,0.0224379768059,0.0224589854281,2.10086222401e-05,49.7430738118,42.0028210648,-7.74025274703,284.756460812,292.496626019,7.74016520631,-9.27229848458e-10,-3.37558958563e-09,-2.44835973717e-09,-2.00182483923e-08,5.99544591751e-09,2.60136943098e-08
salt_3,V02,cooler_hx_strength,hx_ua_1p2,salt_3__V02__hx_ua_1p2,case_baseline_delta,0.0224379768059,0.0224041705437,-3.38062621862e-05,49.7430738118,56.6371615574,6.89408774561,284.756460812,277.862447992,-6.8940128205,-9.27229848458e-10,1.48850176629e-09,2.41573161475e-09,-2.00182483923e-08,1.61547433208e-08,3.61729917131e-08
salt_3,V03,ambient_temperature,ambient_minus_2K,salt_3__V03__ambient_minus_2K,case_baseline_delta,0.0224379768059,0.0223592533545,-7.87234513274e-05,49.7430738118,49.5088484292,-0.23422538255,284.756460812,284.990687283,0.234226470979,-9.27229848458e-10,2.40095232584e-09,3.3281821743e-09,-2.00182483923e-08,-8.26075634563e-08,-6.25893150641e-08
salt_3,V03,ambient_temperature,ambient_plus_2K,salt_3__V03__ambient_plus_2K,case_baseline_delta,0.0224379768059,0.0225164372759,7.84604700782e-05,49.7430738118,49.9776160154,0.234542203559,284.756460812,284.52191728,-0.234543531875,-9.27229848458e-10,2.20768470172e-09,3.13491455017e-09,-2.00182483923e-08,1.10535509634e-08,3.10717993557e-08
salt_3,V04,external_convection_hA,external_hA_0p5,salt_3__V04__external_hA_0p5,case_baseline_delta,0.0224379768059,0.0229563153138,0.000518338507977,49.7430738118,51.6955812796,1.95250746784,284.756460812,282.804212805,-1.95224800774,-9.27229848458e-10,3.10535597237e-09,4.03258582082e-09,-2.00182483923e-08,9.43301543543e-08,1.14348402747e-07
salt_3,V04,external_convection_hA,external_hA_2p0,salt_3__V04__external_hA_2p0,case_baseline_delta,0.0224379768059,0.0216351544787,-0.000802822327149,49.7430738118,46.7860496418,-2.95702416997,284.756460812,287.712836917,2.95637610427,-9.27229848458e-10,1.27874955069e-09,2.20597939915e-09,-2.00182483923e-08,7.57598925816e-08,9.57781409738e-08
salt_3,V05,radiation,radiation_on,salt_3__V05__radiation_on,case_baseline_delta,0.0224379768059,0.0224379768059,0,49.7430738118,49.7430738118,0,284.756460812,284.756460812,0,-9.27229848458e-10,-9.27229848458e-10,0,-2.00182483923e-08,-2.00182483923e-08,0
salt_3,V07,pressure_loss_terms,major_loss_0p9,salt_3__V07__major_loss_0p9,case_baseline_delta,0.0224379768059,0.0234371313415,0.000999154535694,49.7430738118,49.7521199993,0.00904618747748,284.756460812,284.747432385,-0.00902842777083,-9.27229848458e-10,1.52249413077e-09,2.44972397923e-09,-2.00182483923e-08,-8.25361894385e-08,-6.25179410463e-08
salt_3,V07,pressure_loss_terms,major_loss_1p1,salt_3__V07__major_loss_1p1,case_baseline_delta,0.0224379768059,0.0215513410929,-0.000886635712949,49.7430738118,49.7343653827,-0.00870842911795,284.756460812,284.765152108,0.00869129515428,-9.27229848458e-10,-1.08605036075e-09,-1.58820512297e-10,-2.00182483923e-08,-9.52108081265e-09,1.04971675796e-08
salt_4,V01,heater_source_fraction,upstream_plus_0p10,salt_4__V01__upstream_plus_0p10,case_baseline_delta,0.0250322463943,0.0249462168403,-8.60295539939e-05,53.9069751001,53.9108531863,0.0038780861566,320.69240018,320.688390975,-0.00400920508156,1.70564362634e-09,2.68892108579e-09,9.83277459454e-10,-1.06750057682e-07,-1.03429897536e-07,3.32016014681e-09
salt_4,V01,heater_source_fraction,downstream_plus_0p10,salt_4__V01__downstream_plus_0p10,case_baseline_delta,0.0250322463943,0.0242332560044,-0.000798990389862,53.9069751001,53.9473136554,0.0403385553055,320.69240018,320.65197496,-0.0404252192851,1.70564362634e-09,2.56318344327e-09,8.57539816934e-10,-1.06750057682e-07,1.23718514544e-07,2.30468572227e-07
salt_4,V02,cooler_hx_strength,hx_ua_0p8,salt_4__V02__hx_ua_0p8,case_baseline_delta,0.0250322463943,0.0250273497984,-4.89659586117e-06,53.9069751001,45.487930922,-8.41904417812,320.69240018,329.111350205,8.41895002511,1.70564362634e-09,2.84410361928e-09,1.13845999294e-09,-1.06750057682e-07,1.31077641186e-07,2.37827698868e-07
salt_4,V02,cooler_hx_strength,hx_ua_1p2,salt_4__V02__hx_ua_1p2,case_baseline_delta,0.0250322463943,0.025021896961,-1.03494332842e-05,53.9069751001,61.4124426975,7.50546759739,320.69240018,313.18701315,-7.50538703021,1.70564362634e-09,7.81597009336e-10,-9.24046617001e-10,-1.06750057682e-07,-8.11354468055e-08,2.56146108768e-08
salt_4,V03,ambient_temperature,ambient_minus_2K,salt_4__V03__ambient_minus_2K,case_baseline_delta,0.0250322463943,0.0249598194748,-7.24269194347e-05,53.9069751001,53.6788018932,-0.228173206898,320.69240018,320.920575453,0.228175273071,1.70564362634e-09,-4.69412952953e-10,-2.17505657929e-09,-1.06750057682e-07,-1.36356241853e-07,-2.96061841709e-08
salt_4,V03,ambient_temperature,ambient_plus_2K,salt_4__V03__ambient_plus_2K,case_baseline_delta,0.0250322463943,0.025104407858,7.21614637035e-05,53.9069751001,54.1354523269,0.228477226789,320.69240018,320.463921013,-0.228479166252,1.70564362634e-09,-6.69160726829e-10,-2.37480435317e-09,-1.06750057682e-07,3.38551870982e-08,1.40605244781e-07
salt_4,V04,external_convection_hA,external_hA_0p5,salt_4__V04__external_hA_0p5,case_baseline_delta,0.0250322463943,0.0255343805441,0.000502134149799,53.9069751001,55.9459406747,2.03896557454,320.69240018,318.653707911,-2.03869226864,1.70564362634e-09,-4.48358150607e-09,-6.1892251324e-09,-1.06750057682e-07,-1.22905653654e-07,-1.61555959721e-08
salt_4,V04,external_convection_hA,external_hA_2p0,salt_4__V04__external_hA_2p0,case_baseline_delta,0.0250322463943,0.0242539091283,-0.000778337265928,53.9069751001,50.8214357447,-3.08553935547,320.69240018,323.777265943,3.0848657635,1.70564362634e-09,-8.30368662719e-10,-2.53601228906e-09,-1.06750057682e-07,3.80089915097e-09,1.10550956833e-07
salt_4,V05,radiation,radiation_on,salt_4__V05__radiation_on,case_baseline_delta,0.0250322463943,0.0250322463943,0,53.9069751001,53.9069751001,0,320.69240018,320.69240018,0,1.70564362634e-09,1.70564362634e-09,0,-1.06750057682e-07,-1.06750057682e-07,0
salt_4,V07,pressure_loss_terms,major_loss_0p9,salt_4__V07__major_loss_0p9,case_baseline_delta,0.0250322463943,0.0260968636095,0.00106461721522,53.9069751001,53.915677306,0.00870220583764,320.69240018,320.683721139,-0.00867904036744,1.70564362634e-09,-8.32869773149e-10,-2.53851339949e-09,-1.06750057682e-07,-1.2063948418e-07,-1.38894264978e-08
salt_4,V07,pressure_loss_terms,major_loss_1p1,salt_4__V07__major_loss_1p1,case_baseline_delta,0.0250322463943,0.024081442142,-0.000950804252273,53.9069751001,53.8985613921,-0.00841370800588,320.69240018,320.700791743,0.00839156280767,1.70564362634e-09,-8.57198756421e-10,-2.56284238276e-09,-1.06750057682e-07,1.14966809406e-07,2.21716867088e-07
