source_task,package,artifact,lane_id,candidate_id,case_id,root_status,accepted_case_count,finite_case_count,policy,use_in_this_task
AGENT-529,work_products/2026-07/2026-07-17/2026-07-17_heater_source_leave_salt3_out_score,nominal_coupled_scorecard.csv,HS1_BASELINE_LOSO_SALT124,HS1_BASELINE_LOSO_SALT124_heater_source_lam_0p50_PLUS_HX_LUMPED_UA_NTU,salt_4,rejected,,,finite rejected roots were diagnostic only,"prior blocker context, not replayed admission evidence"
AGENT-529,work_products/2026-07/2026-07-17/2026-07-17_heater_source_leave_salt3_out_score,nominal_coupled_scorecard.csv,HS1_BASELINE_LOSO_SALT124,HS1_BASELINE_LOSO_SALT124_heater_source_lam_0p55_PLUS_HX_LUMPED_UA_NTU,salt_4,rejected,,,finite rejected roots were diagnostic only,"prior blocker context, not replayed admission evidence"
AGENT-529,work_products/2026-07/2026-07-17/2026-07-17_heater_source_leave_salt3_out_score,nominal_coupled_scorecard.csv,HS1_BASELINE_LOSO_SALT124,HS1_BASELINE_LOSO_SALT124_heater_source_lam_0p60_PLUS_HX_LUMPED_UA_NTU,salt_4,rejected,,,finite rejected roots were diagnostic only,"prior blocker context, not replayed admission evidence"
AGENT-529,work_products/2026-07/2026-07-17/2026-07-17_heater_source_leave_salt3_out_score,nominal_coupled_scorecard.csv,HS1_BASELINE_LOSO_SALT124,HS1_BASELINE_LOSO_SALT124_heater_source_lam_0p65_PLUS_HX_LUMPED_UA_NTU,salt_4,rejected,,,finite rejected roots were diagnostic only,"prior blocker context, not replayed admission evidence"
AGENT-529,work_products/2026-07/2026-07-17/2026-07-17_heater_source_leave_salt3_out_score,nominal_coupled_scorecard.csv,HS1_BASELINE_LOSO_SALT124,HS1_BASELINE_LOSO_SALT124_heater_source_lam_0p70_PLUS_HX_LUMPED_UA_NTU,salt_4,rejected,,,finite rejected roots were diagnostic only,"prior blocker context, not replayed admission evidence"
AGENT-529,work_products/2026-07/2026-07-17/2026-07-17_heater_source_leave_salt3_out_score,nominal_coupled_scorecard.csv,HS1_BASELINE_LOSO_SALT124,HS1_BASELINE_LOSO_SALT124_heater_source_lam_0p75_PLUS_HX_LUMPED_UA_NTU,salt_4,rejected,,,finite rejected roots were diagnostic only,"prior blocker context, not replayed admission evidence"
AGENT-529,work_products/2026-07/2026-07-17/2026-07-17_heater_source_leave_salt3_out_score,nominal_coupled_scorecard.csv,HS1_BASELINE_LOSO_SALT124,HS1_BASELINE_LOSO_SALT124_heater_source_lam_0p80_PLUS_HX_LUMPED_UA_NTU,salt_4,rejected,,,finite rejected roots were diagnostic only,"prior blocker context, not replayed admission evidence"
AGENT-529,work_products/2026-07/2026-07-17/2026-07-17_heater_source_leave_salt3_out_score,nominal_coupled_scorecard.csv,HS1_BASELINE_LOSO_SALT124,HS1_BASELINE_LOSO_SALT124_heater_source_lam_0p85_PLUS_HX_LUMPED_UA_NTU,salt_4,rejected,,,finite rejected roots were diagnostic only,"prior blocker context, not replayed admission evidence"
AGENT-529,work_products/2026-07/2026-07-17/2026-07-17_heater_source_leave_salt3_out_score,nominal_coupled_scorecard.csv,HS1_BASELINE_LOSO_SALT124,HS1_BASELINE_LOSO_SALT124_heater_source_lam_0p90_PLUS_HX_LUMPED_UA_NTU,salt_4,rejected,,,finite rejected roots were diagnostic only,"prior blocker context, not replayed admission evidence"
AGENT-529,work_products/2026-07/2026-07-17/2026-07-17_heater_source_leave_salt3_out_score,nominal_coupled_scorecard.csv,HS1_BASELINE_LOSO_SALT124,HS1_BASELINE_LOSO_SALT124_heater_source_lam_0p95_PLUS_HX_LUMPED_UA_NTU,salt_4,rejected,,,finite rejected roots were diagnostic only,"prior blocker context, not replayed admission evidence"
AGENT-529,work_products/2026-07/2026-07-17/2026-07-17_heater_source_leave_salt3_out_score,nominal_coupled_scorecard.csv,HS1_BASELINE_LOSO_SALT124,HS1_BASELINE_LOSO_SALT124_heater_source_lam_1p00_PLUS_HX_LUMPED_UA_NTU,salt_4,rejected,,,finite rejected roots were diagnostic only,"prior blocker context, not replayed admission evidence"
AGENT-529,work_products/2026-07/2026-07-17/2026-07-17_heater_source_leave_salt3_out_score,nominal_coupled_scorecard.csv,HS1_BASELINE_LOSO_SALT124,HS1_BASELINE_LOSO_SALT124_heater_source_lam_1p00_PLUS_HX_LUMPED_UA_NTU,salt_4,rejected,,,finite rejected roots were diagnostic only,"prior blocker context, not replayed admission evidence"
AGENT-529,work_products/2026-07/2026-07-17/2026-07-17_heater_source_leave_salt3_out_score,training_objective_by_lambda.csv,HS1_BASELINE_LOSO_SALT124,HS1_BASELINE_LOSO_SALT124_heater_source_lam_0p00_PLUS_HX_LUMPED_UA_NTU,"salt_1,salt_2,salt_4",selection_blocked_by_rejected_train_root,2,3,strict selection requires accepted roots for Salt1/Salt2/Salt4; finite rejected roots are diagnostic only,confirms strict accepted-root policy was already documented
AGENT-529,work_products/2026-07/2026-07-17/2026-07-17_heater_source_leave_salt3_out_score,training_objective_by_lambda.csv,HS1_BASELINE_LOSO_SALT124,HS1_BASELINE_LOSO_SALT124_heater_source_lam_0p05_PLUS_HX_LUMPED_UA_NTU,"salt_1,salt_2,salt_4",selection_blocked_by_rejected_train_root,2,3,strict selection requires accepted roots for Salt1/Salt2/Salt4; finite rejected roots are diagnostic only,confirms strict accepted-root policy was already documented
AGENT-529,work_products/2026-07/2026-07-17/2026-07-17_heater_source_leave_salt3_out_score,training_objective_by_lambda.csv,HS1_BASELINE_LOSO_SALT124,HS1_BASELINE_LOSO_SALT124_heater_source_lam_0p10_PLUS_HX_LUMPED_UA_NTU,"salt_1,salt_2,salt_4",selection_blocked_by_rejected_train_root,2,3,strict selection requires accepted roots for Salt1/Salt2/Salt4; finite rejected roots are diagnostic only,confirms strict accepted-root policy was already documented
AGENT-529,work_products/2026-07/2026-07-17/2026-07-17_heater_source_leave_salt3_out_score,training_objective_by_lambda.csv,HS1_BASELINE_LOSO_SALT124,HS1_BASELINE_LOSO_SALT124_heater_source_lam_0p15_PLUS_HX_LUMPED_UA_NTU,"salt_1,salt_2,salt_4",selection_blocked_by_rejected_train_root,2,3,strict selection requires accepted roots for Salt1/Salt2/Salt4; finite rejected roots are diagnostic only,confirms strict accepted-root policy was already documented
AGENT-529,work_products/2026-07/2026-07-17/2026-07-17_heater_source_leave_salt3_out_score,training_objective_by_lambda.csv,HS1_BASELINE_LOSO_SALT124,HS1_BASELINE_LOSO_SALT124_heater_source_lam_0p20_PLUS_HX_LUMPED_UA_NTU,"salt_1,salt_2,salt_4",selection_blocked_by_rejected_train_root,2,3,strict selection requires accepted roots for Salt1/Salt2/Salt4; finite rejected roots are diagnostic only,confirms strict accepted-root policy was already documented
AGENT-529,work_products/2026-07/2026-07-17/2026-07-17_heater_source_leave_salt3_out_score,training_objective_by_lambda.csv,HS1_BASELINE_LOSO_SALT124,HS1_BASELINE_LOSO_SALT124_heater_source_lam_0p25_PLUS_HX_LUMPED_UA_NTU,"salt_1,salt_2,salt_4",selection_blocked_by_rejected_train_root,2,3,strict selection requires accepted roots for Salt1/Salt2/Salt4; finite rejected roots are diagnostic only,confirms strict accepted-root policy was already documented
AGENT-529,work_products/2026-07/2026-07-17/2026-07-17_heater_source_leave_salt3_out_score,training_objective_by_lambda.csv,HS1_BASELINE_LOSO_SALT124,HS1_BASELINE_LOSO_SALT124_heater_source_lam_0p30_PLUS_HX_LUMPED_UA_NTU,"salt_1,salt_2,salt_4",selection_blocked_by_rejected_train_root,2,3,strict selection requires accepted roots for Salt1/Salt2/Salt4; finite rejected roots are diagnostic only,confirms strict accepted-root policy was already documented
AGENT-529,work_products/2026-07/2026-07-17/2026-07-17_heater_source_leave_salt3_out_score,training_objective_by_lambda.csv,HS1_BASELINE_LOSO_SALT124,HS1_BASELINE_LOSO_SALT124_heater_source_lam_0p35_PLUS_HX_LUMPED_UA_NTU,"salt_1,salt_2,salt_4",selection_blocked_by_rejected_train_root,2,3,strict selection requires accepted roots for Salt1/Salt2/Salt4; finite rejected roots are diagnostic only,confirms strict accepted-root policy was already documented
AGENT-529,work_products/2026-07/2026-07-17/2026-07-17_heater_source_leave_salt3_out_score,training_objective_by_lambda.csv,HS1_BASELINE_LOSO_SALT124,HS1_BASELINE_LOSO_SALT124_heater_source_lam_0p40_PLUS_HX_LUMPED_UA_NTU,"salt_1,salt_2,salt_4",selection_blocked_by_rejected_train_root,2,3,strict selection requires accepted roots for Salt1/Salt2/Salt4; finite rejected roots are diagnostic only,confirms strict accepted-root policy was already documented
AGENT-529,work_products/2026-07/2026-07-17/2026-07-17_heater_source_leave_salt3_out_score,training_objective_by_lambda.csv,HS1_BASELINE_LOSO_SALT124,HS1_BASELINE_LOSO_SALT124_heater_source_lam_0p45_PLUS_HX_LUMPED_UA_NTU,"salt_1,salt_2,salt_4",selection_blocked_by_rejected_train_root,2,3,strict selection requires accepted roots for Salt1/Salt2/Salt4; finite rejected roots are diagnostic only,confirms strict accepted-root policy was already documented
AGENT-529,work_products/2026-07/2026-07-17/2026-07-17_heater_source_leave_salt3_out_score,training_objective_by_lambda.csv,HS1_BASELINE_LOSO_SALT124,HS1_BASELINE_LOSO_SALT124_heater_source_lam_0p50_PLUS_HX_LUMPED_UA_NTU,"salt_1,salt_2,salt_4",selection_blocked_by_rejected_train_root,2,3,strict selection requires accepted roots for Salt1/Salt2/Salt4; finite rejected roots are diagnostic only,confirms strict accepted-root policy was already documented
AGENT-529,work_products/2026-07/2026-07-17/2026-07-17_heater_source_leave_salt3_out_score,training_objective_by_lambda.csv,HS1_BASELINE_LOSO_SALT124,HS1_BASELINE_LOSO_SALT124_heater_source_lam_0p55_PLUS_HX_LUMPED_UA_NTU,"salt_1,salt_2,salt_4",selection_blocked_by_rejected_train_root,2,3,strict selection requires accepted roots for Salt1/Salt2/Salt4; finite rejected roots are diagnostic only,confirms strict accepted-root policy was already documented
AGENT-529,work_products/2026-07/2026-07-17/2026-07-17_heater_source_leave_salt3_out_score,training_objective_by_lambda.csv,HS1_BASELINE_LOSO_SALT124,HS1_BASELINE_LOSO_SALT124_heater_source_lam_0p60_PLUS_HX_LUMPED_UA_NTU,"salt_1,salt_2,salt_4",selection_blocked_by_rejected_train_root,2,3,strict selection requires accepted roots for Salt1/Salt2/Salt4; finite rejected roots are diagnostic only,confirms strict accepted-root policy was already documented
AGENT-529,work_products/2026-07/2026-07-17/2026-07-17_heater_source_leave_salt3_out_score,training_objective_by_lambda.csv,HS1_BASELINE_LOSO_SALT124,HS1_BASELINE_LOSO_SALT124_heater_source_lam_0p65_PLUS_HX_LUMPED_UA_NTU,"salt_1,salt_2,salt_4",selection_blocked_by_rejected_train_root,2,3,strict selection requires accepted roots for Salt1/Salt2/Salt4; finite rejected roots are diagnostic only,confirms strict accepted-root policy was already documented
AGENT-529,work_products/2026-07/2026-07-17/2026-07-17_heater_source_leave_salt3_out_score,training_objective_by_lambda.csv,HS1_BASELINE_LOSO_SALT124,HS1_BASELINE_LOSO_SALT124_heater_source_lam_0p70_PLUS_HX_LUMPED_UA_NTU,"salt_1,salt_2,salt_4",selection_blocked_by_rejected_train_root,2,3,strict selection requires accepted roots for Salt1/Salt2/Salt4; finite rejected roots are diagnostic only,confirms strict accepted-root policy was already documented
AGENT-529,work_products/2026-07/2026-07-17/2026-07-17_heater_source_leave_salt3_out_score,training_objective_by_lambda.csv,HS1_BASELINE_LOSO_SALT124,HS1_BASELINE_LOSO_SALT124_heater_source_lam_0p75_PLUS_HX_LUMPED_UA_NTU,"salt_1,salt_2,salt_4",selection_blocked_by_rejected_train_root,2,3,strict selection requires accepted roots for Salt1/Salt2/Salt4; finite rejected roots are diagnostic only,confirms strict accepted-root policy was already documented
AGENT-529,work_products/2026-07/2026-07-17/2026-07-17_heater_source_leave_salt3_out_score,training_objective_by_lambda.csv,HS1_BASELINE_LOSO_SALT124,HS1_BASELINE_LOSO_SALT124_heater_source_lam_0p80_PLUS_HX_LUMPED_UA_NTU,"salt_1,salt_2,salt_4",selection_blocked_by_rejected_train_root,2,3,strict selection requires accepted roots for Salt1/Salt2/Salt4; finite rejected roots are diagnostic only,confirms strict accepted-root policy was already documented
AGENT-529,work_products/2026-07/2026-07-17/2026-07-17_heater_source_leave_salt3_out_score,training_objective_by_lambda.csv,HS1_BASELINE_LOSO_SALT124,HS1_BASELINE_LOSO_SALT124_heater_source_lam_0p85_PLUS_HX_LUMPED_UA_NTU,"salt_1,salt_2,salt_4",selection_blocked_by_rejected_train_root,2,3,strict selection requires accepted roots for Salt1/Salt2/Salt4; finite rejected roots are diagnostic only,confirms strict accepted-root policy was already documented
AGENT-529,work_products/2026-07/2026-07-17/2026-07-17_heater_source_leave_salt3_out_score,training_objective_by_lambda.csv,HS1_BASELINE_LOSO_SALT124,HS1_BASELINE_LOSO_SALT124_heater_source_lam_0p90_PLUS_HX_LUMPED_UA_NTU,"salt_1,salt_2,salt_4",selection_blocked_by_rejected_train_root,2,3,strict selection requires accepted roots for Salt1/Salt2/Salt4; finite rejected roots are diagnostic only,confirms strict accepted-root policy was already documented
AGENT-529,work_products/2026-07/2026-07-17/2026-07-17_heater_source_leave_salt3_out_score,training_objective_by_lambda.csv,HS1_BASELINE_LOSO_SALT124,HS1_BASELINE_LOSO_SALT124_heater_source_lam_0p95_PLUS_HX_LUMPED_UA_NTU,"salt_1,salt_2,salt_4",selection_blocked_by_rejected_train_root,2,3,strict selection requires accepted roots for Salt1/Salt2/Salt4; finite rejected roots are diagnostic only,confirms strict accepted-root policy was already documented
AGENT-529,work_products/2026-07/2026-07-17/2026-07-17_heater_source_leave_salt3_out_score,training_objective_by_lambda.csv,HS1_BASELINE_LOSO_SALT124,HS1_BASELINE_LOSO_SALT124_heater_source_lam_1p00_PLUS_HX_LUMPED_UA_NTU,"salt_1,salt_2,salt_4",selection_blocked_by_rejected_train_root,2,3,strict selection requires accepted roots for Salt1/Salt2/Salt4; finite rejected roots are diagnostic only,confirms strict accepted-root policy was already documented
