case_id,candidate_id,engine,sample_index,sample_role,T0_K,residual_K,end_temperature_K,qhx_total_W,qambient_total_W,predicted_air_outlet_temperature_K
salt_3,UMX1_exchange_0p01,fast_scan,7,expanded_upper,551.79,0.731595439658,552.52159544,54.8207078716,256.228224243,380.882436019
salt_3,UMX1_exchange_0p01,fast_scan,8,expanded_upper,552.79,0.678990188522,553.468990189,55.0479316858,257.741029388,381.24189101
salt_3,UMX1_exchange_0p01,fast_scan,9,expanded_upper,554.79,0.573345385924,555.363345386,55.5026157335,260.780764537,381.961716879
salt_3,UMX1_exchange_0p01,fast_scan,10,expanded_upper,557.79,0.413788805713,558.203788806,56.1852299438,265.375802247,383.04374201
salt_3,UMX1_exchange_0p01,fast_scan,11,expanded_upper,562.79,0.144940339325,562.934940339,57.3244710823,273.129232954,384.8531914
salt_3,UMX1_exchange_0p01,fast_scan,12,expanded_upper,570.79,-0.292875090817,570.497124909,59.1511786916,285.78403024,387.763947447
salt_3,UMX1_exchange_0p05,fast_scan,0,initial_lower,274.79,10.0733974859,284.863397486,0,0,299.79
salt_3,UMX1_exchange_0p05,fast_scan,1,initial_upper,549.79,0.903265465818,550.693265466,54.3825211943,253.303543741,380.189760007
salt_3,UMX1_exchange_0p05,fast_scan,2,expanded_upper,550.04,0.89037391168,550.930373912,54.4393239008,253.679255024,380.279514577
salt_3,UMX1_exchange_0p05,fast_scan,3,expanded_upper,550.29,0.87747345614,551.167473456,54.496131593,254.05525953,380.369288325
salt_3,UMX1_exchange_0p05,fast_scan,4,expanded_upper,550.54,0.864564095367,551.404564095,54.5529442691,254.431557391,380.459081249
salt_3,UMX1_exchange_0p05,fast_scan,5,expanded_upper,550.79,0.851645825531,551.641645826,54.6097619275,254.808148737,380.548893348
salt_3,UMX1_exchange_0p05,fast_scan,6,expanded_upper,551.29,0.825782543391,552.115782543,54.7234121839,255.562212401,380.728575063
salt_3,UMX1_exchange_0p05,fast_scan,7,expanded_upper,551.79,0.799883579204,552.589883579,54.8370823467,256.317451561,380.908333458
salt_3,UMX1_exchange_0p05,fast_scan,8,expanded_upper,552.79,0.74797848306,553.537978483,55.0644823238,257.831460519,381.26808022
salt_3,UMX1_exchange_0p05,fast_scan,9,expanded_upper,554.79,0.643738773227,555.433738773,55.5195203332,260.873629936,381.988493054
salt_3,UMX1_exchange_0p05,fast_scan,10,expanded_upper,557.79,0.486301822559,558.276301823,56.2026695623,265.472386276,383.071407181
salt_3,UMX1_exchange_0p05,fast_scan,11,expanded_upper,562.79,0.22101819537,563.011018195,57.3428131808,273.232196758,384.882360969
salt_3,UMX1_exchange_0p05,fast_scan,12,expanded_upper,570.79,-0.211009351401,570.578990649,59.1709921868,285.89768668,387.795582492
salt_4,UMX1_disabled_baseline,fast_scan,0,initial_lower,274.97,11.3687676327,286.338767633,0,0,299.97
salt_4,UMX1_disabled_baseline,fast_scan,1,initial_upper,549.97,2.02500412902,551.995004129,54.3608067708,253.516216576,380.381076389
salt_4,UMX1_disabled_baseline,fast_scan,2,expanded_upper,550.22,2.01188113224,552.231881132,54.4175515405,253.891872057,380.47078457
salt_4,UMX1_disabled_baseline,fast_scan,3,expanded_upper,550.47,1.99874910298,552.468749103,54.4743012497,254.267820215,380.560511843
salt_4,UMX1_disabled_baseline,fast_scan,4,expanded_upper,550.72,1.98560803736,552.705608037,54.5310558966,254.644061177,380.650258205
salt_4,UMX1_disabled_baseline,fast_scan,5,expanded_upper,550.97,1.97245793152,552.942457932,54.5878154794,255.020595074,380.740023656
salt_4,UMX1_disabled_baseline,fast_scan,6,expanded_upper,551.47,1.94613058376,553.416130584,54.7013494449,255.774542187,380.919611814
salt_4,UMX1_disabled_baseline,fast_scan,7,expanded_upper,551.97,1.91976702889,553.889767029,54.8149031301,256.529662584,381.099276302
salt_4,UMX1_disabled_baseline,fast_scan,8,expanded_upper,552.97,1.86693117501,554.836931175,55.0420695891,258.043427347,381.458834199
salt_4,UMX1_disabled_baseline,fast_scan,9,expanded_upper,554.97,1.7608236361,556.730823636,55.496638288,261.085081484,382.178865054
salt_4,UMX1_disabled_baseline,fast_scan,10,expanded_upper,557.97,1.60056912311,559.570569123,56.1790777702,265.682996728,383.261195408
salt_4,UMX1_disabled_baseline,fast_scan,11,expanded_upper,562.97,1.33054722326,564.300547223,57.3180226097,273.441219344,385.071146584
salt_4,UMX1_disabled_baseline,fast_scan,12,expanded_upper,570.97,0.890827750094,571.86082775,59.1442402857,286.10366719,387.98268299
salt_4,UMX1_disabled_baseline,fast_scan,13,expanded_upper,583.97,0.155857424635,584.125857425,62.1212883778,307.343730999,392.753684128
salt_4,UMX1_disabled_baseline,fast_scan,14,expanded_upper,604.97,-1.08574880396,603.884251196,66.9484862042,343.42716558,400.554020614
salt_4,UMX1_exchange_0p01,fast_scan,0,initial_lower,274.97,11.3521987776,286.322198778,0,0,299.97
salt_4,UMX1_exchange_0p01,fast_scan,1,initial_upper,549.97,2.04360024164,552.013600242,54.365261282,253.540279995,380.388118147
salt_4,UMX1_exchange_0p01,fast_scan,2,expanded_upper,550.22,2.03052493222,552.250524932,54.4220180339,253.916016602,380.477846158
salt_4,UMX1_exchange_0p01,fast_scan,3,expanded_upper,550.47,2.01744061776,552.487440618,54.4787797347,254.292046035,380.56759328
salt_4,UMX1_exchange_0p01,fast_scan,4,expanded_upper,550.72,2.0043472944,552.724347294,54.5355463826,254.668368424,380.657359511
salt_4,UMX1_exchange_0p01,fast_scan,5,expanded_upper,550.97,1.99124495828,552.961244958,54.5923179758,255.044983897,380.74714485
salt_4,UMX1_exchange_0p01,fast_scan,6,expanded_upper,551.47,1.96501323238,553.435013232,54.7058759904,255.799094613,380.926772844
salt_4,UMX1_exchange_0p01,fast_scan,7,expanded_upper,551.97,1.93874540933,553.908745409,54.8194537624,256.554379217,381.106477247
salt_4,UMX1_exchange_0p01,fast_scan,8,expanded_upper,552.97,1.88610134927,554.856101349,55.0466685076,258.068474212,381.466115208
salt_4,UMX1_exchange_0p01,fast_scan,9,expanded_upper,554.97,1.78037872095,556.750378721,55.5013342297,261.110796117,382.186307132
salt_4,UMX1_exchange_0p01,fast_scan,10,expanded_upper,557.97,1.62070489047,559.59070489,56.1839203694,265.709731445,383.268881445
salt_4,UMX1_exchange_0p01,fast_scan,11,expanded_upper,562.97,1.35165968054,564.321659681,57.3231126068,273.469704122,385.079245473
salt_4,UMX1_exchange_0p01,fast_scan,12,expanded_upper,570.97,0.913526186243,571.883526186,59.1497336677,286.135085055,387.991458514
salt_4,UMX1_exchange_0p01,fast_scan,13,expanded_upper,583.97,0.181194905132,584.151194905,62.1274557807,307.380277973,392.763599585
salt_4,UMX1_exchange_0p01,fast_scan,14,expanded_upper,604.97,-1.05598351405,603.914016486,66.9557798345,343.473005603,400.565865925
salt_4,UMX1_exchange_0p05,fast_scan,0,initial_lower,274.97,11.2903958363,286.260395836,0,0,299.97
salt_4,UMX1_exchange_0p05,fast_scan,1,initial_upper,549.97,2.11050804908,552.080508049,54.3812887345,253.627236726,380.413455159
salt_4,UMX1_exchange_0p05,fast_scan,2,expanded_upper,550.22,2.09760685922,552.317606859,54.4380892088,254.003269394,380.503255486
salt_4,UMX1_exchange_0p05,fast_scan,3,expanded_upper,550.47,2.08469676354,552.554696764,54.4948946661,254.379595436,380.593074995
salt_4,UMX1_exchange_0p05,fast_scan,4,expanded_upper,550.72,2.07177775822,552.791777758,54.5517051046,254.756214981,380.682913684
salt_4,UMX1_exchange_0p05,fast_scan,5,expanded_upper,550.97,2.05884983945,553.028849839,54.6085205226,255.133128159,380.772771552
salt_4,UMX1_exchange_0p05,fast_scan,6,expanded_upper,551.47,2.0329672463,553.502967246,54.7221662893,255.887835936,380.952544818
salt_4,UMX1_exchange_0p05,fast_scan,7,expanded_upper,551.97,2.00704895362,553.977048954,54.8358319498,256.643719803,381.132394778
salt_4,UMX1_exchange_0p05,fast_scan,8,expanded_upper,552.97,1.95510514831,554.925105148,55.0632228812,258.159019953,381.492324709
salt_4,UMX1_exchange_0p05,fast_scan,9,expanded_upper,554.97,1.85078781323,556.820787813,55.5182426103,261.20377883,382.213103994
salt_4,UMX1_exchange_0p05,fast_scan,10,expanded_upper,557.97,1.69323391547,559.663233915,56.2013638325,265.806436897,383.296567895
salt_4,UMX1_exchange_0p05,fast_scan,11,expanded_upper,562.97,1.42775405655,564.397754057,57.341458641,273.572796334,385.108437296
salt_4,UMX1_exchange_0p05,fast_scan,12,expanded_upper,570.97,0.995409281273,571.965409281,59.169551191,286.248881436,388.023117319
salt_4,UMX1_exchange_0p05,fast_scan,13,expanded_upper,583.97,0.272708218026,584.242708218,62.1497316244,307.512792752,392.799413989
salt_4,UMX1_exchange_0p05,fast_scan,14,expanded_upper,604.97,-0.948318103726,604.021681896,66.9821623424,343.639434182,400.608714247
