candidate_id,canonical_leg_id,case_id,reported_segment_or_span,qoi,fit_admissible,gate_vector,failure_reasons,source_path
salt4_lo5q:upcomer_outlet:left_upper_leg,upcomer_left_vertical,salt4_lo5q,upcomer_outlet,Nu,no,qoi=yes;non_upcomer=no;source_allows_fit=no;residual_owner=no;sign_heat_balance=no;recirculation=no;mesh_gci=no,non_upcomer;source_allows_fit;residual_owner;sign_heat_balance;recirculation;mesh_gci;source_gate_does_not_allow_internal_Nu_fit;residual_owner_gate=missing;sign_heat_balance_gate=fail:recirculation_hybrid_onset_lane_only;recirculation_gate=fail:upcomer/test-section parent is recirculation hybrid lane;fail_no_current_admitted_mesh_gci;test_section_and_left_spans_are_upcomer_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_branch_specific_ordinary_pipe_scorecard/ordinary_pipe_candidate_rows.csv
salt4_hi5q:upcomer_inlet:left_lower_leg,upcomer_left_vertical,salt4_hi5q,upcomer_inlet,Nu,no,qoi=yes;non_upcomer=no;source_allows_fit=no;residual_owner=no;sign_heat_balance=no;recirculation=no;mesh_gci=no,non_upcomer;source_allows_fit;residual_owner;sign_heat_balance;recirculation;mesh_gci;source_gate_does_not_allow_internal_Nu_fit;residual_owner_gate=missing;sign_heat_balance_gate=fail:recirculation_hybrid_onset_lane_only;recirculation_gate=fail:upcomer/test-section parent is recirculation hybrid lane;fail_no_current_admitted_mesh_gci;test_section_and_left_spans_are_upcomer_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_branch_specific_ordinary_pipe_scorecard/ordinary_pipe_candidate_rows.csv
salt4_hi5q:upcomer_mid:test_section_span,upcomer_left_vertical,salt4_hi5q,upcomer_mid,Nu,no,qoi=yes;non_upcomer=no;source_allows_fit=no;residual_owner=no;sign_heat_balance=no;recirculation=no;mesh_gci=no,non_upcomer;source_allows_fit;residual_owner;sign_heat_balance;recirculation;mesh_gci;source_gate_does_not_allow_internal_Nu_fit;residual_owner_gate=missing;sign_heat_balance_gate=fail:recirculation_hybrid_onset_lane_only;recirculation_gate=fail:upcomer/test-section parent is recirculation hybrid lane;fail_no_current_admitted_mesh_gci;test_section_and_left_spans_are_upcomer_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_branch_specific_ordinary_pipe_scorecard/ordinary_pipe_candidate_rows.csv
salt4_hi5q:upcomer_outlet:left_upper_leg,upcomer_left_vertical,salt4_hi5q,upcomer_outlet,Nu,no,qoi=yes;non_upcomer=no;source_allows_fit=no;residual_owner=no;sign_heat_balance=no;recirculation=no;mesh_gci=no,non_upcomer;source_allows_fit;residual_owner;sign_heat_balance;recirculation;mesh_gci;source_gate_does_not_allow_internal_Nu_fit;residual_owner_gate=missing;sign_heat_balance_gate=fail:recirculation_hybrid_onset_lane_only;recirculation_gate=fail:upcomer/test-section parent is recirculation hybrid lane;fail_no_current_admitted_mesh_gci;test_section_and_left_spans_are_upcomer_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_branch_specific_ordinary_pipe_scorecard/ordinary_pipe_candidate_rows.csv
salt2_lo5q:upcomer_inlet:left_lower_leg,upcomer_left_vertical,salt2_lo5q,left_lower_leg,Nu,no,qoi=yes;non_upcomer=no;source_allows_fit=no;residual_owner=no;sign_heat_balance=no;recirculation=no;mesh_gci=no,non_upcomer;source_allows_fit;residual_owner;sign_heat_balance;recirculation;mesh_gci;source_gate_does_not_allow_internal_Nu_fit;residual_owner_gate=missing;sign_heat_balance_gate=fail:recirculation_hybrid_onset_lane_only;recirculation_gate=fail:upcomer/test-section parent is recirculation hybrid lane;fail_no_current_admitted_mesh_gci;test_section_and_left_spans_are_upcomer_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_branch_specific_ordinary_pipe_scorecard/ordinary_pipe_candidate_rows.csv
salt2_lo5q:upcomer_mid:test_section_span,upcomer_left_vertical,salt2_lo5q,test_section_span,Nu,no,qoi=yes;non_upcomer=no;source_allows_fit=no;residual_owner=no;sign_heat_balance=no;recirculation=no;mesh_gci=no,non_upcomer;source_allows_fit;residual_owner;sign_heat_balance;recirculation;mesh_gci;source_gate_does_not_allow_internal_Nu_fit;residual_owner_gate=missing;sign_heat_balance_gate=fail:recirculation_hybrid_onset_lane_only;recirculation_gate=fail:upcomer/test-section parent is recirculation hybrid lane;fail_no_current_admitted_mesh_gci;test_section_and_left_spans_are_upcomer_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_branch_specific_ordinary_pipe_scorecard/ordinary_pipe_candidate_rows.csv
salt2_lo5q:upcomer_outlet:left_upper_leg,upcomer_left_vertical,salt2_lo5q,left_upper_leg,Nu,no,qoi=yes;non_upcomer=no;source_allows_fit=no;residual_owner=no;sign_heat_balance=no;recirculation=no;mesh_gci=no,non_upcomer;source_allows_fit;residual_owner;sign_heat_balance;recirculation;mesh_gci;source_gate_does_not_allow_internal_Nu_fit;residual_owner_gate=missing;sign_heat_balance_gate=fail:recirculation_hybrid_onset_lane_only;recirculation_gate=fail:upcomer/test-section parent is recirculation hybrid lane;fail_no_current_admitted_mesh_gci;test_section_and_left_spans_are_upcomer_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_branch_specific_ordinary_pipe_scorecard/ordinary_pipe_candidate_rows.csv
salt2_hi5q:upcomer_inlet:left_lower_leg,upcomer_left_vertical,salt2_hi5q,left_lower_leg,Nu,no,qoi=yes;non_upcomer=no;source_allows_fit=no;residual_owner=no;sign_heat_balance=no;recirculation=no;mesh_gci=no,non_upcomer;source_allows_fit;residual_owner;sign_heat_balance;recirculation;mesh_gci;source_gate_does_not_allow_internal_Nu_fit;residual_owner_gate=missing;sign_heat_balance_gate=fail:recirculation_hybrid_onset_lane_only;recirculation_gate=fail:upcomer/test-section parent is recirculation hybrid lane;fail_no_current_admitted_mesh_gci;test_section_and_left_spans_are_upcomer_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_branch_specific_ordinary_pipe_scorecard/ordinary_pipe_candidate_rows.csv
salt2_hi5q:upcomer_mid:test_section_span,upcomer_left_vertical,salt2_hi5q,test_section_span,Nu,no,qoi=yes;non_upcomer=no;source_allows_fit=no;residual_owner=no;sign_heat_balance=no;recirculation=no;mesh_gci=no,non_upcomer;source_allows_fit;residual_owner;sign_heat_balance;recirculation;mesh_gci;source_gate_does_not_allow_internal_Nu_fit;residual_owner_gate=missing;sign_heat_balance_gate=fail:recirculation_hybrid_onset_lane_only;recirculation_gate=fail:upcomer/test-section parent is recirculation hybrid lane;fail_no_current_admitted_mesh_gci;test_section_and_left_spans_are_upcomer_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_branch_specific_ordinary_pipe_scorecard/ordinary_pipe_candidate_rows.csv
salt2_hi5q:upcomer_outlet:left_upper_leg,upcomer_left_vertical,salt2_hi5q,left_upper_leg,Nu,no,qoi=yes;non_upcomer=no;source_allows_fit=no;residual_owner=no;sign_heat_balance=no;recirculation=no;mesh_gci=no,non_upcomer;source_allows_fit;residual_owner;sign_heat_balance;recirculation;mesh_gci;source_gate_does_not_allow_internal_Nu_fit;residual_owner_gate=missing;sign_heat_balance_gate=fail:recirculation_hybrid_onset_lane_only;recirculation_gate=fail:upcomer/test-section parent is recirculation hybrid lane;fail_no_current_admitted_mesh_gci;test_section_and_left_spans_are_upcomer_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_branch_specific_ordinary_pipe_scorecard/ordinary_pipe_candidate_rows.csv
salt4_lo5q:upcomer_inlet:left_lower_leg,upcomer_left_vertical,salt4_lo5q,left_lower_leg,Nu,no,qoi=yes;non_upcomer=no;source_allows_fit=no;residual_owner=no;sign_heat_balance=no;recirculation=no;mesh_gci=no,non_upcomer;source_allows_fit;residual_owner;sign_heat_balance;recirculation;mesh_gci;source_gate_does_not_allow_internal_Nu_fit;residual_owner_gate=missing;sign_heat_balance_gate=fail:recirculation_hybrid_onset_lane_only;recirculation_gate=fail:upcomer/test-section parent is recirculation hybrid lane;fail_no_current_admitted_mesh_gci;test_section_and_left_spans_are_upcomer_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_branch_specific_ordinary_pipe_scorecard/ordinary_pipe_candidate_rows.csv
salt4_lo5q:upcomer_mid:test_section_span,upcomer_left_vertical,salt4_lo5q,test_section_span,Nu,no,qoi=yes;non_upcomer=no;source_allows_fit=no;residual_owner=no;sign_heat_balance=no;recirculation=no;mesh_gci=no,non_upcomer;source_allows_fit;residual_owner;sign_heat_balance;recirculation;mesh_gci;source_gate_does_not_allow_internal_Nu_fit;residual_owner_gate=missing;sign_heat_balance_gate=fail:recirculation_hybrid_onset_lane_only;recirculation_gate=fail:upcomer/test-section parent is recirculation hybrid lane;fail_no_current_admitted_mesh_gci;test_section_and_left_spans_are_upcomer_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_branch_specific_ordinary_pipe_scorecard/ordinary_pipe_candidate_rows.csv
salt4_lo5q:upcomer_outlet:left_upper_leg,upcomer_left_vertical,salt4_lo5q,left_upper_leg,Nu,no,qoi=yes;non_upcomer=no;source_allows_fit=no;residual_owner=no;sign_heat_balance=no;recirculation=no;mesh_gci=no,non_upcomer;source_allows_fit;residual_owner;sign_heat_balance;recirculation;mesh_gci;source_gate_does_not_allow_internal_Nu_fit;residual_owner_gate=missing;sign_heat_balance_gate=fail:recirculation_hybrid_onset_lane_only;recirculation_gate=fail:upcomer/test-section parent is recirculation hybrid lane;fail_no_current_admitted_mesh_gci;test_section_and_left_spans_are_upcomer_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_branch_specific_ordinary_pipe_scorecard/ordinary_pipe_candidate_rows.csv
salt4_hi5q:upcomer_inlet:left_lower_leg,upcomer_left_vertical,salt4_hi5q,left_lower_leg,Nu,no,qoi=yes;non_upcomer=no;source_allows_fit=no;residual_owner=no;sign_heat_balance=no;recirculation=no;mesh_gci=no,non_upcomer;source_allows_fit;residual_owner;sign_heat_balance;recirculation;mesh_gci;source_gate_does_not_allow_internal_Nu_fit;residual_owner_gate=missing;sign_heat_balance_gate=fail:recirculation_hybrid_onset_lane_only;recirculation_gate=fail:upcomer/test-section parent is recirculation hybrid lane;fail_no_current_admitted_mesh_gci;test_section_and_left_spans_are_upcomer_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_branch_specific_ordinary_pipe_scorecard/ordinary_pipe_candidate_rows.csv
salt4_hi5q:upcomer_mid:test_section_span,upcomer_left_vertical,salt4_hi5q,test_section_span,Nu,no,qoi=yes;non_upcomer=no;source_allows_fit=no;residual_owner=no;sign_heat_balance=no;recirculation=no;mesh_gci=no,non_upcomer;source_allows_fit;residual_owner;sign_heat_balance;recirculation;mesh_gci;source_gate_does_not_allow_internal_Nu_fit;residual_owner_gate=missing;sign_heat_balance_gate=fail:recirculation_hybrid_onset_lane_only;recirculation_gate=fail:upcomer/test-section parent is recirculation hybrid lane;fail_no_current_admitted_mesh_gci;test_section_and_left_spans_are_upcomer_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_branch_specific_ordinary_pipe_scorecard/ordinary_pipe_candidate_rows.csv
salt4_hi5q:upcomer_outlet:left_upper_leg,upcomer_left_vertical,salt4_hi5q,left_upper_leg,Nu,no,qoi=yes;non_upcomer=no;source_allows_fit=no;residual_owner=no;sign_heat_balance=no;recirculation=no;mesh_gci=no,non_upcomer;source_allows_fit;residual_owner;sign_heat_balance;recirculation;mesh_gci;source_gate_does_not_allow_internal_Nu_fit;residual_owner_gate=missing;sign_heat_balance_gate=fail:recirculation_hybrid_onset_lane_only;recirculation_gate=fail:upcomer/test-section parent is recirculation hybrid lane;fail_no_current_admitted_mesh_gci;test_section_and_left_spans_are_upcomer_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_branch_specific_ordinary_pipe_scorecard/ordinary_pipe_candidate_rows.csv
branch:downcomer_right_vertical,downcomer_right_vertical,branch_level,downcomer_right_vertical,Nu,no,qoi=yes;non_upcomer=yes;source_allows_fit=no;residual_owner=no;sign_heat_balance=no;recirculation=no;mesh_gci=no,source_allows_fit;residual_owner;sign_heat_balance;recirculation;mesh_gci;source_gate_does_not_allow_internal_Nu_fit;residual_owner_gate=missing;sign_heat_balance_gate=fail:waiting_on_branch_rows;recirculation_gate=unknown:no branch-local recirculation metric;fail_no_current_admitted_mesh_gci,work_products/2026-07/2026-07-15/2026-07-15_branch_specific_ordinary_pipe_scorecard/branch_specific_fit_mask.csv
branch:heater_lower_leg,heater_lower_leg,branch_level,heater_lower_leg,Nu,no,qoi=yes;non_upcomer=yes;source_allows_fit=no;residual_owner=no;sign_heat_balance=no;recirculation=no;mesh_gci=no,source_allows_fit;residual_owner;sign_heat_balance;recirculation;mesh_gci;source_gate_does_not_allow_internal_Nu_fit;residual_owner_gate=missing;sign_heat_balance_gate=fail:waiting_on_branch_rows;recirculation_gate=unknown:no branch-local recirculation metric;fail_no_current_admitted_mesh_gci,work_products/2026-07/2026-07-15/2026-07-15_branch_specific_ordinary_pipe_scorecard/branch_specific_fit_mask.csv
branch:cooler_hx_branch,cooler_hx_branch,branch_level,cooler_hx_branch,Nu,no,qoi=yes;non_upcomer=yes;source_allows_fit=no;residual_owner=no;sign_heat_balance=no;recirculation=no;mesh_gci=no,source_allows_fit;residual_owner;sign_heat_balance;recirculation;mesh_gci;source_gate_does_not_allow_internal_Nu_fit;residual_owner_gate=missing;sign_heat_balance_gate=fail:waiting_on_branch_rows;recirculation_gate=unknown:no branch-local recirculation metric;fail_no_current_admitted_mesh_gci,work_products/2026-07/2026-07-15/2026-07-15_branch_specific_ordinary_pipe_scorecard/branch_specific_fit_mask.csv
branch:test_section,upcomer_left_vertical,branch_level,test_section,Nu,no,qoi=yes;non_upcomer=no;source_allows_fit=no;residual_owner=no;sign_heat_balance=no;recirculation=no;mesh_gci=no,non_upcomer;source_allows_fit;residual_owner;sign_heat_balance;recirculation;mesh_gci;source_gate_does_not_allow_internal_Nu_fit;residual_owner_gate=missing;sign_heat_balance_gate=fail:no;recirculation_gate=fail:upcomer/test-section parent is recirculation hybrid lane;fail_no_current_admitted_mesh_gci;test_section_and_left_spans_are_upcomer_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_branch_specific_ordinary_pipe_scorecard/branch_specific_fit_mask.csv
branch:junction_stub_connector,junction_stub_connector,branch_level,junction_stub_connector,Nu,no,qoi=yes;non_upcomer=yes;source_allows_fit=no;residual_owner=no;sign_heat_balance=no;recirculation=no;mesh_gci=no,source_allows_fit;residual_owner;sign_heat_balance;recirculation;mesh_gci;source_gate_does_not_allow_internal_Nu_fit;residual_owner_gate=missing;sign_heat_balance_gate=fail:no;recirculation_gate=unknown:no branch-local recirculation metric;fail_no_current_admitted_mesh_gci,work_products/2026-07/2026-07-15/2026-07-15_branch_specific_ordinary_pipe_scorecard/branch_specific_fit_mask.csv
branch:upcomer_left_vertical,upcomer_left_vertical,branch_level,upcomer_left_vertical,Nu,no,qoi=yes;non_upcomer=no;source_allows_fit=no;residual_owner=no;sign_heat_balance=no;recirculation=no;mesh_gci=no,non_upcomer;source_allows_fit;residual_owner;sign_heat_balance;recirculation;mesh_gci;source_gate_does_not_allow_internal_Nu_fit;residual_owner_gate=missing;sign_heat_balance_gate=fail:no;recirculation_gate=fail:upcomer/test-section parent is recirculation hybrid lane;fail_no_current_admitted_mesh_gci;test_section_and_left_spans_are_upcomer_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_branch_specific_ordinary_pipe_scorecard/branch_specific_fit_mask.csv
