source_family,required_qoi,current_coverage_status,usable_for_phase4b_now,requires_terminal_success,requires_sampler_or_harvest,next_action,source_paths
high_heat_terminal_gated,V_recirc,not_exchange_source_now,false,false,false,"High heat is pressure/onset anchor first, not full exchange source.",work_products/2026-07/2026-07-21/2026-07-21_pressure_corner_low_recirc_anchor_harvest/candidate_terminal_preflight.csv;work_products/2026-07/2026-07-21/2026-07-21_pressure_corner_low_recirc_anchor_harvest/source_case_readiness.csv;work_products/2026-07/2026-07-21/2026-07-21_pressure_corner_low_recirc_anchor_harvest/endpoint_field_availability.csv;work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_evidence_preflight/scoped_sampler_source_queue.csv
high_heat_terminal_gated,mdot_exchange,not_exchange_source_now,false,false,false,"High heat is pressure/onset anchor first, not full exchange source.",work_products/2026-07/2026-07-21/2026-07-21_pressure_corner_low_recirc_anchor_harvest/candidate_terminal_preflight.csv;work_products/2026-07/2026-07-21/2026-07-21_pressure_corner_low_recirc_anchor_harvest/source_case_readiness.csv;work_products/2026-07/2026-07-21/2026-07-21_pressure_corner_low_recirc_anchor_harvest/endpoint_field_availability.csv;work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_evidence_preflight/scoped_sampler_source_queue.csv
high_heat_terminal_gated,tau_recirc,not_exchange_source_now,false,false,false,"High heat is pressure/onset anchor first, not full exchange source.",work_products/2026-07/2026-07-21/2026-07-21_pressure_corner_low_recirc_anchor_harvest/candidate_terminal_preflight.csv;work_products/2026-07/2026-07-21/2026-07-21_pressure_corner_low_recirc_anchor_harvest/source_case_readiness.csv;work_products/2026-07/2026-07-21/2026-07-21_pressure_corner_low_recirc_anchor_harvest/endpoint_field_availability.csv;work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_evidence_preflight/scoped_sampler_source_queue.csv
high_heat_terminal_gated,T_main_T_recirc,not_exchange_source_now,false,false,false,"High heat is pressure/onset anchor first, not full exchange source.",work_products/2026-07/2026-07-21/2026-07-21_pressure_corner_low_recirc_anchor_harvest/candidate_terminal_preflight.csv;work_products/2026-07/2026-07-21/2026-07-21_pressure_corner_low_recirc_anchor_harvest/source_case_readiness.csv;work_products/2026-07/2026-07-21/2026-07-21_pressure_corner_low_recirc_anchor_harvest/endpoint_field_availability.csv;work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_evidence_preflight/scoped_sampler_source_queue.csv
high_heat_terminal_gated,wall_core_delta_T,not_exchange_source_now,false,false,false,"High heat is pressure/onset anchor first, not full exchange source.",work_products/2026-07/2026-07-21/2026-07-21_pressure_corner_low_recirc_anchor_harvest/candidate_terminal_preflight.csv;work_products/2026-07/2026-07-21/2026-07-21_pressure_corner_low_recirc_anchor_harvest/source_case_readiness.csv;work_products/2026-07/2026-07-21/2026-07-21_pressure_corner_low_recirc_anchor_harvest/endpoint_field_availability.csv;work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_evidence_preflight/scoped_sampler_source_queue.csv
high_heat_terminal_gated,pressure_residual_basis,terminal_gated_pressure_endpoint_potential,false,true,true,Potential pressure anchor after terminal endpoint harvest.,work_products/2026-07/2026-07-21/2026-07-21_pressure_corner_low_recirc_anchor_harvest/candidate_terminal_preflight.csv;work_products/2026-07/2026-07-21/2026-07-21_pressure_corner_low_recirc_anchor_harvest/source_case_readiness.csv;work_products/2026-07/2026-07-21/2026-07-21_pressure_corner_low_recirc_anchor_harvest/endpoint_field_availability.csv;work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_evidence_preflight/scoped_sampler_source_queue.csv
high_heat_terminal_gated,same_QOI_UQ,missing_requires_same_qoi_plan,false,false,false,Same-QOI UQ absent.,work_products/2026-07/2026-07-21/2026-07-21_pressure_corner_low_recirc_anchor_harvest/candidate_terminal_preflight.csv;work_products/2026-07/2026-07-21/2026-07-21_pressure_corner_low_recirc_anchor_harvest/source_case_readiness.csv;work_products/2026-07/2026-07-21/2026-07-21_pressure_corner_low_recirc_anchor_harvest/endpoint_field_availability.csv;work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_evidence_preflight/scoped_sampler_source_queue.csv
high_heat_terminal_gated,RAF_RMF_SVF,not_exchange_source_now,false,false,false,"High heat is pressure/onset anchor first, not full exchange source.",work_products/2026-07/2026-07-21/2026-07-21_pressure_corner_low_recirc_anchor_harvest/candidate_terminal_preflight.csv;work_products/2026-07/2026-07-21/2026-07-21_pressure_corner_low_recirc_anchor_harvest/source_case_readiness.csv;work_products/2026-07/2026-07-21/2026-07-21_pressure_corner_low_recirc_anchor_harvest/endpoint_field_availability.csv;work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_evidence_preflight/scoped_sampler_source_queue.csv
high_heat_terminal_gated,energy_residual,not_exchange_source_now,false,false,false,"High heat is pressure/onset anchor first, not full exchange source.",work_products/2026-07/2026-07-21/2026-07-21_pressure_corner_low_recirc_anchor_harvest/candidate_terminal_preflight.csv;work_products/2026-07/2026-07-21/2026-07-21_pressure_corner_low_recirc_anchor_harvest/source_case_readiness.csv;work_products/2026-07/2026-07-21/2026-07-21_pressure_corner_low_recirc_anchor_harvest/endpoint_field_availability.csv;work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_evidence_preflight/scoped_sampler_source_queue.csv
pm10_pressure_only_target,terminal_state,not_exchange_source,false,false,false,Do not use for exchange-state sampling.,work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/recirc_harvest_readiness.csv
pm10_pressure_only_target,V_recirc,not_exchange_source,false,false,false,Do not use for exchange-state sampling.,work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/recirc_harvest_readiness.csv
pm10_pressure_only_target,mdot_exchange,not_exchange_source,false,false,false,Do not use for exchange-state sampling.,work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/recirc_harvest_readiness.csv
pm10_pressure_only_target,tau_recirc,not_exchange_source,false,false,false,Do not use for exchange-state sampling.,work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/recirc_harvest_readiness.csv
pm10_pressure_only_target,T_main_T_recirc,not_exchange_source,false,false,false,Do not use for exchange-state sampling.,work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/recirc_harvest_readiness.csv
pm10_pressure_only_target,wall_core_delta_T,not_exchange_source,false,false,false,Do not use for exchange-state sampling.,work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/recirc_harvest_readiness.csv
pm10_pressure_only_target,pressure_residual_basis,pressure_only_blocked_terminal_review,false,true,false,"Keep in pressure lane, not exchange sampler.",work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/recirc_harvest_readiness.csv
pm10_pressure_only_target,same_QOI_UQ,not_exchange_source,false,false,false,Do not use for exchange-state sampling.,work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/recirc_harvest_readiness.csv
pm10_pressure_only_target,RAF_RMF_SVF,not_exchange_source,false,false,false,Do not use for exchange-state sampling.,work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/recirc_harvest_readiness.csv
pm10_pressure_only_target,energy_residual,not_exchange_source,false,false,false,Do not use for exchange-state sampling.,work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/recirc_harvest_readiness.csv
two_tap_endpoint_recirc,terminal_state,existing_artifact_not_terminal_source,false,true,false,No terminal action needed for existing endpoint diagnostic.,work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/recirc_harvest_readiness.csv
two_tap_endpoint_recirc,V_recirc,missing_or_not_applicable,false,false,false,Not an upcomer exchange-state source.,work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/recirc_harvest_readiness.csv
two_tap_endpoint_recirc,mdot_exchange,missing_or_not_applicable,false,false,false,Not an upcomer exchange-state source.,work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/recirc_harvest_readiness.csv
two_tap_endpoint_recirc,tau_recirc,missing_or_not_applicable,false,false,false,Not an upcomer exchange-state source.,work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/recirc_harvest_readiness.csv
two_tap_endpoint_recirc,T_main_T_recirc,missing_or_not_applicable,false,false,false,Not an upcomer exchange-state source.,work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/recirc_harvest_readiness.csv
two_tap_endpoint_recirc,wall_core_delta_T,missing_or_not_applicable,false,false,false,Not an upcomer exchange-state source.,work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/recirc_harvest_readiness.csv
two_tap_endpoint_recirc,pressure_residual_basis,partial_endpoint_pressure_diagnostic,false,false,false,Not same-window upcomer exchange pressure basis.,work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/recirc_harvest_readiness.csv
two_tap_endpoint_recirc,same_QOI_UQ,missing_or_not_applicable,false,false,false,Not an upcomer exchange-state source.,work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/recirc_harvest_readiness.csv
two_tap_endpoint_recirc,RAF_RMF_SVF,available_existing_diagnostic,false,false,false,Use only for recirculation guard.,work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/recirc_harvest_readiness.csv
two_tap_endpoint_recirc,energy_residual,missing_or_not_applicable,false,false,false,Not an upcomer exchange-state source.,work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/recirc_harvest_readiness.csv
upcomer_matched_plane_diagnostic_proxy,terminal_state,existing_artifact_not_terminal_source,false,true,false,No terminal action needed for existing proxy.,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/upcomer_exchange_cell_readiness.csv
upcomer_matched_plane_diagnostic_proxy,V_recirc,missing_exchange_state,false,false,false,Do not infer exchange state from proxy metrics.,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/upcomer_exchange_cell_readiness.csv
upcomer_matched_plane_diagnostic_proxy,mdot_exchange,missing_exchange_state,false,false,false,Do not infer exchange state from proxy metrics.,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/upcomer_exchange_cell_readiness.csv
upcomer_matched_plane_diagnostic_proxy,tau_recirc,missing_exchange_state,false,false,false,Do not infer exchange state from proxy metrics.,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/upcomer_exchange_cell_readiness.csv
upcomer_matched_plane_diagnostic_proxy,T_main_T_recirc,missing_exchange_state,false,false,false,Do not infer exchange state from proxy metrics.,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/upcomer_exchange_cell_readiness.csv
upcomer_matched_plane_diagnostic_proxy,wall_core_delta_T,proxy_partial_diagnostic_only,false,false,false,Require admitted wall/core extraction before scoring.,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/upcomer_exchange_cell_readiness.csv
upcomer_matched_plane_diagnostic_proxy,pressure_residual_basis,missing_exchange_state,false,false,false,Do not infer exchange state from proxy metrics.,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/upcomer_exchange_cell_readiness.csv
upcomer_matched_plane_diagnostic_proxy,same_QOI_UQ,missing_exchange_state,false,false,false,Do not infer exchange state from proxy metrics.,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/upcomer_exchange_cell_readiness.csv
upcomer_matched_plane_diagnostic_proxy,RAF_RMF_SVF,available_existing_diagnostic,false,false,false,Use for guard/attribution only.,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/upcomer_exchange_cell_readiness.csv
upcomer_matched_plane_diagnostic_proxy,energy_residual,available_existing_diagnostic,false,false,false,Use for guard/attribution only.,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/upcomer_exchange_cell_readiness.csv
