case_id,case_key,time_window_s,patch,q_w,q_lane,bc_type,source_file,status,basis,admission_use
salt_3,salt3_jin_nominal_continuation,7618,pipeleg_upper_05_cooler,-114.578177138,Q_sink_W,externalTemperature,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/0/T,present_static_boundary_Q_contract,constant_Q_in_0_T_boundary_condition,diagnostic_source_ledger_only_no_fit_no_exchange_cell_admission
salt_3,salt3_jin_nominal_continuation,7618,pipeleg_upper_06_reducer,-18.0957307678,Q_sink_W,externalTemperature,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/0/T,present_static_boundary_Q_contract,constant_Q_in_0_T_boundary_condition,diagnostic_source_ledger_only_no_fit_no_exchange_cell_admission
salt_3,salt3_jin_nominal_continuation,7618,pipeleg_left_04_test_section,37,Q_source_W,rcExternalTemperature,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/0/T,present_static_boundary_Q_contract,constant_Q_in_0_T_boundary_condition,diagnostic_source_ledger_only_no_fit_no_exchange_cell_admission
salt_4,salt4_jin_nominal_continuation,10000,pipeleg_lower_04_straight,112.533333333,Q_source_W,rcExternalTemperature,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/0/T,present_static_boundary_Q_contract,constant_Q_in_0_T_boundary_condition,diagnostic_source_ledger_only_no_fit_no_exchange_cell_admission
salt_4,salt4_jin_nominal_continuation,10000,pipeleg_lower_05_straight,112.533333333,Q_source_W,rcExternalTemperature,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/0/T,present_static_boundary_Q_contract,constant_Q_in_0_T_boundary_condition,diagnostic_source_ledger_only_no_fit_no_exchange_cell_admission
salt_4,salt4_jin_nominal_continuation,10000,pipeleg_lower_06_straight,112.533333333,Q_source_W,rcExternalTemperature,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/0/T,present_static_boundary_Q_contract,constant_Q_in_0_T_boundary_condition,diagnostic_source_ledger_only_no_fit_no_exchange_cell_admission
salt_4,salt4_jin_nominal_continuation,10000,pipeleg_upper_04_reducer,-20.5391192725,Q_sink_W,externalTemperature,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/0/T,present_static_boundary_Q_contract,constant_Q_in_0_T_boundary_condition,diagnostic_source_ledger_only_no_fit_no_exchange_cell_admission
salt_4,salt4_jin_nominal_continuation,10000,pipeleg_upper_05_cooler,-128.148576492,Q_sink_W,externalTemperature,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/0/T,present_static_boundary_Q_contract,constant_Q_in_0_T_boundary_condition,diagnostic_source_ledger_only_no_fit_no_exchange_cell_admission
salt_4,salt4_jin_nominal_continuation,10000,pipeleg_upper_06_reducer,-20.5391192725,Q_sink_W,externalTemperature,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/0/T,present_static_boundary_Q_contract,constant_Q_in_0_T_boundary_condition,diagnostic_source_ledger_only_no_fit_no_exchange_cell_admission
salt_4,salt4_jin_nominal_continuation,10000,pipeleg_left_04_test_section,37,Q_source_W,rcExternalTemperature,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/0/T,present_static_boundary_Q_contract,constant_Q_in_0_T_boundary_condition,diagnostic_source_ledger_only_no_fit_no_exchange_cell_admission
