case_key,case_id,run_class,field,field_path,patch_count,type_counts_json,has_boundary_field
salt1_jin_june25_basecont,salt_1,normal_relaunch_base_continuation,omega,jadyn_runs/modern_runs/2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave/runs/salt1_jin_basecont/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/omega,2,"{""omegaWallFunction"": 1, ""zeroGradient"": 1}",True
salt1_jin_june25_basecont,salt_1,normal_relaunch_base_continuation,p,jadyn_runs/modern_runs/2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave/runs/salt1_jin_basecont/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/p,1,"{""calculated"": 1}",True
salt1_jin_june25_basecont,salt_1,normal_relaunch_base_continuation,p_rgh,jadyn_runs/modern_runs/2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave/runs/salt1_jin_basecont/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/p_rgh,1,"{""fixedFluxPressure"": 1}",True
salt1_jin_june25_basecont,salt_1,normal_relaunch_base_continuation,ph_rgh,jadyn_runs/modern_runs/2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave/runs/salt1_jin_basecont/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/ph_rgh,1,"{""zeroGradient"": 1}",True
salt1_jin_nominal_continuation_corrected,salt_1,salt1_nominal_continuation_active,ReThetat,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/ReThetat,2,"{""zeroGradient"": 2}",True
salt1_jin_nominal_continuation_corrected,salt_1,salt1_nominal_continuation_active,T,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/T,69,"{""externalTemperature"": 10, ""rcExternalTemperature"": 36, ""zeroGradient"": 23}",True
salt1_jin_nominal_continuation_corrected,salt_1,salt1_nominal_continuation_active,U,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/U,2,"{""noSlip"": 1, ""slip"": 1}",True
salt1_jin_nominal_continuation_corrected,salt_1,salt1_nominal_continuation_active,alphat,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/alphat,2,"{""compressible::alphatWallFunction"": 1, ""zeroGradient"": 1}",True
salt1_jin_nominal_continuation_corrected,salt_1,salt1_nominal_continuation_active,epsilon,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/epsilon,2,"{""fixedValue"": 1, ""zeroGradient"": 1}",True
salt1_jin_nominal_continuation_corrected,salt_1,salt1_nominal_continuation_active,gammaInt,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/gammaInt,2,"{""zeroGradient"": 2}",True
salt1_jin_nominal_continuation_corrected,salt_1,salt1_nominal_continuation_active,k,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/k,2,"{""kLowReWallFunction"": 1, ""zeroGradient"": 1}",True
salt1_jin_nominal_continuation_corrected,salt_1,salt1_nominal_continuation_active,nut,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/nut,2,"{""nutLowReWallFunction"": 1, ""zeroGradient"": 1}",True
salt1_jin_nominal_continuation_corrected,salt_1,salt1_nominal_continuation_active,omega,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/omega,2,"{""omegaWallFunction"": 1, ""zeroGradient"": 1}",True
salt1_jin_nominal_continuation_corrected,salt_1,salt1_nominal_continuation_active,p,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/p,1,"{""calculated"": 1}",True
salt1_jin_nominal_continuation_corrected,salt_1,salt1_nominal_continuation_active,p_rgh,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/p_rgh,1,"{""fixedFluxPressure"": 1}",True
salt1_jin_nominal_continuation_corrected,salt_1,salt1_nominal_continuation_active,ph_rgh,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/ph_rgh,1,"{""zeroGradient"": 1}",True
salt2_jin_mainline,salt_2,mainline_jin_continuation,ReThetat,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/0/ReThetat,2,"{""zeroGradient"": 2}",True
salt2_jin_mainline,salt_2,mainline_jin_continuation,T,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/0/T,69,"{""externalTemperature"": 10, ""rcExternalTemperature"": 36, ""zeroGradient"": 23}",True
salt2_jin_mainline,salt_2,mainline_jin_continuation,U,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/0/U,2,"{""noSlip"": 1, ""slip"": 1}",True
salt2_jin_mainline,salt_2,mainline_jin_continuation,alphat,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/0/alphat,2,"{""compressible::alphatWallFunction"": 1, ""zeroGradient"": 1}",True
salt2_jin_mainline,salt_2,mainline_jin_continuation,epsilon,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/0/epsilon,2,"{""fixedValue"": 1, ""zeroGradient"": 1}",True
salt2_jin_mainline,salt_2,mainline_jin_continuation,gammaInt,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/0/gammaInt,2,"{""zeroGradient"": 2}",True
salt2_jin_mainline,salt_2,mainline_jin_continuation,k,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/0/k,2,"{""kLowReWallFunction"": 1, ""zeroGradient"": 1}",True
salt2_jin_mainline,salt_2,mainline_jin_continuation,nut,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/0/nut,2,"{""nutLowReWallFunction"": 1, ""zeroGradient"": 1}",True
salt2_jin_mainline,salt_2,mainline_jin_continuation,omega,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/0/omega,2,"{""omegaWallFunction"": 1, ""zeroGradient"": 1}",True
salt2_jin_mainline,salt_2,mainline_jin_continuation,p,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/0/p,1,"{""calculated"": 1}",True
salt2_jin_mainline,salt_2,mainline_jin_continuation,p_rgh,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/0/p_rgh,1,"{""fixedFluxPressure"": 1}",True
salt2_jin_mainline,salt_2,mainline_jin_continuation,ph_rgh,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/0/ph_rgh,1,"{""zeroGradient"": 1}",True
salt3_jin_mainline,salt_3,mainline_jin_continuation,ReThetat,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/0/ReThetat,2,"{""zeroGradient"": 2}",True
salt3_jin_mainline,salt_3,mainline_jin_continuation,T,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/0/T,69,"{""externalTemperature"": 10, ""rcExternalTemperature"": 36, ""zeroGradient"": 23}",True
salt3_jin_mainline,salt_3,mainline_jin_continuation,U,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/0/U,2,"{""noSlip"": 1, ""slip"": 1}",True
salt3_jin_mainline,salt_3,mainline_jin_continuation,alphat,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/0/alphat,2,"{""compressible::alphatWallFunction"": 1, ""zeroGradient"": 1}",True
salt3_jin_mainline,salt_3,mainline_jin_continuation,epsilon,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/0/epsilon,2,"{""fixedValue"": 1, ""zeroGradient"": 1}",True
salt3_jin_mainline,salt_3,mainline_jin_continuation,gammaInt,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/0/gammaInt,2,"{""zeroGradient"": 2}",True
salt3_jin_mainline,salt_3,mainline_jin_continuation,k,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/0/k,2,"{""kLowReWallFunction"": 1, ""zeroGradient"": 1}",True
salt3_jin_mainline,salt_3,mainline_jin_continuation,nut,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/0/nut,2,"{""nutLowReWallFunction"": 1, ""zeroGradient"": 1}",True
salt3_jin_mainline,salt_3,mainline_jin_continuation,omega,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/0/omega,2,"{""omegaWallFunction"": 1, ""zeroGradient"": 1}",True
salt3_jin_mainline,salt_3,mainline_jin_continuation,p,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/0/p,1,"{""calculated"": 1}",True
salt3_jin_mainline,salt_3,mainline_jin_continuation,p_rgh,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/0/p_rgh,1,"{""fixedFluxPressure"": 1}",True
salt3_jin_mainline,salt_3,mainline_jin_continuation,ph_rgh,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/0/ph_rgh,1,"{""zeroGradient"": 1}",True
salt4_jin_mainline,salt_4,mainline_jin_continuation,ReThetat,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/0/ReThetat,2,"{""zeroGradient"": 2}",True
salt4_jin_mainline,salt_4,mainline_jin_continuation,T,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/0/T,69,"{""externalTemperature"": 10, ""rcExternalTemperature"": 36, ""zeroGradient"": 23}",True
salt4_jin_mainline,salt_4,mainline_jin_continuation,U,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/0/U,2,"{""noSlip"": 1, ""slip"": 1}",True
salt4_jin_mainline,salt_4,mainline_jin_continuation,alphat,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/0/alphat,2,"{""compressible::alphatWallFunction"": 1, ""zeroGradient"": 1}",True
salt4_jin_mainline,salt_4,mainline_jin_continuation,epsilon,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/0/epsilon,2,"{""fixedValue"": 1, ""zeroGradient"": 1}",True
salt4_jin_mainline,salt_4,mainline_jin_continuation,gammaInt,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/0/gammaInt,2,"{""zeroGradient"": 2}",True
salt4_jin_mainline,salt_4,mainline_jin_continuation,k,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/0/k,2,"{""kLowReWallFunction"": 1, ""zeroGradient"": 1}",True
salt4_jin_mainline,salt_4,mainline_jin_continuation,nut,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/0/nut,2,"{""nutLowReWallFunction"": 1, ""zeroGradient"": 1}",True
salt4_jin_mainline,salt_4,mainline_jin_continuation,omega,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/0/omega,2,"{""omegaWallFunction"": 1, ""zeroGradient"": 1}",True
salt4_jin_mainline,salt_4,mainline_jin_continuation,p,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/0/p,1,"{""calculated"": 1}",True
salt4_jin_mainline,salt_4,mainline_jin_continuation,p_rgh,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/0/p_rgh,1,"{""fixedFluxPressure"": 1}",True
salt4_jin_mainline,salt_4,mainline_jin_continuation,ph_rgh,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/0/ph_rgh,1,"{""zeroGradient"": 1}",True
salt1_jin_lo10q_corrected,salt_1,corrected_salt_q_perturbation,ReThetat,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/ReThetat,2,"{""zeroGradient"": 2}",True
salt1_jin_lo10q_corrected,salt_1,corrected_salt_q_perturbation,T,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/T,69,"{""externalTemperature"": 10, ""rcExternalTemperature"": 36, ""zeroGradient"": 23}",True
salt1_jin_lo10q_corrected,salt_1,corrected_salt_q_perturbation,U,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/U,2,"{""noSlip"": 1, ""slip"": 1}",True
salt1_jin_lo10q_corrected,salt_1,corrected_salt_q_perturbation,alphat,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/alphat,2,"{""compressible::alphatWallFunction"": 1, ""zeroGradient"": 1}",True
salt1_jin_lo10q_corrected,salt_1,corrected_salt_q_perturbation,epsilon,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/epsilon,2,"{""fixedValue"": 1, ""zeroGradient"": 1}",True
salt1_jin_lo10q_corrected,salt_1,corrected_salt_q_perturbation,gammaInt,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/gammaInt,2,"{""zeroGradient"": 2}",True
salt1_jin_lo10q_corrected,salt_1,corrected_salt_q_perturbation,k,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/k,2,"{""kLowReWallFunction"": 1, ""zeroGradient"": 1}",True
salt1_jin_lo10q_corrected,salt_1,corrected_salt_q_perturbation,nut,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/nut,2,"{""nutLowReWallFunction"": 1, ""zeroGradient"": 1}",True
salt1_jin_lo10q_corrected,salt_1,corrected_salt_q_perturbation,omega,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/omega,2,"{""omegaWallFunction"": 1, ""zeroGradient"": 1}",True
salt1_jin_lo10q_corrected,salt_1,corrected_salt_q_perturbation,p,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/p,1,"{""calculated"": 1}",True
salt1_jin_lo10q_corrected,salt_1,corrected_salt_q_perturbation,p_rgh,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/p_rgh,1,"{""fixedFluxPressure"": 1}",True
salt1_jin_lo10q_corrected,salt_1,corrected_salt_q_perturbation,ph_rgh,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/ph_rgh,1,"{""zeroGradient"": 1}",True
salt1_jin_hi10q_corrected,salt_1,corrected_salt_q_perturbation,ReThetat,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/ReThetat,2,"{""zeroGradient"": 2}",True
salt1_jin_hi10q_corrected,salt_1,corrected_salt_q_perturbation,T,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/T,69,"{""externalTemperature"": 10, ""rcExternalTemperature"": 36, ""zeroGradient"": 23}",True
salt1_jin_hi10q_corrected,salt_1,corrected_salt_q_perturbation,U,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/U,2,"{""noSlip"": 1, ""slip"": 1}",True
salt1_jin_hi10q_corrected,salt_1,corrected_salt_q_perturbation,alphat,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/alphat,2,"{""compressible::alphatWallFunction"": 1, ""zeroGradient"": 1}",True
