path,mtime_iso,size_bytes,observation
tools/analyze/build_time_window_quasi_steady_observations.py,2026-07-07T17:42:54,33373,modified within last 120 minutes at package build time
tools/analyze/test_build_f4_ri_calibration_and_solver_gate.py,2026-07-07T17:37:03,1676,modified within last 120 minutes at package build time
tools/analyze/test_time_window_quasi_steady_observations.py,2026-07-07T17:41:48,4758,modified within last 120 minutes at package build time
work_products/2026-07-07_f4_ri_calibration_and_solver_gate/README.md,2026-07-07T17:42:09,8193,modified within last 120 minutes at package build time
work_products/2026-07-07_f4_ri_calibration_and_solver_gate/admitted_evidence_freeze.csv,2026-07-07T17:42:08,7242,modified within last 120 minutes at package build time
work_products/2026-07-07_f4_ri_calibration_and_solver_gate/admitted_evidence_freeze.json,2026-07-07T17:42:09,14413,modified within last 120 minutes at package build time
work_products/2026-07-07_f4_ri_calibration_and_solver_gate/corrected_salt_gate_monitor_snapshot.csv,2026-07-07T17:42:09,2986,modified within last 120 minutes at package build time
work_products/2026-07-07_f4_ri_calibration_and_solver_gate/corrected_salt_gate_monitor_snapshot.json,2026-07-07T17:42:09,8669,modified within last 120 minutes at package build time
work_products/2026-07-07_f4_ri_calibration_and_solver_gate/corrected_salt_gate_monitor_snapshot.md,2026-07-07T17:42:09,3139,modified within last 120 minutes at package build time
work_products/2026-07-07_f4_ri_calibration_and_solver_gate/f4_candidate_fit_report.md,2026-07-07T17:42:09,952,modified within last 120 minutes at package build time
work_products/2026-07-07_f4_ri_calibration_and_solver_gate/f4_candidate_fit_summary.json,2026-07-07T17:42:09,3019,modified within last 120 minutes at package build time
work_products/2026-07-07_f4_ri_calibration_and_solver_gate/f4_ri_calibration_table.csv,2026-07-07T17:42:09,31189,modified within last 120 minutes at package build time
work_products/2026-07-07_f4_ri_calibration_and_solver_gate/f4_ri_calibration_table.json,2026-07-07T17:42:09,51774,modified within last 120 minutes at package build time
work_products/2026-07-07_f4_ri_calibration_and_solver_gate/model_comparison_f1_f3_f4_f5.csv,2026-07-07T17:42:09,19901,modified within last 120 minutes at package build time
work_products/2026-07-07_f4_ri_calibration_and_solver_gate/model_comparison_f1_f3_f4_f5.json,2026-07-07T17:42:09,44978,modified within last 120 minutes at package build time
work_products/2026-07-07_f4_ri_calibration_and_solver_gate/model_comparison_f1_f3_f4_f5.md,2026-07-07T17:42:09,2783,modified within last 120 minutes at package build time
work_products/2026-07-07_f4_ri_calibration_and_solver_gate/recent_coordination_audit.csv,2026-07-07T17:42:09,6322,modified within last 120 minutes at package build time
work_products/2026-07-07_f4_ri_calibration_and_solver_gate/recent_coordination_audit.json,2026-07-07T17:42:09,9723,modified within last 120 minutes at package build time
work_products/2026-07-07_f4_ri_calibration_and_solver_gate/ri_definition_audit.md,2026-07-07T17:42:09,1648,modified within last 120 minutes at package build time
work_products/2026-07-07_time_window_quasi_steady_contract/README.md,2026-07-07T16:49:23,1386,modified within last 120 minutes at package build time
work_products/2026-07-07_time_window_quasi_steady_uq/README.md,2026-07-07T17:43:04,1692,modified within last 120 minutes at package build time
work_products/2026-07-07_time_window_quasi_steady_uq/excluded_or_provisional_windows.csv,2026-07-07T17:43:04,13577,modified within last 120 minutes at package build time
work_products/2026-07-07_time_window_quasi_steady_uq/quasi_steady_observations.csv,2026-07-07T17:43:04,61689,modified within last 120 minutes at package build time
work_products/2026-07-07_time_window_quasi_steady_uq/run_window_summary.json,2026-07-07T17:43:04,1978,modified within last 120 minutes at package build time
work_products/2026-07-07_time_window_quasi_steady_uq/window_diagnostics.csv,2026-07-07T17:43:04,245019,modified within last 120 minutes at package build time
