section_id,thesis_section,readiness_status,ready_evidence_packets,exact_source_paths,key_numbers_available,governing_equations_or_definitions,figure_table_assets,claim_boundaries_and_caveats,missing_evidence_or_studies,next_board_tasks,writer_action
CH4_1,"4.1 Loop Segmentation",ready_now,"Ch1-Ch4 foundations; segment atlas; figure ledger","work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_ch1_ch4_foundations/README.md; reports/thesis_dossier/Chapters_and_sections/current/09_fluid_walls_segment_atlas.md; work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_final_figure_import_ledger/README.md","Segment atlas exists; exact row count should come from segment atlas if used","Define leg, segment, component, junction, stub, test-section span, recirculation flag","Segment atlas diagram and table","Segment boundaries are modeling/reduction objects; not all segment slots are admitted closures","No additional study required for architecture; Ch3 appendix may add provenance","TODO-THESIS-OUTLINE-EVIDENCE-COMPLETENESS-MATRIX-2026-07-22 complete","Draft now."
CH4_2,"4.2 Pressure Reduction",ready_now_with_blocked_admission,"Pressure basis ladder; two-tap section-effective section; CFD methodology","work_products/2026-07/2026-07-22/2026-07-22_thesis_study_pressure_basis_ladder_evidence_packet/README.md; reports/thesis_dossier/Chapters_and_sections/current/13_two_tap_recirc_section_effective_pressure_model.md; work_products/2026-07/2026-07-22/2026-07-22_cfd_extraction_methodology_thesis_study/README.md","3 section-effective residual rows and 0 component-K/F6 admissions","Use hydrostatic, kinetic, p, p_rgh, straight loss, section-effective residual, K and F6 definitions","Pressure basis ladder and non-admission gate matrix","Write reduction method and negative result; do not admit component K or F6","Low-recirculation anchors needed for stronger pressure closure","TODO-THESIS-STUDY-PRESSURE-LOW-RECIRC-ANCHOR-DESIGN-AND-HARVEST-2026-07-22","Draft reduction and caveats now."
CH4_3,"4.3 Thermal Reduction",ready_now_with_blocked_admission,"Thermal accounting packet; Ch1-Ch4 foundations; conservative thermal ledger","work_products/2026-07/2026-07-22/2026-07-22_thesis_study_thermal_accounting_traceability_evidence_packet/README.md; work_products/2026-07/2026-07-22/2026-07-22_1d_conservative_thermal_ledger_residual_owner_contract/README.md; reports/thesis_dossier/Chapters_and_sections/current/02_model_form_fluid_walls.md","10 heat-path rows, 12 setup source/sink rows, 15 diagnostic heat-value rows, 5 missing setup-field rows","Use fluid energy, wall circuit, heater/cooler/passive/test/junction/storage/exchange/residual owner equations","Thermal ledger and heat-path caption targets","Realized wallHeatFlux and test-section heat are diagnostic, not runtime inputs; no internal-Nu absorption","TW-after-TP and source-bounded thermal closure remain open","TODO-THESIS-STUDY-THERMAL-TW-AFTER-TP-RESIDUAL-OWNERSHIP-2026-07-22","Draft reduction and residual-owner discipline now."
CH4_4,"4.4 Reduction Consistency",ready_now,"CFD methodology; split policy; source/property atlas; uncertainty packet","work_products/2026-07/2026-07-22/2026-07-22_cfd_extraction_methodology_thesis_study/README.md; reports/thesis_dossier/Chapters_and_sections/current/10_uncertainty_chapter_package.md; work_products/2026-07/2026-07-22/2026-07-22_thesis_n4_sensor_qoi_projection_uncertainty_table/README.md","N4 package complete; source/property release-ready rows 0; CFD legal-use runtime bans 6","Use sign convention, coordinate, time-window, same-QOI UQ, mesh/GCI, sensor projection definitions","Uncertainty table; sensor/QOI projection table","Do not mix pressure bases or substitute proxies for exact labels without stated status","Mesh/GCI remains open for S13 exact-label family; Ch3 compact appendix pending","TODO-THESIS-CH3-CFD-PROVENANCE-QOI-COMPACT-PACKET-2026-07-22","Draft now; label unavailable UQ explicitly."
CH5_1,"5.1 Modeling Assumptions Variables And Sign Conventions",ready_now,"Governing equations glossary; Ch5 current section; source/property atlas","work_products/2026-07/2026-07-22/2026-07-22_thesis_governing_equations_definitions_glossary_packet/README.md; reports/thesis_dossier/Chapters_and_sections/current/17_ch5_csem_fluid_walls_model.md; work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_source_property_release_atlas/README.md","Glossary packet complete; source/property release-ready rows 0","Use symbol glossary and sign-convention ledger","Model-form diagram and segment atlas","State assumptions as architecture; do not imply coefficient admission","None for definitions; final model form docs wait for shareable results","TODO-PAPER-FINAL-1D-MODEL-FORM-DOCS after results","Draft now."
CH5_2,"5.2 Governing Conservation Equations",ready_now,"Governing equations glossary; conservative thermal ledger; pressure basis ladder","work_products/2026-07/2026-07-22/2026-07-22_thesis_governing_equations_definitions_glossary_packet/equation_ledger.csv; work_products/2026-07/2026-07-22/2026-07-22_1d_conservative_thermal_ledger_residual_owner_contract/README.md; work_products/2026-07/2026-07-22/2026-07-22_thesis_study_pressure_basis_ladder_evidence_packet/pressure_basis_ladder.csv","No final score values; balances are architecture and bookkeeping forms","Use loop momentum balance, segment fluid energy balance, wall/material heat balance, continuity","Equation table from glossary packet","Equation slots are not admitted closure coefficients","None for methods prose","TODO-THESIS-COMPACT-NUMERICAL-CLAIMS-LEDGER-2026-07-22 for any numeric examples","Draft now."
CH5_3,"5.3 Constitutive Relations And Segment Coupling",ready_now_with_open_admissions,"Model-form scoreboard; LitRev CSEM bridge; recirculation packet; pressure/thermal packets","work_products/2026-07/2026-07-22/2026-07-22_thesis_master_model_form_scoreboard/README.md; reports/thesis_dossier/Chapters_and_sections/current/25_litrev_csem_thesis_incorporation.md; work_products/2026-07/2026-07-22/2026-07-22_thesis_study_recirculation_fraction_onset_evidence_packet/README.md","15 model-form rows, 6 recommended model forms; 0 ordinary upcomer closure admissions","Use model slot, branchwise closure, recirculation flag, source envelope, admission state definitions","Model-form ladder figure","Constitutive relation candidates may be described; do not call them predictive unless admitted","Pressure anchors, upcomer onset, TW-after-TP ownership still open","TODO-THESIS-STUDY-UPCOMER-ONSET-ANCHOR-DESIGN-AND-RECIRC-FRACTION-UQ-2026-07-22","Draft architecture and candidate taxonomy now."
CH5_4,"5.4 Loop Assembly And Numerical Solution",partly_ready,"Model-form scoreboard; 1D root-coupling stability audit; Ch5 current section","work_products/2026-07/2026-07-22/2026-07-22_1d_thermal_pressure_root_coupling_stability_audit/README.md; work_products/2026-07/2026-07-22/2026-07-22_thesis_master_model_form_scoreboard/README.md; reports/thesis_dossier/Chapters_and_sections/current/17_ch5_csem_fluid_walls_model.md","Root-coupling audit exists; no frozen candidate and no final score values","Use nonlinear solve, residual, bracket, pressure-root, coupled temperature definitions","No primary figure unless model-form ladder used","Do not present a final production solver scorecard","Need final candidate before final predictive implementation section is complete","TODO-THESIS-STUDY-S15-CANDIDATE-FREEZE-SOURCE-PROPERTY-SCORE-RELEASE-2026-07-21","Draft method skeleton; leave final candidate placeholders blocked."
CH5_5,"5.5 Segment Metadata",ready_now,"Segment atlas; governing glossary; Ch5 current section","reports/thesis_dossier/Chapters_and_sections/current/09_fluid_walls_segment_atlas.md; work_products/2026-07/2026-07-22/2026-07-22_thesis_governing_equations_definitions_glossary_packet/README.md; reports/thesis_dossier/Chapters_and_sections/current/17_ch5_csem_fluid_walls_model.md","Metadata categories ready; exact segment counts should be taken from atlas if reported","Use geometry, material, source/sink, pressure closure, thermal circuit, recirculation, uncertainty, admission terms","Segment atlas table and diagram","Metadata describes status, not admission","No major gap","TODO-THESIS-OUTLINE-EVIDENCE-COMPLETENESS-MATRIX-2026-07-22 complete","Draft now."
CH5_6,"5.6 Candidate Model Forms",ready_now_with_final_model_blocked,"Master model-form scoreboard; model hierarchy ladder packet; Ch7/Ch8 negative packet","work_products/2026-07/2026-07-22/2026-07-22_thesis_master_model_form_scoreboard/README.md; work_products/2026-07/2026-07-22/2026-07-22_1d_model_hierarchy_ablation_ladder_packet/README.md; work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_ch7_ch8_results_negative_blocked/README.md","15 model-form rows, 6 recommended forms, 0 final score values","Use M0-M6, MF-01-MF-06, diagnostic, blocked, frozen candidate definitions","Model-form ladder no-admission figure; blocked scorecard waterfall","Model-form comparison is not closure admission; empirical/diagnostic forms are not physical closures","Final frozen model requires S11/S15 trigger","TODO-THESIS-STUDY-S15-CANDIDATE-FREEZE-SOURCE-PROPERTY-SCORE-RELEASE-2026-07-21","Draft candidate ladder and blocked final candidate state now."
CH6_1,"6.1 Closure Identification",ready_now_with_open_admissions,"Ch6 current section; source/property atlas; pressure/thermal/recirculation packets","reports/thesis_dossier/Chapters_and_sections/current/18_ch6_csem_closure_admission_uncertainty.md; work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_source_property_release_atlas/README.md; work_products/2026-07/2026-07-22/2026-07-22_thesis_study_pressure_basis_ladder_evidence_packet/README.md","Source/property release-ready rows 0; pressure component-K admitted rows 0; thermal S12 freeze gate no candidate","Use closure, candidate, physical role, source envelope, fit, model selection, admission definitions","Closure admission ledger; source/property atlas","Diagnostic evidence can identify a closure slot but cannot admit a coefficient","Specific closure candidates remain blocked until gates pass","TODO-THESIS-STUDY-S11-CANDIDATE-SOURCE-PROPERTY-REFRESH-2026-07-21 after candidate","Draft now as admission workflow."
CH6_2,"6.2 Uncertainty Sources",ready_now,"N4 sensor/QOI uncertainty; Ch10 uncertainty package; CFD legal-use; source/property atlas","work_products/2026-07/2026-07-22/2026-07-22_thesis_n4_sensor_qoi_projection_uncertainty_table/README.md; reports/thesis_dossier/Chapters_and_sections/current/10_uncertainty_chapter_package.md; .agent/BLOCKERS.md","Open blockers: 6 generated blocker rows; recirculation packet same-QOI temporal UQ summary rows 4","Use temporal drift, corrected standard error, mesh/GCI, property, sensor projection, boundary-condition, model-form uncertainty definitions","Uncertainty caveat table; sensor projection table","Do not fabricate GCI or call diagnostic-only UQ admission-ready","S13 medium/fine exact-label sampler and mesh/GCI remain waiting","TODO-S13-UPCOMER-EXCHANGE-MEDIUM-FINE-EXACT-LABEL-SAMPLER-2026-07-22","Draft now with explicit blocked UQ labels."
CH6_3,"6.3 Criteria For Including A Closure In The Predictive Model",ready_now,"Ch6 current section; CFD legal-use matrix; source/property atlas; Ch7/Ch8 packet","reports/thesis_dossier/Chapters_and_sections/current/18_ch6_csem_closure_admission_uncertainty.md; work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_cfd_legal_use_matrix/README.md; work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_ch7_ch8_results_negative_blocked/README.md","0 final score values; PM10 terminal evidence rows 4 for future planning only; protected score allowed False","Use frozen candidate, runtime-legal candidate, source/property release, protected score, final score definitions","Blocked scorecard waterfall; admission criteria table","Criteria must be fail-closed; good train agreement cannot open holdout/external scoring","No frozen candidate exists","TODO-THESIS-STUDY-S15-CANDIDATE-FREEZE-SOURCE-PROPERTY-SCORE-RELEASE-2026-07-21","Draft now."
CH7_1,"7.1 Hydraulic Behavior",ready_now_with_pressure_blockers,"Pressure basis ladder; lower-right negative result; Ch7/Ch8 packet","work_products/2026-07/2026-07-22/2026-07-22_thesis_study_pressure_basis_ladder_evidence_packet/README.md; work_products/2026-07/2026-07-22/2026-07-22_s10_s14_pressure_f6_cand001_retry_and_uq_gate/README.md; work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_ch7_ch8_results_negative_blocked/result_status_matrix.csv","Section-effective rows 3; negative signed residual rows 3; Salt2-frozen transfer max error 0.47046606946166093438399 Pa; component-K/F6 rows 0","Use section-effective pressure residual and pressure-basis ladder definitions","Pressure basis ladder; F6/component-K gate waterfall","Write as negative/non-admission evidence; do not claim F3/F6 numeric comparison released","Low-recirculation anchors needed for stronger pressure closure","TODO-THESIS-STUDY-PRESSURE-LOW-RECIRC-ANCHOR-DESIGN-AND-HARVEST-2026-07-22","Draft hydraulic result now with non-admission language."
CH7_2,"7.2 Thermal Behavior",ready_now_with_thermal_blockers,"Thermal accounting; S12 freeze gate; D2/D3/D4/MF12/MF15; Ch7/Ch8 packet","work_products/2026-07/2026-07-22/2026-07-22_thesis_study_thermal_accounting_traceability_evidence_packet/README.md; work_products/2026-07/2026-07-22/2026-07-22_thesis_study_s12_thermal_source_property_freeze_gate/README.md; work_products/2026-07/2026-07-22/2026-07-22_mf_d2_tp_tw_qoi_projection_gate/README.md","Thermal accounting rows 10; D2 TP RMSE 4.38159 K vs M3 13.5673 K; S12 has 0 freeze candidates","Use heat-path owner, TP/TW projection, wall-shape, source-placement, passive boundary definitions","Thermal residual-owner table; D2 TP/TW RMSE figure; TP/TW elevation panels","No passive hA repair, no wall profile correction, no source/property release","TW-after-TP residual ownership remains highest-value next thermal study","TODO-THESIS-STUDY-THERMAL-TW-AFTER-TP-RESIDUAL-OWNERSHIP-2026-07-22","Draft result now as residual-owner and blocked-candidate evidence."
CH7_3,"7.3 Upcomer Recirculation",ready_now_diagnostic_only,"Recirculation/onset packet; S13 current-coarse evidence; figure import ledger","work_products/2026-07/2026-07-22/2026-07-22_thesis_study_recirculation_fraction_onset_evidence_packet/README.md; work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_limited_sampled_field_evidence_synthesis/README.md; work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_final_figure_import_ledger/README.md","3 reverse-flow topology proxy rows; 3 exchange/tau proxy rows; 4 same-QOI temporal UQ summary rows; closed recirculation fraction fail-closed","Use hybrid throughflow-plus-recirculation, reverse-flow topology, exchange proxy, tau_recirc definitions","Salt1-4 side-by-side velocity vector panels; ordinary-closure disable map target","Diagnostic evidence supports single-stream invalidity, not ordinary Nu/f_D/K or exchange coefficient admission","Needs recirculation fraction/onset UQ and S13 post-sampler GCI","TODO-THESIS-STUDY-UPCOMER-ONSET-ANCHOR-DESIGN-AND-RECIRC-FRACTION-UQ-2026-07-22","Draft mechanism and limitation now; reserve quantitative onset."
CH8_1,"8.1 Model-Form Comparison",ready_now_as_blocked_scorecard,"Model-form scoreboard; figure panels; Ch7/Ch8 packet","work_products/2026-07/2026-07-22/2026-07-22_thesis_master_model_form_scoreboard/README.md; work_products/2026-07/2026-07-22/2026-07-22_thesis_figtable_model_form_and_blocked_scorecard_panels/README.md; work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_ch7_ch8_results_negative_blocked/README.md","15 scoreboard rows, 204 signed sensor-error rows, 180 finite signed-error rows, 6 model forms to try, 0 final score values","Use M0-M6 and diagnostic/blocked/admitted/frozen status definitions","Model-form ladder no-admission; TP/TW elevation panels; blocked scorecard waterfall","Comparison can discuss diagnostics and ablations; not a final predictive scorecard","Final candidate freeze still blocked","TODO-THESIS-STUDY-S15-CANDIDATE-FREEZE-SOURCE-PROPERTY-SCORE-RELEASE-2026-07-21","Draft as model-form assessment with blocked final score."
CH8_2,"8.2 Evaluation Metrics",ready_now_as_contract,"N4 sensor/QOI uncertainty; model-form scoreboard; CFD legal-use; source/property atlas","work_products/2026-07/2026-07-22/2026-07-22_thesis_n4_sensor_qoi_projection_uncertainty_table/README.md; work_products/2026-07/2026-07-22/2026-07-22_thesis_master_model_form_scoreboard/signed_sensor_errors.csv; work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_cfd_legal_use_matrix/README.md","Figure panel package has 45 finite M3 signed-error panel rows and 51 experimental target rows; no protected scoring","Use mdot error, TP/TW error, heat-balance closure, pressure-balance closure, split-role, runtime-input compliance definitions","TP/TW elevation and signed-error panels; scorecard shell","Metrics can be defined before final scoring; do not report holdout/external score without frozen candidate","Final scorecard waits on S15","TODO-THESIS-COMPACT-NUMERICAL-CLAIMS-LEDGER-2026-07-22","Draft metric definitions now; keep scores blocked where appropriate."
CH8_3,"8.3 Interpretation Of Negative Results",ready_now,"Ch7/Ch8 negative packet; pressure basis ladder; S12 freeze gate; source/property atlas","work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_ch7_ch8_results_negative_blocked/README.md; work_products/2026-07/2026-07-22/2026-07-22_thesis_study_s12_thermal_source_property_freeze_gate/README.md; work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_source_property_release_atlas/README.md","Ch7/Ch8 packet: final scorecard values 0; pressure and thermal admissions 0 in relevant lanes","Use diagnostic negative result, blocked scorecard, fail-closed, no-freeze definitions","Blocked scorecard waterfall; result status matrix","Negative results are thesis results when they expose exact missing evidence and prevent overclaiming","None for safe interpretation; stronger results need new science rows","TODO-THESIS-COMPACT-NUMERICAL-CLAIMS-LEDGER-2026-07-22","Draft now."
CH9_1,"9.1 Supported Conclusions",ready_now_with_bounded_claims,"Ch9 limitations/SAM packet; Ch7/Ch8 packet; model-form scoreboard","work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_ch9_limits_sam/README.md; work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_ch7_ch8_results_negative_blocked/README.md; work_products/2026-07/2026-07-22/2026-07-22_thesis_master_model_form_scoreboard/README.md","Supported conclusion numbers include 0 final scores, 0 released source/property rows, 0 component-K/F6 admissions, and 0 ordinary upcomer closure admissions","Use supported conclusion, limitation, future-work, admission status definitions","SAM transfer ledger; blocked scorecard figure","Conclude workflow/evidence discipline, not final predictive validation","Numerical claims ledger should centralize exact values","TODO-THESIS-COMPACT-NUMERICAL-CLAIMS-LEDGER-2026-07-22","Draft now with bounded claims."
CH9_2,"9.2 SAM-Facing Interpretation",ready_now,"SAM/CSEM packet; SAM-facing current section; governing glossary","work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_ch9_limits_sam/sam_transfer_ledger.csv; reports/thesis_dossier/Chapters_and_sections/current/11_sam_facing_interpretation.md; work_products/2026-07/2026-07-22/2026-07-22_thesis_governing_equations_definitions_glossary_packet/README.md","SAM packet records limitations and transfer categories; no SAM scorecards","Use segmentwise pressure loss, thermal balance, recirculation flag, closure metadata, fallback behavior definitions","SAM-facing closure/admission flowchart","SAM relevance is workflow transfer only; no SAM implementation/calibration/validation claim","Future SAM implementation outside current evidence","TODO-PAPER-FINAL-1D-MODEL-FORM-DOCS after final results","Draft now."
CH9_3,"9.3 Limitations And Future Work",ready_now,"Ch9 limitations/SAM packet; blockers register; outline gap dispatch","work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_ch9_limits_sam/future_work_queue.csv; .agent/BLOCKERS.md; work_products/2026-07/2026-07-22/2026-07-22_thesis_outline_evidence_gap_board_refresh/README.md","Generated blocker register has 6 open blockers; outline dispatch added 6 follow-on rows","Use future work, blocker, unresolved evidence, diagnostic-only, external validation definitions","Limitations status ledger; future-work queue table","Do not re-report resolved blockers as open; do not imply future work is completed","Waiting: active S13 sampler and active Salt14 inventory; needed: pressure anchors, upcomer onset, TW-after-TP ownership","TODO-THESIS-STUDY-THERMAL-TW-AFTER-TP-RESIDUAL-OWNERSHIP-2026-07-22","Draft now and keep current blockers exact."
