gate_id,source_id,case_id,span,property_mode,orientation,Re,Pr,Gr,Gr_star,Ri,Ra,Gz,hydraulic_reset_distance_m,hydraulic_reset_status,thermal_reset_status,reverse_flow_metric_status,source_envelope_status,pressure_residual_gate,same_qoi_uq_gate,single_stream_developing_allowed,blocking_reasons,coefficient_admission_status,source_paths
GSSB-011,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,lower_leg,jin_viscosity_cp_1560_k_060,mostly_horizontal,61.154243,25.032894,24796.084,1516.3128,6.6302501,620717.76,93.614551,0.35684162,reset_flagged,unknown_until_wall_material_or_heat_path_reset_mapped,blocked_recirc_evidence_present,source_envelope_precheck_only,diagnostic_only,blocked_same_QOI_UQ_missing,precheck_only_not_admitted,coarse_no_gci;same_QOI_UQ_missing,no_coefficient_admission,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-012,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,lower_leg,jin_viscosity_parida_cp_santini_k,mostly_horizontal,61.154243,25.356506,24796.084,1516.3128,6.6302501,628742.07,94.82475,0.35684162,reset_flagged,unknown_until_wall_material_or_heat_path_reset_mapped,blocked_recirc_evidence_present,source_envelope_precheck_only,diagnostic_only,blocked_same_QOI_UQ_missing,precheck_only_not_admitted,coarse_no_gci;same_QOI_UQ_missing,no_coefficient_admission,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-013,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,lower_leg,replication_reis_jadyn,mostly_horizontal,46.99634,56.121814,14643.942,895.49608,6.6302501,821844.57,161.28777,0.35684162,reset_flagged,unknown_until_wall_material_or_heat_path_reset_mapped,blocked_recirc_evidence_present,source_envelope_precheck_only,diagnostic_only,blocked_same_QOI_UQ_missing,precheck_only_not_admitted,coarse_no_gci;same_QOI_UQ_missing,no_coefficient_admission,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-014,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,lower_leg,shen_celsius_comparison,mostly_horizontal,61.154243,23.732501,24796.084,1516.3128,6.6302501,588473.09,88.751519,0.35684162,reset_flagged,unknown_until_wall_material_or_heat_path_reset_mapped,blocked_recirc_evidence_present,source_envelope_precheck_only,diagnostic_only,blocked_same_QOI_UQ_missing,precheck_only_not_admitted,coarse_no_gci;same_QOI_UQ_missing,no_coefficient_admission,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-015,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,lower_leg,sohal_janz_full,mostly_horizontal,46.99634,60.669088,14643.942,895.49608,6.6302501,888434.59,174.35612,0.35684162,reset_flagged,unknown_until_wall_material_or_heat_path_reset_mapped,blocked_recirc_evidence_present,source_envelope_precheck_only,diagnostic_only,blocked_same_QOI_UQ_missing,precheck_only_not_admitted,coarse_no_gci;same_QOI_UQ_missing,no_coefficient_admission,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-016,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,right_leg,jin_viscosity_cp_1560_k_060,mostly_vertical_downcomer,67.123245,22.801473,8971.5619,535.08927,1.9912334,204564.83,91.283869,0.36576,reset_flagged,unknown_until_wall_material_or_heat_path_reset_mapped,blocked_recirc_evidence_present,source_envelope_precheck_only,diagnostic_only,blocked_same_QOI_UQ_missing,precheck_only_not_admitted,coarse_no_gci;same_QOI_UQ_missing,no_coefficient_admission,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-017,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,right_leg,jin_viscosity_parida_cp_santini_k,mostly_vertical_downcomer,67.123245,23.041319,8971.5619,535.08927,1.9912334,206716.62,92.24407,0.36576,reset_flagged,unknown_until_wall_material_or_heat_path_reset_mapped,blocked_recirc_evidence_present,source_envelope_precheck_only,diagnostic_only,blocked_same_QOI_UQ_missing,precheck_only_not_admitted,coarse_no_gci;same_QOI_UQ_missing,no_coefficient_admission,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-018,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,right_leg,replication_reis_jadyn,mostly_vertical_downcomer,51.911303,50.038173,5365.9428,320.03997,1.9912334,268501.97,154.92502,0.36576,reset_flagged,unknown_until_wall_material_or_heat_path_reset_mapped,blocked_recirc_evidence_present,source_envelope_precheck_only,diagnostic_only,blocked_same_QOI_UQ_missing,precheck_only_not_admitted,coarse_no_gci;same_QOI_UQ_missing,no_coefficient_admission,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-019,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,right_leg,shen_celsius_comparison,mostly_vertical_downcomer,67.123245,21.715632,8971.5619,535.08927,1.9912334,194823.13,86.936788,0.36576,reset_flagged,unknown_until_wall_material_or_heat_path_reset_mapped,blocked_recirc_evidence_present,source_envelope_precheck_only,diagnostic_only,blocked_same_QOI_UQ_missing,precheck_only_not_admitted,coarse_no_gci;same_QOI_UQ_missing,no_coefficient_admission,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-020,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,right_leg,sohal_janz_full,mostly_vertical_downcomer,51.911303,54.221452,5365.9428,320.03997,1.9912334,290949.21,167.87702,0.36576,reset_flagged,unknown_until_wall_material_or_heat_path_reset_mapped,blocked_recirc_evidence_present,source_envelope_precheck_only,diagnostic_only,blocked_same_QOI_UQ_missing,precheck_only_not_admitted,coarse_no_gci;same_QOI_UQ_missing,no_coefficient_admission,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-021,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,test_section_span,jin_viscosity_cp_1560_k_060,mostly_horizontal,66.597533,23.271447,1590.5347,335.58271,0.3586137,37014.044,326.99261,0.098072727,not_flagged_in_pressure_ledger,unknown_until_wall_material_or_heat_path_reset_mapped,unknown_or_pass_proxy,source_envelope_precheck_only,diagnostic_only,blocked_same_QOI_UQ_missing,precheck_only_not_admitted,coarse_no_gci;same_QOI_UQ_missing,no_coefficient_admission,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-022,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,test_section_span,jin_viscosity_parida_cp_santini_k,mostly_horizontal,66.597533,23.529302,1590.5347,335.58271,0.3586137,37424.172,330.6158,0.098072727,not_flagged_in_pressure_ledger,unknown_until_wall_material_or_heat_path_reset_mapped,unknown_or_pass_proxy,source_envelope_precheck_only,diagnostic_only,blocked_same_QOI_UQ_missing,precheck_only_not_admitted,coarse_no_gci;same_QOI_UQ_missing,no_coefficient_admission,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-023,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,test_section_span,replication_reis_jadyn,mostly_horizontal,51.403807,51.342315,947.58342,199.92811,0.3586137,48651.126,556.8358,0.098072727,not_flagged_in_pressure_ledger,unknown_until_wall_material_or_heat_path_reset_mapped,unknown_or_pass_proxy,source_envelope_precheck_only,diagnostic_only,blocked_same_QOI_UQ_missing,precheck_only_not_admitted,coarse_no_gci;same_QOI_UQ_missing,no_coefficient_admission,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-024,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,test_section_span,shen_celsius_comparison,mostly_horizontal,66.597533,22.140687,1590.5347,335.58271,0.3586137,35215.531,311.10404,0.098072727,not_flagged_in_pressure_ledger,unknown_until_wall_material_or_heat_path_reset_mapped,unknown_or_pass_proxy,source_envelope_precheck_only,diagnostic_only,blocked_same_QOI_UQ_missing,precheck_only_not_admitted,coarse_no_gci;same_QOI_UQ_missing,no_coefficient_admission,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-025,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,test_section_span,sohal_janz_full,mostly_horizontal,51.403807,55.603727,947.58342,199.92811,0.3586137,52689.169,603.05317,0.098072727,not_flagged_in_pressure_ledger,unknown_until_wall_material_or_heat_path_reset_mapped,unknown_or_pass_proxy,source_envelope_precheck_only,diagnostic_only,blocked_same_QOI_UQ_missing,precheck_only_not_admitted,coarse_no_gci;same_QOI_UQ_missing,no_coefficient_admission,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-026,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,upper_leg,jin_viscosity_cp_1560_k_060,mostly_horizontal,62.919921,23.935039,5747.3774,351.4339,1.4517552,137563.7,92.08656,0.35687444,reset_flagged,unknown_until_wall_material_or_heat_path_reset_mapped,blocked_recirc_evidence_present,source_envelope_precheck_only,diagnostic_only,blocked_same_QOI_UQ_missing,precheck_only_not_admitted,coarse_no_gci;same_QOI_UQ_missing,no_coefficient_admission,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-027,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,upper_leg,jin_viscosity_parida_cp_santini_k,mostly_horizontal,62.919921,24.217982,5747.3774,351.4339,1.4517552,139189.88,93.175139,0.35687444,reset_flagged,unknown_until_wall_material_or_heat_path_reset_mapped,blocked_recirc_evidence_present,source_envelope_precheck_only,diagnostic_only,blocked_same_QOI_UQ_missing,precheck_only_not_admitted,coarse_no_gci;same_QOI_UQ_missing,no_coefficient_admission,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-028,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,upper_leg,replication_reis_jadyn,mostly_horizontal,48.460052,53.16304,3409.2679,208.46592,1.4517552,181247.05,157.53158,0.35687444,reset_flagged,unknown_until_wall_material_or_heat_path_reset_mapped,blocked_recirc_evidence_present,source_envelope_precheck_only,diagnostic_only,blocked_same_QOI_UQ_missing,precheck_only_not_admitted,coarse_no_gci;same_QOI_UQ_missing,no_coefficient_admission,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-029,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,upper_leg,shen_celsius_comparison,mostly_horizontal,62.919921,22.740608,5747.3774,351.4339,1.4517552,130698.85,87.491159,0.35687444,reset_flagged,unknown_until_wall_material_or_heat_path_reset_mapped,blocked_recirc_evidence_present,source_envelope_precheck_only,diagnostic_only,blocked_same_QOI_UQ_missing,precheck_only_not_admitted,coarse_no_gci;same_QOI_UQ_missing,no_coefficient_admission,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-030,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,upper_leg,sohal_janz_full,mostly_horizontal,48.460052,57.533412,3409.2679,208.46592,1.4517552,196146.81,170.48177,0.35687444,reset_flagged,unknown_until_wall_material_or_heat_path_reset_mapped,blocked_recirc_evidence_present,source_envelope_precheck_only,diagnostic_only,blocked_same_QOI_UQ_missing,precheck_only_not_admitted,coarse_no_gci;same_QOI_UQ_missing,no_coefficient_admission,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-031,viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,left_lower_leg,jin_viscosity_cp_1560_k_060,mostly_horizontal,79.631417,23.271447,1863.77,333.48151,0.29391614,43372.625,331.57919,0.12192,reset_flagged,unknown_until_wall_material_or_heat_path_reset_mapped,fail,blocked_source_envelope_not_fit,diagnostic_only,blocked_same_QOI_UQ_missing,no,recirculation_invalid_single_stream;source_envelope_not_fit;coarse_no_gci;same_QOI_UQ_missing,no_coefficient_admission,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-032,viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,left_lower_leg,jin_viscosity_parida_cp_santini_k,mostly_horizontal,79.631417,23.529302,1863.77,333.48151,0.29391614,43853.208,335.2532,0.12192,reset_flagged,unknown_until_wall_material_or_heat_path_reset_mapped,fail,blocked_source_envelope_not_fit,diagnostic_only,blocked_same_QOI_UQ_missing,no,recirculation_invalid_single_stream;source_envelope_not_fit;coarse_no_gci;same_QOI_UQ_missing,no_coefficient_admission,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-033,viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,left_lower_leg,replication_reis_jadyn,mostly_horizontal,61.464109,51.342315,1110.3672,198.6763,0.29391614,57008.821,564.64629,0.12192,reset_flagged,unknown_until_wall_material_or_heat_path_reset_mapped,fail,blocked_source_envelope_not_fit,diagnostic_only,blocked_same_QOI_UQ_missing,no,recirculation_invalid_single_stream;source_envelope_not_fit;coarse_no_gci;same_QOI_UQ_missing,no_coefficient_admission,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-034,viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,left_lower_leg,shen_celsius_comparison,mostly_horizontal,79.631417,22.140687,1863.77,333.48151,0.29391614,41265.148,315.46775,0.12192,reset_flagged,unknown_until_wall_material_or_heat_path_reset_mapped,fail,blocked_source_envelope_not_fit,diagnostic_only,blocked_same_QOI_UQ_missing,no,recirculation_invalid_single_stream;source_envelope_not_fit;coarse_no_gci;same_QOI_UQ_missing,no_coefficient_admission,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
