evidence_id,evidence_family,case_or_branch,evidence_is_existing,basis_status,max_RAF,max_RMF,reverse_flow_status,endpoint_status,same_qoi_uq_status,terminal_status,can_replace_CAND001_now,component_K_or_F6_release_allowed,admissible_comparison_allowed_now,disqualification_reasons,next_action,claim_boundary,source_paths
pm5:salt2_hi5q:test_section_span,pm5_recirculation_diagnostic,salt2_hi5q:recirculation_diagnostic,True,no_admitted_hybrid_pressure_residual_movement,0.3748113482,0.4999916556,fail_material_reverse_flow,not_admitted_for_anchor,missing,existing_diagnostic,False,False,False,material_reverse_flow;missing_hybrid_admission_evidence;same_qoi_uq_missing,do not fit ordinary F6 from PM5; use only as diagnostic/onset evidence,"section-effective residual evidence only; no component-K, F6, Shah, fit, or mixed-basis promotion",work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
pm5:salt2_hi5q:left_upper_leg,pm5_recirculation_diagnostic,salt2_hi5q:recirculation_diagnostic,True,no_admitted_hybrid_pressure_residual_movement,0.785845516,0.5000672828,fail_material_reverse_flow,not_admitted_for_anchor,missing,existing_diagnostic,False,False,False,material_reverse_flow;missing_hybrid_admission_evidence;same_qoi_uq_missing,do not fit ordinary F6 from PM5; use only as diagnostic/onset evidence,"section-effective residual evidence only; no component-K, F6, Shah, fit, or mixed-basis promotion",work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
pm5:salt4_lo5q:left_lower_leg,pm5_recirculation_diagnostic,salt4_lo5q:recirculation_diagnostic,True,no_admitted_hybrid_pressure_residual_movement,0.5466041262,0.5000026995,fail_material_reverse_flow,not_admitted_for_anchor,missing,existing_diagnostic,False,False,False,material_reverse_flow;missing_hybrid_admission_evidence;same_qoi_uq_missing,do not fit ordinary F6 from PM5; use only as diagnostic/onset evidence,"section-effective residual evidence only; no component-K, F6, Shah, fit, or mixed-basis promotion",work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
pm5:salt4_lo5q:test_section_span,pm5_recirculation_diagnostic,salt4_lo5q:recirculation_diagnostic,True,no_admitted_hybrid_pressure_residual_movement,0.3764033442,0.4999969289,fail_material_reverse_flow,not_admitted_for_anchor,missing,existing_diagnostic,False,False,False,material_reverse_flow;missing_hybrid_admission_evidence;same_qoi_uq_missing,do not fit ordinary F6 from PM5; use only as diagnostic/onset evidence,"section-effective residual evidence only; no component-K, F6, Shah, fit, or mixed-basis promotion",work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
pm5:salt4_lo5q:left_upper_leg,pm5_recirculation_diagnostic,salt4_lo5q:recirculation_diagnostic,True,no_admitted_hybrid_pressure_residual_movement,0.7765350946,0.5000757768,fail_material_reverse_flow,not_admitted_for_anchor,missing,existing_diagnostic,False,False,False,material_reverse_flow;missing_hybrid_admission_evidence;same_qoi_uq_missing,do not fit ordinary F6 from PM5; use only as diagnostic/onset evidence,"section-effective residual evidence only; no component-K, F6, Shah, fit, or mixed-basis promotion",work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
pm5:salt4_hi5q:left_lower_leg,pm5_recirculation_diagnostic,salt4_hi5q:recirculation_diagnostic,True,no_admitted_hybrid_pressure_residual_movement,0.5228637749,0.4999749795,fail_material_reverse_flow,not_admitted_for_anchor,missing,existing_diagnostic,False,False,False,material_reverse_flow;missing_hybrid_admission_evidence;same_qoi_uq_missing,do not fit ordinary F6 from PM5; use only as diagnostic/onset evidence,"section-effective residual evidence only; no component-K, F6, Shah, fit, or mixed-basis promotion",work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
pm5:salt4_hi5q:test_section_span,pm5_recirculation_diagnostic,salt4_hi5q:recirculation_diagnostic,True,no_admitted_hybrid_pressure_residual_movement,0.3778960681,0.4999891842,fail_material_reverse_flow,not_admitted_for_anchor,missing,existing_diagnostic,False,False,False,material_reverse_flow;missing_hybrid_admission_evidence;same_qoi_uq_missing,do not fit ordinary F6 from PM5; use only as diagnostic/onset evidence,"section-effective residual evidence only; no component-K, F6, Shah, fit, or mixed-basis promotion",work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
pm5:salt4_hi5q:left_upper_leg,pm5_recirculation_diagnostic,salt4_hi5q:recirculation_diagnostic,True,no_admitted_hybrid_pressure_residual_movement,0.7762644,0.5001364439,fail_material_reverse_flow,not_admitted_for_anchor,missing,existing_diagnostic,False,False,False,material_reverse_flow;missing_hybrid_admission_evidence;same_qoi_uq_missing,do not fit ordinary F6 from PM5; use only as diagnostic/onset evidence,"section-effective residual evidence only; no component-K, F6, Shah, fit, or mixed-basis promotion",work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
pm10:salt2_lo10q,pm10_terminal_recirculation_diagnostic,salt2_lo10q:upcomer,True,terminal_admitted_for_future_blind_holdout_evidence_only,0.7944465671,0.5000715431,strong_recirculation,terminal_evidence_only,missing,yes; not steady (drifting),False,False,False,strong_material_reverse_flow;total_Q_drifting;future_blind_holdout_only;ordinary_pipe_fit_forbidden,keep as recirculation/onset diagnostic; do not use as ordinary low-reverse pressure anchor,"section-effective residual evidence only; no component-K, F6, Shah, fit, or mixed-basis promotion",work_products/2026-07/2026-07-22/2026-07-22_predict_salt_pm10_terminal_admission/pm10_recirc_onset_summary.csv;work_products/2026-07/2026-07-22/2026-07-22_predict_salt_pm10_terminal_admission/pm10_case_terminal_gate.csv
pm10:salt2_hi10q,pm10_terminal_recirculation_diagnostic,salt2_hi10q:upcomer,True,terminal_admitted_for_future_blind_holdout_evidence_only,0.7813144941,0.500075367,strong_recirculation,terminal_evidence_only,missing,yes; not steady (drifting),False,False,False,strong_material_reverse_flow;total_Q_drifting;future_blind_holdout_only;ordinary_pipe_fit_forbidden,keep as recirculation/onset diagnostic; do not use as ordinary low-reverse pressure anchor,"section-effective residual evidence only; no component-K, F6, Shah, fit, or mixed-basis promotion",work_products/2026-07/2026-07-22/2026-07-22_predict_salt_pm10_terminal_admission/pm10_recirc_onset_summary.csv;work_products/2026-07/2026-07-22/2026-07-22_predict_salt_pm10_terminal_admission/pm10_case_terminal_gate.csv
pm10:salt4_lo10q,pm10_terminal_recirculation_diagnostic,salt4_lo10q:upcomer,True,terminal_admitted_for_future_blind_holdout_evidence_only,0.7773255016,0.5000774656,strong_recirculation,terminal_evidence_only,missing,yes; not steady (drifting),False,False,False,strong_material_reverse_flow;total_Q_drifting;future_blind_holdout_only;ordinary_pipe_fit_forbidden,keep as recirculation/onset diagnostic; do not use as ordinary low-reverse pressure anchor,"section-effective residual evidence only; no component-K, F6, Shah, fit, or mixed-basis promotion",work_products/2026-07/2026-07-22/2026-07-22_predict_salt_pm10_terminal_admission/pm10_recirc_onset_summary.csv;work_products/2026-07/2026-07-22/2026-07-22_predict_salt_pm10_terminal_admission/pm10_case_terminal_gate.csv
pm10:salt4_hi10q,pm10_terminal_recirculation_diagnostic,salt4_hi10q:upcomer,True,terminal_admitted_for_future_blind_holdout_evidence_only,0.7718036567,0.5001069481,strong_recirculation,terminal_evidence_only,missing,yes; not steady (drifting),False,False,False,strong_material_reverse_flow;total_Q_drifting;future_blind_holdout_only;ordinary_pipe_fit_forbidden,keep as recirculation/onset diagnostic; do not use as ordinary low-reverse pressure anchor,"section-effective residual evidence only; no component-K, F6, Shah, fit, or mixed-basis promotion",work_products/2026-07/2026-07-22/2026-07-22_predict_salt_pm10_terminal_admission/pm10_recirc_onset_summary.csv;work_products/2026-07/2026-07-22/2026-07-22_predict_salt_pm10_terminal_admission/pm10_case_terminal_gate.csv
branch:heater_lower_leg,branch_scorecard_mask,heater_lower_leg,True,blocked_source_region_gates,,,"source ownership, sign/heat-balance, and mesh/GCI still block fit",branch_aggregate_not_endpoint_anchor,missing_or_failed,not_case_terminal_anchor,False,False,False,single_stream_Nu;single_stream_f_D;component_K;ordinary_pipe_fit_not_included,"source ownership, sign/heat-balance, and mesh/GCI still block fit","section-effective residual evidence only; no component-K, F6, Shah, fit, or mixed-basis promotion",work_products/2026-07/2026-07-16/2026-07-16_branch_local_internal_nu_unblock/branch_local_thermal_admission.csv;work_products/2026-07/2026-07-17/2026-07-17_predict_segment_pressure_models/segment_pressure_model_scorecard.csv;work_products/2026-07/2026-07-17/2026-07-17_predict_segment_thermal_models/segment_thermal_model_scorecard.csv;work_products/2026-07/2026-07-16/2026-07-16_pressure_ladder_harvest_admission_table/branch_orientation_straight_loss_recirc_admission.csv
branch:downcomer_right_vertical,branch_scorecard_mask,downcomer_right_vertical,True,blocked_downcomer_policy,,,sign_enthalpy_heat_balance_failed;low_recirculation_validity_failed;same_qoi_publication_gci_missing_or_failed;litrev_no_nu_absorption_gate_failed,branch_aggregate_not_endpoint_anchor,missing_or_failed,not_case_terminal_anchor,False,False,False,single_stream_Nu;single_stream_f_D;component_K;ordinary_pipe_fit_not_included,sign_enthalpy_heat_balance_failed;low_recirculation_validity_failed;same_qoi_publication_gci_missing_or_failed;litrev_no_nu_absorption_gate_failed,"section-effective residual evidence only; no component-K, F6, Shah, fit, or mixed-basis promotion",work_products/2026-07/2026-07-16/2026-07-16_branch_local_internal_nu_unblock/branch_local_thermal_admission.csv;work_products/2026-07/2026-07-17/2026-07-17_predict_segment_pressure_models/segment_pressure_model_scorecard.csv;work_products/2026-07/2026-07-17/2026-07-17_predict_segment_thermal_models/segment_thermal_model_scorecard.csv;work_products/2026-07/2026-07-16/2026-07-16_pressure_ladder_harvest_admission_table/branch_orientation_straight_loss_recirc_admission.csv
branch:cooler_hx_branch,branch_scorecard_mask,cooler_hx_branch,True,validation_only_boundary_hx_lane,,,"HX removal is a setup boundary model, not an internal-Nu fit",branch_aggregate_not_endpoint_anchor,missing_or_failed,not_case_terminal_anchor,False,False,False,single_stream_Nu;single_stream_f_D;component_K;ordinary_pipe_fit_not_included,"HX removal is a setup boundary model, not an internal-Nu fit","section-effective residual evidence only; no component-K, F6, Shah, fit, or mixed-basis promotion",work_products/2026-07/2026-07-16/2026-07-16_branch_local_internal_nu_unblock/branch_local_thermal_admission.csv;work_products/2026-07/2026-07-17/2026-07-17_predict_segment_pressure_models/segment_pressure_model_scorecard.csv;work_products/2026-07/2026-07-17/2026-07-17_predict_segment_thermal_models/segment_thermal_model_scorecard.csv;work_products/2026-07/2026-07-16/2026-07-16_pressure_ladder_harvest_admission_table/branch_orientation_straight_loss_recirc_admission.csv
branch:test_section_span,branch_scorecard_mask,test_section_span,True,blocked_test_section_boundary_and_pressure_gates,,,test-section passive loss and pressure definition/component gates are not admitted,branch_aggregate_not_endpoint_anchor,missing_or_failed,not_case_terminal_anchor,False,False,False,single_stream_Nu;single_stream_f_D;component_K;ordinary_pipe_fit_not_included,test-section passive loss and pressure definition/component gates are not admitted,"section-effective residual evidence only; no component-K, F6, Shah, fit, or mixed-basis promotion",work_products/2026-07/2026-07-16/2026-07-16_branch_local_internal_nu_unblock/branch_local_thermal_admission.csv;work_products/2026-07/2026-07-17/2026-07-17_predict_segment_pressure_models/segment_pressure_model_scorecard.csv;work_products/2026-07/2026-07-17/2026-07-17_predict_segment_thermal_models/segment_thermal_model_scorecard.csv;work_products/2026-07/2026-07-16/2026-07-16_pressure_ladder_harvest_admission_table/branch_orientation_straight_loss_recirc_admission.csv
branch:upcomer_left_vertical,branch_scorecard_mask,upcomer_left_vertical,True,blocked_handoff_to_upcomer_hybrid,,,recirculating rows excluded from ordinary-pipe aggregate fits,branch_aggregate_not_endpoint_anchor,missing_or_failed,not_case_terminal_anchor,False,False,False,single_stream_Nu;single_stream_f_D;component_K;ordinary_pipe_fit_not_included,recirculating rows excluded from ordinary-pipe aggregate fits,"section-effective residual evidence only; no component-K, F6, Shah, fit, or mixed-basis promotion",work_products/2026-07/2026-07-16/2026-07-16_branch_local_internal_nu_unblock/branch_local_thermal_admission.csv;work_products/2026-07/2026-07-17/2026-07-17_predict_segment_pressure_models/segment_pressure_model_scorecard.csv;work_products/2026-07/2026-07-17/2026-07-17_predict_segment_thermal_models/segment_thermal_model_scorecard.csv;work_products/2026-07/2026-07-16/2026-07-16_pressure_ladder_harvest_admission_table/branch_orientation_straight_loss_recirc_admission.csv
branch:junction_stub_connector,branch_scorecard_mask,junction_stub_connector,True,diagnostic_only_named_loss,,,component heat/pressure not isolated as pipe coefficient,branch_aggregate_not_endpoint_anchor,missing_or_failed,not_case_terminal_anchor,False,False,False,single_stream_Nu;single_stream_f_D;component_K;ordinary_pipe_fit_not_included,component heat/pressure not isolated as pipe coefficient,"section-effective residual evidence only; no component-K, F6, Shah, fit, or mixed-basis promotion",work_products/2026-07/2026-07-16/2026-07-16_branch_local_internal_nu_unblock/branch_local_thermal_admission.csv;work_products/2026-07/2026-07-17/2026-07-17_predict_segment_pressure_models/segment_pressure_model_scorecard.csv;work_products/2026-07/2026-07-17/2026-07-17_predict_segment_thermal_models/segment_thermal_model_scorecard.csv;work_products/2026-07/2026-07-16/2026-07-16_pressure_ladder_harvest_admission_table/branch_orientation_straight_loss_recirc_admission.csv
branch:lower_upper_legs,branch_scorecard_mask,lower_upper_legs,True,diagnostic_only_development_lane,,,development and wall-resistance effects not yet scored as admitted ordinary coefficients,branch_aggregate_not_endpoint_anchor,missing_or_failed,not_case_terminal_anchor,False,False,False,single_stream_Nu;single_stream_f_D;component_K;ordinary_pipe_fit_not_included,development and wall-resistance effects not yet scored as admitted ordinary coefficients,"section-effective residual evidence only; no component-K, F6, Shah, fit, or mixed-basis promotion",work_products/2026-07/2026-07-16/2026-07-16_branch_local_internal_nu_unblock/branch_local_thermal_admission.csv;work_products/2026-07/2026-07-17/2026-07-17_predict_segment_pressure_models/segment_pressure_model_scorecard.csv;work_products/2026-07/2026-07-17/2026-07-17_predict_segment_thermal_models/segment_thermal_model_scorecard.csv;work_products/2026-07/2026-07-16/2026-07-16_pressure_ladder_harvest_admission_table/branch_orientation_straight_loss_recirc_admission.csv
future_design:salt3_jin_q1500w_hiins_onset_anchor,future_onset_anchor_design,salt3_jin_q1500w_hiins_onset_anchor,False,high_Re_high_insulation_cell_off_target,,,not_yet_measured,not_yet_available,not_yet_available,not_launched_in_this_task,False,False,False,future_run_not_existing_evidence;reverse_flow_unverified;endpoint_pair_missing;same_qoi_uq_missing;scheduler_launch_forbidden_in_this_row,after PM10/high-heat terminal harvest or explicit evidence gap,"section-effective residual evidence only; no component-K, F6, Shah, fit, or mixed-basis promotion",work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/proposed_cfd_run_matrix.csv
future_design:salt3_jin_q0150w_loins_onset_anchor,future_onset_anchor_design,salt3_jin_q0150w_loins_onset_anchor,False,low_Q_low_insulation_cell_max_target,,,not_yet_measured,not_yet_available,not_yet_available,not_launched_in_this_task,False,False,False,future_run_not_existing_evidence;reverse_flow_unverified;endpoint_pair_missing;same_qoi_uq_missing;scheduler_launch_forbidden_in_this_row,after PM10/high-heat terminal harvest or explicit evidence gap,"section-effective residual evidence only; no component-K, F6, Shah, fit, or mixed-basis promotion",work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/proposed_cfd_run_matrix.csv
future_design:salt3_jin_q0250w_baseline_onset_anchor,future_onset_anchor_design,salt3_jin_q0250w_baseline_onset_anchor,False,q_by_insulation_onset_matrix,,,not_yet_measured,not_yet_available,not_yet_available,not_launched_in_this_task,False,False,False,future_run_not_existing_evidence;reverse_flow_unverified;endpoint_pair_missing;same_qoi_uq_missing;scheduler_launch_forbidden_in_this_row,after PM10/high-heat terminal harvest or explicit evidence gap,"section-effective residual evidence only; no component-K, F6, Shah, fit, or mixed-basis promotion",work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/proposed_cfd_run_matrix.csv
future_design:salt3_jin_q0250w_hiins_onset_anchor,future_onset_anchor_design,salt3_jin_q0250w_hiins_onset_anchor,False,q_by_insulation_onset_matrix,,,not_yet_measured,not_yet_available,not_yet_available,not_launched_in_this_task,False,False,False,future_run_not_existing_evidence;reverse_flow_unverified;endpoint_pair_missing;same_qoi_uq_missing;scheduler_launch_forbidden_in_this_row,after PM10/high-heat terminal harvest or explicit evidence gap,"section-effective residual evidence only; no component-K, F6, Shah, fit, or mixed-basis promotion",work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/proposed_cfd_run_matrix.csv
future_design:salt3_jin_q0250w_loins_onset_anchor,future_onset_anchor_design,salt3_jin_q0250w_loins_onset_anchor,False,q_by_insulation_onset_matrix,,,not_yet_measured,not_yet_available,not_yet_available,not_launched_in_this_task,False,False,False,future_run_not_existing_evidence;reverse_flow_unverified;endpoint_pair_missing;same_qoi_uq_missing;scheduler_launch_forbidden_in_this_row,after PM10/high-heat terminal harvest or explicit evidence gap,"section-effective residual evidence only; no component-K, F6, Shah, fit, or mixed-basis promotion",work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/proposed_cfd_run_matrix.csv
future_design:salt3_jin_q0500w_baseline_onset_anchor,future_onset_anchor_design,salt3_jin_q0500w_baseline_onset_anchor,False,q_by_insulation_onset_matrix,,,not_yet_measured,not_yet_available,not_yet_available,not_launched_in_this_task,False,False,False,future_run_not_existing_evidence;reverse_flow_unverified;endpoint_pair_missing;same_qoi_uq_missing;scheduler_launch_forbidden_in_this_row,after PM10/high-heat terminal harvest or explicit evidence gap,"section-effective residual evidence only; no component-K, F6, Shah, fit, or mixed-basis promotion",work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/proposed_cfd_run_matrix.csv
future_design:salt3_jin_q0500w_hiins_onset_anchor,future_onset_anchor_design,salt3_jin_q0500w_hiins_onset_anchor,False,q_by_insulation_onset_matrix,,,not_yet_measured,not_yet_available,not_yet_available,not_launched_in_this_task,False,False,False,future_run_not_existing_evidence;reverse_flow_unverified;endpoint_pair_missing;same_qoi_uq_missing;scheduler_launch_forbidden_in_this_row,after PM10/high-heat terminal harvest or explicit evidence gap,"section-effective residual evidence only; no component-K, F6, Shah, fit, or mixed-basis promotion",work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/proposed_cfd_run_matrix.csv
