source_id,case_label,family_group,case_family,scope_name,contradiction_type,affected_variable_families,observed_pattern,likely_cause,requires_code_fix,primary_source_path,priority_rank,recommended_next_action
viscosity_screening_salt_test_1_kirst_coarse_mesh,Salt 1 Kirst,salt,salt1,lower_leg,thermal_support_limit,"effective_htc,effective_ua,thermal_resistance","usable_fraction=0.739, thermal_warning_fraction=0.261, min_abs_delta_t=0.051, mean_htc=191.134",Too much of the branch is masked or support-limited for a stable effective ratio claim.,no,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_kirst_coarse_mesh/branch_thermal_summary.csv,2,Keep out of paper narrative unless the scope narrows to a safe subset or the branch is explicitly excluded.
viscosity_screening_salt_test_1_kirst_coarse_mesh,Salt 1 Kirst,salt,salt1,right_leg,thermal_support_limit,"effective_htc,effective_ua,thermal_resistance","usable_fraction=0.731, thermal_warning_fraction=0.269, min_abs_delta_t=2.170, mean_htc=27.017",Too much of the branch is masked or support-limited for a stable effective ratio claim.,no,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_kirst_coarse_mesh/branch_thermal_summary.csv,2,Keep out of paper narrative unless the scope narrows to a safe subset or the branch is explicitly excluded.
viscosity_screening_salt_test_1_kirst_coarse_mesh,Salt 1 Kirst,salt,salt1,upper_leg,hydraulic_agreement_limit,"shear_friction,direct_pressure_gradient,momentum_resistance","shear_grad=15.035, direct_grad=65.061, direct_support_fraction=0.978",Shear-based and direct wall-registered reductions share the sign but disagree materially in magnitude.,no,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_kirst_coarse_mesh/major_loss_summary.csv,2,Keep out of paper narrative unless the scope narrows to a safe subset or the branch is explicitly excluded.
viscosity_screening_salt_test_1_kirst_coarse_mesh,Salt 1 Kirst,salt,salt1,upper_leg,thermal_support_limit,"effective_htc,effective_ua,thermal_resistance","usable_fraction=0.957, thermal_warning_fraction=0.043, min_abs_delta_t=0.343, mean_htc=277.105","The branch remains interpretable internally, but one support metric is too marginal for paper promotion.",no,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_1_kirst_coarse_mesh/branch_thermal_summary.csv,2,Keep out of paper narrative unless the scope narrows to a safe subset or the branch is explicitly excluded.
viscosity_screening_salt_test_2_jin_coarse_mesh,Salt 2 Jin,salt,salt2,lower_leg,thermal_support_limit,"effective_htc,effective_ua,thermal_resistance","usable_fraction=0.750, thermal_warning_fraction=0.250, min_abs_delta_t=0.580, mean_htc=223.522","The branch remains interpretable internally, but one support metric is too marginal for paper promotion.",no,tmp/2026-06-15_live_case_analysis/contract_fix_salt2/viscosity_screening_salt_test_2_jin_coarse_mesh/branch_thermal_summary.csv,2,Keep out of paper narrative unless the scope narrows to a safe subset or the branch is explicitly excluded.
viscosity_screening_salt_test_2_jin_coarse_mesh,Salt 2 Jin,salt,salt2,right_leg,thermal_support_limit,"effective_htc,effective_ua,thermal_resistance","usable_fraction=0.731, thermal_warning_fraction=0.269, min_abs_delta_t=2.750, mean_htc=31.760",Too much of the branch is masked or support-limited for a stable effective ratio claim.,no,tmp/2026-06-15_live_case_analysis/contract_fix_salt2/viscosity_screening_salt_test_2_jin_coarse_mesh/branch_thermal_summary.csv,2,Keep out of paper narrative unless the scope narrows to a safe subset or the branch is explicitly excluded.
viscosity_screening_salt_test_2_jin_coarse_mesh,Salt 2 Jin,salt,salt2,upper_leg,hydraulic_agreement_limit,"shear_friction,direct_pressure_gradient,momentum_resistance","shear_grad=13.940, direct_grad=60.989, direct_support_fraction=0.978",Shear-based and direct wall-registered reductions share the sign but disagree materially in magnitude.,no,tmp/2026-06-15_live_case_analysis/contract_fix_salt2/viscosity_screening_salt_test_2_jin_coarse_mesh/major_loss_summary.csv,2,Keep out of paper narrative unless the scope narrows to a safe subset or the branch is explicitly excluded.
viscosity_screening_salt_test_2_jin_coarse_mesh,Salt 2 Jin,salt,salt2,upper_leg,thermal_support_limit,"effective_htc,effective_ua,thermal_resistance","usable_fraction=0.957, thermal_warning_fraction=0.043, min_abs_delta_t=0.283, mean_htc=303.957","The branch remains interpretable internally, but one support metric is too marginal for paper promotion.",no,tmp/2026-06-15_live_case_analysis/contract_fix_salt2/viscosity_screening_salt_test_2_jin_coarse_mesh/branch_thermal_summary.csv,2,Keep out of paper narrative unless the scope narrows to a safe subset or the branch is explicitly excluded.
viscosity_screening_salt_test_2_kirst_coarse_mesh,Salt 2 Kirst,salt,salt2,lower_leg,thermal_support_limit,"effective_htc,effective_ua,thermal_resistance","usable_fraction=0.750, thermal_warning_fraction=0.250, min_abs_delta_t=1.557, mean_htc=209.493","The branch remains interpretable internally, but one support metric is too marginal for paper promotion.",no,tmp/2026-06-15_live_case_analysis/contract_fix_salt2/viscosity_screening_salt_test_2_kirst_coarse_mesh/branch_thermal_summary.csv,2,Keep out of paper narrative unless the scope narrows to a safe subset or the branch is explicitly excluded.
viscosity_screening_salt_test_2_kirst_coarse_mesh,Salt 2 Kirst,salt,salt2,right_leg,thermal_support_limit,"effective_htc,effective_ua,thermal_resistance","usable_fraction=0.731, thermal_warning_fraction=0.269, min_abs_delta_t=2.711, mean_htc=30.305",Too much of the branch is masked or support-limited for a stable effective ratio claim.,no,tmp/2026-06-15_live_case_analysis/contract_fix_salt2/viscosity_screening_salt_test_2_kirst_coarse_mesh/branch_thermal_summary.csv,2,Keep out of paper narrative unless the scope narrows to a safe subset or the branch is explicitly excluded.
viscosity_screening_salt_test_2_kirst_coarse_mesh,Salt 2 Kirst,salt,salt2,upper_leg,hydraulic_agreement_limit,"shear_friction,direct_pressure_gradient,momentum_resistance","shear_grad=14.267, direct_grad=62.984, direct_support_fraction=0.978",Shear-based and direct wall-registered reductions share the sign but disagree materially in magnitude.,no,tmp/2026-06-15_live_case_analysis/contract_fix_salt2/viscosity_screening_salt_test_2_kirst_coarse_mesh/major_loss_summary.csv,2,Keep out of paper narrative unless the scope narrows to a safe subset or the branch is explicitly excluded.
viscosity_screening_salt_test_2_kirst_coarse_mesh,Salt 2 Kirst,salt,salt2,upper_leg,thermal_support_limit,"effective_htc,effective_ua,thermal_resistance","usable_fraction=0.957, thermal_warning_fraction=0.043, min_abs_delta_t=0.431, mean_htc=289.453","The branch remains interpretable internally, but one support metric is too marginal for paper promotion.",no,tmp/2026-06-15_live_case_analysis/contract_fix_salt2/viscosity_screening_salt_test_2_kirst_coarse_mesh/branch_thermal_summary.csv,2,Keep out of paper narrative unless the scope narrows to a safe subset or the branch is explicitly excluded.
viscosity_screening_salt_test_3_jin_coarse_mesh,Salt 3 Jin,salt,salt3,lower_leg,thermal_support_limit,"effective_htc,effective_ua,thermal_resistance","usable_fraction=0.750, thermal_warning_fraction=0.250, min_abs_delta_t=1.117, mean_htc=234.952","The branch remains interpretable internally, but one support metric is too marginal for paper promotion.",no,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_3_jin_coarse_mesh/branch_thermal_summary.csv,2,Keep out of paper narrative unless the scope narrows to a safe subset or the branch is explicitly excluded.
viscosity_screening_salt_test_3_jin_coarse_mesh,Salt 3 Jin,salt,salt3,right_leg,thermal_support_limit,"effective_htc,effective_ua,thermal_resistance","usable_fraction=0.731, thermal_warning_fraction=0.269, min_abs_delta_t=3.199, mean_htc=33.264",Too much of the branch is masked or support-limited for a stable effective ratio claim.,no,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_3_jin_coarse_mesh/branch_thermal_summary.csv,2,Keep out of paper narrative unless the scope narrows to a safe subset or the branch is explicitly excluded.
viscosity_screening_salt_test_3_jin_coarse_mesh,Salt 3 Jin,salt,salt3,upper_leg,hydraulic_agreement_limit,"shear_friction,direct_pressure_gradient,momentum_resistance","shear_grad=13.901, direct_grad=61.769, direct_support_fraction=0.978",Shear-based and direct wall-registered reductions share the sign but disagree materially in magnitude.,no,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_3_jin_coarse_mesh/major_loss_summary.csv,2,Keep out of paper narrative unless the scope narrows to a safe subset or the branch is explicitly excluded.
viscosity_screening_salt_test_3_jin_coarse_mesh,Salt 3 Jin,salt,salt3,upper_leg,thermal_support_limit,"effective_htc,effective_ua,thermal_resistance","usable_fraction=0.957, thermal_warning_fraction=0.043, min_abs_delta_t=0.268, mean_htc=328.345","The branch remains interpretable internally, but one support metric is too marginal for paper promotion.",no,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_3_jin_coarse_mesh/branch_thermal_summary.csv,2,Keep out of paper narrative unless the scope narrows to a safe subset or the branch is explicitly excluded.
viscosity_screening_salt_test_3_kirst_coarse_mesh,Salt 3 Kirst,salt,salt3,lower_leg,thermal_support_limit,"effective_htc,effective_ua,thermal_resistance","usable_fraction=0.750, thermal_warning_fraction=0.250, min_abs_delta_t=0.680, mean_htc=228.874","The branch remains interpretable internally, but one support metric is too marginal for paper promotion.",no,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_3_kirst_coarse_mesh/branch_thermal_summary.csv,2,Keep out of paper narrative unless the scope narrows to a safe subset or the branch is explicitly excluded.
viscosity_screening_salt_test_3_kirst_coarse_mesh,Salt 3 Kirst,salt,salt3,right_leg,thermal_support_limit,"effective_htc,effective_ua,thermal_resistance","usable_fraction=0.731, thermal_warning_fraction=0.269, min_abs_delta_t=3.057, mean_htc=32.651",Too much of the branch is masked or support-limited for a stable effective ratio claim.,no,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_3_kirst_coarse_mesh/branch_thermal_summary.csv,2,Keep out of paper narrative unless the scope narrows to a safe subset or the branch is explicitly excluded.
viscosity_screening_salt_test_3_kirst_coarse_mesh,Salt 3 Kirst,salt,salt3,upper_leg,hydraulic_agreement_limit,"shear_friction,direct_pressure_gradient,momentum_resistance","shear_grad=14.378, direct_grad=64.572, direct_support_fraction=0.978",Shear-based and direct wall-registered reductions share the sign but disagree materially in magnitude.,no,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_3_kirst_coarse_mesh/major_loss_summary.csv,2,Keep out of paper narrative unless the scope narrows to a safe subset or the branch is explicitly excluded.
viscosity_screening_salt_test_3_kirst_coarse_mesh,Salt 3 Kirst,salt,salt3,upper_leg,thermal_support_limit,"effective_htc,effective_ua,thermal_resistance","usable_fraction=0.957, thermal_warning_fraction=0.043, min_abs_delta_t=0.259, mean_htc=318.644","The branch remains interpretable internally, but one support metric is too marginal for paper promotion.",no,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_3_kirst_coarse_mesh/branch_thermal_summary.csv,2,Keep out of paper narrative unless the scope narrows to a safe subset or the branch is explicitly excluded.
viscosity_screening_salt_test_4_jin_coarse_mesh,Salt 4 Jin,salt,salt4,lower_leg,thermal_support_limit,"effective_htc,effective_ua,thermal_resistance","usable_fraction=0.761, thermal_warning_fraction=0.239, min_abs_delta_t=1.699, mean_htc=252.087","The branch remains interpretable internally, but one support metric is too marginal for paper promotion.",no,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_4_jin_coarse_mesh/branch_thermal_summary.csv,2,Keep out of paper narrative unless the scope narrows to a safe subset or the branch is explicitly excluded.
viscosity_screening_salt_test_4_jin_coarse_mesh,Salt 4 Jin,salt,salt4,right_leg,thermal_support_limit,"effective_htc,effective_ua,thermal_resistance","usable_fraction=0.731, thermal_warning_fraction=0.269, min_abs_delta_t=3.872, mean_htc=34.233",Too much of the branch is masked or support-limited for a stable effective ratio claim.,no,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_4_jin_coarse_mesh/branch_thermal_summary.csv,2,Keep out of paper narrative unless the scope narrows to a safe subset or the branch is explicitly excluded.
viscosity_screening_salt_test_4_jin_coarse_mesh,Salt 4 Jin,salt,salt4,upper_leg,hydraulic_agreement_limit,"shear_friction,direct_pressure_gradient,momentum_resistance","shear_grad=13.860, direct_grad=63.639, direct_support_fraction=0.978",Shear-based and direct wall-registered reductions share the sign but disagree materially in magnitude.,no,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_4_jin_coarse_mesh/major_loss_summary.csv,2,Keep out of paper narrative unless the scope narrows to a safe subset or the branch is explicitly excluded.
viscosity_screening_salt_test_4_jin_coarse_mesh,Salt 4 Jin,salt,salt4,upper_leg,thermal_support_limit,"effective_htc,effective_ua,thermal_resistance","usable_fraction=0.947, thermal_warning_fraction=0.053, min_abs_delta_t=0.152, mean_htc=338.531","The thermal driving temperature difference approaches zero, so HTC-style ratios become unstable by design.",no,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_4_jin_coarse_mesh/branch_thermal_summary.csv,2,Keep out of paper narrative unless the scope narrows to a safe subset or the branch is explicitly excluded.
viscosity_screening_salt_test_4_kirst_coarse_mesh,Salt 4 Kirst,salt,salt4,lower_leg,thermal_support_limit,"effective_htc,effective_ua,thermal_resistance","usable_fraction=0.750, thermal_warning_fraction=0.250, min_abs_delta_t=1.171, mean_htc=243.905","The branch remains interpretable internally, but one support metric is too marginal for paper promotion.",no,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_4_kirst_coarse_mesh/branch_thermal_summary.csv,2,Keep out of paper narrative unless the scope narrows to a safe subset or the branch is explicitly excluded.
viscosity_screening_salt_test_4_kirst_coarse_mesh,Salt 4 Kirst,salt,salt4,right_leg,thermal_support_limit,"effective_htc,effective_ua,thermal_resistance","usable_fraction=0.731, thermal_warning_fraction=0.269, min_abs_delta_t=3.635, mean_htc=34.057",Too much of the branch is masked or support-limited for a stable effective ratio claim.,no,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_4_kirst_coarse_mesh/branch_thermal_summary.csv,2,Keep out of paper narrative unless the scope narrows to a safe subset or the branch is explicitly excluded.
viscosity_screening_salt_test_4_kirst_coarse_mesh,Salt 4 Kirst,salt,salt4,upper_leg,hydraulic_agreement_limit,"shear_friction,direct_pressure_gradient,momentum_resistance","shear_grad=14.487, direct_grad=66.240, direct_support_fraction=0.978",Shear-based and direct wall-registered reductions share the sign but disagree materially in magnitude.,no,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_4_kirst_coarse_mesh/major_loss_summary.csv,2,Keep out of paper narrative unless the scope narrows to a safe subset or the branch is explicitly excluded.
viscosity_screening_salt_test_4_kirst_coarse_mesh,Salt 4 Kirst,salt,salt4,upper_leg,thermal_support_limit,"effective_htc,effective_ua,thermal_resistance","usable_fraction=0.957, thermal_warning_fraction=0.043, min_abs_delta_t=0.268, mean_htc=345.692","The branch remains interpretable internally, but one support metric is too marginal for paper promotion.",no,tmp/2026-06-15_live_case_analysis/contract_fix_salt_family/viscosity_screening_salt_test_4_kirst_coarse_mesh/branch_thermal_summary.csv,2,Keep out of paper narrative unless the scope narrows to a safe subset or the branch is explicitly excluded.
val_water_test_1_coarse_mesh_laminar,Water 1,water,water1,left_lower_leg,thermal_support_limit,"effective_htc,effective_ua,thermal_resistance","usable_fraction=0.476, thermal_warning_fraction=0.524, min_abs_delta_t=0.013, mean_htc=260.691",Too much of the branch is masked or support-limited for a stable effective ratio claim.,no,tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_1_coarse_mesh_laminar/branch_thermal_summary.csv,3,Retain as internal caution and revisit after higher-priority contradictions are resolved.
val_water_test_1_coarse_mesh_laminar,Water 1,water,water1,left_upper_leg,hydraulic_agreement_limit,"shear_friction,direct_pressure_gradient,momentum_resistance","shear_grad=0.183, direct_grad=1.464, direct_support_fraction=0.973",Shear-based and direct wall-registered reductions share the sign but disagree materially in magnitude.,no,tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_1_coarse_mesh_laminar/major_loss_summary.csv,3,Retain as internal caution and revisit after higher-priority contradictions are resolved.
val_water_test_1_coarse_mesh_laminar,Water 1,water,water1,left_upper_leg,thermal_support_limit,"effective_htc,effective_ua,thermal_resistance","usable_fraction=0.949, thermal_warning_fraction=0.051, min_abs_delta_t=0.400, mean_htc=121.412","The branch remains interpretable internally, but one support metric is too marginal for paper promotion.",no,tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_1_coarse_mesh_laminar/branch_thermal_summary.csv,3,Retain as internal caution and revisit after higher-priority contradictions are resolved.
val_water_test_1_coarse_mesh_laminar,Water 1,water,water1,lower_leg,hydraulic_agreement_limit,"shear_friction,direct_pressure_gradient,momentum_resistance","shear_grad=1.369, direct_grad=0.180, direct_support_fraction=1.000",Shear-based and direct wall-registered reductions share the sign but disagree materially in magnitude.,no,tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_1_coarse_mesh_laminar/major_loss_summary.csv,3,Retain as internal caution and revisit after higher-priority contradictions are resolved.
val_water_test_1_coarse_mesh_laminar,Water 1,water,water1,lower_leg,thermal_support_limit,"effective_htc,effective_ua,thermal_resistance","usable_fraction=0.750, thermal_warning_fraction=0.250, min_abs_delta_t=0.027, mean_htc=299.450","The thermal driving temperature difference approaches zero, so HTC-style ratios become unstable by design.",no,tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_1_coarse_mesh_laminar/branch_thermal_summary.csv,3,Retain as internal caution and revisit after higher-priority contradictions are resolved.
val_water_test_1_coarse_mesh_laminar,Water 1,water,water1,right_leg,thermal_support_limit,"effective_htc,effective_ua,thermal_resistance","usable_fraction=0.731, thermal_warning_fraction=0.269, min_abs_delta_t=0.427, mean_htc=45.320",Too much of the branch is masked or support-limited for a stable effective ratio claim.,no,tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_1_coarse_mesh_laminar/branch_thermal_summary.csv,3,Retain as internal caution and revisit after higher-priority contradictions are resolved.
val_water_test_1_coarse_mesh_laminar,Water 1,water,water1,test_section_span,hydraulic_agreement_limit,"shear_friction,direct_pressure_gradient,momentum_resistance","shear_grad=0.614, direct_grad=5.196, direct_support_fraction=1.000",Shear-based and direct wall-registered reductions share the sign but disagree materially in magnitude.,no,tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_1_coarse_mesh_laminar/major_loss_summary.csv,3,Retain as internal caution and revisit after higher-priority contradictions are resolved.
val_water_test_1_coarse_mesh_laminar,Water 1,water,water1,test_section_span,thermal_support_limit,"effective_htc,effective_ua,thermal_resistance","usable_fraction=1.000, thermal_warning_fraction=0.000, min_abs_delta_t=0.331, mean_htc=248.691","The branch remains interpretable internally, but one support metric is too marginal for paper promotion.",no,tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_1_coarse_mesh_laminar/branch_thermal_summary.csv,3,Retain as internal caution and revisit after higher-priority contradictions are resolved.
val_water_test_1_coarse_mesh_laminar,Water 1,water,water1,upcomer,thermal_support_limit,"effective_htc,effective_ua,thermal_resistance","usable_fraction=0.802, thermal_warning_fraction=0.198, min_abs_delta_t=0.013, mean_htc=191.217",The derived upcomer inherits one or more blocked component spans.,no,tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_1_coarse_mesh_laminar/branch_thermal_summary.csv,3,Retain as internal caution and revisit after higher-priority contradictions are resolved.
val_water_test_1_coarse_mesh_laminar,Water 1,water,water1,upper_leg,thermal_support_limit,"effective_htc,effective_ua,thermal_resistance","usable_fraction=0.719, thermal_warning_fraction=0.281, min_abs_delta_t=0.002, mean_htc=306.214",Too much of the branch is masked or support-limited for a stable effective ratio claim.,no,tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_1_coarse_mesh_laminar/branch_thermal_summary.csv,3,Retain as internal caution and revisit after higher-priority contradictions are resolved.
val_water_test_2_coarse_mesh_laminar,Water 2,water,water2,left_lower_leg,thermal_support_limit,"effective_htc,effective_ua,thermal_resistance","usable_fraction=0.571, thermal_warning_fraction=0.429, min_abs_delta_t=0.018, mean_htc=273.707",Too much of the branch is masked or support-limited for a stable effective ratio claim.,no,tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_2_coarse_mesh_laminar/branch_thermal_summary.csv,3,Retain as internal caution and revisit after higher-priority contradictions are resolved.
val_water_test_2_coarse_mesh_laminar,Water 2,water,water2,left_upper_leg,hydraulic_agreement_limit,"shear_friction,direct_pressure_gradient,momentum_resistance","shear_grad=0.249, direct_grad=1.301, direct_support_fraction=0.973",Shear-based and direct wall-registered reductions share the sign but disagree materially in magnitude.,no,tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_2_coarse_mesh_laminar/major_loss_summary.csv,3,Retain as internal caution and revisit after higher-priority contradictions are resolved.
val_water_test_2_coarse_mesh_laminar,Water 2,water,water2,lower_leg,hydraulic_agreement_limit,"shear_friction,direct_pressure_gradient,momentum_resistance","shear_grad=1.662, direct_grad=0.131, direct_support_fraction=1.000",Shear-based and direct wall-registered reductions share the sign but disagree materially in magnitude.,no,tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_2_coarse_mesh_laminar/major_loss_summary.csv,3,Retain as internal caution and revisit after higher-priority contradictions are resolved.
val_water_test_2_coarse_mesh_laminar,Water 2,water,water2,lower_leg,thermal_support_limit,"effective_htc,effective_ua,thermal_resistance","usable_fraction=0.730, thermal_warning_fraction=0.270, min_abs_delta_t=0.054, mean_htc=336.574",Too much of the branch is masked or support-limited for a stable effective ratio claim.,no,tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_2_coarse_mesh_laminar/branch_thermal_summary.csv,3,Retain as internal caution and revisit after higher-priority contradictions are resolved.
val_water_test_2_coarse_mesh_laminar,Water 2,water,water2,right_leg,thermal_support_limit,"effective_htc,effective_ua,thermal_resistance","usable_fraction=0.731, thermal_warning_fraction=0.269, min_abs_delta_t=0.538, mean_htc=61.036",Too much of the branch is masked or support-limited for a stable effective ratio claim.,no,tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_2_coarse_mesh_laminar/branch_thermal_summary.csv,3,Retain as internal caution and revisit after higher-priority contradictions are resolved.
