case_id,source_id,path_id,description,fixed_mdot_kg_s,cfd_mdot_kg_s,mdot_relative_error,thermal_root_found,temperature_root_bracketed,temperature_root_reason,temperature_periodicity_error_K,model_Tmean_K,cfd_Tmean_K,Tmean_error_K,model_loop_delta_T_K,cfd_loop_delta_T_K,loop_delta_T_error_K,qhx_total_W,qambient_total_W,source_total_W,prescribed_loss_total_W,deltaP_buoyancy_Pa,deltaP_losses_Pa,pressure_residual_Pa,pressure_residual_tolerance_Pa,pressure_residual_margin_Pa,pressure_root_policy,reynolds_main,velocity_main_m_s,friction_factor_main,predicted_air_outlet_temperature_K,start_temperature_K,end_temperature_K,thermal_input_policy,hydraulic_policy,score_partition,modeling_status
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,P3_source_plus_test_section_sink,Use heater wallHeatFlux and treat the test section as a negative local source.,0.01497,0.01497,0.0,True,True,temperature_periodicity_root_found,0.0,492.025643,463.7,28.325643,10.557173,12.2,-1.642827,41.455625,221.15314,262.6104,0.0,50.297687,29.778473,-20.519214,2.514884,18.00433,not_rooted_fixed_mdot_pressure_residual_diagnostic,164.03011,0.02032532,0.39017227,360.058415,497.967385,497.967385,compatibility probe: use CFD heater interface wallHeatFlux and encode net test-section wallHeatFlux as a negative source so current Fluid internal passive-loss models remain active,hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_temperature_error_only; pressure_residual_diagnostic,thermal_replay_source_and_quartz_sink_probe_not_predictive_hydraulic_score
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,P4_cfd_cooler_plus_heater_wallflux,Combine CFD cooler wallHeatFlux with CFD heater interface wallHeatFlux.,0.01497,0.01497,0.0,True,True,temperature_periodicity_root_found,0.0,423.949985,463.7,-39.750015,11.561921,12.2,-0.638079,150.7696,122.385962,273.1554,0.0,66.972489,65.976078,-0.996411,3.348624,-2.352213,not_rooted_fixed_mdot_pressure_residual_diagnostic,72.556947,0.01980075,0.88206578,506.103026,430.040118,430.040118,impose CFD cooler duty and CFD heater interface wallHeatFlux; omit the 37 W test-section source,hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_temperature_error_only; pressure_residual_diagnostic,thermal_replay_combined_cooler_source_probe_not_predictive_hydraulic_score
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,P5_cfd_cooler_source_plus_test_sink,"Combine CFD cooler duty, heater wallHeatFlux, and net test-section passive loss.",0.01497,0.01497,0.0,False,False,no_bracketed_temperature_periodicity_root,5.243313,519.247165,463.7,55.547165,12.806055,12.2,0.606055,150.7696,10.545,273.1554,10.545,55.7767,23.990065,-31.786635,2.788835,28.9978,not_rooted_fixed_mdot_pressure_residual_diagnostic,203.059744,0.02052291,0.31517818,506.103026,522.479,527.722313,"preferred sign-convention probe: impose CFD cooler duty, heater wallHeatFlux as a source, and net test-section wallHeatFlux as a positive passive loss; current Fluid prescribed-loss semantics make other passive losses zero unless explicitly prescribed",hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_temperature_error_only; pressure_residual_diagnostic,thermal_replay_split_source_loss_contract_probe_not_predictive_hydraulic_score
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,P6_full_patch_ledger_prescribed,Prescribe heater wallHeatFlux plus all CFD patchwise heat losses mapped to 1D parent segments.,0.01497,0.01497,0.0,False,False,no_bracketed_temperature_periodicity_root,0.013422,296.368215,463.7,-167.331785,12.462537,12.2,0.262537,0.0,272.8691,273.1554,272.8691,75.726802,2611.536295,2535.809493,130.576815,2405.232679,not_rooted_fixed_mdot_pressure_residual_diagnostic,2.142724,0.01888402,29.8685156,299.79,302.311,302.324422,prescribe heater wallHeatFlux and all CFD cooler/passive/test/junction patch losses mapped to Fluid parent segments,hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_temperature_error_only; pressure_residual_diagnostic,fixed_Q_full_ledger_replay_mean_T_underanchored_without_temperature_dependent_boundary_network
salt_4,viscosity_screening_salt_test_4_jin_coarse_mesh,P0_fixed_mdot_current_1d_contract,Current 1D thermal contract at CFD mdot.,0.01698,0.01698,0.0,False,False,no_bracketed_temperature_periodicity_root,0.137081,544.225914,479.2,65.025914,11.116289,12.3,-1.183711,53.471883,317.810721,374.6,0.0,52.541555,23.388114,-29.15344,2.627078,26.526363,not_rooted_fixed_mdot_pressure_residual_diagnostic,281.342434,0.02353202,0.22748079,378.973603,550.0,550.137081,current Fluid salt contract: heater imposed duty plus 37 W test-section input; predictive air-side HX and internal ambient model,hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_temperature_error_only; pressure_residual_diagnostic,thermal_replay_baseline_not_predictive_hydraulic_score
salt_4,viscosity_screening_salt_test_4_jin_coarse_mesh,P1_cfd_cooler_duty_only,Replace predictive air-side HX duty with CFD cooler wallHeatFlux magnitude.,0.01698,0.01698,0.0,True,True,temperature_periodicity_root_found,0.0,481.896787,479.2,2.696787,12.12589,12.3,-0.17411,169.2268,205.373941,374.6,0.0,68.931996,37.347623,-31.584373,3.4466,28.137773,not_rooted_fixed_mdot_pressure_residual_diagnostic,168.999783,0.02296555,0.37869871,531.677605,488.033028,488.033028,current Fluid sources; replace predictive air-side HX with CFD cooler wallHeatFlux magnitude,hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_temperature_error_only; pressure_residual_diagnostic,thermal_replay_cfd_cooler_duty_not_predictive_hydraulic_score
salt_4,viscosity_screening_salt_test_4_jin_coarse_mesh,P2_heater_wallflux_no_test_source,Use heater interface wallHeatFlux and remove the 37 W 1D test-section source.,0.01698,0.01698,0.0,True,True,temperature_periodicity_root_found,0.0,516.136956,479.2,36.936956,10.475864,12.3,-1.824136,46.963381,263.522183,310.4871,0.0,49.842332,28.096789,-21.745543,2.492117,19.253426,not_rooted_fixed_mdot_pressure_residual_diagnostic,229.050113,0.02327212,0.27941484,368.781052,521.941937,521.941937,use CFD heater interface wallHeatFlux as the only prescribed source; remove the legacy 37 W test-section input,hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_temperature_error_only; pressure_residual_diagnostic,thermal_replay_source_contract_probe_not_predictive_hydraulic_score
salt_4,viscosity_screening_salt_test_4_jin_coarse_mesh,P3_source_plus_test_section_sink,Use heater wallHeatFlux and treat the test section as a negative local source.,0.01698,0.01698,0.0,True,True,temperature_periodicity_root_found,0.0,507.87917,479.2,28.67917,10.606181,12.3,-1.693819,45.048383,248.668133,293.7184,0.0,50.34271,29.888176,-20.454534,2.517136,17.937399,not_rooted_fixed_mdot_pressure_residual_diagnostic,214.390613,0.0231986,0.29852053,365.810767,513.891046,513.891046,compatibility probe: use CFD heater interface wallHeatFlux and encode net test-section wallHeatFlux as a negative source so current Fluid internal passive-loss models remain active,hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_temperature_error_only; pressure_residual_diagnostic,thermal_replay_source_and_quartz_sink_probe_not_predictive_hydraulic_score
salt_4,viscosity_screening_salt_test_4_jin_coarse_mesh,P4_cfd_cooler_plus_heater_wallflux,Combine CFD cooler wallHeatFlux with CFD heater interface wallHeatFlux.,0.01698,0.01698,0.0,True,True,temperature_periodicity_root_found,0.0,438.324692,479.2,-40.875308,11.569761,12.3,-0.730239,169.2268,141.260442,310.4871,0.0,66.816977,61.150638,-5.666339,3.340849,2.32549,not_rooted_fixed_mdot_pressure_residual_diagnostic,101.3167,0.02258289,0.63168264,531.677605,444.423837,444.423837,impose CFD cooler duty and CFD heater interface wallHeatFlux; omit the 37 W test-section source,hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_temperature_error_only; pressure_residual_diagnostic,thermal_replay_combined_cooler_source_probe_not_predictive_hydraulic_score
salt_4,viscosity_screening_salt_test_4_jin_coarse_mesh,P5_cfd_cooler_source_plus_test_sink,"Combine CFD cooler duty, heater wallHeatFlux, and net test-section passive loss.",0.01698,0.01698,0.0,False,False,no_bracketed_temperature_periodicity_root,5.145525,519.14049,479.2,39.94049,12.833149,12.3,0.533149,169.2268,16.7687,310.4871,16.7687,56.064318,27.501555,-28.562763,2.803216,25.759547,not_rooted_fixed_mdot_pressure_residual_diagnostic,230.357344,0.02327865,0.27782921,531.677605,522.497,527.642525,"preferred sign-convention probe: impose CFD cooler duty, heater wallHeatFlux as a source, and net test-section wallHeatFlux as a positive passive loss; current Fluid prescribed-loss semantics make other passive losses zero unless explicitly prescribed",hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_temperature_error_only; pressure_residual_diagnostic,thermal_replay_split_source_loss_contract_probe_not_predictive_hydraulic_score
salt_4,viscosity_screening_salt_test_4_jin_coarse_mesh,P6_full_patch_ledger_prescribed,Prescribe heater wallHeatFlux plus all CFD patchwise heat losses mapped to 1D parent segments.,0.01698,0.01698,0.0,False,False,no_bracketed_temperature_periodicity_root,0.003278,530.24159,479.2,51.04159,12.496063,12.3,0.196063,0.0,310.4078,310.4871,310.4078,76.118056,25.513036,-50.605021,3.805903,46.799118,not_rooted_fixed_mdot_pressure_residual_diagnostic,255.85239,0.02340553,0.25014423,299.97,536.2485,536.251778,prescribe heater wallHeatFlux and all CFD cooler/passive/test/junction patch losses mapped to Fluid parent segments,hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_temperature_error_only; pressure_residual_diagnostic,fixed_Q_full_ledger_replay_mean_T_underanchored_without_temperature_dependent_boundary_network
