task,previous_status,reason
AGENT-359,COMPLETE 2026-07-14T17:00:22-0500,status_complete
AGENT-358,COMPLETE 2026-07-14T17:35:00-05:00,status_complete
AGENT-357,SUBMITTED/PENDING 2026-07-14T16:45:00-05:00,closed_terminal_or_current_task_complete
AGENT-356,COMPLETE 2026-07-14T17:10:00-05:00,status_complete
AGENT-355,COMPLETE 2026-07-14T16:31:00-05:00,status_complete
AGENT-354,COMPLETE 2026-07-14T16:09:19-05:00,status_complete
AGENT-353,COMPLETE 2026-07-14T15:45:13-05:00,status_complete
AGENT-352,COMPLETE 2026-07-14T16:34:00-05:00,status_complete
AGENT-351,COMPLETE 2026-07-14T15:48:47-0500,status_complete
AGENT-350,COMPLETE 2026-07-14T16:05:00-05:00,status_complete
AGENT-349,COMPLETE 2026-07-14T15:36:00-05:00,status_complete
AGENT-348,COMPLETE 2026-07-14T15:38:00-0500,status_complete
AGENT-347,COMPLETE 2026-07-14T15:34:00-05:00,status_complete
AGENT-346,COMPLETE 2026-07-14T14:31:00-05:00,status_complete
AGENT-345,COMPLETE 2026-07-14T13:59:52-0500,status_complete
AGENT-344,SUBMITTED/PENDING 2026-07-14T14:04:00-05:00,closed_terminal_or_current_task_complete
AGENT-343,COMPLETE 2026-07-14T13:52:00-05:00,status_complete
AGENT-342,COMPLETE 2026-07-14T13:41:00-05:00,status_complete
AGENT-341,COMPLETE 2026-07-14T13:41:24-05:00,status_complete
AGENT-340,COMPLETE 2026-07-14T12:42:35-05:00,status_complete
AGENT-339,COMPLETE 2026-07-14T12:38:00-0500,status_complete
AGENT-338,COMPLETE 2026-07-14T12:37:00-05:00,status_complete
AGENT-337,COMPLETE 2026-07-14T12:35:00-0500,status_complete
AGENT-336,COMPLETE 2026-07-14T12:31:51-05:00,status_complete
AGENT-335,COMPLETE 2026-07-14T12:29:00-05:00,status_complete
AGENT-334,COMPLETE 2026-07-14T12:34:24-05:00,status_complete
AGENT-333,COMPLETE 2026-07-14T12:20:00-0500,status_complete
AGENT-332,COMPLETE 2026-07-14T12:10:46-05:00,status_complete
AGENT-331,COMPLETE 2026-07-14T12:10:00-05:00,status_complete
AGENT-330,COMPLETE 2026-07-14T12:20:00-05:00,status_complete
AGENT-329,COMPLETE 2026-07-14T12:18:00-05:00,status_complete
AGENT-328,COMPLETE 2026-07-14T12:12:00-05:00,status_complete
AGENT-327,COMPLETE 2026-07-14T12:04:00-05:00,status_complete
AGENT-325,COMPLETE 2026-07-14T11:49:00-05:00,status_complete
AGENT-324,COMPLETE 2026-07-14T11:47:10-05:00,status_complete
AGENT-323,COMPLETE 2026-07-14T12:00:00-05:00,status_complete
AGENT-322,COMPLETE 2026-07-14T11:42:00-05:00,status_complete
AGENT-318,COMPLETE 2026-07-14T11:57:00-05:00,status_complete
AGENT-317,COMPLETE 2026-07-14T11:45:00-05:00,status_complete
AGENT-326,COMPLETE 2026-07-14T11:45:00-05:00,status_complete
AGENT-319,COMPLETE 2026-07-14T11:45:00-05:00,status_complete
AGENT-320,COMPLETE 2026-07-14T11:47:34-05:00,status_complete
AGENT-321,COMPLETE 2026-07-14T11:45:00-05:00,status_complete
AGENT-316,COMPLETE 2026-07-14,status_complete
AGENT-313,COMPLETE 2026-07-14T11:16:09-05:00,status_complete
AGENT-314,COMPLETE 2026-07-14T11:18:30-05:00,status_complete
AGENT-315,COMPLETE 2026-07-14T11:16:00-05:00,status_complete
AGENT-311,COMPLETE 2026-07-14T11:16:00-05:00,status_complete
AGENT-310,COMPLETE 2026-07-14T11:15:23-05:00,status_complete
AGENT-309,COMPLETE 2026-07-14,status_complete
AGENT-308,COMPLETE 2026-07-13,status_complete
AGENT-307,COMPLETE 2026-07-13,status_complete
AGENT-306,COMPLETE 2026-07-13,status_complete
AGENT-305,SUBMITTED/RUNNING 2026-07-13,closed_terminal_or_current_task_complete
AGENT-304,COMPLETE 2026-07-13,status_complete
AGENT-303,COMPLETE 2026-07-13,status_complete
AGENT-302,COMPLETE 2026-07-13,status_complete
AGENT-301,COMPLETE 2026-07-13,status_complete
AGENT-300,COMPLETE 2026-07-13,status_complete
AGENT-299,COMPLETE 2026-07-13,status_complete
AGENT-298,COMPLETE 2026-07-13,status_complete
AGENT-297,COMPLETE 2026-07-13,status_complete
AGENT-296,COMPLETE 2026-07-13,status_complete
AGENT-295,COMPLETE 2026-07-13,status_complete
AGENT-294,COMPLETE 2026-07-13,status_complete
AGENT-291,COMPLETE 2026-07-13,status_complete
AGENT-292,COMPLETE 2026-07-13,status_complete
AGENT-289,COMPLETE 2026-07-13,status_complete
AGENT-290,COMPLETE 2026-07-13; monitor live job `3293924` to terminal harvest,status_complete
AGENT-287,COMPLETE 2026-07-13,status_complete
AGENT-288,COMPLETE 2026-07-13,status_complete
AGENT-286,COMPLETE 2026-07-13,status_complete
TODO-PRED-INPUT-CONTRACT,COMPLETE 2026-07-13,status_complete
TODO-PRED-FORWARD-V0,COMPLETE 2026-07-13,status_complete
AGENT-293,COMPLETE 2026-07-13,status_complete
TODO-PRED-HX-FIT,COMPLETE 2026-07-13,status_complete
TODO-PRED-HEATER-TEST-CONTRACT,COMPLETE 2026-07-13,status_complete
TODO-PRED-WALL-LAYER,COMPLETE 2026-07-13,status_complete
TODO-PRED-WALL-SHELL-SAMPLE,COMPLETE 2026-07-13,status_complete
TODO-PRED-HYDRAULIC-GATE,COMPLETE 2026-07-13,status_complete
TODO-PRED-THERMAL-MESH-GATE,COMPLETE 2026-07-13,status_complete
TODO-PRED-VALIDATION-SPLIT,COMPLETE 2026-07-13T16:44:12-0500,status_complete
AGENT-285,COMPLETE 2026-07-13,status_complete
AGENT-284,COMPLETE 2026-07-13,status_complete
AGENT-283,COMPLETE 2026-07-13,status_complete
AGENT-282,COMPLETE 2026-07-13,status_complete
AGENT-281,COMPLETE 2026-07-13,status_complete
AGENT-280,COMPLETE 2026-07-13,status_complete
AGENT-279,COMPLETE 2026-07-13,status_complete
AGENT-275,COMPLETE 2026-07-13,status_complete
AGENT-274,COMPLETE 2026-07-13,status_complete
AGENT-273,COMPLETE 2026-07-13,status_complete
AGENT-272,COMPLETE 2026-07-13,status_complete
AGENT-271,COMPLETE 2026-07-13,status_complete
AGENT-270,COMPLETE 2026-07-13,status_complete
AGENT-269,COMPLETE 2026-07-13,status_complete
AGENT-268,COMPLETE 2026-07-13,status_complete
AGENT-266,COMPLETE 2026-07-13; harvest deferred because both jobs were still `RUNNING`,status_complete
AGENT-265,"COMPLETE 2026-07-13; serial reconstructed medium `T` has five `-nan` tokens, first at line `6825807`, while AGENT-248 source medium/fine `T` diagnostics report zero nonfinite tokens",status_complete
AGENT-264,COMPLETE 2026-07-13,status_complete
AGENT-263,COMPLETE 2026-07-13,status_complete
AGENT-262,COMPLETE 2026-07-13,status_complete
AGENT-261,COMPLETE 2026-07-13,status_complete
AGENT-260,COMPLETE 2026-07-13,status_complete
AGENT-259,COMPLETE 2026-07-13,status_complete
AGENT-258,COMPLETE 2026-07-10,status_complete
AGENT-257,COMPLETE 2026-07-10,status_complete
AGENT-256,COMPLETE 2026-07-10,status_complete
AGENT-255,COMPLETE 2026-07-10,status_complete
AGENT-254,COMPLETE 2026-07-10,status_complete
AGENT-253,COMPLETE 2026-07-10,status_complete
AGENT-252,COMPLETE 2026-07-10,status_complete
AGENT-251,COMPLETE 2026-07-10,status_complete
AGENT-250,COMPLETE 2026-07-10,status_complete
AGENT-249,COMPLETE 2026-07-10,status_complete
AGENT-248,COMPLETE 2026-07-10,status_complete
AGENT-247,COMPLETE 2026-07-09,status_complete
AGENT-246,COMPLETE 2026-07-09,status_complete
AGENT-245,COMPLETE 2026-07-10,status_complete
AGENT-244,COMPLETE 2026-07-09,status_complete
AGENT-243,COMPLETE 2026-07-09,status_complete
AGENT-241,COMPLETE 2026-07-09,status_complete
AGENT-240,COMPLETE 2026-07-09,status_complete
AGENT-239,COMPLETE 2026-07-09,status_complete
AGENT-238,COMPLETE 2026-07-09,status_complete
AGENT-237,COMPLETE 2026-07-09,status_complete
AGENT-236,COMPLETE 2026-07-09,status_complete
AGENT-235,COMPLETE 2026-07-09,status_complete
AGENT-234,COMPLETE 2026-07-09 (redesigned after user feedback),status_complete
AGENT-233,COMPLETE 2026-07-09,status_complete
AGENT-232,COMPLETE 2026-07-09,status_complete
AGENT-231,COMPLETE 2026-07-09,status_complete
AGENT-230,COMPLETE 2026-07-09,status_complete
AGENT-229,COMPLETE 2026-07-09,status_complete
AGENT-228,COMPLETE 2026-07-09,status_complete
AGENT-227,COMPLETE 2026-07-09,status_complete
AGENT-226,COMPLETE 2026-07-09,status_complete
AGENT-225,COMPLETE 2026-07-09,status_complete
AGENT-224,COMPLETE 2026-07-09,status_complete
AGENT-223,COMPLETE 2026-07-08,status_complete
AGENT-222,COMPLETE 2026-07-08,status_complete
AGENT-220,COMPLETE 2026-07-08,status_complete
AGENT-221,COMPLETE 2026-07-08,status_complete
AGENT-218,COMPLETE 2026-07-08,status_complete
AGENT-219,COMPLETE 2026-07-08,status_complete
AGENT-217,COMPLETE 2026-07-08,status_complete
AGENT-216,COMPLETE 2026-07-08,status_complete
AGENT-215,COMPLETE 2026-07-08,status_complete
AGENT-214,COMPLETE 2026-07-08,status_complete
AGENT-213,COMPLETE 2026-07-08,status_complete
AGENT-210,COMPLETE 2026-07-08,status_complete
AGENT-211,COMPLETE 2026-07-08,status_complete
AGENT-212,COMPLETE 2026-07-08,status_complete
AGENT-204,COMPLETE,status_complete
AGENT-205,COMPLETE,status_complete
AGENT-206,COMPLETE,status_complete
AGENT-207,COMPLETE 2026-07-08,status_complete
AGENT-208,COMPLETE 2026-07-08,status_complete
AGENT-209,COMPLETE 2026-07-08,status_complete
AGENT-203,COMPLETE,status_complete
AGENT-201,COMPLETE,status_complete
AGENT-200,COMPLETE,status_complete
AGENT-199,COMPLETE,status_complete
AGENT-197,COMPLETE,status_complete
AGENT-202,COMPLETE,status_complete
AGENT-449,COMPLETE 2026-07-16T15:36:00-05:00,followup_status_complete
AGENT-451,SUPERSEDED/UNSTARTED 2026-07-16,followup_terminal_or_superseded
