row_id,case_id,name,loss_class,span_or_feature,pressure_basis,velocity_basis,fit_use_status,coefficient_naming_status,readiness_status,blocking_fields,priority,recommended_next_action,allowed_use_now,forbidden_use,source_path
named_pressure:016,salt_4,straight_section:test_section_span,straight_section,test_section_span,debuoyed_total_pressure_proxy_from_pressure_term_ledger,q_ref_pa_from_pressure_ledger,fit_target,candidate_pending_other_gates,extraction_required_branch_or_straight,same_qoi_mesh_gci_missing;pressure_basis_proxy_not_final;velocity_basis_needs_final_definition,3,"Repair pressure/velocity basis, geometry normalization, straight-loss/development basis, and UQ.",diagnostic_pressure_ledger_or_extraction_design,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:017,salt_4,branch_apparent:left_upper_leg,branch_apparent,left_upper_leg,debuoyed_total_pressure_proxy_from_pressure_term_ledger,q_ref_pa_from_pressure_ledger,not_fit_recirculation,reject_universal_name,diagnostic_or_section_effective_only,not_fit_status;recirculation_or_universal_name_rejected;same_qoi_mesh_gci_missing;pressure_basis_proxy_not_final;velocity_basis_needs_final_definition,4,Keep section-effective/diagnostic label; wait for low-reverse terminal anchor.,diagnostic_pressure_ledger_or_extraction_design,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:018,salt_4,branch_apparent:upper_leg,branch_apparent,upper_leg,debuoyed_total_pressure_proxy_from_pressure_term_ledger,q_ref_pa_from_pressure_ledger,fit_target,reject_universal_name,diagnostic_or_section_effective_only,recirculation_or_universal_name_rejected;same_qoi_mesh_gci_missing;pressure_basis_proxy_not_final;velocity_basis_needs_final_definition,4,Keep section-effective/diagnostic label; wait for low-reverse terminal anchor.,diagnostic_pressure_ledger_or_extraction_design,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:019,salt_2,cluster_K:corner_lower_left,cluster_K,corner_lower_left,two_tap_total_pressure_feature_loss_minus_buoyancy_dynamic_and_straight_proxy,mean,,reject_universal_name,diagnostic_or_section_effective_only,not_fit_status;recirculation_or_universal_name_rejected;same_qoi_mesh_gci_missing;centerline_tap_length_missing;local_K_upper_bound;velocity_basis_needs_final_definition,4,Keep section-effective/diagnostic label; wait for low-reverse terminal anchor.,diagnostic_pressure_ledger_or_extraction_design,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:020,salt_2,cluster_K:corner_lower_right,cluster_K,corner_lower_right,two_tap_total_pressure_feature_loss_minus_buoyancy_dynamic_and_straight_proxy,mean,,candidate_pending_other_gates,extraction_required_component_or_cluster,not_fit_status;same_qoi_mesh_gci_missing;centerline_tap_length_missing;local_K_upper_bound;velocity_basis_needs_final_definition,2,"Repair tap basis, centerline lengths, straight-loss subtraction, component isolation, and UQ.",diagnostic_pressure_ledger_or_extraction_design,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:021,salt_2,cluster_K:corner_upper_right,cluster_K,corner_upper_right,two_tap_total_pressure_feature_loss_minus_buoyancy_dynamic_and_straight_proxy,mean,,reject_universal_name,diagnostic_or_section_effective_only,not_fit_status;recirculation_or_universal_name_rejected;same_qoi_mesh_gci_missing;centerline_tap_length_missing;local_K_upper_bound;velocity_basis_needs_final_definition,4,Keep section-effective/diagnostic label; wait for low-reverse terminal anchor.,diagnostic_pressure_ledger_or_extraction_design,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:022,salt_2,cluster_K:corner_upper_left,cluster_K,corner_upper_left,two_tap_total_pressure_feature_loss_minus_buoyancy_dynamic_and_straight_proxy,mean,,reject_universal_name,diagnostic_or_section_effective_only,not_fit_status;recirculation_or_universal_name_rejected;same_qoi_mesh_gci_missing;centerline_tap_length_missing;local_K_upper_bound;velocity_basis_needs_final_definition,4,Keep section-effective/diagnostic label; wait for low-reverse terminal anchor.,diagnostic_pressure_ledger_or_extraction_design,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:023,salt_2,cluster_K:test_section_complex,cluster_K,test_section_complex,two_tap_total_pressure_feature_loss_minus_buoyancy_dynamic_and_straight_proxy,,,reject_universal_name,diagnostic_or_section_effective_only,not_fit_status;recirculation_or_universal_name_rejected;same_qoi_mesh_gci_missing;K_local_missing,4,Keep section-effective/diagnostic label; wait for low-reverse terminal anchor.,diagnostic_pressure_ledger_or_extraction_design,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:024,salt_3,cluster_K:corner_lower_left,cluster_K,corner_lower_left,two_tap_total_pressure_feature_loss_minus_buoyancy_dynamic_and_straight_proxy,mean,,reject_universal_name,diagnostic_or_section_effective_only,not_fit_status;recirculation_or_universal_name_rejected;same_qoi_mesh_gci_missing;centerline_tap_length_missing;local_K_upper_bound;velocity_basis_needs_final_definition,4,Keep section-effective/diagnostic label; wait for low-reverse terminal anchor.,diagnostic_pressure_ledger_or_extraction_design,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:025,salt_3,cluster_K:corner_lower_right,cluster_K,corner_lower_right,two_tap_total_pressure_feature_loss_minus_buoyancy_dynamic_and_straight_proxy,mean,,candidate_pending_other_gates,extraction_required_component_or_cluster,not_fit_status;same_qoi_mesh_gci_missing;centerline_tap_length_missing;local_K_upper_bound;velocity_basis_needs_final_definition,2,"Repair tap basis, centerline lengths, straight-loss subtraction, component isolation, and UQ.",diagnostic_pressure_ledger_or_extraction_design,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:026,salt_3,cluster_K:corner_upper_right,cluster_K,corner_upper_right,two_tap_total_pressure_feature_loss_minus_buoyancy_dynamic_and_straight_proxy,mean,,reject_universal_name,diagnostic_or_section_effective_only,not_fit_status;recirculation_or_universal_name_rejected;same_qoi_mesh_gci_missing;centerline_tap_length_missing;local_K_upper_bound;velocity_basis_needs_final_definition,4,Keep section-effective/diagnostic label; wait for low-reverse terminal anchor.,diagnostic_pressure_ledger_or_extraction_design,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:027,salt_3,cluster_K:corner_upper_left,cluster_K,corner_upper_left,two_tap_total_pressure_feature_loss_minus_buoyancy_dynamic_and_straight_proxy,mean,,reject_universal_name,diagnostic_or_section_effective_only,not_fit_status;recirculation_or_universal_name_rejected;same_qoi_mesh_gci_missing;centerline_tap_length_missing;local_K_upper_bound;velocity_basis_needs_final_definition,4,Keep section-effective/diagnostic label; wait for low-reverse terminal anchor.,diagnostic_pressure_ledger_or_extraction_design,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:028,salt_3,cluster_K:test_section_complex,cluster_K,test_section_complex,two_tap_total_pressure_feature_loss_minus_buoyancy_dynamic_and_straight_proxy,,,reject_universal_name,diagnostic_or_section_effective_only,not_fit_status;recirculation_or_universal_name_rejected;same_qoi_mesh_gci_missing;K_local_missing,4,Keep section-effective/diagnostic label; wait for low-reverse terminal anchor.,diagnostic_pressure_ledger_or_extraction_design,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:029,salt_4,cluster_K:corner_lower_left,cluster_K,corner_lower_left,two_tap_total_pressure_feature_loss_minus_buoyancy_dynamic_and_straight_proxy,mean,,reject_universal_name,diagnostic_or_section_effective_only,not_fit_status;recirculation_or_universal_name_rejected;same_qoi_mesh_gci_missing;centerline_tap_length_missing;local_K_upper_bound;velocity_basis_needs_final_definition,4,Keep section-effective/diagnostic label; wait for low-reverse terminal anchor.,diagnostic_pressure_ledger_or_extraction_design,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:030,salt_4,cluster_K:corner_lower_right,cluster_K,corner_lower_right,two_tap_total_pressure_feature_loss_minus_buoyancy_dynamic_and_straight_proxy,mean,,candidate_pending_other_gates,extraction_required_component_or_cluster,not_fit_status;same_qoi_mesh_gci_missing;centerline_tap_length_missing;local_K_upper_bound;velocity_basis_needs_final_definition,2,"Repair tap basis, centerline lengths, straight-loss subtraction, component isolation, and UQ.",diagnostic_pressure_ledger_or_extraction_design,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:031,salt_4,cluster_K:corner_upper_right,cluster_K,corner_upper_right,two_tap_total_pressure_feature_loss_minus_buoyancy_dynamic_and_straight_proxy,mean,,reject_universal_name,diagnostic_or_section_effective_only,not_fit_status;recirculation_or_universal_name_rejected;same_qoi_mesh_gci_missing;centerline_tap_length_missing;local_K_upper_bound;velocity_basis_needs_final_definition,4,Keep section-effective/diagnostic label; wait for low-reverse terminal anchor.,diagnostic_pressure_ledger_or_extraction_design,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:032,salt_4,cluster_K:corner_upper_left,cluster_K,corner_upper_left,two_tap_total_pressure_feature_loss_minus_buoyancy_dynamic_and_straight_proxy,mean,,reject_universal_name,diagnostic_or_section_effective_only,not_fit_status;recirculation_or_universal_name_rejected;same_qoi_mesh_gci_missing;centerline_tap_length_missing;local_K_upper_bound;velocity_basis_needs_final_definition,4,Keep section-effective/diagnostic label; wait for low-reverse terminal anchor.,diagnostic_pressure_ledger_or_extraction_design,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:033,salt_4,cluster_K:test_section_complex,cluster_K,test_section_complex,two_tap_total_pressure_feature_loss_minus_buoyancy_dynamic_and_straight_proxy,,,reject_universal_name,diagnostic_or_section_effective_only,not_fit_status;recirculation_or_universal_name_rejected;same_qoi_mesh_gci_missing;K_local_missing,4,Keep section-effective/diagnostic label; wait for low-reverse terminal anchor.,diagnostic_pressure_ledger_or_extraction_design,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
