candidate_id,case_id,span,property_mode,Re,Pr,Ri,Gz,source_envelope_gate,sign_heat_balance_gate,recirculation_gate,pressure_residual_gate,same_qoi_uq_gate,single_stream_developing_allowed,ordinary_internal_Nu_fit_allowed,coefficient_admission_status,blocking_reasons,source_paths
GSSB-011,salt_2,lower_leg,jin_viscosity_cp_1560_k_060,61.154243,25.032894,6.6302501,93.614551,source_envelope_precheck_only,unknown_until_wall_material_or_heat_path_reset_mapped,blocked_recirc_evidence_present,diagnostic_only,blocked_same_QOI_UQ_missing,precheck_only_not_admitted,false,no_coefficient_admission,coarse_no_gci;same_QOI_UQ_missing,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-012,salt_2,lower_leg,jin_viscosity_parida_cp_santini_k,61.154243,25.356506,6.6302501,94.82475,source_envelope_precheck_only,unknown_until_wall_material_or_heat_path_reset_mapped,blocked_recirc_evidence_present,diagnostic_only,blocked_same_QOI_UQ_missing,precheck_only_not_admitted,false,no_coefficient_admission,coarse_no_gci;same_QOI_UQ_missing,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-013,salt_2,lower_leg,replication_reis_jadyn,46.99634,56.121814,6.6302501,161.28777,source_envelope_precheck_only,unknown_until_wall_material_or_heat_path_reset_mapped,blocked_recirc_evidence_present,diagnostic_only,blocked_same_QOI_UQ_missing,precheck_only_not_admitted,false,no_coefficient_admission,coarse_no_gci;same_QOI_UQ_missing,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-014,salt_2,lower_leg,shen_celsius_comparison,61.154243,23.732501,6.6302501,88.751519,source_envelope_precheck_only,unknown_until_wall_material_or_heat_path_reset_mapped,blocked_recirc_evidence_present,diagnostic_only,blocked_same_QOI_UQ_missing,precheck_only_not_admitted,false,no_coefficient_admission,coarse_no_gci;same_QOI_UQ_missing,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-015,salt_2,lower_leg,sohal_janz_full,46.99634,60.669088,6.6302501,174.35612,source_envelope_precheck_only,unknown_until_wall_material_or_heat_path_reset_mapped,blocked_recirc_evidence_present,diagnostic_only,blocked_same_QOI_UQ_missing,precheck_only_not_admitted,false,no_coefficient_admission,coarse_no_gci;same_QOI_UQ_missing,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-016,salt_2,right_leg,jin_viscosity_cp_1560_k_060,67.123245,22.801473,1.9912334,91.283869,source_envelope_precheck_only,unknown_until_wall_material_or_heat_path_reset_mapped,blocked_recirc_evidence_present,diagnostic_only,blocked_same_QOI_UQ_missing,precheck_only_not_admitted,false,no_coefficient_admission,coarse_no_gci;same_QOI_UQ_missing,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-017,salt_2,right_leg,jin_viscosity_parida_cp_santini_k,67.123245,23.041319,1.9912334,92.24407,source_envelope_precheck_only,unknown_until_wall_material_or_heat_path_reset_mapped,blocked_recirc_evidence_present,diagnostic_only,blocked_same_QOI_UQ_missing,precheck_only_not_admitted,false,no_coefficient_admission,coarse_no_gci;same_QOI_UQ_missing,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-018,salt_2,right_leg,replication_reis_jadyn,51.911303,50.038173,1.9912334,154.92502,source_envelope_precheck_only,unknown_until_wall_material_or_heat_path_reset_mapped,blocked_recirc_evidence_present,diagnostic_only,blocked_same_QOI_UQ_missing,precheck_only_not_admitted,false,no_coefficient_admission,coarse_no_gci;same_QOI_UQ_missing,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-019,salt_2,right_leg,shen_celsius_comparison,67.123245,21.715632,1.9912334,86.936788,source_envelope_precheck_only,unknown_until_wall_material_or_heat_path_reset_mapped,blocked_recirc_evidence_present,diagnostic_only,blocked_same_QOI_UQ_missing,precheck_only_not_admitted,false,no_coefficient_admission,coarse_no_gci;same_QOI_UQ_missing,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-020,salt_2,right_leg,sohal_janz_full,51.911303,54.221452,1.9912334,167.87702,source_envelope_precheck_only,unknown_until_wall_material_or_heat_path_reset_mapped,blocked_recirc_evidence_present,diagnostic_only,blocked_same_QOI_UQ_missing,precheck_only_not_admitted,false,no_coefficient_admission,coarse_no_gci;same_QOI_UQ_missing,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-021,salt_2,test_section_span,jin_viscosity_cp_1560_k_060,66.597533,23.271447,0.3586137,326.99261,source_envelope_precheck_only,unknown_until_wall_material_or_heat_path_reset_mapped,unknown_or_pass_proxy,diagnostic_only,blocked_same_QOI_UQ_missing,precheck_only_not_admitted,false,no_coefficient_admission,coarse_no_gci;same_QOI_UQ_missing,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-022,salt_2,test_section_span,jin_viscosity_parida_cp_santini_k,66.597533,23.529302,0.3586137,330.6158,source_envelope_precheck_only,unknown_until_wall_material_or_heat_path_reset_mapped,unknown_or_pass_proxy,diagnostic_only,blocked_same_QOI_UQ_missing,precheck_only_not_admitted,false,no_coefficient_admission,coarse_no_gci;same_QOI_UQ_missing,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-023,salt_2,test_section_span,replication_reis_jadyn,51.403807,51.342315,0.3586137,556.8358,source_envelope_precheck_only,unknown_until_wall_material_or_heat_path_reset_mapped,unknown_or_pass_proxy,diagnostic_only,blocked_same_QOI_UQ_missing,precheck_only_not_admitted,false,no_coefficient_admission,coarse_no_gci;same_QOI_UQ_missing,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-024,salt_2,test_section_span,shen_celsius_comparison,66.597533,22.140687,0.3586137,311.10404,source_envelope_precheck_only,unknown_until_wall_material_or_heat_path_reset_mapped,unknown_or_pass_proxy,diagnostic_only,blocked_same_QOI_UQ_missing,precheck_only_not_admitted,false,no_coefficient_admission,coarse_no_gci;same_QOI_UQ_missing,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-025,salt_2,test_section_span,sohal_janz_full,51.403807,55.603727,0.3586137,603.05317,source_envelope_precheck_only,unknown_until_wall_material_or_heat_path_reset_mapped,unknown_or_pass_proxy,diagnostic_only,blocked_same_QOI_UQ_missing,precheck_only_not_admitted,false,no_coefficient_admission,coarse_no_gci;same_QOI_UQ_missing,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-026,salt_2,upper_leg,jin_viscosity_cp_1560_k_060,62.919921,23.935039,1.4517552,92.08656,source_envelope_precheck_only,unknown_until_wall_material_or_heat_path_reset_mapped,blocked_recirc_evidence_present,diagnostic_only,blocked_same_QOI_UQ_missing,precheck_only_not_admitted,false,no_coefficient_admission,coarse_no_gci;same_QOI_UQ_missing,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-027,salt_2,upper_leg,jin_viscosity_parida_cp_santini_k,62.919921,24.217982,1.4517552,93.175139,source_envelope_precheck_only,unknown_until_wall_material_or_heat_path_reset_mapped,blocked_recirc_evidence_present,diagnostic_only,blocked_same_QOI_UQ_missing,precheck_only_not_admitted,false,no_coefficient_admission,coarse_no_gci;same_QOI_UQ_missing,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-028,salt_2,upper_leg,replication_reis_jadyn,48.460052,53.16304,1.4517552,157.53158,source_envelope_precheck_only,unknown_until_wall_material_or_heat_path_reset_mapped,blocked_recirc_evidence_present,diagnostic_only,blocked_same_QOI_UQ_missing,precheck_only_not_admitted,false,no_coefficient_admission,coarse_no_gci;same_QOI_UQ_missing,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-029,salt_2,upper_leg,shen_celsius_comparison,62.919921,22.740608,1.4517552,87.491159,source_envelope_precheck_only,unknown_until_wall_material_or_heat_path_reset_mapped,blocked_recirc_evidence_present,diagnostic_only,blocked_same_QOI_UQ_missing,precheck_only_not_admitted,false,no_coefficient_admission,coarse_no_gci;same_QOI_UQ_missing,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-030,salt_2,upper_leg,sohal_janz_full,48.460052,57.533412,1.4517552,170.48177,source_envelope_precheck_only,unknown_until_wall_material_or_heat_path_reset_mapped,blocked_recirc_evidence_present,diagnostic_only,blocked_same_QOI_UQ_missing,precheck_only_not_admitted,false,no_coefficient_admission,coarse_no_gci;same_QOI_UQ_missing,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-031,salt_3,left_lower_leg,jin_viscosity_cp_1560_k_060,79.631417,23.271447,0.29391614,331.57919,blocked_source_envelope_not_fit,unknown_until_wall_material_or_heat_path_reset_mapped,fail,diagnostic_only,blocked_same_QOI_UQ_missing,no,false,no_coefficient_admission,recirculation_invalid_single_stream;source_envelope_not_fit;coarse_no_gci;same_QOI_UQ_missing,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-032,salt_3,left_lower_leg,jin_viscosity_parida_cp_santini_k,79.631417,23.529302,0.29391614,335.2532,blocked_source_envelope_not_fit,unknown_until_wall_material_or_heat_path_reset_mapped,fail,diagnostic_only,blocked_same_QOI_UQ_missing,no,false,no_coefficient_admission,recirculation_invalid_single_stream;source_envelope_not_fit;coarse_no_gci;same_QOI_UQ_missing,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-033,salt_3,left_lower_leg,replication_reis_jadyn,61.464109,51.342315,0.29391614,564.64629,blocked_source_envelope_not_fit,unknown_until_wall_material_or_heat_path_reset_mapped,fail,diagnostic_only,blocked_same_QOI_UQ_missing,no,false,no_coefficient_admission,recirculation_invalid_single_stream;source_envelope_not_fit;coarse_no_gci;same_QOI_UQ_missing,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-034,salt_3,left_lower_leg,shen_celsius_comparison,79.631417,22.140687,0.29391614,315.46775,blocked_source_envelope_not_fit,unknown_until_wall_material_or_heat_path_reset_mapped,fail,diagnostic_only,blocked_same_QOI_UQ_missing,no,false,no_coefficient_admission,recirculation_invalid_single_stream;source_envelope_not_fit;coarse_no_gci;same_QOI_UQ_missing,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-035,salt_3,left_lower_leg,sohal_janz_full,61.464109,55.603727,0.29391614,611.51193,blocked_source_envelope_not_fit,unknown_until_wall_material_or_heat_path_reset_mapped,fail,diagnostic_only,blocked_same_QOI_UQ_missing,no,false,no_coefficient_admission,recirculation_invalid_single_stream;source_envelope_not_fit;coarse_no_gci;same_QOI_UQ_missing,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-036,salt_3,left_upper_leg,jin_viscosity_cp_1560_k_060,73.513208,23.271447,0.34487489,260.81502,blocked_source_envelope_not_fit,unknown_until_wall_material_or_heat_path_reset_mapped,fail,diagnostic_only,blocked_same_QOI_UQ_missing,no,false,no_coefficient_admission,recirculation_invalid_single_stream;source_envelope_not_fit;coarse_no_gci;same_QOI_UQ_missing,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-037,salt_3,left_upper_leg,jin_viscosity_parida_cp_santini_k,73.513208,23.529302,0.34487489,263.70494,blocked_source_envelope_not_fit,unknown_until_wall_material_or_heat_path_reset_mapped,fail,diagnostic_only,blocked_same_QOI_UQ_missing,no,false,no_coefficient_admission,recirculation_invalid_single_stream;source_envelope_not_fit;coarse_no_gci;same_QOI_UQ_missing,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-038,salt_3,left_upper_leg,replication_reis_jadyn,56.741724,51.342315,0.34487489,444.14197,blocked_source_envelope_not_fit,unknown_until_wall_material_or_heat_path_reset_mapped,fail,diagnostic_only,blocked_same_QOI_UQ_missing,no,false,no_coefficient_admission,recirculation_invalid_single_stream;source_envelope_not_fit;coarse_no_gci;same_QOI_UQ_missing,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-039,salt_3,left_upper_leg,shen_celsius_comparison,73.513208,22.140687,0.34487489,248.14202,blocked_source_envelope_not_fit,unknown_until_wall_material_or_heat_path_reset_mapped,fail,diagnostic_only,blocked_same_QOI_UQ_missing,no,false,no_coefficient_admission,recirculation_invalid_single_stream;source_envelope_not_fit;coarse_no_gci;same_QOI_UQ_missing,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-040,salt_3,left_upper_leg,sohal_janz_full,56.741724,55.603727,0.34487489,481.00575,blocked_source_envelope_not_fit,unknown_until_wall_material_or_heat_path_reset_mapped,fail,diagnostic_only,blocked_same_QOI_UQ_missing,no,false,no_coefficient_admission,recirculation_invalid_single_stream;source_envelope_not_fit;coarse_no_gci;same_QOI_UQ_missing,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
GSSB-041,salt_3,lower_leg,jin_viscosity_cp_1560_k_060,81.72281,21.202696,5.2979542,105.95954,source_envelope_precheck_only,unknown_until_wall_material_or_heat_path_reset_mapped,blocked_recirc_evidence_present,diagnostic_only,blocked_same_QOI_UQ_missing,precheck_only_not_admitted,false,no_coefficient_admission,coarse_no_gci;same_QOI_UQ_missing,work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/branch_source_envelope.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/reset_distance_map.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
