case_key,family,lane,representative_index,time_s
salt4_cont,salt,continuation,8,8111.0
salt4_cont,salt,continuation,9,8112.0
salt4_cont,salt,continuation,10,8113.0
salt4_cont,salt,continuation,11,8114.0
salt4_cont,salt,continuation,12,8115.0
salt4_cont,salt,continuation,13,8116.0
salt4_cont,salt,continuation,14,8117.0
salt4_cont,salt,continuation,15,8118.0
salt4_cont,salt,continuation,16,8119.0
salt4_cont,salt,continuation,17,8120.0
salt4_cont,salt,continuation,18,8121.0
salt4_cont,salt,continuation,19,8122.0
salt4_cont,salt,continuation,20,8123.0
water1,water,continuation,1,8303.0
water1,water,continuation,2,8304.0
water1,water,continuation,3,8305.0
water1,water,continuation,4,8306.0
water1,water,continuation,5,8307.0
water1,water,continuation,6,8308.0
water1,water,continuation,7,8309.0
water1,water,continuation,8,8310.0
water1,water,continuation,9,8311.0
water1,water,continuation,10,8312.0
water1,water,continuation,11,8313.0
water1,water,continuation,12,8314.0
water1,water,continuation,13,8315.0
water1,water,continuation,14,8316.0
water1,water,continuation,15,8317.0
water1,water,continuation,16,8318.0
water1,water,continuation,17,8319.0
water1,water,continuation,18,8320.0
water1,water,continuation,19,8321.0
water1,water,continuation,20,8322.0
water2,water,continuation,1,6436.0
water2,water,continuation,2,6437.0
water2,water,continuation,3,6438.0
water2,water,continuation,4,6439.0
water2,water,continuation,5,6440.0
water2,water,continuation,6,6441.0
water2,water,continuation,7,6442.0
water2,water,continuation,8,6443.0
water2,water,continuation,9,6444.0
water2,water,continuation,10,6445.0
water2,water,continuation,11,6446.0
water2,water,continuation,12,6447.0
water2,water,continuation,13,6448.0
water2,water,continuation,14,6449.0
water2,water,continuation,15,6450.0
water2,water,continuation,16,6451.0
water2,water,continuation,17,6452.0
water2,water,continuation,18,6453.0
water2,water,continuation,19,6454.0
water2,water,continuation,20,6455.0
water3,water,continuation,1,5882.0
water3,water,continuation,2,5883.0
water3,water,continuation,3,5884.0
water3,water,continuation,4,5885.0
water3,water,continuation,5,5886.0
water3,water,continuation,6,5887.0
water3,water,continuation,7,5888.0
water3,water,continuation,8,5889.0
water3,water,continuation,9,5890.0
water3,water,continuation,10,5891.0
water3,water,continuation,11,5892.0
water3,water,continuation,12,5893.0
water3,water,continuation,13,5894.0
water3,water,continuation,14,5895.0
water3,water,continuation,15,5896.0
water3,water,continuation,16,5897.0
water3,water,continuation,17,5898.0
water3,water,continuation,18,5899.0
water3,water,continuation,19,5900.0
water3,water,continuation,20,5901.0
water4,water,continuation,1,4283.0
water4,water,continuation,2,4284.0
water4,water,continuation,3,4285.0
water4,water,continuation,4,4286.0
water4,water,continuation,5,4287.0
water4,water,continuation,6,4288.0
water4,water,continuation,7,4289.0
water4,water,continuation,8,4290.0
water4,water,continuation,9,4291.0
water4,water,continuation,10,4292.0
water4,water,continuation,11,4293.0
water4,water,continuation,12,4294.0
water4,water,continuation,13,4295.0
water4,water,continuation,14,4296.0
water4,water,continuation,15,4297.0
water4,water,continuation,16,4298.0
water4,water,continuation,17,4299.0
water4,water,continuation,18,4300.0
water4,water,continuation,19,4301.0
water4,water,continuation,20,4302.0
salt2_hiq,salt,hiqbal3,1,4895.0
salt2_hiq,salt,hiqbal3,2,4896.0
salt2_hiq,salt,hiqbal3,3,4897.0
salt2_hiq,salt,hiqbal3,4,4898.0
salt2_hiq,salt,hiqbal3,5,4899.0
salt2_hiq,salt,hiqbal3,6,4900.0
salt2_hiq,salt,hiqbal3,7,4901.0
salt2_hiq,salt,hiqbal3,8,4902.0
salt2_hiq,salt,hiqbal3,9,4903.0
salt2_hiq,salt,hiqbal3,10,4904.0
salt2_hiq,salt,hiqbal3,11,4905.0
salt2_hiq,salt,hiqbal3,12,4906.0
salt2_hiq,salt,hiqbal3,13,4907.0
salt2_hiq,salt,hiqbal3,14,4908.0
salt2_hiq,salt,hiqbal3,15,4909.0
salt2_hiq,salt,hiqbal3,16,4910.0
salt2_hiq,salt,hiqbal3,17,4911.0
salt2_hiq,salt,hiqbal3,18,4912.0
salt2_hiq,salt,hiqbal3,19,4913.0
salt2_hiq,salt,hiqbal3,20,4914.0
salt3_hiq,salt,hiqbal3,1,2947.0
salt3_hiq,salt,hiqbal3,2,2948.0
salt3_hiq,salt,hiqbal3,3,2949.0
salt3_hiq,salt,hiqbal3,4,2950.0
salt3_hiq,salt,hiqbal3,5,2951.0
salt3_hiq,salt,hiqbal3,6,2952.0
salt3_hiq,salt,hiqbal3,7,2953.0
salt3_hiq,salt,hiqbal3,8,2954.0
salt3_hiq,salt,hiqbal3,9,2955.0
salt3_hiq,salt,hiqbal3,10,2956.0
salt3_hiq,salt,hiqbal3,11,2957.0
salt3_hiq,salt,hiqbal3,12,2958.0
salt3_hiq,salt,hiqbal3,13,2959.0
salt3_hiq,salt,hiqbal3,14,2960.0
salt3_hiq,salt,hiqbal3,15,2961.0
salt3_hiq,salt,hiqbal3,16,2962.0
salt3_hiq,salt,hiqbal3,17,2963.0
salt3_hiq,salt,hiqbal3,18,2964.0
salt3_hiq,salt,hiqbal3,19,2965.0
salt3_hiq,salt,hiqbal3,20,2966.0
salt4_hiq,salt,hiqbal3,1,6172.0
salt4_hiq,salt,hiqbal3,2,6173.0
salt4_hiq,salt,hiqbal3,3,6174.0
salt4_hiq,salt,hiqbal3,4,6175.0
salt4_hiq,salt,hiqbal3,5,6176.0
salt4_hiq,salt,hiqbal3,6,6177.0
salt4_hiq,salt,hiqbal3,7,6178.0
salt4_hiq,salt,hiqbal3,8,6179.0
salt4_hiq,salt,hiqbal3,9,6180.0
salt4_hiq,salt,hiqbal3,10,6181.0
salt4_hiq,salt,hiqbal3,11,6182.0
salt4_hiq,salt,hiqbal3,12,6183.0
salt4_hiq,salt,hiqbal3,13,6184.0
salt4_hiq,salt,hiqbal3,14,6185.0
salt4_hiq,salt,hiqbal3,15,6186.0
salt4_hiq,salt,hiqbal3,16,6187.0
salt4_hiq,salt,hiqbal3,17,6188.0
salt4_hiq,salt,hiqbal3,18,6189.0
salt4_hiq,salt,hiqbal3,19,6190.0
salt4_hiq,salt,hiqbal3,20,6191.0
salt2_loq,salt,loqbal3,1,4867.0
salt2_loq,salt,loqbal3,2,4868.0
salt2_loq,salt,loqbal3,3,4869.0
salt2_loq,salt,loqbal3,4,4870.0
salt2_loq,salt,loqbal3,5,4871.0
salt2_loq,salt,loqbal3,6,4872.0
salt2_loq,salt,loqbal3,7,4873.0
salt2_loq,salt,loqbal3,8,4874.0
salt2_loq,salt,loqbal3,9,4875.0
salt2_loq,salt,loqbal3,10,4876.0
salt2_loq,salt,loqbal3,11,4877.0
salt2_loq,salt,loqbal3,12,4878.0
salt2_loq,salt,loqbal3,13,4879.0
salt2_loq,salt,loqbal3,14,4880.0
salt2_loq,salt,loqbal3,15,4881.0
salt2_loq,salt,loqbal3,16,4882.0
salt2_loq,salt,loqbal3,17,4883.0
salt2_loq,salt,loqbal3,18,4884.0
salt2_loq,salt,loqbal3,19,4885.0
salt2_loq,salt,loqbal3,20,4886.0
salt3_loq,salt,loqbal3,1,2953.0
salt3_loq,salt,loqbal3,2,2954.0
salt3_loq,salt,loqbal3,3,2955.0
salt3_loq,salt,loqbal3,4,2956.0
salt3_loq,salt,loqbal3,5,2957.0
salt3_loq,salt,loqbal3,6,2958.0
salt3_loq,salt,loqbal3,7,2959.0
salt3_loq,salt,loqbal3,8,2960.0
salt3_loq,salt,loqbal3,9,2961.0
salt3_loq,salt,loqbal3,10,2962.0
salt3_loq,salt,loqbal3,11,2963.0
salt3_loq,salt,loqbal3,12,2964.0
salt3_loq,salt,loqbal3,13,2965.0
salt3_loq,salt,loqbal3,14,2966.0
salt3_loq,salt,loqbal3,15,2967.0
salt3_loq,salt,loqbal3,16,2968.0
salt3_loq,salt,loqbal3,17,2969.0
salt3_loq,salt,loqbal3,18,2970.0
salt3_loq,salt,loqbal3,19,2971.0
salt3_loq,salt,loqbal3,20,2972.0
salt4_loq,salt,loqbal3,1,6178.0
salt4_loq,salt,loqbal3,2,6179.0
salt4_loq,salt,loqbal3,3,6180.0
salt4_loq,salt,loqbal3,4,6181.0
salt4_loq,salt,loqbal3,5,6182.0
salt4_loq,salt,loqbal3,6,6183.0
salt4_loq,salt,loqbal3,7,6184.0
salt4_loq,salt,loqbal3,8,6185.0
salt4_loq,salt,loqbal3,9,6186.0
salt4_loq,salt,loqbal3,10,6187.0
salt4_loq,salt,loqbal3,11,6188.0
salt4_loq,salt,loqbal3,12,6189.0
salt4_loq,salt,loqbal3,13,6190.0
salt4_loq,salt,loqbal3,14,6191.0
salt4_loq,salt,loqbal3,15,6192.0
salt4_loq,salt,loqbal3,16,6193.0
salt4_loq,salt,loqbal3,17,6194.0
salt4_loq,salt,loqbal3,18,6195.0
salt4_loq,salt,loqbal3,19,6196.0
salt4_loq,salt,loqbal3,20,6197.0
