metric_id,metric_name,units,plane_location,required_for,formula,source_fields,weighting,normal_definition,acceptance_criteria,failure_status,tooling_hint,notes
mass_flux_weighted_bulk_T,mass-flux-weighted bulk T,K,upcomer_mid,thermal_drive;Nu_candidate,sum(rho_i*u_n_i*T_i*A_i) / sum(rho_i*u_n_i*A_i),"rho, U, T, face area A, plane normal n",signed_mass_flux,Plane normal is the geometric upcomer station tangent oriented in nominal inlet-to-outlet flow direction.,finite; denominator nonzero; fit use allowed only when reverse_mass_fraction <0.02 at the same plane,diagnostic_only_missing_or_unstable_bulk_T,align with tools/extract/sample_span_endpoint_temperatures.py but use geometric upcomer planes,This is the thermal-driving bulk T for single-stream fit rows; in recirculation it may remain diagnostic only.
mass_flux_weighted_bulk_T,mass-flux-weighted bulk T,K,upcomer_outlet,thermal_drive;Nu_candidate,sum(rho_i*u_n_i*T_i*A_i) / sum(rho_i*u_n_i*A_i),"rho, U, T, face area A, plane normal n",signed_mass_flux,Plane normal is the geometric upcomer station tangent oriented in nominal inlet-to-outlet flow direction.,finite; denominator nonzero; fit use allowed only when reverse_mass_fraction <0.02 at the same plane,diagnostic_only_missing_or_unstable_bulk_T,align with tools/extract/sample_span_endpoint_temperatures.py but use geometric upcomer planes,This is the thermal-driving bulk T for single-stream fit rows; in recirculation it may remain diagnostic only.
forward_only_bulk_T_diagnostic,forward-only bulk T diagnostic,K,upcomer_inlet,diagnostic_temperature_context,"sum(rho_i*max(u_n_i,0)*T_i*A_i) / sum(rho_i*max(u_n_i,0)*A_i)","rho, U, T, face area A, plane normal n",positive_mass_flux_only,Plane normal is the geometric upcomer station tangent oriented in nominal inlet-to-outlet flow direction.,finite when forward flux exists; never by itself fit-admits Nu,diagnostic_only_missing_forward_bulk_T,reuse forward-only convention from sample_span_endpoint_temperatures.py,Useful when recirculation makes signed mixing-cup T physically misleading.
forward_only_bulk_T_diagnostic,forward-only bulk T diagnostic,K,upcomer_mid,diagnostic_temperature_context,"sum(rho_i*max(u_n_i,0)*T_i*A_i) / sum(rho_i*max(u_n_i,0)*A_i)","rho, U, T, face area A, plane normal n",positive_mass_flux_only,Plane normal is the geometric upcomer station tangent oriented in nominal inlet-to-outlet flow direction.,finite when forward flux exists; never by itself fit-admits Nu,diagnostic_only_missing_forward_bulk_T,reuse forward-only convention from sample_span_endpoint_temperatures.py,Useful when recirculation makes signed mixing-cup T physically misleading.
forward_only_bulk_T_diagnostic,forward-only bulk T diagnostic,K,upcomer_outlet,diagnostic_temperature_context,"sum(rho_i*max(u_n_i,0)*T_i*A_i) / sum(rho_i*max(u_n_i,0)*A_i)","rho, U, T, face area A, plane normal n",positive_mass_flux_only,Plane normal is the geometric upcomer station tangent oriented in nominal inlet-to-outlet flow direction.,finite when forward flux exists; never by itself fit-admits Nu,diagnostic_only_missing_forward_bulk_T,reuse forward-only convention from sample_span_endpoint_temperatures.py,Useful when recirculation makes signed mixing-cup T physically misleading.
area_weighted_wall_T,area-weighted wall T,K,upcomer_inlet,thermal_drive;Nu_candidate,sum(T_wall_j*A_j) / sum(A_j) over wall faces in the matching station band,"wall T, wall face area A, station band mask",wall_area,Plane normal is the geometric upcomer station tangent oriented in nominal inlet-to-outlet flow direction.,finite; station band matches the plane and wallHeatFlux band; |T_wall - T_bulk| >=0.5 K for fit gate,diagnostic_only_missing_area_weighted_wall_T,extend tools/extract/sample_segment_htc_uaprime.py conventions or parse reconstructed T boundary faces,Must not use patch means if face areas are available for the admission row; patch means can remain diagnostic.
area_weighted_wall_T,area-weighted wall T,K,upcomer_mid,thermal_drive;Nu_candidate,sum(T_wall_j*A_j) / sum(A_j) over wall faces in the matching station band,"wall T, wall face area A, station band mask",wall_area,Plane normal is the geometric upcomer station tangent oriented in nominal inlet-to-outlet flow direction.,finite; station band matches the plane and wallHeatFlux band; |T_wall - T_bulk| >=0.5 K for fit gate,diagnostic_only_missing_area_weighted_wall_T,extend tools/extract/sample_segment_htc_uaprime.py conventions or parse reconstructed T boundary faces,Must not use patch means if face areas are available for the admission row; patch means can remain diagnostic.
area_weighted_wall_T,area-weighted wall T,K,upcomer_outlet,thermal_drive;Nu_candidate,sum(T_wall_j*A_j) / sum(A_j) over wall faces in the matching station band,"wall T, wall face area A, station band mask",wall_area,Plane normal is the geometric upcomer station tangent oriented in nominal inlet-to-outlet flow direction.,finite; station band matches the plane and wallHeatFlux band; |T_wall - T_bulk| >=0.5 K for fit gate,diagnostic_only_missing_area_weighted_wall_T,extend tools/extract/sample_segment_htc_uaprime.py conventions or parse reconstructed T boundary faces,Must not use patch means if face areas are available for the admission row; patch means can remain diagnostic.
wallHeatFlux,wallHeatFlux,W/m2,upcomer_inlet,thermal_drive;heat_balance;Nu_candidate,"sum(q_wall_j*A_j) / sum(A_j), sign-normalized so positive means heat enters the fluid","wallHeatFlux, wall face area A, station band mask",wall_area,Plane normal is the geometric upcomer station tangent oriented in nominal inlet-to-outlet flow direction.,finite; same station band as wall T; sign convention passes; wallHeatFlux/enthalpy residual <=10% for fit gate,diagnostic_only_missing_or_sign_failed_wallHeatFlux,reuse wallHeatFlux parsing conventions from tools/extract/sample_segment_htc_uaprime.py,For rcExternalTemperature cases wallHeatFlux includes radiation; no separate exported qr term exists and no qr residual may be added to Nu.
wallHeatFlux,wallHeatFlux,W/m2,upcomer_mid,thermal_drive;heat_balance;Nu_candidate,"sum(q_wall_j*A_j) / sum(A_j), sign-normalized so positive means heat enters the fluid","wallHeatFlux, wall face area A, station band mask",wall_area,Plane normal is the geometric upcomer station tangent oriented in nominal inlet-to-outlet flow direction.,finite; same station band as wall T; sign convention passes; wallHeatFlux/enthalpy residual <=10% for fit gate,diagnostic_only_missing_or_sign_failed_wallHeatFlux,reuse wallHeatFlux parsing conventions from tools/extract/sample_segment_htc_uaprime.py,For rcExternalTemperature cases wallHeatFlux includes radiation; no separate exported qr term exists and no qr residual may be added to Nu.
wallHeatFlux,wallHeatFlux,W/m2,upcomer_outlet,thermal_drive;heat_balance;Nu_candidate,"sum(q_wall_j*A_j) / sum(A_j), sign-normalized so positive means heat enters the fluid","wallHeatFlux, wall face area A, station band mask",wall_area,Plane normal is the geometric upcomer station tangent oriented in nominal inlet-to-outlet flow direction.,finite; same station band as wall T; sign convention passes; wallHeatFlux/enthalpy residual <=10% for fit gate,diagnostic_only_missing_or_sign_failed_wallHeatFlux,reuse wallHeatFlux parsing conventions from tools/extract/sample_segment_htc_uaprime.py,For rcExternalTemperature cases wallHeatFlux includes radiation; no separate exported qr term exists and no qr residual may be added to Nu.
Re,Reynolds number,dimensionless,upcomer_inlet,regime;Nu_correlation_axes,rho_bulk*abs(u_bulk)*D_h/mu_bulk,"rho_bulk, u_bulk, D_h, mu_bulk or solver Re field",bulk_property_at_mass_flux_weighted_bulk_T,Plane normal is the geometric upcomer station tangent oriented in nominal inlet-to-outlet flow direction.,"finite positive; if solver Re exists, recomputed value agrees within 10% or row is diagnostic-only",diagnostic_only_missing_or_mismatched_Re,sample solver Re and also compute from extracted bulk properties when available,Do not use CFD mdot as a forward-model runtime input; this is extraction evidence only.
Re,Reynolds number,dimensionless,upcomer_mid,regime;Nu_correlation_axes,rho_bulk*abs(u_bulk)*D_h/mu_bulk,"rho_bulk, u_bulk, D_h, mu_bulk or solver Re field",bulk_property_at_mass_flux_weighted_bulk_T,Plane normal is the geometric upcomer station tangent oriented in nominal inlet-to-outlet flow direction.,"finite positive; if solver Re exists, recomputed value agrees within 10% or row is diagnostic-only",diagnostic_only_missing_or_mismatched_Re,sample solver Re and also compute from extracted bulk properties when available,Do not use CFD mdot as a forward-model runtime input; this is extraction evidence only.
Re,Reynolds number,dimensionless,upcomer_outlet,regime;Nu_correlation_axes,rho_bulk*abs(u_bulk)*D_h/mu_bulk,"rho_bulk, u_bulk, D_h, mu_bulk or solver Re field",bulk_property_at_mass_flux_weighted_bulk_T,Plane normal is the geometric upcomer station tangent oriented in nominal inlet-to-outlet flow direction.,"finite positive; if solver Re exists, recomputed value agrees within 10% or row is diagnostic-only",diagnostic_only_missing_or_mismatched_Re,sample solver Re and also compute from extracted bulk properties when available,Do not use CFD mdot as a forward-model runtime input; this is extraction evidence only.
Pr,Prandtl number,dimensionless,upcomer_inlet,thermal_regime;Nu_correlation_axes,cp_bulk*mu_bulk/k_bulk,"cp_bulk, mu_bulk, k_bulk or solver Pr field",bulk_property_at_mass_flux_weighted_bulk_T,Plane normal is the geometric upcomer station tangent oriented in nominal inlet-to-outlet flow direction.,"finite positive; if solver Pr exists, recomputed value agrees within 10% or row is diagnostic-only",diagnostic_only_missing_or_mismatched_Pr,carry property lane metadata with extracted row,Property-lane changes are not Nu-fit evidence by themselves.
Pr,Prandtl number,dimensionless,upcomer_mid,thermal_regime;Nu_correlation_axes,cp_bulk*mu_bulk/k_bulk,"cp_bulk, mu_bulk, k_bulk or solver Pr field",bulk_property_at_mass_flux_weighted_bulk_T,Plane normal is the geometric upcomer station tangent oriented in nominal inlet-to-outlet flow direction.,"finite positive; if solver Pr exists, recomputed value agrees within 10% or row is diagnostic-only",diagnostic_only_missing_or_mismatched_Pr,carry property lane metadata with extracted row,Property-lane changes are not Nu-fit evidence by themselves.
Pr,Prandtl number,dimensionless,upcomer_outlet,thermal_regime;Nu_correlation_axes,cp_bulk*mu_bulk/k_bulk,"cp_bulk, mu_bulk, k_bulk or solver Pr field",bulk_property_at_mass_flux_weighted_bulk_T,Plane normal is the geometric upcomer station tangent oriented in nominal inlet-to-outlet flow direction.,"finite positive; if solver Pr exists, recomputed value agrees within 10% or row is diagnostic-only",diagnostic_only_missing_or_mismatched_Pr,carry property lane metadata with extracted row,Property-lane changes are not Nu-fit evidence by themselves.
Ri,Richardson number,dimensionless,upcomer_inlet,recirculation_rule;mixed_convection_screen,Gr/Re^2,"Gr, Re or solver Ri field",plane_or_section_median_for_regime;carry_mean_as_diagnostic,Plane normal is the geometric upcomer station tangent oriented in nominal inlet-to-outlet flow direction.,finite; fit gate requires <0.30 at inlet/mid/outlet; invalid single-stream when >=1.0,diagnostic_only_missing_or_mismatched_Ri,prefer median Ri for admission because mean can be dominated by near-zero velocities,"If solver Ri exists, compare to recomputed Gr/Re^2 and flag mismatch above 10%."
Ri,Richardson number,dimensionless,upcomer_mid,recirculation_rule;mixed_convection_screen,Gr/Re^2,"Gr, Re or solver Ri field",plane_or_section_median_for_regime;carry_mean_as_diagnostic,Plane normal is the geometric upcomer station tangent oriented in nominal inlet-to-outlet flow direction.,finite; fit gate requires <0.30 at inlet/mid/outlet; invalid single-stream when >=1.0,diagnostic_only_missing_or_mismatched_Ri,prefer median Ri for admission because mean can be dominated by near-zero velocities,"If solver Ri exists, compare to recomputed Gr/Re^2 and flag mismatch above 10%."
Ri,Richardson number,dimensionless,upcomer_outlet,recirculation_rule;mixed_convection_screen,Gr/Re^2,"Gr, Re or solver Ri field",plane_or_section_median_for_regime;carry_mean_as_diagnostic,Plane normal is the geometric upcomer station tangent oriented in nominal inlet-to-outlet flow direction.,finite; fit gate requires <0.30 at inlet/mid/outlet; invalid single-stream when >=1.0,diagnostic_only_missing_or_mismatched_Ri,prefer median Ri for admission because mean can be dominated by near-zero velocities,"If solver Ri exists, compare to recomputed Gr/Re^2 and flag mismatch above 10%."
Gr,Grashof number,dimensionless,upcomer_inlet,Ri;Ra;thermal_regime,g*beta_bulk*abs(T_wall - T_bulk)*D_h^3/nu_bulk^2,"g, beta_bulk, T_wall, T_bulk, D_h, nu_bulk or solver Gr field",bulk_property_at_mass_flux_weighted_bulk_T,Plane normal is the geometric upcomer station tangent oriented in nominal inlet-to-outlet flow direction.,finite nonnegative; direct wall-bulk Delta T present; solver/recomputed mismatch <=10% for fit gate,diagnostic_only_missing_Gr_or_wall_bulk_delta_T,carry both solver Gr and recomputed Gr when solver field is available,Use abs(T_wall - T_bulk) for magnitude; retain heat direction separately via wallHeatFlux sign.
Gr,Grashof number,dimensionless,upcomer_mid,Ri;Ra;thermal_regime,g*beta_bulk*abs(T_wall - T_bulk)*D_h^3/nu_bulk^2,"g, beta_bulk, T_wall, T_bulk, D_h, nu_bulk or solver Gr field",bulk_property_at_mass_flux_weighted_bulk_T,Plane normal is the geometric upcomer station tangent oriented in nominal inlet-to-outlet flow direction.,finite nonnegative; direct wall-bulk Delta T present; solver/recomputed mismatch <=10% for fit gate,diagnostic_only_missing_Gr_or_wall_bulk_delta_T,carry both solver Gr and recomputed Gr when solver field is available,Use abs(T_wall - T_bulk) for magnitude; retain heat direction separately via wallHeatFlux sign.
Gr,Grashof number,dimensionless,upcomer_outlet,Ri;Ra;thermal_regime,g*beta_bulk*abs(T_wall - T_bulk)*D_h^3/nu_bulk^2,"g, beta_bulk, T_wall, T_bulk, D_h, nu_bulk or solver Gr field",bulk_property_at_mass_flux_weighted_bulk_T,Plane normal is the geometric upcomer station tangent oriented in nominal inlet-to-outlet flow direction.,finite nonnegative; direct wall-bulk Delta T present; solver/recomputed mismatch <=10% for fit gate,diagnostic_only_missing_Gr_or_wall_bulk_delta_T,carry both solver Gr and recomputed Gr when solver field is available,Use abs(T_wall - T_bulk) for magnitude; retain heat direction separately via wallHeatFlux sign.
Ra,Rayleigh number,dimensionless,upcomer_inlet,natural_convection_cell_context,Gr*Pr,"Gr, Pr or solver Ra field",derived,Plane normal is the geometric upcomer station tangent oriented in nominal inlet-to-outlet flow direction.,finite nonnegative; solver/recomputed mismatch <=10% for fit gate when solver field exists,diagnostic_only_missing_or_mismatched_Ra,carry Ra as context; do not fit internal Nu from Ra-only cell evidence,Ra can support interpretation of cell strength but does not override reverse-flow gates.
Ra,Rayleigh number,dimensionless,upcomer_mid,natural_convection_cell_context,Gr*Pr,"Gr, Pr or solver Ra field",derived,Plane normal is the geometric upcomer station tangent oriented in nominal inlet-to-outlet flow direction.,finite nonnegative; solver/recomputed mismatch <=10% for fit gate when solver field exists,diagnostic_only_missing_or_mismatched_Ra,carry Ra as context; do not fit internal Nu from Ra-only cell evidence,Ra can support interpretation of cell strength but does not override reverse-flow gates.
Ra,Rayleigh number,dimensionless,upcomer_outlet,natural_convection_cell_context,Gr*Pr,"Gr, Pr or solver Ra field",derived,Plane normal is the geometric upcomer station tangent oriented in nominal inlet-to-outlet flow direction.,finite nonnegative; solver/recomputed mismatch <=10% for fit gate when solver field exists,diagnostic_only_missing_or_mismatched_Ra,carry Ra as context; do not fit internal Nu from Ra-only cell evidence,Ra can support interpretation of cell strength but does not override reverse-flow gates.
Gz,Graetz number,dimensionless,upcomer_inlet,thermal_development_screen,Re*Pr*D_h/L_from_upcomer_inlet_to_plane,"Re, Pr, D_h, station arc length L",derived,Plane normal is the geometric upcomer station tangent oriented in nominal inlet-to-outlet flow direction.,record as not_applicable_zero_entry_length; this plane does not block fit if mid/outlet Gz are finite,not_applicable_zero_entry_length,use mesh-centerline arc length from upcomer inlet to plane,Do not assume thermally developed flow without Gz or equivalent development evidence.
Gz,Graetz number,dimensionless,upcomer_mid,thermal_development_screen,Re*Pr*D_h/L_from_upcomer_inlet_to_plane,"Re, Pr, D_h, station arc length L",derived,Plane normal is the geometric upcomer station tangent oriented in nominal inlet-to-outlet flow direction.,mid/outlet finite positive; inlet is not_applicable_zero_entry_length; missing mid/outlet Gz blocks fit admission,diagnostic_only_missing_Gz,use mesh-centerline arc length from upcomer inlet to plane,Do not assume thermally developed flow without Gz or equivalent development evidence.
Gz,Graetz number,dimensionless,upcomer_outlet,thermal_development_screen,Re*Pr*D_h/L_from_upcomer_inlet_to_plane,"Re, Pr, D_h, station arc length L",derived,Plane normal is the geometric upcomer station tangent oriented in nominal inlet-to-outlet flow direction.,mid/outlet finite positive; inlet is not_applicable_zero_entry_length; missing mid/outlet Gz blocks fit admission,diagnostic_only_missing_Gz,use mesh-centerline arc length from upcomer inlet to plane,Do not assume thermally developed flow without Gz or equivalent development evidence.
plane_location,plane location,categorical,upcomer_inlet,contract_integrity,"one of upcomer_inlet, upcomer_mid, upcomer_outlet with mesh coordinates and span/station provenance","mesh station label, point, normal, span, source_id",not_applicable,Plane normal is the geometric upcomer station tangent oriented in nominal inlet-to-outlet flow direction.,"exact plane label, point, normal, and source path recorded; all three planes present for each candidate row",diagnostic_only_missing_plane_location,"derive from mesh_stations.json, not schematic-only station labels",The outlet/mid/inlet labels define admission grouping and must be reproducible.
plane_location,plane location,categorical,upcomer_mid,contract_integrity,"one of upcomer_inlet, upcomer_mid, upcomer_outlet with mesh coordinates and span/station provenance","mesh station label, point, normal, span, source_id",not_applicable,Plane normal is the geometric upcomer station tangent oriented in nominal inlet-to-outlet flow direction.,"exact plane label, point, normal, and source path recorded; all three planes present for each candidate row",diagnostic_only_missing_plane_location,"derive from mesh_stations.json, not schematic-only station labels",The outlet/mid/inlet labels define admission grouping and must be reproducible.
plane_location,plane location,categorical,upcomer_outlet,contract_integrity,"one of upcomer_inlet, upcomer_mid, upcomer_outlet with mesh coordinates and span/station provenance","mesh station label, point, normal, span, source_id",not_applicable,Plane normal is the geometric upcomer station tangent oriented in nominal inlet-to-outlet flow direction.,"exact plane label, point, normal, and source path recorded; all three planes present for each candidate row",diagnostic_only_missing_plane_location,"derive from mesh_stations.json, not schematic-only station labels",The outlet/mid/inlet labels define admission grouping and must be reproducible.
exact_time_window,exact time window,s,upcomer_inlet,admission_provenance;time_uncertainty,"time_start_s, time_end_s, n_samples, representative_time_s, and source time directory for every extracted field","postProcessing time directories, convergence/time-window package",not_applicable,Plane normal is the geometric upcomer station tangent oriented in nominal inlet-to-outlet flow direction.,all fields use the same admitted time window or record controlled interpolation; absent time window blocks fit admission,diagnostic_only_missing_exact_time_window,"tie vector, thermal, wall, and nondimensional extracts to the same time-window manifest",Single-time smoke rows can be diagnostic but cannot reopen internal-Nu fitting.
exact_time_window,exact time window,s,upcomer_mid,admission_provenance;time_uncertainty,"time_start_s, time_end_s, n_samples, representative_time_s, and source time directory for every extracted field","postProcessing time directories, convergence/time-window package",not_applicable,Plane normal is the geometric upcomer station tangent oriented in nominal inlet-to-outlet flow direction.,all fields use the same admitted time window or record controlled interpolation; absent time window blocks fit admission,diagnostic_only_missing_exact_time_window,"tie vector, thermal, wall, and nondimensional extracts to the same time-window manifest",Single-time smoke rows can be diagnostic but cannot reopen internal-Nu fitting.
exact_time_window,exact time window,s,upcomer_outlet,admission_provenance;time_uncertainty,"time_start_s, time_end_s, n_samples, representative_time_s, and source time directory for every extracted field","postProcessing time directories, convergence/time-window package",not_applicable,Plane normal is the geometric upcomer station tangent oriented in nominal inlet-to-outlet flow direction.,all fields use the same admitted time window or record controlled interpolation; absent time window blocks fit admission,diagnostic_only_missing_exact_time_window,"tie vector, thermal, wall, and nondimensional extracts to the same time-window manifest",Single-time smoke rows can be diagnostic but cannot reopen internal-Nu fitting.
