run_or_group,family,run_type,steady_state_status,admission_status,continuation_decision,priority,rationale,source
salt2_jin_lo5q_corrected,salt2,corrected_q_sensitivity,hydraulic_stationary_heat_drifting,not_admitted_too_short,defer_midpoint,deferred,Clean full terminal window but lower leverage than +/-10Q; useful only after first-wave bracket admits or shows nonlinearity. Do not resubmit in wave 1; revisit only if midpoint support is needed.,AGENT-237 row_verdicts + AGENT-241 convergence_resubmit_recommendations
salt2_jin_hi5q_corrected,salt2,corrected_q_sensitivity,hydraulic_stationary_heat_drifting,not_admitted_too_short,defer_midpoint,deferred,Clean full terminal window but lower leverage than +/-10Q; useful only after first-wave bracket admits or shows nonlinearity. Do not resubmit in wave 1; revisit only if midpoint support is needed.,AGENT-237 row_verdicts + AGENT-241 convergence_resubmit_recommendations
salt4_jin_lo10q_corrected,salt4,corrected_q_sensitivity,hydraulic_stationary_heat_drifting,not_admitted_too_short,defer_second_wave,deferred,Clean full terminal window and correct direction; good second bracket but should wait until Salt2 first wave proves the continuation/gate settings. Continue only after Salt2 +/-10Q admits or identifies the needed gate/continuation adjustment.,AGENT-237 row_verdicts + AGENT-241 convergence_resubmit_recommendations
salt4_jin_hi10q_corrected,salt4,corrected_q_sensitivity,hydraulic_stationary_heat_drifting,not_admitted_too_short,defer_second_wave,deferred,Clean full terminal window and correct direction; good second bracket but should wait until Salt2 first wave proves the continuation/gate settings. Continue only after Salt2 +/-10Q admits or identifies the needed gate/continuation adjustment.,AGENT-237 row_verdicts + AGENT-241 convergence_resubmit_recommendations
salt4_jin_lo5q_corrected,salt4,corrected_q_sensitivity,hydraulic_stationary_heat_drifting,not_admitted_too_short,defer_midpoint,deferred,Clean full terminal window but lower leverage than Salt4 +/-10Q; midpoint support only. Defer until a Salt4 +/-10Q bracket is justified and midpoint support is needed.,AGENT-237 row_verdicts + AGENT-241 convergence_resubmit_recommendations
salt4_jin_hi5q_corrected,salt4,corrected_q_sensitivity,hydraulic_stationary_heat_drifting,not_admitted_too_short,defer_midpoint,deferred,Clean full terminal window but lower leverage than Salt4 +/-10Q; midpoint support only. Defer until a Salt4 +/-10Q bracket is justified and midpoint support is needed.,AGENT-237 row_verdicts + AGENT-241 convergence_resubmit_recommendations
salt3_jin_lo10q_corrected,salt3,corrected_q_sensitivity,hydraulic_stationary_heat_drifting,not_admitted_too_short,defer_asymmetric_support,deferred,"Clean low-Q window, but matching Salt3 high-Q rows lack usable windows; avoid asymmetric Salt3 fit support by default. Defer until Salt3 high-Q side is repaired or an asymmetric-support plan is explicitly approved.",AGENT-237 row_verdicts + AGENT-241 convergence_resubmit_recommendations
salt3_jin_lo5q_corrected,salt3,corrected_q_sensitivity,hydraulic_stationary_heat_drifting,not_admitted_too_short,defer_asymmetric_support,deferred,"Clean low-Q window, lower leverage, and no matching high-Q counterpart. Defer behind Salt2 wave and any Salt4 bracket; do not use alone for balanced response fitting.",AGENT-237 row_verdicts + AGENT-241 convergence_resubmit_recommendations
salt3_jin_hi5q_corrected,salt3,corrected_q_sensitivity,mdot_drifting_not_steady,not_admitted_too_short,investigate_before_resubmit,repair_before_resubmit,Only about 21 s post-restart and 22 samples from cancelled/superseded high-Q attempt; not a usable terminal window. Investigate cancelled high-Q attempt for BC/log/launcher issues; rerun or rebuild from corrected restart only after cause is documented.,AGENT-237 row_verdicts + AGENT-241 convergence_resubmit_recommendations
salt3_jin_hi10q_corrected,salt3,corrected_q_sensitivity,mdot_drifting_not_steady,not_admitted_too_short,investigate_before_resubmit,repair_before_resubmit,Only about 20 s post-restart and 20 samples from cancelled/superseded high-Q attempt; not a usable terminal window. Investigate cancelled high-Q attempt for BC/log/launcher issues; rerun or rebuild from corrected restart only after cause is documented.,AGENT-237 row_verdicts + AGENT-241 convergence_resubmit_recommendations
salt1_jin_lo10q_corrected,salt1,corrected_q_sensitivity,hydraulic_stationary_heat_drifting,not_admitted_too_short,hold_policy_then_continue,hold,"Full 301-sample terminal window and correct mdot direction, but Salt1 nominal/reference policy remains weak and formal gate is too_short. Resolve Salt1 reference/admission policy before spending allocation; then continue only if still useful.",AGENT-237 row_verdicts + AGENT-241 convergence_resubmit_recommendations
salt1_jin_hi10q_corrected,salt1,corrected_q_sensitivity,mixed_with_drifting_series,not_admitted_too_short,investigate_before_resubmit,repair_before_resubmit,Only 254 s post-restart and 256 late-window samples; solver log has End and convergenceMonitor path. Salt1 reference policy is also unresolved. Repair/verify diagnostic-only convergence monitor and Salt1 reference policy before rerun or rebuild; then formal gate.,AGENT-237 row_verdicts + AGENT-241 convergence_resubmit_recommendations
