case_label,fluid,category,last_window_start_s,last_window_end_s,timeseries_status,mdot_verdict,heat_verdict,steady_series_count,quasi_series_count,drifting_series_count,admission_overlay,recommended_action,note,source_case_slug
salt4_jin_hi10q_corrected,salt4,corrected_q_perturbation,11236,11536,hydraulic_stationary_heat_drifting,steady,not steady (drifting),8,0,1,not_admitted_too_short,defer_second_wave,Continue only after Salt2 +/-10Q admits or identifies the needed gate/continuation adjustment.,modern_runs__2026-07-04_corrected_salt_q_perturbations__salt4_jin_hi10q_corrected__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation
salt4_jin_hi5q_corrected,salt4,corrected_q_perturbation,11099,11399,hydraulic_stationary_heat_drifting,steady,not steady (drifting),8,0,1,not_admitted_too_short,defer_midpoint,Defer until a Salt4 +/-10Q bracket is justified and midpoint support is needed.,modern_runs__2026-07-04_corrected_salt_q_perturbations__salt4_jin_hi5q_corrected__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation
salt4_jin_lo10q_corrected,salt4,corrected_q_perturbation,11355,11655,hydraulic_stationary_heat_drifting,steady,not steady (drifting),8,0,1,not_admitted_too_short,defer_second_wave,Continue only after Salt2 +/-10Q admits or identifies the needed gate/continuation adjustment.,modern_runs__2026-07-04_corrected_salt_q_perturbations__salt4_jin_lo10q_corrected__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation
salt4_jin_lo5q_corrected,salt4,corrected_q_perturbation,11395,11695,hydraulic_stationary_heat_drifting,steady,not steady (drifting),8,0,1,not_admitted_too_short,defer_midpoint,Defer until a Salt4 +/-10Q bracket is justified and midpoint support is needed.,modern_runs__2026-07-04_corrected_salt_q_perturbations__salt4_jin_lo5q_corrected__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation
salt1_jin_optins,salt1,failed_stage_preserved_historical,3318,3617.66,steady_with_quasi_series,steady,quasi-steady (bounded drift/oscillation),8,1,0,not_assessed,do_not_prioritize_continuation,Historical/diagnostic row; use only if a future task reopens its evidence contract.,modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__optimum_insulation_wave__failed_stage_preserved__2026-06-19_job3246927_selfstage_failed_rg_missing__salt1_jin_optins__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation
salt4_jin_hiq_hiins_job3246562_failed_missing_system_controlDict,salt4,failed_stage_preserved_historical,5476,5776,all_representative_series_steady,steady,not_available,2,0,0,not_assessed,do_not_prioritize_continuation,Historical/diagnostic row; use only if a future task reopens its evidence contract.,modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__failed_stage_preserved__2026-06-22_salt4_bracket_repair__salt4_jin_hiq_hiins_job3246562_failed_missing_system_controlDict__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation
salt2_jin_hiins_loH,salt2,insulation_exploratory,8093,8393,hydraulic_stationary_heat_drifting,steady,not steady (drifting),8,0,1,not_assessed,do_not_prioritize_continuation,Historical/diagnostic row; use only if a future task reopens its evidence contract.,modern_runs__2026-07-01_insulation_truesteady__salt2_jin_hiins_loH__salt2_jin_hiins_loH
salt2_jin_loins_hiH,salt2,insulation_exploratory,8090,8390,hydraulic_stationary_heat_drifting,steady,not steady (drifting),8,0,1,not_assessed,do_not_prioritize_continuation,Historical/diagnostic row; use only if a future task reopens its evidence contract.,modern_runs__2026-07-01_insulation_truesteady__salt2_jin_loins_hiH__salt2_jin_loins_hiH
salt2_jin_optins,salt2,insulation_exploratory,2132,2432,hydraulic_stationary_heat_drifting,steady,not steady (drifting),8,0,1,not_assessed,do_not_prioritize_continuation,Historical/diagnostic row; use only if a future task reopens its evidence contract.,modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__optimum_insulation_wave__salt2_jin_optins__viscosity_screening_salt_test_2_jin_coarse_mesh
salt3_jin_optins,salt3,insulation_exploratory,2215,2515,hydraulic_stationary_heat_drifting,steady,not steady (drifting),8,0,1,not_assessed,do_not_prioritize_continuation,Historical/diagnostic row; use only if a future task reopens its evidence contract.,modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__optimum_insulation_wave__salt3_jin_optins__viscosity_screening_salt_test_3_jin_coarse_mesh
salt4_jin_optins,salt4,insulation_exploratory,5476,5776,hydraulic_stationary_heat_drifting,steady,not steady (drifting),8,0,1,not_assessed,do_not_prioritize_continuation,Historical/diagnostic row; use only if a future task reopens its evidence contract.,modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__optimum_insulation_wave__salt4_jin_optins__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation
salt1_jin_basecont,salt1,june25_diagnostic_or_superseded,3756.33,4026.16,steady_with_quasi_series,steady,quasi-steady (bounded drift/oscillation),8,1,0,not_assessed,do_not_prioritize_continuation,Historical/diagnostic row; use only if a future task reopens its evidence contract.,modern_runs__2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave__salt1_jin_basecont__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation
salt1_jin_hiq_balq,salt1,june25_diagnostic_or_superseded,3617.66,3892.49,steady_with_quasi_series,steady,quasi-steady (bounded drift/oscillation),8,1,0,not_assessed,do_not_prioritize_continuation,Historical/diagnostic row; use only if a future task reopens its evidence contract.,modern_runs__2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave__salt1_jin_hiq_balq__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation
salt2_jin_hi5q_balq,salt2,june25_diagnostic_or_superseded,5999,6299,hydraulic_stationary_heat_drifting,steady,not steady (drifting),8,0,1,not_assessed,do_not_prioritize_continuation,Historical/diagnostic row; use only if a future task reopens its evidence contract.,modern_runs__2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave__salt2_jin_hi5q_balq__viscosity_screening_salt_test_2_jin_coarse_mesh
salt2_jin_lo5q_balq,salt2,june25_diagnostic_or_superseded,6009,6309,hydraulic_stationary_heat_drifting,steady,not steady (drifting),8,0,1,not_assessed,do_not_prioritize_continuation,Historical/diagnostic row; use only if a future task reopens its evidence contract.,modern_runs__2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave__salt2_jin_lo5q_balq__viscosity_screening_salt_test_2_jin_coarse_mesh
salt3_jin_hi5q_balq,salt3,june25_diagnostic_or_superseded,4490,4790,hydraulic_stationary_heat_drifting,steady,not steady (drifting),8,0,1,not_assessed,do_not_prioritize_continuation,Historical/diagnostic row; use only if a future task reopens its evidence contract.,modern_runs__2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave__salt3_jin_hi5q_balq__viscosity_screening_salt_test_3_jin_coarse_mesh
salt3_jin_lo5q_balq,salt3,june25_diagnostic_or_superseded,4725,5025,hydraulic_stationary_heat_drifting,steady,not steady (drifting),8,0,1,not_assessed,do_not_prioritize_continuation,Historical/diagnostic row; use only if a future task reopens its evidence contract.,modern_runs__2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave__salt3_jin_lo5q_balq__viscosity_screening_salt_test_3_jin_coarse_mesh
salt4_jin_hi5q_balq,salt4,june25_diagnostic_or_superseded,7501,7801,all_representative_series_steady,steady,steady,9,0,0,not_assessed,do_not_prioritize_continuation,Historical/diagnostic row; use only if a future task reopens its evidence contract.,modern_runs__2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave__salt4_jin_hi5q_balq__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation
salt4_jin_lo5q_balq,salt4,june25_diagnostic_or_superseded,7634,7934,all_representative_series_steady,steady,steady,9,0,0,not_assessed,do_not_prioritize_continuation,Historical/diagnostic row; use only if a future task reopens its evidence contract.,modern_runs__2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave__salt4_jin_lo5q_balq__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation
salt1_jin,salt1,mainline_nominal_salt,3457,3756.33,steady_with_quasi_series,steady,quasi-steady (bounded drift/oscillation),8,1,0,superseded_by_salt1_nominal_3282992,do_not_use_old_salt1_window,Older Salt1 nominal window is superseded by the live Salt1 corrected nominal continuation.,modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt1_jin__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation
salt2_jin,salt2,mainline_nominal_salt,7615,7915,hydraulic_stationary_heat_drifting,steady,not steady (drifting),8,0,1,current_mainline_nominal_evidence,admitted_with_thermal_drift_caveat_do_not_continue_for_hydraulics_only,"Mdot and temperature series are steady, but total_Q is drifting; hydraulic closure can use current admitted row, thermal closure should carry caveat or refresh latest-window contract.",modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt2_jin__viscosity_screening_salt_test_2_jin_coarse_mesh_continuation
salt3_jin,salt3,mainline_nominal_salt,7318,7618,hydraulic_stationary_heat_drifting,steady,not steady (drifting),8,0,1,current_mainline_nominal_evidence,admitted_with_thermal_drift_caveat_do_not_continue_for_hydraulics_only,"Mdot and temperature series are steady, but total_Q is drifting; hydraulic closure can use current admitted row, thermal closure should carry caveat or refresh latest-window contract.",modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt3_jin__viscosity_screening_salt_test_3_jin_coarse_mesh_continuation
salt4_jin,salt4,mainline_nominal_salt,9700,10000,all_representative_series_steady,steady,steady,9,0,0,current_mainline_nominal_evidence,no_continuation_needed_for_current_closure_use,Salt mainline nominal row; AGENT-244 last-window series all steady.,modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt4_jin__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation
water1,water1,mainline_water_validation,9700,10000,mixed_with_drifting_series,quasi-steady (bounded drift/oscillation),not steady (drifting),7,1,1,validation_context_not_current_salt_closure_fit,no_immediate_salt_closure_continuation,Water validation context only.,modern_runs__2026-06-18_convergence_and_jin_envelope_wave__water1__val_water_test_1_coarse_mesh_laminar_continuation
water2,water2,mainline_water_validation,9199,9499,mixed_with_drifting_series,quasi-steady (bounded drift/oscillation),not steady (drifting),7,1,1,validation_context_not_current_salt_closure_fit,no_immediate_salt_closure_continuation,Water validation context only.,modern_runs__2026-06-18_convergence_and_jin_envelope_wave__water2__val_water_test_2_coarse_mesh_laminar_continuation
water3,water3,mainline_water_validation,8159,8459,mixed_with_drifting_series,quasi-steady (bounded drift/oscillation),not steady (drifting),7,1,1,validation_context_not_current_salt_closure_fit,no_immediate_salt_closure_continuation,Water validation context only.,modern_runs__2026-06-18_convergence_and_jin_envelope_wave__water3__val_water_test_3_coarse_mesh_laminar_continuation
water4,water4,mainline_water_validation,6062,6362,steady_with_quasi_series,quasi-steady (bounded drift/oscillation),steady,8,1,0,validation_context_not_current_salt_closure_fit,continue_only_if_water_validation_is_needed,Water row is not the current Salt closure anchor; last-window mdot is quasi-steady for all Water rows and heat drifts for Water1-3.,modern_runs__2026-06-18_convergence_and_jin_envelope_wave__water4__val_water_test_4_coarse_mesh_laminar_continuation
kirst_continuation_candidate,salt1,other_historical_or_diagnostic,3139,3438.28,steady_with_quasi_series,steady,quasi-steady (bounded drift/oscillation),8,1,0,not_assessed,do_not_prioritize_continuation,Historical/diagnostic row; use only if a future task reopens its evidence contract.,salt1__2026-06-05_targeted_campaign__kirst_continuation_candidate__viscosity_screening_salt_test_1_kirst_coarse_mesh_continuation
2026-06-01_continuation_candidate,salt2,other_historical_or_diagnostic,8302,8602,hydraulic_stationary_heat_drifting,steady,not steady (drifting),8,0,1,not_assessed,do_not_prioritize_continuation,Historical/diagnostic row; use only if a future task reopens its evidence contract.,salt2__2026-06-01_continuation_candidate__val_salt_test_2_coarse_mesh_laminar_continuation
salt2_jin_hiq_balq,salt2,other_historical_or_diagnostic,2132,2432,hydraulic_stationary_heat_drifting,steady,not steady (drifting),7,0,1,not_assessed,do_not_prioritize_continuation,Historical/diagnostic row; use only if a future task reopens its evidence contract.,modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__salt2_jin_hiq_balq__viscosity_screening_salt_test_2_jin_coarse_mesh
salt2_jin_hiq_hiins,salt2,other_historical_or_diagnostic,9159,9459,hydraulic_stationary_heat_drifting,steady,not steady (drifting),8,0,1,not_assessed,do_not_prioritize_continuation,Historical/diagnostic row; use only if a future task reopens its evidence contract.,modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__salt2_jin_hiq_hiins__viscosity_screening_salt_test_2_jin_coarse_mesh
salt2_jin_loq_loins,salt2,other_historical_or_diagnostic,7408,7708,hydraulic_stationary_heat_drifting,steady,not steady (drifting),8,0,1,not_assessed,do_not_prioritize_continuation,Historical/diagnostic row; use only if a future task reopens its evidence contract.,modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__salt2_jin_loq_loins__viscosity_screening_salt_test_2_jin_coarse_mesh
salt3_jin_hiq_hiins,salt3,other_historical_or_diagnostic,6927,7227,hydraulic_stationary_heat_drifting,steady,not steady (drifting),8,0,1,not_assessed,do_not_prioritize_continuation,Historical/diagnostic row; use only if a future task reopens its evidence contract.,modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__salt3_jin_hiq_hiins__viscosity_screening_salt_test_3_jin_coarse_mesh
salt3_jin_loq_loins,salt3,other_historical_or_diagnostic,5301,5601,hydraulic_stationary_heat_drifting,steady,not steady (drifting),8,0,1,not_assessed,do_not_prioritize_continuation,Historical/diagnostic row; use only if a future task reopens its evidence contract.,modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__salt3_jin_loq_loins__viscosity_screening_salt_test_3_jin_coarse_mesh
salt4_jin_hiq_hiins,salt4,other_historical_or_diagnostic,9102,9402,all_representative_series_steady,steady,steady,9,0,0,not_assessed,do_not_prioritize_continuation,Historical/diagnostic row; use only if a future task reopens its evidence contract.,modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__salt4_jin_hiq_hiins__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation
salt4_jin_loq_loins,salt4,other_historical_or_diagnostic,5897,6197,hydraulic_stationary_heat_drifting,steady,not steady (drifting),8,0,1,not_assessed,do_not_prioritize_continuation,Historical/diagnostic row; use only if a future task reopens its evidence contract.,modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__salt4_jin_loq_loins__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation
salt1_jin_nominal_continuation_corrected,salt1,salt1_nominal_live_continuation,4741,5041,all_representative_series_steady,steady,steady,9,0,0,pending_terminal_gate,continue_running_to_exit_then_gate,Job 3282992 was RUNNING at the latest check and had advanced to about Time=5040.975s; do not admit until terminal gate passes.,modern_runs__2026-07-08_salt1_nominal_continuation_candidate__salt1_jin_nominal_continuation_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation
