phase,candidate_id,case_id,split_role,heater_lambda,cooler_candidate_id,coupled_run_status,elapsed_s,root_status,qhx_total_W,qambient_total_W,mdot_error_pct,tp_rmse_K,tw_rmse_K,all_probe_rmse_K,coupled_gate,source_path
salt2_fit_grid,HS1_salt2_fit_heater_source_shift_p1_lam_0p50_PLUS_PB2_salt2_local_shape_passive_hA_p1_PLUS_HX_LUMPED_UA_NTU,salt_2,train,0.5,HX_LUMPED_UA_NTU,completed,78.43731604,accepted,60.39405302,242.3005088,-4.952796885,17.06851725,59.6393214,50.36244051,salt2_fit_grid_completed,Fluid solve_case with AGENT-511 heater source redistribution scenario
salt2_fit_grid,HS1_salt2_fit_heater_source_shift_p1_lam_0p55_PLUS_PB2_salt2_local_shape_passive_hA_p1_PLUS_HX_LUMPED_UA_NTU,salt_2,train,0.55,HX_LUMPED_UA_NTU,completed,78.63679491,accepted,60.39550739,242.299047,-5.15005413,17.05729703,59.66144296,50.37926313,salt2_fit_grid_completed,Fluid solve_case with AGENT-511 heater source redistribution scenario
salt2_fit_grid,HS1_salt2_fit_heater_source_shift_p1_lam_0p60_PLUS_PB2_salt2_local_shape_passive_hA_p1_PLUS_HX_LUMPED_UA_NTU,salt_2,train,0.6,HX_LUMPED_UA_NTU,completed,79.69117659,accepted,60.39695748,242.2975893,-5.347746737,17.04604475,59.68375448,50.39623885,salt2_fit_grid_completed,Fluid solve_case with AGENT-511 heater source redistribution scenario
salt2_fit_grid,HS1_salt2_fit_heater_source_shift_p1_lam_0p65_PLUS_PB2_salt2_local_shape_passive_hA_p1_PLUS_HX_LUMPED_UA_NTU,salt_2,train,0.65,HX_LUMPED_UA_NTU,completed,78.95539466,accepted,60.39840319,242.2961354,-5.5458765,17.03476031,59.70625795,50.41336933,salt2_fit_grid_completed,Fluid solve_case with AGENT-511 heater source redistribution scenario
salt2_fit_grid,HS1_salt2_fit_heater_source_shift_p1_lam_0p70_PLUS_PB2_salt2_local_shape_passive_hA_p1_PLUS_HX_LUMPED_UA_NTU,salt_2,train,0.7,HX_LUMPED_UA_NTU,completed,78.90088338,accepted,60.39984458,242.2946859,-5.744443417,17.02344339,59.72895551,50.4306563,salt2_fit_grid_completed,Fluid solve_case with AGENT-511 heater source redistribution scenario
salt2_fit_grid,HS1_salt2_fit_heater_source_shift_p1_lam_0p75_PLUS_PB2_salt2_local_shape_passive_hA_p1_PLUS_HX_LUMPED_UA_NTU,salt_2,train,0.75,HX_LUMPED_UA_NTU,completed,79.59115691,accepted,60.40128155,242.293241,-5.943454657,17.01209366,59.7518492,50.4481014,salt2_fit_grid_completed,Fluid solve_case with AGENT-511 heater source redistribution scenario
salt2_fit_grid,HS1_salt2_fit_heater_source_shift_p1_lam_0p80_PLUS_PB2_salt2_local_shape_passive_hA_p1_PLUS_HX_LUMPED_UA_NTU,salt_2,train,0.8,HX_LUMPED_UA_NTU,completed,78.89938624,accepted,60.40271399,242.2918004,-6.142910217,17.00071111,59.77494112,50.46570639,salt2_fit_grid_completed,Fluid solve_case with AGENT-511 heater source redistribution scenario
salt2_fit_grid,HS1_salt2_fit_heater_source_shift_p1_lam_0p85_PLUS_PB2_salt2_local_shape_passive_hA_p1_PLUS_HX_LUMPED_UA_NTU,salt_2,train,0.85,HX_LUMPED_UA_NTU,completed,78.85134876,accepted,60.40414193,242.2903648,-6.342813683,16.98929528,59.79823348,50.48347302,salt2_fit_grid_completed,Fluid solve_case with AGENT-511 heater source redistribution scenario
salt2_fit_grid,HS1_salt2_fit_heater_source_shift_p1_lam_0p90_PLUS_PB2_salt2_local_shape_passive_hA_p1_PLUS_HX_LUMPED_UA_NTU,salt_2,train,0.9,HX_LUMPED_UA_NTU,completed,78.88209875,accepted,60.40556508,242.2889332,-6.543168636,16.97784641,59.82172832,50.50140302,salt2_fit_grid_completed,Fluid solve_case with AGENT-511 heater source redistribution scenario
salt2_fit_grid,HS1_salt2_fit_heater_source_shift_p1_lam_0p95_PLUS_PB2_salt2_local_shape_passive_hA_p1_PLUS_HX_LUMPED_UA_NTU,salt_2,train,0.95,HX_LUMPED_UA_NTU,completed,79.48757833,accepted,60.4069835,242.2875064,-6.743976869,16.96636402,59.84542794,50.51949824,salt2_fit_grid_completed,Fluid solve_case with AGENT-511 heater source redistribution scenario
salt2_fit_grid,HS1_salt2_fit_heater_source_shift_p1_lam_1p00_PLUS_PB2_salt2_local_shape_passive_hA_p1_PLUS_HX_LUMPED_UA_NTU,salt_2,train,1,HX_LUMPED_UA_NTU,completed,79.35538434,accepted,60.4083971,242.2860843,-6.945241964,16.95484795,59.86933457,50.53776051,salt2_fit_grid_completed,Fluid solve_case with AGENT-511 heater source redistribution scenario
selected_coupled_score,HS1_salt2_fit_heater_source_shift_p1_lam_0p00_PLUS_PB2_salt2_local_shape_passive_hA_p1_PLUS_HX_LUMPED_UA_NTU,salt_2,train,0,HX_LUMPED_UA_NTU,completed,79.40690459,accepted,60.37929252,242.3153435,-3.003481449,17.17899494,59.4281335,50.20229259,train_not_admission_scored,Fluid solve_case with AGENT-511 heater source redistribution scenario
selected_coupled_score,HS1_salt2_fit_heater_source_shift_p1_lam_0p00_PLUS_PB2_salt2_local_shape_passive_hA_p1_PLUS_HX_LUMPED_UA_NTU,salt_3,validation,0,HX_LUMPED_UA_NTU,completed,79.83023466,accepted,61.1450712,273.3482818,-0.2226459414,26.02244767,61.65913886,53.15436387,fail_vs_m3,Fluid solve_case with AGENT-511 heater source redistribution scenario
selected_coupled_score,HS1_salt2_fit_heater_source_shift_p1_lam_0p00_PLUS_PB2_salt2_local_shape_passive_hA_p1_PLUS_HX_LUMPED_UA_NTU,salt_4,holdout,0,HX_LUMPED_UA_NTU,completed,78.06585049,accepted,61.75968067,312.83178,-6.784658234,39.71062704,67.27578411,60.03697397,fail_vs_m3,Fluid solve_case with AGENT-511 heater source redistribution scenario
selected_coupled_score,HS1_salt2_fit_heater_source_shift_p1_lam_0p00_PLUS_PB2_salt2_local_shape_passive_hA_p1_PLUS_HX_SEGMENTED_UA_NTU_N16,salt_2,train,0,HX_SEGMENTED_UA_NTU_N16,completed,102.1252899,accepted,60.35577474,242.3388617,-2.996838126,17.16788987,59.44745909,50.21683391,train_not_admission_scored,Fluid solve_case with AGENT-511 heater source redistribution scenario
selected_coupled_score,HS1_salt2_fit_heater_source_shift_p1_lam_0p00_PLUS_PB2_salt2_local_shape_passive_hA_p1_PLUS_HX_SEGMENTED_UA_NTU_N16,salt_3,validation,0,HX_SEGMENTED_UA_NTU_N16,completed,102.0051352,accepted,61.12231803,273.3710352,-0.2168514158,26.01227488,61.6745158,53.16507142,fail_vs_m3,Fluid solve_case with AGENT-511 heater source redistribution scenario
selected_coupled_score,HS1_salt2_fit_heater_source_shift_p1_lam_0p00_PLUS_PB2_salt2_local_shape_passive_hA_p1_PLUS_HX_SEGMENTED_UA_NTU_N16,salt_4,holdout,0,HX_SEGMENTED_UA_NTU_N16,completed,101.2893518,accepted,61.73776034,312.8537,-6.780125384,39.70179796,67.28650107,60.04340581,fail_vs_m3,Fluid solve_case with AGENT-511 heater source redistribution scenario
