case_id,slurm_job_or_step,source_case_path,stop_state,decision,window_start_s,window_end_s,quantity,mean,latest,drift,span,relative_drift,relative_span,notes
salt1_lo10q,3288671.0,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,CANCELLED by user after user said Salt1 -10Q can stop,steady_runtime_stop_not_closure_fit_priority,7416,8016,mdot_pipeleg_lower_05_straight_kg_s,-0.010410814453494198,-0.01041081297,1.579999998890802e-09,1.4210000001332879e-08,1.5176526351024382e-07,1.3649268330359643e-06,"Final-window mdot drift is negligible."
salt1_lo10q,3288671.0,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,CANCELLED by user after user said Salt1 -10Q can stop,steady_runtime_stop_not_closure_fit_priority,7416,8016,mdot_pipeleg_right_02_middle_kg_s,-0.010410814467787069,-0.01041081135,7.099999997650652e-10,1.2490000001266766e-08,6.81983145470446e-08,1.1997140127617364e-06,"Final-window mdot drift is negligible."
salt1_lo10q,3288671.0,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,CANCELLED by user after user said Salt1 -10Q can stop,steady_runtime_stop_not_closure_fit_priority,7416,8016,temperature_probes_max_abs_drift_K,,,0,0,,,"Six monitored fluid probes had zero drift/span in written final-window values."
salt1_lo10q,3288671.0,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,CANCELLED by user after user said Salt1 -10Q can stop,steady_runtime_stop_not_closure_fit_priority,7416,8016,wall_temperature_probes_max_abs_drift_K,,,0,0,,,"Forty-four monitored wall probes had zero drift/span in written final-window values."
salt1_hi10q,3288671.1,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,CANCELLED to free one packed slot after flatness check,steady_runtime_stop_not_closure_fit_priority,4987,5587,total_Q_W,0.32633599999999824,0.326336,0,0,0,0,"Final 600 s monitor was flat; Salt1 corrected-Q still has Salt1-reference/admission-policy caveats."
salt1_hi10q,3288671.1,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,CANCELLED to free one packed slot after flatness check,steady_runtime_stop_not_closure_fit_priority,4987,5587,mdot_pipeleg_left_04_test_section_kg_s,-0.011671463127038255,-0.01167147461,-2.3409999999265962e-08,9.728999999895904e-08,2.00574681549857e-06,8.335715834424892e-06,"Largest Salt1 +10Q mdot drift in final window; still about 0.0002006% of mean."
salt1_hi10q,3288671.1,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,CANCELLED to free one packed slot after flatness check,steady_runtime_stop_not_closure_fit_priority,4987,5587,mdot_pipeleg_upper_05_cooler_kg_s,-0.011671462812795259,-0.01167146314,-1.0099999985663244e-09,5.920000000630976e-09,8.65358537114196e-08,5.072200542112823e-07,"Final-window mdot drift is negligible."
salt1_hi10q,3288671.1,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,CANCELLED to free one packed slot after flatness check,steady_runtime_stop_not_closure_fit_priority,4987,5587,mdot_pipeleg_lower_05_straight_kg_s,-0.011671462948336073,-0.01167146058,-2.9199999987405967e-09,8.169000000057824e-08,2.5018286153724053e-07,6.9991225917590965e-06,"Final-window mdot drift is negligible."
salt1_hi10q,3288671.1,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,CANCELLED to free one packed slot after flatness check,steady_runtime_stop_not_closure_fit_priority,4987,5587,mdot_pipeleg_right_02_middle_kg_s,-0.011671462854875133,-0.01167146239,-1.6000000005456094e-09,1.0519999999597518e-08,1.3708650067607375e-07,9.01343741603337e-07,"Final-window mdot drift is negligible."
salt1_hi10q,3288671.1,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,CANCELLED to free one packed slot after flatness check,steady_runtime_stop_not_closure_fit_priority,4987,5587,temperature_probes_max_abs_drift_K,,,0,0,,,"Six monitored fluid probes had zero drift/span in written final-window values."
salt1_hi10q,3288671.1,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,CANCELLED to free one packed slot after flatness check,steady_runtime_stop_not_closure_fit_priority,4987,5587,wall_temperature_probes_max_abs_drift_K,,,0,0,,,"Forty-four monitored wall probes had zero drift/span in written final-window values."
salt4_hi10q,3288671.5,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,CANCELLED when parent allocation completed after Salt1 +10Q step cancellation,not_steady_include_in_new_packed_job,12039,12639,total_Q_W,7.718854858569053,6.99361,-1.5909899999999997,1.6973799999999999,0.20611736185630816,0.2199004944516687,"Not steady; this is the counterexample and was included in new packed job 3293441."
salt4_hi10q,3288671.5,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,CANCELLED when parent allocation completed after Salt1 +10Q step cancellation,not_steady_include_in_new_packed_job,12039,12639,mdot_pipeleg_left_04_test_section_kg_s,-0.01843303081728782,-0.01851907147,-0.00011291194999999907,0.00044801122999999984,0.006125522770466055,0.024304805565660028,"Still moving materially."
salt4_hi10q,3288671.5,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,CANCELLED when parent allocation completed after Salt1 +10Q step cancellation,not_steady_include_in_new_packed_job,12039,12639,mdot_pipeleg_upper_05_cooler_kg_s,-0.018433581857204666,-0.01852060608,-0.00011310302000000147,0.0004481378199999997,0.006135704979973589,0.02431094637339012,"Still moving materially."
salt4_hi10q,3288671.5,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,CANCELLED when parent allocation completed after Salt1 +10Q step cancellation,not_steady_include_in_new_packed_job,12039,12639,mdot_pipeleg_lower_05_straight_kg_s,-0.018432556652146426,-0.0185215229,-0.00011556269000000119,0.0004465576000000013,0.006269487851352633,0.02422656869729467,"Still moving materially."
salt4_hi10q,3288671.5,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,CANCELLED when parent allocation completed after Salt1 +10Q step cancellation,not_steady_include_in_new_packed_job,12039,12639,mdot_pipeleg_right_02_middle_kg_s,-0.01843198788504161,-0.01851900082,-0.00011382113000000041,0.00045049358999999997,0.0061751955735806115,0.024440857535805775,"Still moving materially."
salt4_hi10q,3288671.5,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,CANCELLED when parent allocation completed after Salt1 +10Q step cancellation,not_steady_include_in_new_packed_job,12039,12639,temperature_probes_max_abs_drift_K,,,1.4510510000000068,4.7368829999999775,,,"Fluid probes still moving; max drift col 6, max span col 2."
salt4_hi10q,3288671.5,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,CANCELLED when parent allocation completed after Salt1 +10Q step cancellation,not_steady_include_in_new_packed_job,12039,12639,wall_temperature_probes_max_abs_drift_K,,,1.5295360000000073,4.073939999999993,,,"Wall probes still moving; max drift col 21, max span col 18."
