model_family,split_group,count,baseline_mae_K,corrected_mae_K,delta_mae_K,baseline_rmse_K,corrected_rmse_K,delta_rmse_K,corrected_bias_K,corrected_max_abs_error_K,selection_role,claim_boundary
F0_null_baseline,train_support_fit,32,88.74990007346516,88.74990007346516,0.0,90.38600374649211,90.38600374649211,0.0,88.74990007346516,150.4390416347385,train_support_ranking_only,frozen reduced-DOF empirical transfer diagnostic; coefficients fit on Salt1/Salt2 train/support rows only; Salt3/Salt4 scored after freeze as legacy validation/holdout-style stress rows; no external-test score; no Fluid solve; no admission
F2_global_affine,legacy_validation_transfer_stress,16,103.14386473398748,10.315176292172659,-92.82868844181482,104.45117083369718,17.456306060070887,-86.99486477362629,-3.254545415592858,55.66130453579723,score_only_no_refit_no_selection,frozen reduced-DOF empirical transfer diagnostic; coefficients fit on Salt1/Salt2 train/support rows only; Salt3/Salt4 scored after freeze as legacy validation/holdout-style stress rows; no external-test score; no Fluid solve; no admission
F2_global_affine,legacy_holdout_transfer_stress,16,109.09946662499348,17.431161342851414,-91.66830528214207,110.54136255575268,21.431459777667488,-89.1099027780852,-10.828782002186532,52.81903472531906,score_only_no_refit_no_selection,frozen reduced-DOF empirical transfer diagnostic; coefficients fit on Salt1/Salt2 train/support rows only; Salt3/Salt4 scored after freeze as legacy validation/holdout-style stress rows; no external-test score; no Fluid solve; no admission
F2_global_affine,all_frozen_transfer_nonfit,32,106.12166567949048,13.873168817512036,-92.24849686197844,107.5393879567216,19.54520515963758,-87.99418279708402,-7.041663708889695,55.66130453579723,score_only_no_refit_no_selection,frozen reduced-DOF empirical transfer diagnostic; coefficients fit on Salt1/Salt2 train/support rows only; Salt3/Salt4 scored after freeze as legacy validation/holdout-style stress rows; no external-test score; no Fluid solve; no admission
F2_global_affine,all_scored_rows,64,97.4357828764778,11.187319407826127,-86.24846346865168,99.33365400348254,17.789493969033195,-81.54416003444933,-3.5208318544448804,58.28948374834158,score_only_no_refit_no_selection,frozen reduced-DOF empirical transfer diagnostic; coefficients fit on Salt1/Salt2 train/support rows only; Salt3/Salt4 scored after freeze as legacy validation/holdout-style stress rows; no external-test score; no Fluid solve; no admission
F3_sensor_kind_offset,train_support_fit,32,88.74990007346516,12.370866938190717,-76.37903313527444,90.38600374649211,17.112243370396364,-73.27376037609574,1.2434497875801753e-14,61.34799573590567,train_support_ranking_only,frozen reduced-DOF empirical transfer diagnostic; coefficients fit on Salt1/Salt2 train/support rows only; Salt3/Salt4 scored after freeze as legacy validation/holdout-style stress rows; no external-test score; no Fluid solve; no admission
F3_sensor_kind_offset,legacy_validation_transfer_stress,16,103.14386473398748,16.689927575559306,-86.45393715842818,104.45117083369718,21.868737705385964,-82.58243312831121,14.39396466052236,70.0197883133198,score_only_no_refit_no_selection,frozen reduced-DOF empirical transfer diagnostic; coefficients fit on Salt1/Salt2 train/support rows only; Salt3/Salt4 scored after freeze as legacy validation/holdout-style stress rows; no external-test score; no Fluid solve; no admission
F3_sensor_kind_offset,legacy_holdout_transfer_stress,16,109.09946662499348,21.603440761206432,-87.49602586378705,110.54136255575268,27.026740334974722,-83.51462222077797,20.349566551528365,80.62240618773092,score_only_no_refit_no_selection,frozen reduced-DOF empirical transfer diagnostic; coefficients fit on Salt1/Salt2 train/support rows only; Salt3/Salt4 scored after freeze as legacy validation/holdout-style stress rows; no external-test score; no Fluid solve; no admission
F3_sensor_kind_offset,all_frozen_transfer_nonfit,32,106.12166567949048,19.14668416838287,-86.97498151110761,107.5393879567216,24.583392584843928,-82.95599537187766,17.37176560602536,80.62240618773092,score_only_no_refit_no_selection,frozen reduced-DOF empirical transfer diagnostic; coefficients fit on Salt1/Salt2 train/support rows only; Salt3/Salt4 scored after freeze as legacy validation/holdout-style stress rows; no external-test score; no Fluid solve; no admission
F3_sensor_kind_offset,all_scored_rows,64,97.4357828764778,15.758775553286792,-81.677007323191,99.33365400348254,21.179849670715722,-78.15380433276681,8.685882803012687,80.62240618773092,score_only_no_refit_no_selection,frozen reduced-DOF empirical transfer diagnostic; coefficients fit on Salt1/Salt2 train/support rows only; Salt3/Salt4 scored after freeze as legacy validation/holdout-style stress rows; no external-test score; no Fluid solve; no admission
F4_thermal_family_offset,train_support_fit,32,88.74990007346516,11.562922509695655,-77.1869775637695,90.38600374649211,15.17815266975816,-75.20785107673395,-5.329070518200751e-15,51.17475233651675,train_support_ranking_only,frozen reduced-DOF empirical transfer diagnostic; coefficients fit on Salt1/Salt2 train/support rows only; Salt3/Salt4 scored after freeze as legacy validation/holdout-style stress rows; no external-test score; no Fluid solve; no admission
F4_thermal_family_offset,legacy_validation_transfer_stress,16,103.14386473398748,14.678979953719455,-88.46488478026802,104.45117083369718,20.023107947235154,-84.42806288646202,14.393964660522343,59.84654491393087,score_only_no_refit_no_selection,frozen reduced-DOF empirical transfer diagnostic; coefficients fit on Salt1/Salt2 train/support rows only; Salt3/Salt4 scored after freeze as legacy validation/holdout-style stress rows; no external-test score; no Fluid solve; no admission
F4_thermal_family_offset,legacy_holdout_transfer_stress,16,109.09946662499348,20.349566551528348,-88.74990007346514,110.54136255575268,25.262916589453102,-85.27844596629959,20.349566551528348,70.449162788342,score_only_no_refit_no_selection,frozen reduced-DOF empirical transfer diagnostic; coefficients fit on Salt1/Salt2 train/support rows only; Salt3/Salt4 scored after freeze as legacy validation/holdout-style stress rows; no external-test score; no Fluid solve; no admission
F4_thermal_family_offset,all_frozen_transfer_nonfit,32,106.12166567949048,17.5142732526239,-88.60739242686657,107.5393879567216,22.79407605576827,-84.74531190095333,17.371765606025342,70.449162788342,score_only_no_refit_no_selection,frozen reduced-DOF empirical transfer diagnostic; coefficients fit on Salt1/Salt2 train/support rows only; Salt3/Salt4 scored after freeze as legacy validation/holdout-style stress rows; no external-test score; no Fluid solve; no admission
F4_thermal_family_offset,all_scored_rows,64,97.4357828764778,14.538597881159777,-82.89718499531803,99.33365400348254,19.36422244375739,-79.96943155972514,8.685882803012667,70.449162788342,score_only_no_refit_no_selection,frozen reduced-DOF empirical transfer diagnostic; coefficients fit on Salt1/Salt2 train/support rows only; Salt3/Salt4 scored after freeze as legacy validation/holdout-style stress rows; no external-test score; no Fluid solve; no admission
F5_thermal_family_offset_shared_multiplier,train_support_fit,32,88.74990007346516,9.014439851283136,-79.73546022218201,90.38600374649211,13.63913642637235,-76.74686732011976,4.618527782440651e-14,46.92373181142443,train_support_ranking_only,frozen reduced-DOF empirical transfer diagnostic; coefficients fit on Salt1/Salt2 train/support rows only; Salt3/Salt4 scored after freeze as legacy validation/holdout-style stress rows; no external-test score; no Fluid solve; no admission
F5_thermal_family_offset_shared_multiplier,legacy_validation_transfer_stress,16,103.14386473398748,10.403401852684379,-92.7404628813031,104.45117083369718,15.0025111498984,-89.44865968379878,-3.2545454155927622,44.29555259888008,score_only_no_refit_no_selection,frozen reduced-DOF empirical transfer diagnostic; coefficients fit on Salt1/Salt2 train/support rows only; Salt3/Salt4 scored after freeze as legacy validation/holdout-style stress rows; no external-test score; no Fluid solve; no admission
F5_thermal_family_offset_shared_multiplier,legacy_holdout_transfer_stress,16,109.09946662499348,16.245563851500556,-92.85390277349293,110.54136255575268,19.092413415184275,-91.4489491405684,-10.82878200218643,41.45328278840185,score_only_no_refit_no_selection,frozen reduced-DOF empirical transfer diagnostic; coefficients fit on Salt1/Salt2 train/support rows only; Salt3/Salt4 scored after freeze as legacy validation/holdout-style stress rows; no external-test score; no Fluid solve; no admission
F5_thermal_family_offset_shared_multiplier,all_frozen_transfer_nonfit,32,106.12166567949048,13.324482852092467,-92.797182827398,107.5393879567216,17.169676625072682,-90.36971133164892,-7.041663708889596,44.29555259888008,score_only_no_refit_no_selection,frozen reduced-DOF empirical transfer diagnostic; coefficients fit on Salt1/Salt2 train/support rows only; Salt3/Salt4 scored after freeze as legacy validation/holdout-style stress rows; no external-test score; no Fluid solve; no admission
F5_thermal_family_offset_shared_multiplier,all_scored_rows,64,97.4357828764778,11.169461351687803,-86.26632152479,99.33365400348254,15.505222311640107,-83.82843169184243,-3.5208318544447748,46.92373181142443,score_only_no_refit_no_selection,frozen reduced-DOF empirical transfer diagnostic; coefficients fit on Salt1/Salt2 train/support rows only; Salt3/Salt4 scored after freeze as legacy validation/holdout-style stress rows; no external-test score; no Fluid solve; no admission
