contract_id,source_id,case_id,reset_feature,reset_type,downstream_span,orientation,x_from_reset_m,L_over_D_from_reset,thermal_reset_status,hydraulic_reset_status,recirculation_flag,admission_status,fluid_api_requirement,required_next_action,source_path,quality_flags
RESET-011,viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,left_upper_leg,no_local_reset_flag_in_pressure_ledger,left_upper_leg,mostly_horizontal,0.14309042,6.5592798,unknown_until_wall_material_or_heat_path_reset_mapped,not_flagged_in_pressure_ledger,yes,diagnostic_only_recirculation_invalid,first_class_reset_development_term,Keep as recirculation diagnostic; do not convert to single-stream universal f or K.,work_products/2026-07/2026-07-08/2026-07-08_pressure_term_ledger/pressure_term_ledger.csv,recirculation_invalid_single_f;coarse_no_gci
RESET-012,viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,upper_leg,section_endpoint_or_recent_feature,upper_leg,mostly_horizontal,0.35687444,16.354078,unknown_until_wall_material_or_heat_path_reset_mapped,reset_flagged,no,candidate_blocked_api_and_mesh_admission,first_class_reset_development_term,"Implement first-class reset/development term keyed by feature, downstream span, x/D, Re, and mesh-admitted pressure evidence.",work_products/2026-07/2026-07-08/2026-07-08_pressure_term_ledger/pressure_term_ledger.csv,coarse_no_gci
RESET-013,viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,lower_leg,section_endpoint_or_recent_feature,lower_leg,mostly_horizontal,0.35684162,16.352882,unknown_until_wall_material_or_heat_path_reset_mapped,reset_flagged,no,candidate_blocked_api_and_mesh_admission,first_class_reset_development_term,"Implement first-class reset/development term keyed by feature, downstream span, x/D, Re, and mesh-admitted pressure evidence.",work_products/2026-07/2026-07-08/2026-07-08_pressure_term_ledger/pressure_term_ledger.csv,coarse_no_gci
RESET-014,viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,right_leg,section_endpoint_or_recent_feature,right_leg,mostly_vertical_downcomer,0.36576,16.766477,unknown_until_wall_material_or_heat_path_reset_mapped,reset_flagged,no,candidate_blocked_api_and_mesh_admission,first_class_reset_development_term,"Implement first-class reset/development term keyed by feature, downstream span, x/D, Re, and mesh-admitted pressure evidence.",work_products/2026-07/2026-07-08/2026-07-08_pressure_term_ledger/pressure_term_ledger.csv,coarse_no_gci
RESET-015,viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,left_lower_leg,section_endpoint_or_recent_feature,left_lower_leg,mostly_horizontal,0.12192,5.5888256,unknown_until_wall_material_or_heat_path_reset_mapped,reset_flagged,yes,diagnostic_only_recirculation_invalid,first_class_reset_development_term,Keep as recirculation diagnostic; do not convert to single-stream universal f or K.,work_products/2026-07/2026-07-08/2026-07-08_pressure_term_ledger/pressure_term_ledger.csv,recirculation_invalid_single_f;coarse_no_gci
RESET-016,viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,test_section_span,no_local_reset_flag_in_pressure_ledger,test_section_span,mostly_horizontal,0.098072727,4.7396206,unknown_until_wall_material_or_heat_path_reset_mapped,not_flagged_in_pressure_ledger,no,reference_not_reset_candidate,first_class_reset_development_term,Retain as downstream reference span; no reset term admitted from current evidence.,work_products/2026-07/2026-07-08/2026-07-08_pressure_term_ledger/pressure_term_ledger.csv,coarse_no_gci
RESET-017,viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,left_upper_leg,no_local_reset_flag_in_pressure_ledger,left_upper_leg,mostly_horizontal,0.14309042,6.5592798,unknown_until_wall_material_or_heat_path_reset_mapped,not_flagged_in_pressure_ledger,yes,diagnostic_only_recirculation_invalid,first_class_reset_development_term,Keep as recirculation diagnostic; do not convert to single-stream universal f or K.,work_products/2026-07/2026-07-08/2026-07-08_pressure_term_ledger/pressure_term_ledger.csv,recirculation_invalid_single_f;coarse_no_gci
RESET-018,viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,upper_leg,section_endpoint_or_recent_feature,upper_leg,mostly_horizontal,0.35687444,16.354078,unknown_until_wall_material_or_heat_path_reset_mapped,reset_flagged,no,candidate_blocked_api_and_mesh_admission,first_class_reset_development_term,"Implement first-class reset/development term keyed by feature, downstream span, x/D, Re, and mesh-admitted pressure evidence.",work_products/2026-07/2026-07-08/2026-07-08_pressure_term_ledger/pressure_term_ledger.csv,coarse_no_gci
RESET-019,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,corner_lower_left,bend/junction_corner,lower_leg,mostly_horizontal,0,0,possible_thermal_reset_if_wall_bc_or_geometry_changes,feature_reset_assumed_for_downstream_development_sensitivity,yes,diagnostic_only_recirculation_invalid,first_class_reset_development_term,Keep as recirculation diagnostic; do not convert to single-stream universal f or K.,work_products/2026-07/2026-07-08/2026-07-08_minor_loss_two_tap/minor_loss_two_tap.csv,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound;recirculation_adjacent
RESET-020,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,corner_lower_right,bend/junction_corner,right_leg,mostly_vertical_downcomer,0,0,possible_thermal_reset_if_wall_bc_or_geometry_changes,feature_reset_assumed_for_downstream_development_sensitivity,no,candidate_blocked_api_and_mesh_admission,first_class_reset_development_term,"Implement first-class reset/development term keyed by feature, downstream span, x/D, Re, and mesh-admitted pressure evidence.",work_products/2026-07/2026-07-08/2026-07-08_minor_loss_two_tap/minor_loss_two_tap.csv,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound
RESET-021,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,corner_upper_right,bend/junction_corner,upper_leg,mostly_horizontal,0,0,possible_thermal_reset_if_wall_bc_or_geometry_changes,feature_reset_assumed_for_downstream_development_sensitivity,no,candidate_blocked_api_and_mesh_admission,first_class_reset_development_term,"Implement first-class reset/development term keyed by feature, downstream span, x/D, Re, and mesh-admitted pressure evidence.",work_products/2026-07/2026-07-08/2026-07-08_minor_loss_two_tap/minor_loss_two_tap.csv,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound
RESET-022,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,corner_upper_left,bend/junction_corner,left_upper_leg,mostly_horizontal,0,0,possible_thermal_reset_if_wall_bc_or_geometry_changes,feature_reset_assumed_for_downstream_development_sensitivity,yes,diagnostic_only_recirculation_invalid,first_class_reset_development_term,Keep as recirculation diagnostic; do not convert to single-stream universal f or K.,work_products/2026-07/2026-07-08/2026-07-08_minor_loss_two_tap/minor_loss_two_tap.csv,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound;recirculation_adjacent;downstream_span_recirculation_invalid_single_stream
RESET-023,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,test_section_complex,connector_expansion_contraction,left_lower_leg,mostly_horizontal,0,0,possible_thermal_reset_if_wall_bc_or_geometry_changes,feature_reset_assumed_for_downstream_development_sensitivity,no,candidate_blocked_api_and_mesh_admission,first_class_reset_development_term,"Implement first-class reset/development term keyed by feature, downstream span, x/D, Re, and mesh-admitted pressure evidence.",work_products/2026-07/2026-07-08/2026-07-08_minor_loss_two_tap/minor_loss_two_tap.csv,feature_not_in_preserved_bend_minor_loss;requires_raw_two_tap_extraction;coarse_no_gci
RESET-024,viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,corner_lower_left,bend/junction_corner,lower_leg,mostly_horizontal,0,0,possible_thermal_reset_if_wall_bc_or_geometry_changes,feature_reset_assumed_for_downstream_development_sensitivity,yes,diagnostic_only_recirculation_invalid,first_class_reset_development_term,Keep as recirculation diagnostic; do not convert to single-stream universal f or K.,work_products/2026-07/2026-07-08/2026-07-08_minor_loss_two_tap/minor_loss_two_tap.csv,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound;recirculation_adjacent
RESET-025,viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,corner_lower_right,bend/junction_corner,right_leg,mostly_vertical_downcomer,0,0,possible_thermal_reset_if_wall_bc_or_geometry_changes,feature_reset_assumed_for_downstream_development_sensitivity,no,candidate_blocked_api_and_mesh_admission,first_class_reset_development_term,"Implement first-class reset/development term keyed by feature, downstream span, x/D, Re, and mesh-admitted pressure evidence.",work_products/2026-07/2026-07-08/2026-07-08_minor_loss_two_tap/minor_loss_two_tap.csv,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound
RESET-026,viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,corner_upper_right,bend/junction_corner,upper_leg,mostly_horizontal,0,0,possible_thermal_reset_if_wall_bc_or_geometry_changes,feature_reset_assumed_for_downstream_development_sensitivity,no,candidate_blocked_api_and_mesh_admission,first_class_reset_development_term,"Implement first-class reset/development term keyed by feature, downstream span, x/D, Re, and mesh-admitted pressure evidence.",work_products/2026-07/2026-07-08/2026-07-08_minor_loss_two_tap/minor_loss_two_tap.csv,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound
RESET-027,viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,corner_upper_left,bend/junction_corner,left_upper_leg,mostly_horizontal,0,0,possible_thermal_reset_if_wall_bc_or_geometry_changes,feature_reset_assumed_for_downstream_development_sensitivity,yes,diagnostic_only_recirculation_invalid,first_class_reset_development_term,Keep as recirculation diagnostic; do not convert to single-stream universal f or K.,work_products/2026-07/2026-07-08/2026-07-08_minor_loss_two_tap/minor_loss_two_tap.csv,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound;recirculation_adjacent;downstream_span_recirculation_invalid_single_stream
RESET-028,viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,test_section_complex,connector_expansion_contraction,left_lower_leg,mostly_horizontal,0,0,possible_thermal_reset_if_wall_bc_or_geometry_changes,feature_reset_assumed_for_downstream_development_sensitivity,no,candidate_blocked_api_and_mesh_admission,first_class_reset_development_term,"Implement first-class reset/development term keyed by feature, downstream span, x/D, Re, and mesh-admitted pressure evidence.",work_products/2026-07/2026-07-08/2026-07-08_minor_loss_two_tap/minor_loss_two_tap.csv,feature_not_in_preserved_bend_minor_loss;requires_raw_two_tap_extraction;coarse_no_gci
RESET-029,viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,corner_lower_left,bend/junction_corner,lower_leg,mostly_horizontal,0,0,possible_thermal_reset_if_wall_bc_or_geometry_changes,feature_reset_assumed_for_downstream_development_sensitivity,yes,diagnostic_only_recirculation_invalid,first_class_reset_development_term,Keep as recirculation diagnostic; do not convert to single-stream universal f or K.,work_products/2026-07/2026-07-08/2026-07-08_minor_loss_two_tap/minor_loss_two_tap.csv,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound;recirculation_adjacent
RESET-030,viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,corner_lower_right,bend/junction_corner,right_leg,mostly_vertical_downcomer,0,0,possible_thermal_reset_if_wall_bc_or_geometry_changes,feature_reset_assumed_for_downstream_development_sensitivity,no,candidate_blocked_api_and_mesh_admission,first_class_reset_development_term,"Implement first-class reset/development term keyed by feature, downstream span, x/D, Re, and mesh-admitted pressure evidence.",work_products/2026-07/2026-07-08/2026-07-08_minor_loss_two_tap/minor_loss_two_tap.csv,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound
RESET-031,viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,corner_upper_right,bend/junction_corner,upper_leg,mostly_horizontal,0,0,possible_thermal_reset_if_wall_bc_or_geometry_changes,feature_reset_assumed_for_downstream_development_sensitivity,no,candidate_blocked_api_and_mesh_admission,first_class_reset_development_term,"Implement first-class reset/development term keyed by feature, downstream span, x/D, Re, and mesh-admitted pressure evidence.",work_products/2026-07/2026-07-08/2026-07-08_minor_loss_two_tap/minor_loss_two_tap.csv,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound
RESET-032,viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,corner_upper_left,bend/junction_corner,left_upper_leg,mostly_horizontal,0,0,possible_thermal_reset_if_wall_bc_or_geometry_changes,feature_reset_assumed_for_downstream_development_sensitivity,yes,diagnostic_only_recirculation_invalid,first_class_reset_development_term,Keep as recirculation diagnostic; do not convert to single-stream universal f or K.,work_products/2026-07/2026-07-08/2026-07-08_minor_loss_two_tap/minor_loss_two_tap.csv,coarse_no_gci;tap_length_proxy_abs_dz_not_centerline_length;K_local_still_upper_bound;recirculation_adjacent;downstream_span_recirculation_invalid_single_stream
RESET-033,viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,test_section_complex,connector_expansion_contraction,left_lower_leg,mostly_horizontal,0,0,possible_thermal_reset_if_wall_bc_or_geometry_changes,feature_reset_assumed_for_downstream_development_sensitivity,no,candidate_blocked_api_and_mesh_admission,first_class_reset_development_term,"Implement first-class reset/development term keyed by feature, downstream span, x/D, Re, and mesh-admitted pressure evidence.",work_products/2026-07/2026-07-08/2026-07-08_minor_loss_two_tap/minor_loss_two_tap.csv,feature_not_in_preserved_bend_minor_loss;requires_raw_two_tap_extraction;coarse_no_gci
