case_key,group,figure_type,path
salt2_jin_nominal,temperature,last_window,figures/salt2_jin_nominal_TP_last_window.svg
salt2_jin_nominal,temperature,last_window_fluctuation,figures/salt2_jin_nominal_TP_last_window_fluctuation.svg
salt2_jin_nominal,temperature,clt_sem,figures/salt2_jin_nominal_TP_clt_sem.svg
salt2_jin_nominal,wall_temperature,full_timeseries,figures/salt2_jin_nominal_TW_full.svg
salt2_jin_nominal,wall_temperature,last_window,figures/salt2_jin_nominal_TW_last_window.svg
salt2_jin_nominal,wall_temperature,last_window_fluctuation,figures/salt2_jin_nominal_TW_last_window_fluctuation.svg
salt2_jin_nominal,wall_temperature,clt_sem,figures/salt2_jin_nominal_TW_clt_sem.svg
salt2_jin_nominal,mdot,full_timeseries,figures/salt2_jin_nominal_mdot_full.svg
salt2_jin_nominal,mdot,last_window,figures/salt2_jin_nominal_mdot_last_window.svg
salt2_jin_nominal,mdot,last_window_fluctuation,figures/salt2_jin_nominal_mdot_last_window_fluctuation.svg
salt2_jin_nominal,mdot,clt_sem,figures/salt2_jin_nominal_mdot_clt_sem.svg
salt3_jin_nominal,temperature,full_timeseries,figures/salt3_jin_nominal_TP_full.svg
salt3_jin_nominal,temperature,last_window,figures/salt3_jin_nominal_TP_last_window.svg
salt3_jin_nominal,temperature,last_window_fluctuation,figures/salt3_jin_nominal_TP_last_window_fluctuation.svg
salt3_jin_nominal,temperature,clt_sem,figures/salt3_jin_nominal_TP_clt_sem.svg
salt3_jin_nominal,wall_temperature,full_timeseries,figures/salt3_jin_nominal_TW_full.svg
salt3_jin_nominal,wall_temperature,last_window,figures/salt3_jin_nominal_TW_last_window.svg
salt3_jin_nominal,wall_temperature,last_window_fluctuation,figures/salt3_jin_nominal_TW_last_window_fluctuation.svg
salt3_jin_nominal,wall_temperature,clt_sem,figures/salt3_jin_nominal_TW_clt_sem.svg
salt3_jin_nominal,mdot,full_timeseries,figures/salt3_jin_nominal_mdot_full.svg
salt3_jin_nominal,mdot,last_window,figures/salt3_jin_nominal_mdot_last_window.svg
salt3_jin_nominal,mdot,last_window_fluctuation,figures/salt3_jin_nominal_mdot_last_window_fluctuation.svg
salt3_jin_nominal,mdot,clt_sem,figures/salt3_jin_nominal_mdot_clt_sem.svg
salt2_native_val,temperature,full_timeseries,figures/salt2_native_val_TP_full.svg
salt2_native_val,temperature,last_window,figures/salt2_native_val_TP_last_window.svg
salt2_native_val,temperature,last_window_fluctuation,figures/salt2_native_val_TP_last_window_fluctuation.svg
salt2_native_val,temperature,clt_sem,figures/salt2_native_val_TP_clt_sem.svg
salt2_native_val,wall_temperature,full_timeseries,figures/salt2_native_val_TW_full.svg
salt2_native_val,wall_temperature,last_window,figures/salt2_native_val_TW_last_window.svg
salt2_native_val,wall_temperature,last_window_fluctuation,figures/salt2_native_val_TW_last_window_fluctuation.svg
salt2_native_val,wall_temperature,clt_sem,figures/salt2_native_val_TW_clt_sem.svg
salt2_native_val,mdot,full_timeseries,figures/salt2_native_val_mdot_full.svg
salt2_native_val,mdot,last_window,figures/salt2_native_val_mdot_last_window.svg
salt2_native_val,mdot,last_window_fluctuation,figures/salt2_native_val_mdot_last_window_fluctuation.svg
salt2_native_val,mdot,clt_sem,figures/salt2_native_val_mdot_clt_sem.svg
salt1_jin_reference_not_val,temperature,full_timeseries,figures/salt1_jin_reference_not_val_TP_full.svg
salt1_jin_reference_not_val,temperature,last_window,figures/salt1_jin_reference_not_val_TP_last_window.svg
salt1_jin_reference_not_val,temperature,last_window_fluctuation,figures/salt1_jin_reference_not_val_TP_last_window_fluctuation.svg
salt1_jin_reference_not_val,temperature,clt_sem,figures/salt1_jin_reference_not_val_TP_clt_sem.svg
salt1_jin_reference_not_val,wall_temperature,full_timeseries,figures/salt1_jin_reference_not_val_TW_full.svg
salt1_jin_reference_not_val,wall_temperature,last_window,figures/salt1_jin_reference_not_val_TW_last_window.svg
salt1_jin_reference_not_val,wall_temperature,last_window_fluctuation,figures/salt1_jin_reference_not_val_TW_last_window_fluctuation.svg
salt1_jin_reference_not_val,wall_temperature,clt_sem,figures/salt1_jin_reference_not_val_TW_clt_sem.svg
salt1_jin_reference_not_val,mdot,full_timeseries,figures/salt1_jin_reference_not_val_mdot_full.svg
salt1_jin_reference_not_val,mdot,last_window,figures/salt1_jin_reference_not_val_mdot_last_window.svg
salt1_jin_reference_not_val,mdot,last_window_fluctuation,figures/salt1_jin_reference_not_val_mdot_last_window_fluctuation.svg
salt1_jin_reference_not_val,mdot,clt_sem,figures/salt1_jin_reference_not_val_mdot_clt_sem.svg
