slug,fluid,postprocessing,fingerprint,duplicate_of
modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__optimum_insulation_wave__failed_stage_preserved__2026-06-19_job3246927_selfstage_failed_rg_missing__salt1_jin_optins__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,jadyn_runs/modern_runs/2026-06-19_ethan_blocker_and_1d_followon_wave/optimum_insulation_wave/failed_stage_preserved/2026-06-19_job3246927_selfstage_failed_rg_missing/salt1_jin_optins/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/postProcessing,2796eb19c603e95c3202834ac5c8452c,
modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__optimum_insulation_wave__salt1_jin_optins__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,jadyn_runs/modern_runs/2026-06-19_ethan_blocker_and_1d_followon_wave/optimum_insulation_wave/runs/salt1_jin_optins/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/postProcessing,2796eb19c603e95c3202834ac5c8452c,modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__optimum_insulation_wave__failed_stage_preserved__2026-06-19_job3246927_selfstage_failed_rg_missing__salt1_jin_optins__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation
modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__optimum_insulation_wave__salt2_jin_optins__viscosity_screening_salt_test_2_jin_coarse_mesh,salt2,jadyn_runs/modern_runs/2026-06-19_ethan_blocker_and_1d_followon_wave/optimum_insulation_wave/runs/salt2_jin_optins/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh/postProcessing,e8f775362c0171b36cb001ec7d368d66,
modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__optimum_insulation_wave__salt3_jin_optins__viscosity_screening_salt_test_3_jin_coarse_mesh,salt3,jadyn_runs/modern_runs/2026-06-19_ethan_blocker_and_1d_followon_wave/optimum_insulation_wave/runs/salt3_jin_optins/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh/postProcessing,882e9789fa73a220367ab30301d2f2f1,
modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__optimum_insulation_wave__salt4_jin_optins__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,salt4,jadyn_runs/modern_runs/2026-06-19_ethan_blocker_and_1d_followon_wave/optimum_insulation_wave/runs/salt4_jin_optins/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/postProcessing,eb6c47ab39c7a042954acd7491d54594,
modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__salt2_jin_hiq_balq__viscosity_screening_salt_test_2_jin_coarse_mesh,salt2,jadyn_runs/modern_runs/2026-06-19_ethan_blocker_and_1d_followon_wave/runs/salt2_jin_hiq_balq/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh/postProcessing,fd82fb0c5009529550c27993fc4cb1f5,
modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__salt2_jin_hiq_hiins__viscosity_screening_salt_test_2_jin_coarse_mesh,salt2,jadyn_runs/modern_runs/2026-06-19_ethan_blocker_and_1d_followon_wave/runs/salt2_jin_hiq_hiins/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh/postProcessing,a2f05924fa2bae4e58fa7890a81186e3,
modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__salt2_jin_loq_loins__viscosity_screening_salt_test_2_jin_coarse_mesh,salt2,jadyn_runs/modern_runs/2026-06-19_ethan_blocker_and_1d_followon_wave/runs/salt2_jin_loq_loins/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh/postProcessing,c0779e27ceb68986cd838a59012fc319,
modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__salt3_jin_hiq_hiins__viscosity_screening_salt_test_3_jin_coarse_mesh,salt3,jadyn_runs/modern_runs/2026-06-19_ethan_blocker_and_1d_followon_wave/runs/salt3_jin_hiq_hiins/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh/postProcessing,f968fefc4f8b52c71cd35728313c08ad,
modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__salt3_jin_loq_loins__viscosity_screening_salt_test_3_jin_coarse_mesh,salt3,jadyn_runs/modern_runs/2026-06-19_ethan_blocker_and_1d_followon_wave/runs/salt3_jin_loq_loins/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh/postProcessing,7302795688c30ffb7b0004198a087ddd,
modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__salt4_jin_hiq_hiins__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,salt4,jadyn_runs/modern_runs/2026-06-19_ethan_blocker_and_1d_followon_wave/runs/salt4_jin_hiq_hiins/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/postProcessing,1ca0eee57acd1b2336c40d488e62fb6b,
modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__salt4_jin_loq_loins__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,salt4,jadyn_runs/modern_runs/2026-06-19_ethan_blocker_and_1d_followon_wave/runs/salt4_jin_loq_loins/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/postProcessing,808e3a04f7a68b812e606a324d804d2d,
modern_runs__2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave__salt1_jin_basecont__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,jadyn_runs/modern_runs/2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave/runs/salt1_jin_basecont/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/postProcessing,32ba46b3431ad2439d46bdeb7e85fdb0,
modern_runs__2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave__salt1_jin_hiq_balq__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,jadyn_runs/modern_runs/2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave/runs/salt1_jin_hiq_balq/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/postProcessing,cbe71aa1e93556622950c781eb1f2a6b,
modern_runs__2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave__salt1_jin_loq_balq__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,jadyn_runs/modern_runs/2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave/runs/salt1_jin_loq_balq/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/postProcessing,cbe71aa1e93556622950c781eb1f2a6b,modern_runs__2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave__salt1_jin_hiq_balq__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation
modern_runs__2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave__salt2_jin_hi5q_balq__viscosity_screening_salt_test_2_jin_coarse_mesh,salt2,jadyn_runs/modern_runs/2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave/runs/salt2_jin_hi5q_balq/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh/postProcessing,a53e9ff0bcfe054b652aa012a9a7c5c6,
modern_runs__2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave__salt2_jin_lo5q_balq__viscosity_screening_salt_test_2_jin_coarse_mesh,salt2,jadyn_runs/modern_runs/2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave/runs/salt2_jin_lo5q_balq/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh/postProcessing,a065b3a527930bcb7235bb2ad20c2bb4,
modern_runs__2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave__salt3_jin_hi5q_balq__viscosity_screening_salt_test_3_jin_coarse_mesh,salt3,jadyn_runs/modern_runs/2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave/runs/salt3_jin_hi5q_balq/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh/postProcessing,6316328c73acd9c8bed272217cedfe97,
modern_runs__2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave__salt3_jin_lo5q_balq__viscosity_screening_salt_test_3_jin_coarse_mesh,salt3,jadyn_runs/modern_runs/2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave/runs/salt3_jin_lo5q_balq/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh/postProcessing,777118f811a150ae6b831d5fa40fe27d,
modern_runs__2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave__salt4_jin_hi5q_balq__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,salt4,jadyn_runs/modern_runs/2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave/runs/salt4_jin_hi5q_balq/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/postProcessing,2a4415ed84b2594f50bd48d0fcb614c1,
modern_runs__2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave__salt4_jin_lo5q_balq__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,salt4,jadyn_runs/modern_runs/2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave/runs/salt4_jin_lo5q_balq/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/postProcessing,7bb701f411e0beaa538a52eaa9c05698,
modern_runs__2026-07-01_insulation_truesteady__salt2_jin_hiins_loH__salt2_jin_hiins_loH,salt2,jadyn_runs/modern_runs/2026-07-01_insulation_truesteady/runs/salt2_jin_hiins_loH/case_stage/salt2_jin_hiins_loH/postProcessing,a0ac82f5220e9e0e7d6d759dca9dc959,
modern_runs__2026-07-01_insulation_truesteady__salt2_jin_loins_hiH__salt2_jin_loins_hiH,salt2,jadyn_runs/modern_runs/2026-07-01_insulation_truesteady/runs/salt2_jin_loins_hiH/case_stage/salt2_jin_loins_hiH/postProcessing,74aaf96e94789c0fe95594fd6f29836e,
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt1_jin_hi10q_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/postProcessing,ebabdabb9dfbc89525cf86b7e7f9bf56,
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt1_jin_lo10q_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/postProcessing,6f3b917d6117f4b205d18422278d02f7,
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt2_jin_hi10q_corrected__viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,salt2,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing,bac93f9c8e8517da5fc10a211237479a,
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt2_jin_hi5q_corrected__viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,salt2,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing,8110029d7896167999fc31423a1574ab,
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt2_jin_lo10q_corrected__viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,salt2,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing,ecf4166934cec9b5f3c367c020d0f3de,
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt2_jin_lo5q_corrected__viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,salt2,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing,acfd06c7d790c030dc98a4c740374477,
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt3_jin_hi10q_corrected__viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,salt3,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/postProcessing,698254eba75baebc7d86e2c2e5bddc66,
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt3_jin_hi5q_corrected__viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,salt3,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/postProcessing,89206bc131de670f25bf06deaa51b966,
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt3_jin_lo10q_corrected__viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,salt3,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/postProcessing,4f977284cf9df56bc0ecefc60b7d9788,
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt3_jin_lo5q_corrected__viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,salt3,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/postProcessing,39a0c85a6c5252b5a89b536311e8f46b,
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt4_jin_hi10q_corrected__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,salt4,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/postProcessing,c2f9c92b322711c20d4d56a22969a160,
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt4_jin_hi5q_corrected__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,salt4,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/postProcessing,e9fc11a94dbee888269d278d59211c85,
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt4_jin_lo10q_corrected__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,salt4,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/postProcessing,0f3e2b0163f259bd4aeac6bd33d3612f,
modern_runs__2026-07-04_corrected_salt_q_perturbations__salt4_jin_lo5q_corrected__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,salt4,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/postProcessing,a3ce94f242eced3806d2b4c8166f24ea,
modern_runs__2026-07-08_salt1_nominal_continuation_candidate__salt1_jin_nominal_continuation_corrected__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/postProcessing,61f30c1a03bec243e8f35d2ef43260fa,
salt1__2026-06-04_jin_continuation_candidate__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,jadyn_runs/salt1/2026-06-04_jin_continuation_candidate/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/postProcessing,2796eb19c603e95c3202834ac5c8452c,modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__optimum_insulation_wave__failed_stage_preserved__2026-06-19_job3246927_selfstage_failed_rg_missing__salt1_jin_optins__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation
salt1__2026-06-05_targeted_campaign__kirst_continuation_candidate__viscosity_screening_salt_test_1_kirst_coarse_mesh_continuation,salt1,jadyn_runs/salt1/2026-06-05_targeted_campaign/kirst_continuation_candidate/case_stage/viscosity_screening_salt_test_1_kirst_coarse_mesh_continuation/postProcessing,1321f039d5939fe8bf6862b18462450a,
salt2__2026-06-01_continuation_candidate__val_salt_test_2_coarse_mesh_laminar_continuation,salt2,jadyn_runs/salt2/2026-06-01_continuation_candidate/case_stage/val_salt_test_2_coarse_mesh_laminar_continuation/postProcessing,2f25fa4557147e2e55d578fef9631f2b,
salt4__2026-06-04_jin_continuation_candidate__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,salt4,jadyn_runs/salt4/2026-06-04_jin_continuation_candidate/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/postProcessing,eb6c47ab39c7a042954acd7491d54594,modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__optimum_insulation_wave__salt4_jin_optins__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation
