asset_family,source_id,case_label,domain_name,fit_use_status,exclusion_reason_primary
feature_keff,viscosity_screening_salt_test_4_jin_coarse_mesh,Salt 4 Jin,corner_upper_right,sensitivity_only,missing_full_path_density_integral
feature_keff,viscosity_screening_salt_test_4_jin_coarse_mesh,Salt 4 Jin,test_section_complex,sensitivity_only,missing_full_path_density_integral
feature_keff,viscosity_screening_salt_test_4_kirst_coarse_mesh,Salt 4 Kirst,corner_lower_left,excluded,nonpositive_local_feature_proxy_excess
feature_keff,viscosity_screening_salt_test_4_kirst_coarse_mesh,Salt 4 Kirst,corner_lower_right,excluded,nonpositive_local_feature_proxy_excess
feature_keff,viscosity_screening_salt_test_4_kirst_coarse_mesh,Salt 4 Kirst,corner_upper_left,excluded,nonpositive_local_feature_proxy_excess
feature_keff,viscosity_screening_salt_test_4_kirst_coarse_mesh,Salt 4 Kirst,corner_upper_right,sensitivity_only,missing_full_path_density_integral
feature_keff,viscosity_screening_salt_test_4_kirst_coarse_mesh,Salt 4 Kirst,test_section_complex,sensitivity_only,missing_full_path_density_integral
salt_nu,val_salt_test_2_coarse_mesh_laminar,Salt 2 Val,left_upper_leg,sensitivity_only,enthalpy_wall_heat_balance_loose
salt_nu,val_salt_test_2_coarse_mesh_laminar,Salt 2 Val,lower_leg,excluded,thermal_support_marginal
salt_nu,val_salt_test_2_coarse_mesh_laminar,Salt 2 Val,right_leg,excluded,right_leg_blocked_by_policy
salt_nu,val_salt_test_2_coarse_mesh_laminar,Salt 2 Val,test_section_span,sensitivity_only,enthalpy_wall_heat_balance_loose
salt_nu,val_salt_test_2_coarse_mesh_laminar,Salt 2 Val,upcomer,sensitivity_only,derived_branch_overlap_double_counting
salt_nu,val_salt_test_2_coarse_mesh_laminar,Salt 2 Val,upper_leg,excluded,thermal_small_delta_t
salt_nu,viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,left_lower_leg,sensitivity_only,enthalpy_wall_heat_balance_loose
salt_nu,viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,left_upper_leg,sensitivity_only,enthalpy_wall_heat_balance_loose
salt_nu,viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,lower_leg,excluded,thermal_low_usable_fraction
salt_nu,viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,right_leg,excluded,right_leg_blocked_by_policy
salt_nu,viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,test_section_span,sensitivity_only,enthalpy_wall_heat_balance_loose
salt_nu,viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,upcomer,sensitivity_only,derived_branch_overlap_double_counting
salt_nu,viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,upper_leg,excluded,thermal_support_marginal
salt_nu,viscosity_screening_salt_test_1_kirst_coarse_mesh,Salt 1 Kirst,left_lower_leg,sensitivity_only,enthalpy_wall_heat_balance_loose
salt_nu,viscosity_screening_salt_test_1_kirst_coarse_mesh,Salt 1 Kirst,left_upper_leg,sensitivity_only,enthalpy_wall_heat_balance_loose
salt_nu,viscosity_screening_salt_test_1_kirst_coarse_mesh,Salt 1 Kirst,lower_leg,excluded,thermal_low_usable_fraction
salt_nu,viscosity_screening_salt_test_1_kirst_coarse_mesh,Salt 1 Kirst,right_leg,excluded,right_leg_blocked_by_policy
salt_nu,viscosity_screening_salt_test_1_kirst_coarse_mesh,Salt 1 Kirst,test_section_span,sensitivity_only,enthalpy_wall_heat_balance_loose
salt_nu,viscosity_screening_salt_test_1_kirst_coarse_mesh,Salt 1 Kirst,upcomer,sensitivity_only,derived_branch_overlap_double_counting
salt_nu,viscosity_screening_salt_test_1_kirst_coarse_mesh,Salt 1 Kirst,upper_leg,excluded,thermal_support_marginal
salt_nu,viscosity_screening_salt_test_2_jin_coarse_mesh,Salt 2 Jin,left_upper_leg,sensitivity_only,enthalpy_wall_heat_balance_loose
salt_nu,viscosity_screening_salt_test_2_jin_coarse_mesh,Salt 2 Jin,lower_leg,excluded,thermal_support_marginal
salt_nu,viscosity_screening_salt_test_2_jin_coarse_mesh,Salt 2 Jin,right_leg,excluded,right_leg_blocked_by_policy
salt_nu,viscosity_screening_salt_test_2_jin_coarse_mesh,Salt 2 Jin,test_section_span,sensitivity_only,enthalpy_wall_heat_balance_loose
salt_nu,viscosity_screening_salt_test_2_jin_coarse_mesh,Salt 2 Jin,upcomer,sensitivity_only,derived_branch_overlap_double_counting
salt_nu,viscosity_screening_salt_test_2_jin_coarse_mesh,Salt 2 Jin,upper_leg,excluded,thermal_support_marginal
salt_nu,viscosity_screening_salt_test_2_kirst_coarse_mesh,Salt 2 Kirst,left_upper_leg,sensitivity_only,enthalpy_wall_heat_balance_loose
salt_nu,viscosity_screening_salt_test_2_kirst_coarse_mesh,Salt 2 Kirst,lower_leg,excluded,thermal_support_marginal
salt_nu,viscosity_screening_salt_test_2_kirst_coarse_mesh,Salt 2 Kirst,right_leg,excluded,right_leg_blocked_by_policy
salt_nu,viscosity_screening_salt_test_2_kirst_coarse_mesh,Salt 2 Kirst,test_section_span,sensitivity_only,enthalpy_wall_heat_balance_loose
salt_nu,viscosity_screening_salt_test_2_kirst_coarse_mesh,Salt 2 Kirst,upcomer,sensitivity_only,derived_branch_overlap_double_counting
salt_nu,viscosity_screening_salt_test_2_kirst_coarse_mesh,Salt 2 Kirst,upper_leg,excluded,thermal_support_marginal
salt_nu,viscosity_screening_salt_test_3_jin_coarse_mesh,Salt 3 Jin,left_upper_leg,sensitivity_only,enthalpy_wall_heat_balance_loose
salt_nu,viscosity_screening_salt_test_3_jin_coarse_mesh,Salt 3 Jin,lower_leg,excluded,thermal_support_marginal
salt_nu,viscosity_screening_salt_test_3_jin_coarse_mesh,Salt 3 Jin,right_leg,excluded,right_leg_blocked_by_policy
salt_nu,viscosity_screening_salt_test_3_jin_coarse_mesh,Salt 3 Jin,test_section_span,sensitivity_only,enthalpy_wall_heat_balance_loose
salt_nu,viscosity_screening_salt_test_3_jin_coarse_mesh,Salt 3 Jin,upcomer,sensitivity_only,derived_branch_overlap_double_counting
salt_nu,viscosity_screening_salt_test_3_jin_coarse_mesh,Salt 3 Jin,upper_leg,excluded,thermal_support_marginal
salt_nu,viscosity_screening_salt_test_3_kirst_coarse_mesh,Salt 3 Kirst,left_upper_leg,sensitivity_only,enthalpy_wall_heat_balance_loose
salt_nu,viscosity_screening_salt_test_3_kirst_coarse_mesh,Salt 3 Kirst,lower_leg,excluded,thermal_support_marginal
salt_nu,viscosity_screening_salt_test_3_kirst_coarse_mesh,Salt 3 Kirst,right_leg,excluded,right_leg_blocked_by_policy
salt_nu,viscosity_screening_salt_test_3_kirst_coarse_mesh,Salt 3 Kirst,test_section_span,sensitivity_only,enthalpy_wall_heat_balance_loose
salt_nu,viscosity_screening_salt_test_3_kirst_coarse_mesh,Salt 3 Kirst,upcomer,sensitivity_only,derived_branch_overlap_double_counting
salt_nu,viscosity_screening_salt_test_3_kirst_coarse_mesh,Salt 3 Kirst,upper_leg,excluded,thermal_support_marginal
salt_nu,viscosity_screening_salt_test_4_jin_coarse_mesh,Salt 4 Jin,left_upper_leg,sensitivity_only,enthalpy_wall_heat_balance_loose
salt_nu,viscosity_screening_salt_test_4_jin_coarse_mesh,Salt 4 Jin,lower_leg,excluded,thermal_support_marginal
salt_nu,viscosity_screening_salt_test_4_jin_coarse_mesh,Salt 4 Jin,right_leg,excluded,right_leg_blocked_by_policy
salt_nu,viscosity_screening_salt_test_4_jin_coarse_mesh,Salt 4 Jin,test_section_span,sensitivity_only,enthalpy_wall_heat_balance_loose
salt_nu,viscosity_screening_salt_test_4_jin_coarse_mesh,Salt 4 Jin,upcomer,sensitivity_only,derived_branch_overlap_double_counting
salt_nu,viscosity_screening_salt_test_4_jin_coarse_mesh,Salt 4 Jin,upper_leg,excluded,thermal_small_delta_t
salt_nu,viscosity_screening_salt_test_4_kirst_coarse_mesh,Salt 4 Kirst,left_upper_leg,sensitivity_only,enthalpy_wall_heat_balance_loose
salt_nu,viscosity_screening_salt_test_4_kirst_coarse_mesh,Salt 4 Kirst,lower_leg,excluded,thermal_support_marginal
salt_nu,viscosity_screening_salt_test_4_kirst_coarse_mesh,Salt 4 Kirst,right_leg,excluded,right_leg_blocked_by_policy
salt_nu,viscosity_screening_salt_test_4_kirst_coarse_mesh,Salt 4 Kirst,test_section_span,sensitivity_only,enthalpy_wall_heat_balance_loose
salt_nu,viscosity_screening_salt_test_4_kirst_coarse_mesh,Salt 4 Kirst,upcomer,sensitivity_only,derived_branch_overlap_double_counting
salt_nu,viscosity_screening_salt_test_4_kirst_coarse_mesh,Salt 4 Kirst,upper_leg,excluded,thermal_support_marginal
