uq_row_id,source_family,case_key,qoi_name,blocking_status,neighboring_window_status,mesh_or_gci_status,next_action,source_paths
SQ-UQ-F6P-005,f6_endpoint_pair_same_qoi_uq_preflight,salt4_mainline,right_leg::right_leg__s03->right_leg__s01::p_upstream_minus_p_downstream,blocked_pending_sampler_output_neighbor_window_and_GCI,blocked_missing_neighbor_window,blocked_missing_same_qoi_mesh_GCI,"run raw endpoint face sampler on same labels/formula/sign, then repeat time-window and mesh UQ before F6 use",work_products/2026-07/2026-07-20/2026-07-20_f6_endpoint_pair_same_qoi_uq_preflight/endpoint_pair_selection.csv
SQ-UQ-F6P-006,f6_endpoint_pair_same_qoi_uq_preflight,salt4_mainline,test_section_span::test_section_span__s03->test_section_span__s01::p_upstream_minus_p_downstream,blocked_pending_sampler_output_neighbor_window_and_GCI,blocked_missing_neighbor_window,blocked_missing_same_qoi_mesh_GCI,"run raw endpoint face sampler on same labels/formula/sign, then repeat time-window and mesh UQ before F6 use",work_products/2026-07/2026-07-20/2026-07-20_f6_endpoint_pair_same_qoi_uq_preflight/endpoint_pair_selection.csv
SQ-UQ-F6F-001,f6_endpoint_face_uq_execution,salt2_mainline,coarse::right_leg::right_leg__s03->right_leg__s01::upstream::right_leg__s03,blocked_pending_sampler_output,blocked_missing_neighbor_window,blocked_missing_same_qoi_mesh_GCI,"complete face sampler outputs across retained and neighboring windows before any pressure delta, K, or F6 admission",jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-20/2026-07-20_f6_endpoint_face_uq_execution/endpoint_face_sampling_matrix.csv
SQ-UQ-F6F-002,f6_endpoint_face_uq_execution,salt2_mainline,coarse::right_leg::right_leg__s03->right_leg__s01::downstream::right_leg__s01,blocked_pending_sampler_output,blocked_missing_neighbor_window,blocked_missing_same_qoi_mesh_GCI,"complete face sampler outputs across retained and neighboring windows before any pressure delta, K, or F6 admission",jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-20/2026-07-20_f6_endpoint_face_uq_execution/endpoint_face_sampling_matrix.csv
SQ-UQ-F6F-003,f6_endpoint_face_uq_execution,salt2_mainline,coarse::test_section_span::test_section_span__s03->test_section_span__s01::upstream::test_section_span__s03,blocked_pending_sampler_output,blocked_missing_neighbor_window,blocked_missing_same_qoi_mesh_GCI,"complete face sampler outputs across retained and neighboring windows before any pressure delta, K, or F6 admission",jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-20/2026-07-20_f6_endpoint_face_uq_execution/endpoint_face_sampling_matrix.csv
SQ-UQ-F6F-004,f6_endpoint_face_uq_execution,salt2_mainline,coarse::test_section_span::test_section_span__s03->test_section_span__s01::downstream::test_section_span__s01,blocked_pending_sampler_output,blocked_missing_neighbor_window,blocked_missing_same_qoi_mesh_GCI,"complete face sampler outputs across retained and neighboring windows before any pressure delta, K, or F6 admission",jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-20/2026-07-20_f6_endpoint_face_uq_execution/endpoint_face_sampling_matrix.csv
SQ-UQ-F6F-005,f6_endpoint_face_uq_execution,salt3_mainline,coarse::right_leg::right_leg__s03->right_leg__s01::upstream::right_leg__s03,blocked_pending_sampler_output,blocked_missing_neighbor_window,blocked_missing_same_qoi_mesh_GCI,"complete face sampler outputs across retained and neighboring windows before any pressure delta, K, or F6 admission",jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-20/2026-07-20_f6_endpoint_face_uq_execution/endpoint_face_sampling_matrix.csv
SQ-UQ-F6F-006,f6_endpoint_face_uq_execution,salt3_mainline,coarse::right_leg::right_leg__s03->right_leg__s01::downstream::right_leg__s01,blocked_pending_sampler_output,blocked_missing_neighbor_window,blocked_missing_same_qoi_mesh_GCI,"complete face sampler outputs across retained and neighboring windows before any pressure delta, K, or F6 admission",jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-20/2026-07-20_f6_endpoint_face_uq_execution/endpoint_face_sampling_matrix.csv
SQ-UQ-F6F-007,f6_endpoint_face_uq_execution,salt3_mainline,coarse::test_section_span::test_section_span__s03->test_section_span__s01::upstream::test_section_span__s03,blocked_pending_sampler_output,blocked_missing_neighbor_window,blocked_missing_same_qoi_mesh_GCI,"complete face sampler outputs across retained and neighboring windows before any pressure delta, K, or F6 admission",jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-20/2026-07-20_f6_endpoint_face_uq_execution/endpoint_face_sampling_matrix.csv
SQ-UQ-F6F-008,f6_endpoint_face_uq_execution,salt3_mainline,coarse::test_section_span::test_section_span__s03->test_section_span__s01::downstream::test_section_span__s01,blocked_pending_sampler_output,blocked_missing_neighbor_window,blocked_missing_same_qoi_mesh_GCI,"complete face sampler outputs across retained and neighboring windows before any pressure delta, K, or F6 admission",jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-20/2026-07-20_f6_endpoint_face_uq_execution/endpoint_face_sampling_matrix.csv
SQ-UQ-F6F-009,f6_endpoint_face_uq_execution,salt4_mainline,coarse::right_leg::right_leg__s03->right_leg__s01::upstream::right_leg__s03,blocked_pending_sampler_output,blocked_missing_neighbor_window,blocked_missing_same_qoi_mesh_GCI,"complete face sampler outputs across retained and neighboring windows before any pressure delta, K, or F6 admission",jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-20/2026-07-20_f6_endpoint_face_uq_execution/endpoint_face_sampling_matrix.csv
SQ-UQ-F6F-010,f6_endpoint_face_uq_execution,salt4_mainline,coarse::right_leg::right_leg__s03->right_leg__s01::downstream::right_leg__s01,blocked_pending_sampler_output,blocked_missing_neighbor_window,blocked_missing_same_qoi_mesh_GCI,"complete face sampler outputs across retained and neighboring windows before any pressure delta, K, or F6 admission",jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-20/2026-07-20_f6_endpoint_face_uq_execution/endpoint_face_sampling_matrix.csv
SQ-UQ-F6F-011,f6_endpoint_face_uq_execution,salt4_mainline,coarse::test_section_span::test_section_span__s03->test_section_span__s01::upstream::test_section_span__s03,blocked_pending_sampler_output,blocked_missing_neighbor_window,blocked_missing_same_qoi_mesh_GCI,"complete face sampler outputs across retained and neighboring windows before any pressure delta, K, or F6 admission",jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-20/2026-07-20_f6_endpoint_face_uq_execution/endpoint_face_sampling_matrix.csv
SQ-UQ-F6F-012,f6_endpoint_face_uq_execution,salt4_mainline,coarse::test_section_span::test_section_span__s03->test_section_span__s01::downstream::test_section_span__s01,blocked_pending_sampler_output,blocked_missing_neighbor_window,blocked_missing_same_qoi_mesh_GCI,"complete face sampler outputs across retained and neighboring windows before any pressure delta, K, or F6 admission",jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-20/2026-07-20_f6_endpoint_face_uq_execution/endpoint_face_sampling_matrix.csv
SQ-UQ-F6F-013,f6_endpoint_face_uq_execution,salt2_mainline,medium::right_leg::right_leg__s03->right_leg__s01::upstream::right_leg__s03,blocked_pending_sampler_output,blocked_missing_neighbor_window,diagnostic_mesh_spread_possible_after_raw_sampler,"complete face sampler outputs across retained and neighboring windows before any pressure delta, K, or F6 admission",/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/medium/viscosity_screening_salt_test_2_jin_medium_mesh;work_products/2026-07/2026-07-20/2026-07-20_f6_endpoint_face_uq_execution/endpoint_face_sampling_matrix.csv
SQ-UQ-F6F-014,f6_endpoint_face_uq_execution,salt2_mainline,medium::right_leg::right_leg__s03->right_leg__s01::downstream::right_leg__s01,blocked_pending_sampler_output,blocked_missing_neighbor_window,diagnostic_mesh_spread_possible_after_raw_sampler,"complete face sampler outputs across retained and neighboring windows before any pressure delta, K, or F6 admission",/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/medium/viscosity_screening_salt_test_2_jin_medium_mesh;work_products/2026-07/2026-07-20/2026-07-20_f6_endpoint_face_uq_execution/endpoint_face_sampling_matrix.csv
SQ-UQ-F6F-015,f6_endpoint_face_uq_execution,salt2_mainline,medium::test_section_span::test_section_span__s03->test_section_span__s01::upstream::test_section_span__s03,blocked_pending_sampler_output,blocked_missing_neighbor_window,diagnostic_mesh_spread_possible_after_raw_sampler,"complete face sampler outputs across retained and neighboring windows before any pressure delta, K, or F6 admission",/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/medium/viscosity_screening_salt_test_2_jin_medium_mesh;work_products/2026-07/2026-07-20/2026-07-20_f6_endpoint_face_uq_execution/endpoint_face_sampling_matrix.csv
SQ-UQ-F6F-016,f6_endpoint_face_uq_execution,salt2_mainline,medium::test_section_span::test_section_span__s03->test_section_span__s01::downstream::test_section_span__s01,blocked_pending_sampler_output,blocked_missing_neighbor_window,diagnostic_mesh_spread_possible_after_raw_sampler,"complete face sampler outputs across retained and neighboring windows before any pressure delta, K, or F6 admission",/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/medium/viscosity_screening_salt_test_2_jin_medium_mesh;work_products/2026-07/2026-07-20/2026-07-20_f6_endpoint_face_uq_execution/endpoint_face_sampling_matrix.csv
SQ-UQ-F6F-017,f6_endpoint_face_uq_execution,salt2_mainline,fine::right_leg::right_leg__s03->right_leg__s01::upstream::right_leg__s03,blocked_pending_sampler_output,blocked_missing_neighbor_window,diagnostic_mesh_spread_possible_after_raw_sampler,"complete face sampler outputs across retained and neighboring windows before any pressure delta, K, or F6 admission",/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/fine/viscosity_screening_salt_test_2_jin_fine_mesh;work_products/2026-07/2026-07-20/2026-07-20_f6_endpoint_face_uq_execution/endpoint_face_sampling_matrix.csv
SQ-UQ-F6F-018,f6_endpoint_face_uq_execution,salt2_mainline,fine::right_leg::right_leg__s03->right_leg__s01::downstream::right_leg__s01,blocked_pending_sampler_output,blocked_missing_neighbor_window,diagnostic_mesh_spread_possible_after_raw_sampler,"complete face sampler outputs across retained and neighboring windows before any pressure delta, K, or F6 admission",/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/fine/viscosity_screening_salt_test_2_jin_fine_mesh;work_products/2026-07/2026-07-20/2026-07-20_f6_endpoint_face_uq_execution/endpoint_face_sampling_matrix.csv
SQ-UQ-F6F-019,f6_endpoint_face_uq_execution,salt2_mainline,fine::test_section_span::test_section_span__s03->test_section_span__s01::upstream::test_section_span__s03,blocked_pending_sampler_output,blocked_missing_neighbor_window,diagnostic_mesh_spread_possible_after_raw_sampler,"complete face sampler outputs across retained and neighboring windows before any pressure delta, K, or F6 admission",/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/fine/viscosity_screening_salt_test_2_jin_fine_mesh;work_products/2026-07/2026-07-20/2026-07-20_f6_endpoint_face_uq_execution/endpoint_face_sampling_matrix.csv
SQ-UQ-F6F-020,f6_endpoint_face_uq_execution,salt2_mainline,fine::test_section_span::test_section_span__s03->test_section_span__s01::downstream::test_section_span__s01,blocked_pending_sampler_output,blocked_missing_neighbor_window,diagnostic_mesh_spread_possible_after_raw_sampler,"complete face sampler outputs across retained and neighboring windows before any pressure delta, K, or F6 admission",/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/fine/viscosity_screening_salt_test_2_jin_fine_mesh;work_products/2026-07/2026-07-20/2026-07-20_f6_endpoint_face_uq_execution/endpoint_face_sampling_matrix.csv
SQ-UQ-PM10-001,pm10_upcomer_same_qoi_uq_preflight,salt2_lo10q,pm10_pressure_partial_residual_v1,same_qoi_uq_blocked,missing_no_same_qoi_neighbor_windows,missing_no_same_qoi_mesh_family,wait for terminal same-QOI mesh family and neighboring retained windows; do not fit or select model from PM10 rows now,tmp/2026-07-20_pressure_upcomer_matched_plane_relaunch_package/recon/salt2_lo10q/postProcessing/upcomerMatchedPlaneSurfaces/12382/plane_upcomer_inlet.vtk;jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-14/2026-07-14_corrected_q_terminal_admission_gate/corrected_q_terminal_gate_rows.csv;/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-20/2026-07-20_salt_pm10_terminal_admission_classification/pm10_terminal_drift.csv;/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-14/2026-07-14_upcomer_internal_nu_extraction_contract/upcomer_extraction_contract.csv;tmp/2026-07-20_pressure_upcomer_matched_plane_relaunch_package/recon/salt2_lo10q/postProcessing/upcomerMatchedPlaneSurfaces/12382/plane_upcomer_mid.vtk;tmp/2026-07-20_pressure_upcomer_matched_plane_relaunch_package/recon/salt2_lo10q/postProcessing/upcomerMatchedPlaneSurfaces/12382/plane_upcomer_outlet.vtk;work_products/2026-07/2026-07-20/2026-07-20_salt_pm10_terminal_admission_classification/pm10_terminal_drift.csv;work_products/2026-07/2026-07-20/2026-07-20_pm10_same_qoi_uq_preflight/pm10_uq_gate.csv;work_products/2026-07/2026-07-20/2026-07-20_pm10_same_qoi_uq_preflight/pm10_same_qoi_time_uq_status.csv
SQ-UQ-PM10-002,pm10_upcomer_same_qoi_uq_preflight,salt2_hi10q,pm10_pressure_partial_residual_v1,same_qoi_uq_blocked,missing_no_same_qoi_neighbor_windows,missing_no_same_qoi_mesh_family,wait for terminal same-QOI mesh family and neighboring retained windows; do not fit or select model from PM10 rows now,tmp/2026-07-20_pressure_upcomer_matched_plane_relaunch_package/recon/salt2_hi10q/postProcessing/upcomerMatchedPlaneSurfaces/11668/plane_upcomer_inlet.vtk;jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-14/2026-07-14_corrected_q_terminal_admission_gate/corrected_q_terminal_gate_rows.csv;/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-20/2026-07-20_salt_pm10_terminal_admission_classification/pm10_terminal_drift.csv;/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-14/2026-07-14_upcomer_internal_nu_extraction_contract/upcomer_extraction_contract.csv;tmp/2026-07-20_pressure_upcomer_matched_plane_relaunch_package/recon/salt2_hi10q/postProcessing/upcomerMatchedPlaneSurfaces/11668/plane_upcomer_mid.vtk;tmp/2026-07-20_pressure_upcomer_matched_plane_relaunch_package/recon/salt2_hi10q/postProcessing/upcomerMatchedPlaneSurfaces/11668/plane_upcomer_outlet.vtk;work_products/2026-07/2026-07-20/2026-07-20_salt_pm10_terminal_admission_classification/pm10_terminal_drift.csv;work_products/2026-07/2026-07-20/2026-07-20_pm10_same_qoi_uq_preflight/pm10_uq_gate.csv;work_products/2026-07/2026-07-20/2026-07-20_pm10_same_qoi_uq_preflight/pm10_same_qoi_time_uq_status.csv
SQ-UQ-PM10-003,pm10_upcomer_same_qoi_uq_preflight,salt4_lo10q,pm10_pressure_partial_residual_v1,same_qoi_uq_blocked,missing_no_same_qoi_neighbor_windows,missing_no_same_qoi_mesh_family,wait for terminal same-QOI mesh family and neighboring retained windows; do not fit or select model from PM10 rows now,tmp/2026-07-20_pressure_upcomer_matched_plane_relaunch_package/recon/salt4_lo10q/postProcessing/upcomerMatchedPlaneSurfaces/13421/plane_upcomer_inlet.vtk;jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-14/2026-07-14_corrected_q_terminal_admission_gate/corrected_q_terminal_gate_rows.csv;/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-20/2026-07-20_salt_pm10_terminal_admission_classification/pm10_terminal_drift.csv;/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-14/2026-07-14_upcomer_internal_nu_extraction_contract/upcomer_extraction_contract.csv;tmp/2026-07-20_pressure_upcomer_matched_plane_relaunch_package/recon/salt4_lo10q/postProcessing/upcomerMatchedPlaneSurfaces/13421/plane_upcomer_mid.vtk;tmp/2026-07-20_pressure_upcomer_matched_plane_relaunch_package/recon/salt4_lo10q/postProcessing/upcomerMatchedPlaneSurfaces/13421/plane_upcomer_outlet.vtk;work_products/2026-07/2026-07-20/2026-07-20_salt_pm10_terminal_admission_classification/pm10_terminal_drift.csv;work_products/2026-07/2026-07-20/2026-07-20_pm10_same_qoi_uq_preflight/pm10_uq_gate.csv;work_products/2026-07/2026-07-20/2026-07-20_pm10_same_qoi_uq_preflight/pm10_same_qoi_time_uq_status.csv
