evidence_id,case_key,split_role,span,canonical_lane,Re,Ri,reverse_area_fraction,reverse_mass_fraction,backflow_fraction,regime_class,single_stream_fit_allowed,allowed_use,blocked_labels,source_kind,source_path
f6_pm5:salt4_hi5q:test_section_span,salt4_hi5q,training,test_section_span,recirculating_upcomer_effective,180.5527051,28.86760099,0.3778960681,0.4999891842,,recirculating_upcomer_effective,no,regime_diagnostic_and_hybrid_model_evidence,Nu; f_D; component_K,pm5_f6_matched_plane,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
f6_pm5:salt4_hi5q:left_upper_leg,salt4_hi5q,training,left_upper_leg,recirculating_upcomer_effective,172.3447967,91.3338926,0.7762644,0.5001364439,,recirculating_upcomer_effective,no,regime_diagnostic_and_hybrid_model_evidence,Nu; f_D; component_K,pm5_f6_matched_plane,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
mainline_onset:salt_2_jin,salt_2_jin,mainline_onset,upcomer,recirculating_upcomer_effective,71.12521667906103,2.6337849550000003,,,0.2777777777777778,recirculation_cell_observed,no,regime_diagnostic_and_hybrid_model_evidence,Nu; f_D; component_K,mainline_onset,work_products/2026-07/2026-07-14/2026-07-14_upcomer_onset_blocker_resolution/upcomer_onset_evidence_status.csv
mainline_onset:salt_3_jin,salt_3_jin,mainline_onset,upcomer,recirculating_upcomer_effective,96.7702467137881,2.39573092,,,0.21875,recirculation_cell_observed,no,regime_diagnostic_and_hybrid_model_evidence,Nu; f_D; component_K,mainline_onset,work_products/2026-07/2026-07-14/2026-07-14_upcomer_onset_blocker_resolution/upcomer_onset_evidence_status.csv
mainline_onset:salt_4_jin,salt_4_jin,mainline_onset,upcomer,recirculating_upcomer_effective,134.88326391686644,1.4979865399999999,,,0.171875,recirculation_cell_observed,no,regime_diagnostic_and_hybrid_model_evidence,Nu; f_D; component_K,mainline_onset,work_products/2026-07/2026-07-14/2026-07-14_upcomer_onset_blocker_resolution/upcomer_onset_evidence_status.csv
hybrid_lane:salt2_lo5q:upcomer_inlet:left_lower_leg,salt2_lo5q,hybrid_lane_support,upcomer_inlet,recirculating_upcomer_effective,,,0.6177451405,0.5000044571,,recirculating_upcomer_effective,no,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,Nu; f_D; component_K,hybrid_lane_policy,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
hybrid_lane:salt2_lo5q:upcomer_mid:test_section_span,salt2_lo5q,hybrid_lane_support,upcomer_mid,recirculating_upcomer_effective,,,0.3692928784,0.5000060995,,recirculating_upcomer_effective,no,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,Nu; f_D; component_K,hybrid_lane_policy,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
hybrid_lane:salt2_lo5q:upcomer_outlet:left_upper_leg,salt2_lo5q,hybrid_lane_support,upcomer_outlet,recirculating_upcomer_effective,,,0.7901396438,0.5000621677,,recirculating_upcomer_effective,no,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,Nu; f_D; component_K,hybrid_lane_policy,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
hybrid_lane:salt2_hi5q:upcomer_inlet:left_lower_leg,salt2_hi5q,hybrid_lane_support,upcomer_inlet,recirculating_upcomer_effective,,,0.6096763649,0.4999936722,,recirculating_upcomer_effective,no,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,Nu; f_D; component_K,hybrid_lane_policy,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
hybrid_lane:salt2_hi5q:upcomer_mid:test_section_span,salt2_hi5q,hybrid_lane_support,upcomer_mid,recirculating_upcomer_effective,,,0.3748113482,0.4999916556,,recirculating_upcomer_effective,no,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,Nu; f_D; component_K,hybrid_lane_policy,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
hybrid_lane:salt2_hi5q:upcomer_outlet:left_upper_leg,salt2_hi5q,hybrid_lane_support,upcomer_outlet,recirculating_upcomer_effective,,,0.785845516,0.5000672828,,recirculating_upcomer_effective,no,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,Nu; f_D; component_K,hybrid_lane_policy,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
hybrid_lane:salt4_lo5q:upcomer_inlet:left_lower_leg,salt4_lo5q,hybrid_lane_support,upcomer_inlet,recirculating_upcomer_effective,,,0.5466041262,0.5000026995,,recirculating_upcomer_effective,no,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,Nu; f_D; component_K,hybrid_lane_policy,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
hybrid_lane:salt4_lo5q:upcomer_mid:test_section_span,salt4_lo5q,hybrid_lane_support,upcomer_mid,recirculating_upcomer_effective,,,0.3764033442,0.4999969289,,recirculating_upcomer_effective,no,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,Nu; f_D; component_K,hybrid_lane_policy,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
hybrid_lane:salt4_lo5q:upcomer_outlet:left_upper_leg,salt4_lo5q,hybrid_lane_support,upcomer_outlet,recirculating_upcomer_effective,,,0.7765350946,0.5000757768,,recirculating_upcomer_effective,no,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,Nu; f_D; component_K,hybrid_lane_policy,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
hybrid_lane:salt4_hi5q:upcomer_inlet:left_lower_leg,salt4_hi5q,hybrid_lane_support,upcomer_inlet,recirculating_upcomer_effective,,,0.5228637749,0.4999749795,,recirculating_upcomer_effective,no,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,Nu; f_D; component_K,hybrid_lane_policy,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
hybrid_lane:salt4_hi5q:upcomer_mid:test_section_span,salt4_hi5q,hybrid_lane_support,upcomer_mid,recirculating_upcomer_effective,,,0.3778960681,0.4999891842,,recirculating_upcomer_effective,no,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,Nu; f_D; component_K,hybrid_lane_policy,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
hybrid_lane:salt4_hi5q:upcomer_outlet:left_upper_leg,salt4_hi5q,hybrid_lane_support,upcomer_outlet,recirculating_upcomer_effective,,,0.7762644,0.5001364439,,recirculating_upcomer_effective,no,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,Nu; f_D; component_K,hybrid_lane_policy,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
hybrid_lane:salt_2:left_lower_leg__s00->left_upper_leg__s04,salt2_mainline,hybrid_lane_support,test_section_complex,recirculating_upcomer_effective,,,0.837962963,,,recirculating_upcomer_effective,no,K_section_effective_recirculating_diagnostic; apparent_pressure_gradient_section_effective_diagnostic,Nu; f_D; component_K,hybrid_lane_policy,work_products/2026-07/2026-07-15/2026-07-15_lead_closure_qoi_hydraulic_postprocess/raw_two_tap_test_section_complex.csv
hybrid_lane:salt_3:left_lower_leg__s00->left_upper_leg__s04,salt3_mainline,hybrid_lane_support,test_section_complex,recirculating_upcomer_effective,,,0.8302469136,,,recirculating_upcomer_effective,no,K_section_effective_recirculating_diagnostic; apparent_pressure_gradient_section_effective_diagnostic,Nu; f_D; component_K,hybrid_lane_policy,work_products/2026-07/2026-07-15/2026-07-15_lead_closure_qoi_hydraulic_postprocess/raw_two_tap_test_section_complex.csv
hybrid_lane:salt_4:left_lower_leg__s00->left_upper_leg__s04,salt4_mainline,hybrid_lane_support,test_section_complex,recirculating_upcomer_effective,,,0.8287037037,,,recirculating_upcomer_effective,no,K_section_effective_recirculating_diagnostic; apparent_pressure_gradient_section_effective_diagnostic,Nu; f_D; component_K,hybrid_lane_policy,work_products/2026-07/2026-07-15/2026-07-15_lead_closure_qoi_hydraulic_postprocess/raw_two_tap_test_section_complex.csv
hybrid_lane:salt2_lo5q:upcomer_inlet:left_lower_leg,salt2_lo5q,hybrid_lane_support,left_lower_leg,recirculating_upcomer_effective,,,0.6177451405,0.5000044571,,recirculating_upcomer_effective,no,Nu_section_effective_upcomer_diagnostic,Nu; f_D; component_K,hybrid_lane_policy,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
hybrid_lane:salt2_lo5q:upcomer_mid:test_section_span,salt2_lo5q,hybrid_lane_support,test_section_span,recirculating_upcomer_effective,,,0.3692928784,0.5000060995,,recirculating_upcomer_effective,no,Nu_section_effective_upcomer_diagnostic,Nu; f_D; component_K,hybrid_lane_policy,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
hybrid_lane:salt2_lo5q:upcomer_outlet:left_upper_leg,salt2_lo5q,hybrid_lane_support,left_upper_leg,recirculating_upcomer_effective,,,0.7901396438,0.5000621677,,recirculating_upcomer_effective,no,Nu_section_effective_upcomer_diagnostic,Nu; f_D; component_K,hybrid_lane_policy,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
hybrid_lane:salt2_hi5q:upcomer_inlet:left_lower_leg,salt2_hi5q,hybrid_lane_support,left_lower_leg,recirculating_upcomer_effective,,,0.6096763649,0.4999936722,,recirculating_upcomer_effective,no,Nu_section_effective_upcomer_diagnostic,Nu; f_D; component_K,hybrid_lane_policy,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
hybrid_lane:salt2_hi5q:upcomer_mid:test_section_span,salt2_hi5q,hybrid_lane_support,test_section_span,recirculating_upcomer_effective,,,0.3748113482,0.4999916556,,recirculating_upcomer_effective,no,Nu_section_effective_upcomer_diagnostic,Nu; f_D; component_K,hybrid_lane_policy,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
hybrid_lane:salt2_hi5q:upcomer_outlet:left_upper_leg,salt2_hi5q,hybrid_lane_support,left_upper_leg,recirculating_upcomer_effective,,,0.785845516,0.5000672828,,recirculating_upcomer_effective,no,Nu_section_effective_upcomer_diagnostic,Nu; f_D; component_K,hybrid_lane_policy,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
hybrid_lane:salt4_lo5q:upcomer_inlet:left_lower_leg,salt4_lo5q,hybrid_lane_support,left_lower_leg,recirculating_upcomer_effective,,,0.5466041262,0.5000026995,,recirculating_upcomer_effective,no,Nu_section_effective_upcomer_diagnostic,Nu; f_D; component_K,hybrid_lane_policy,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
hybrid_lane:salt4_lo5q:upcomer_mid:test_section_span,salt4_lo5q,hybrid_lane_support,test_section_span,recirculating_upcomer_effective,,,0.3764033442,0.4999969289,,recirculating_upcomer_effective,no,Nu_section_effective_upcomer_diagnostic,Nu; f_D; component_K,hybrid_lane_policy,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
hybrid_lane:salt4_lo5q:upcomer_outlet:left_upper_leg,salt4_lo5q,hybrid_lane_support,left_upper_leg,recirculating_upcomer_effective,,,0.7765350946,0.5000757768,,recirculating_upcomer_effective,no,Nu_section_effective_upcomer_diagnostic,Nu; f_D; component_K,hybrid_lane_policy,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
hybrid_lane:salt4_hi5q:upcomer_inlet:left_lower_leg,salt4_hi5q,hybrid_lane_support,left_lower_leg,recirculating_upcomer_effective,,,0.5228637749,0.4999749795,,recirculating_upcomer_effective,no,Nu_section_effective_upcomer_diagnostic,Nu; f_D; component_K,hybrid_lane_policy,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
hybrid_lane:salt4_hi5q:upcomer_mid:test_section_span,salt4_hi5q,hybrid_lane_support,test_section_span,recirculating_upcomer_effective,,,0.3778960681,0.4999891842,,recirculating_upcomer_effective,no,Nu_section_effective_upcomer_diagnostic,Nu; f_D; component_K,hybrid_lane_policy,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
hybrid_lane:salt4_hi5q:upcomer_outlet:left_upper_leg,salt4_hi5q,hybrid_lane_support,left_upper_leg,recirculating_upcomer_effective,,,0.7762644,0.5001364439,,recirculating_upcomer_effective,no,Nu_section_effective_upcomer_diagnostic,Nu; f_D; component_K,hybrid_lane_policy,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
