source_id,salt,fluid,case_family,span,pressure_method,closure_fit_admissible,data_quality,quality_flags,friction_available,reynolds_number,apparent_darcy_f,laminar_ref_darcy_f_64_over_Re,excess_loss_factor_fapp_over_flam,dp_loss_ds_pa_per_m,dp_signed_ds_pa_per_m,hydraulic_diameter_m,segment_temperature_k,mu_pa_s_used,flow_alignment_min,thermal_available,htc_wm2k,uaprime_wmk,nu,pr_effective,wall_duty_Q_w,qprime_wall_wm,thermal_status,thermal_note,recirculation_available,backflow_area_fraction,recirculation_intensity,ri_section_median,ri_streamwise_median,ra_section_median,re_section_median,recirculation_status,model_cfd_dp_pa,model_dP_pa,model_pct_err,model_f_over_flam,run_job_id,run_job_state,run_case_label,run_family,run_case_verdict,run_operating_point_verdict,run_recommendation,source_files
viscosity_screening_salt_test_2_jin_coarse_mesh,2,salt,salt_jin,left_lower_leg,,yes_nominal_or_screen,usable_with_span_flags,none,no,,,,,,,,,,,no,,,,,,,,,yes,0.2361111111111111,0.050703272855752345,3.902839045,3.902839045,250334.57,40.9006155,analyzed,1.5864238159062247,1.899469349182089,19.73278074478737,1.5512184718037778,,,,,,,,work_products/2026-06-30_claude_upcomer_convection_cell/upcomer_convection_cell_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07-01_claude_1d_predictivity_trial/segment_dp_compare.csv
viscosity_screening_salt_test_2_jin_coarse_mesh,2,salt,salt_jin,left_lower_leg,section_mean_static_gradient,yes_nominal_or_screen,usable_with_span_flags,mu_from_jin_corr_T_from_rho_eos,yes,71.12521667906103,1.8062116407093785,0.8998215118104708,2.0072999111515135,16.837730915240627,-16.837730915240627,0.021814958682552486,452.6530298384785,0.008647091806549826,0.8675107096099733,no,,,,,,,,,no,,,,,,,,,,,,,,,,,,,work_products/2026-07-01_claude_segment_friction/segment_friction.csv
viscosity_screening_salt_test_2_jin_coarse_mesh,2,salt,salt_jin,left_lower_leg,section_mean_total_pressure_gradient,yes_nominal_or_screen,usable_with_span_flags,mu_from_jin_corr_T_from_rho_eos,yes,71.12521667906103,1.817539783186998,0.8998215118104708,2.019889232843575,16.943333276840264,-16.943333276840264,0.021814958682552486,452.6530298384785,0.008647091806549826,0.8675107096099733,no,,,,,,,,,no,,,,,,,,,,,,,,,,,,,work_products/2026-07-01_claude_segment_friction/segment_friction.csv
viscosity_screening_salt_test_2_jin_coarse_mesh,2,salt,salt_jin,left_upper_leg,,yes_nominal_or_screen,usable_with_span_flags,none,no,,,,,,,,,,,no,,,,,,,,,yes,0.33002481389578164,0.048434885360772006,9.84662496,4.273015491954498,263635.15249999997,36.02926535,analyzed,1.1778655416679582,2.109852758918172,79.12509401798444,1.0368826444445471,,,,,,,,work_products/2026-06-30_claude_upcomer_convection_cell/upcomer_convection_cell_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07-01_claude_1d_predictivity_trial/segment_dp_compare.csv
viscosity_screening_salt_test_2_jin_coarse_mesh,2,salt,salt_jin,left_upper_leg,section_mean_static_gradient,yes_nominal_or_screen,usable_with_span_flags,mu_from_jin_corr_T_from_rho_eos,yes,66.64763746835195,2.1665186096702755,0.960274098693908,2.2561460447772252,17.91112104820601,-17.91112104820601,0.021814958682552486,452.26119127434885,0.008690890156415821,0.8677109965607765,no,,,,,,,,,no,,,,,,,,,,,,,,,,,,,work_products/2026-07-01_claude_segment_friction/segment_friction.csv
viscosity_screening_salt_test_2_jin_coarse_mesh,2,salt,salt_jin,left_upper_leg,section_mean_total_pressure_gradient,yes_nominal_or_screen,usable_with_span_flags,mu_from_jin_corr_T_from_rho_eos,yes,66.64763746835195,2.1699224414178477,0.960274098693908,2.2596906907821546,17.93926132920169,-17.93926132920169,0.021814958682552486,452.26119127434885,0.008690890156415821,0.8677109965607765,no,,,,,,,,,no,,,,,,,,,,,,,,,,,,,work_products/2026-07-01_claude_segment_friction/segment_friction.csv
viscosity_screening_salt_test_2_jin_coarse_mesh,2,salt,salt_jin,lower_leg,,yes_nominal_or_screen,usable_with_span_flags,none,no,,,,,,,,,,,yes,252.182168179549,16.55960263333754,nan,,236.85095622070003,249.44388111482965,computed,Nu_direct_not_admitted_on_these_spans,yes,0.0,-0.0,,,,,analyzed,7.594737594921601,5.29182793951583,-30.32243874950552,2.665588431030625,,,,,,,,work_products/2026-06-30_claude_thermal_htc/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-06-30_claude_downcomer_recirculation/downcomer_recirculation.csv;work_products/2026-07-01_claude_1d_predictivity_trial/segment_dp_compare.csv
viscosity_screening_salt_test_2_jin_coarse_mesh,2,salt,salt_jin,lower_leg,section_mean_static_gradient,no,rejected_friction_sign,mu_from_jin_corr_T_from_rho_eos;negative_f_pressure_recovery_or_noise,yes,67.99763118266802,-0.785008894541788,0.9412092581294659,-0.8340428950963505,-6.659361067495249,6.659361067495249,0.02182132919954016,452.790788283383,0.008631775790720653,0.99039988569346,no,,,,,,,,,no,,,,,,,,,,,,,,,,,,,work_products/2026-07-01_claude_segment_friction/segment_friction.csv
viscosity_screening_salt_test_2_jin_coarse_mesh,2,salt,salt_jin,lower_leg,section_mean_total_pressure_gradient,no,rejected_friction_sign,mu_from_jin_corr_T_from_rho_eos;negative_f_pressure_recovery_or_noise,yes,67.99763118266802,-0.7828674966465782,0.9412092581294659,-0.8317677390917596,-6.641195232849897,6.641195232849897,0.02182132919954016,452.790788283383,0.008631775790720653,0.99039988569346,no,,,,,,,,,no,,,,,,,,,,,,,,,,,,,work_products/2026-07-01_claude_segment_friction/segment_friction.csv
viscosity_screening_salt_test_2_jin_coarse_mesh,2,salt,salt_jin,minor::corner_lower_left,,yes_nominal_or_screen,usable_with_span_flags,none,no,,,,,,,,,,,no,,,,,,,,,no,,,,,,,,0.49951598888872795,3.540341760015835,608.7544420534015,nan,,,,,,,,work_products/2026-07-01_claude_1d_predictivity_trial/segment_dp_compare.csv
viscosity_screening_salt_test_2_jin_coarse_mesh,2,salt,salt_jin,minor::corner_lower_right,,yes_nominal_or_screen,usable_with_span_flags,none,no,,,,,,,,,,,no,,,,,,,,,no,,,,,,,,0.764693936138507,3.540341760015835,362.9750012002949,nan,,,,,,,,work_products/2026-07-01_claude_1d_predictivity_trial/segment_dp_compare.csv
viscosity_screening_salt_test_2_jin_coarse_mesh,2,salt,salt_jin,minor::corner_upper_left,,yes_nominal_or_screen,usable_with_span_flags,none,no,,,,,,,,,,,no,,,,,,,,,no,,,,,,,,0.397984716988182,3.540341760015835,789.5672644939691,nan,,,,,,,,work_products/2026-07-01_claude_1d_predictivity_trial/segment_dp_compare.csv
viscosity_screening_salt_test_2_jin_coarse_mesh,2,salt,salt_jin,minor::corner_upper_right,,yes_nominal_or_screen,usable_with_span_flags,none,no,,,,,,,,,,,no,,,,,,,,,no,,,,,,,,0.5996790416038161,3.540341760015835,490.3727684975185,nan,,,,,,,,work_products/2026-07-01_claude_1d_predictivity_trial/segment_dp_compare.csv
viscosity_screening_salt_test_2_jin_coarse_mesh,2,salt,salt_jin,right_leg,,yes_nominal_or_screen,usable_with_span_flags,none,no,,,,,,,,,,,no,,,,,,,,,yes,0.4990403071017274,0.03644749208969758,,,,,analyzed,7.188434048086719,6.085109876495199,-15.348602549747003,2.194077200921516,,,,,,,,work_products/2026-06-30_claude_downcomer_recirculation/downcomer_recirculation.csv;work_products/2026-07-01_claude_1d_predictivity_trial/segment_dp_compare.csv
viscosity_screening_salt_test_2_jin_coarse_mesh,2,salt,salt_jin,right_leg,section_mean_static_gradient,no,rejected_friction_sign,mu_from_jin_corr_T_from_rho_eos;negative_f_pressure_recovery_or_noise,yes,61.15899206065987,-1.822242174894921,1.0464528247378948,-1.7413514797968443,-15.598132980236045,15.598132980236045,0.02181495869709446,444.3745355009287,0.00965156379419937,0.9999996616361024,no,,,,,,,,,no,,,,,,,,,,,,,,,,,,,work_products/2026-07-01_claude_segment_friction/segment_friction.csv
viscosity_screening_salt_test_2_jin_coarse_mesh,2,salt,salt_jin,right_leg,section_mean_total_pressure_gradient,no,rejected_friction_sign,mu_from_jin_corr_T_from_rho_eos;negative_f_pressure_recovery_or_noise,yes,61.15899206065987,-1.8214106841629614,1.0464528247378948,-1.7405568995613063,-15.591015538225523,15.591015538225523,0.02181495869709446,444.3745355009287,0.00965156379419937,0.9999996616361024,no,,,,,,,,,no,,,,,,,,,,,,,,,,,,,work_products/2026-07-01_claude_segment_friction/segment_friction.csv
viscosity_screening_salt_test_2_jin_coarse_mesh,2,salt,salt_jin,test_section_span,,yes_nominal_or_screen,usable_with_span_flags,none,no,,,,,,,,,,,no,,,,,,,,,yes,0.3333333333333333,0.05962019327650649,3.62595973,3.62595973,181320.801,26.6510725,analyzed,1.3666260023189991,1.7352558327937153,26.973717011764453,1.4627570614045844,,,,,,,,work_products/2026-06-30_claude_upcomer_convection_cell/upcomer_convection_cell_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07-01_claude_1d_predictivity_trial/segment_dp_compare.csv
viscosity_screening_salt_test_2_jin_coarse_mesh,2,salt,salt_jin,test_section_span,section_mean_static_gradient,no,rejected_friction_sign,mu_from_jin_corr_T_from_rho_eos;negative_f_pressure_recovery_or_noise,yes,68.79759596170659,-0.6180867680304882,0.9302650638493679,-0.6644200583787281,-6.329537229996,6.329537229996,0.02069210493406325,452.57507204814254,0.008655778055486283,0.8890225830052568,no,,,,,,,,,no,,,,,,,,,,,,,,,,,,,work_products/2026-07-01_claude_segment_friction/segment_friction.csv
viscosity_screening_salt_test_2_jin_coarse_mesh,2,salt,salt_jin,test_section_span,section_mean_total_pressure_gradient,no,rejected_friction_sign,mu_from_jin_corr_T_from_rho_eos;negative_f_pressure_recovery_or_noise,yes,68.79759596170659,-0.6246122218054763,0.9302650638493679,-0.6714346760705784,-6.396361347171354,6.396361347171354,0.02069210493406325,452.57507204814254,0.008655778055486283,0.8890225830052568,no,,,,,,,,,no,,,,,,,,,,,,,,,,,,,work_products/2026-07-01_claude_segment_friction/segment_friction.csv
viscosity_screening_salt_test_2_jin_coarse_mesh,2,salt,salt_jin,upcomer,,yes_nominal_or_screen,usable_with_span_flags,none,no,,,,,,,,,,,yes,77.32040359661,5.0952947268550695,3.1071791712665062,,-25.76034123028,-27.129999242013028,computed,,no,,,,,,,,,,,,,,,,,,,work_products/2026-06-30_claude_thermal_htc/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv
viscosity_screening_salt_test_2_jin_coarse_mesh,2,salt,salt_jin,upper_leg,,yes_nominal_or_screen,usable_with_span_flags,none,no,,,,,,,,,,,no,,,,,,,,,no,,,,,,,,6.708462261252379,5.57887631465754,-16.838224657225098,2.2333782606997006,,,,,,,,work_products/2026-07-01_claude_1d_predictivity_trial/segment_dp_compare.csv
viscosity_screening_salt_test_2_jin_coarse_mesh,2,salt,salt_jin,upper_leg,section_mean_static_gradient,no,rejected_friction_sign,mu_from_jin_corr_T_from_rho_eos;negative_f_pressure_recovery_or_noise,yes,62.705232933531015,-11.065576575370342,1.0206484691292268,-10.841711823475338,-91.25215045873178,91.25215045873178,0.021821740388825197,447.6113755126808,0.009238235287834691,0.9913839764849992,no,,,,,,,,,no,,,,,,,,,,,,,,,,,,,work_products/2026-07-01_claude_segment_friction/segment_friction.csv
viscosity_screening_salt_test_2_jin_coarse_mesh,2,salt,salt_jin,upper_leg,section_mean_total_pressure_gradient,no,rejected_friction_sign,mu_from_jin_corr_T_from_rho_eos;negative_f_pressure_recovery_or_noise,yes,62.705232933531015,-11.06898329113825,1.0206484691292268,-10.845049618877917,-91.28024390128363,91.28024390128363,0.021821740388825197,447.6113755126808,0.009238235287834691,0.9913839764849992,no,,,,,,,,,no,,,,,,,,,,,,,,,,,,,work_products/2026-07-01_claude_segment_friction/segment_friction.csv
viscosity_screening_salt_test_3_jin_coarse_mesh,3,salt,salt_jin,downcomer,,yes_nominal_or_screen,usable_with_span_flags,thermal_blocked,no,,,,,,,,,,,yes,nan,nan,nan,,-25.347860491,nan,thermally_blocked_segment_right_leg,,no,,,,,,,,,,,,,,,,,,,work_products/2026-06-30_claude_thermal_htc/segment_htc_uaprime_viscosity_screening_salt_test_3_jin_coarse_mesh.csv
viscosity_screening_salt_test_3_jin_coarse_mesh,3,salt,salt_jin,left_lower_leg,,yes_nominal_or_screen,usable_with_span_flags,none,no,,,,,,,,,,,no,,,,,,,,,yes,0.18055555555555555,0.04230751298789286,3.29864599,3.29864599,418493.7905,64.43491875,analyzed,,,,,,,,,,,,work_products/2026-06-30_claude_upcomer_convection_cell/upcomer_convection_cell_viscosity_screening_salt_test_3_jin_coarse_mesh.csv
viscosity_screening_salt_test_3_jin_coarse_mesh,3,salt,salt_jin,left_lower_leg,section_mean_static_gradient,yes_nominal_or_screen,usable_with_span_flags,mu_from_jin_corr_T_from_rho_eos,yes,96.7702467137881,1.459118236969512,0.6613603062239698,2.2062379965019874,18.13563263808102,-18.13563263808102,0.021814958682552486,466.24682209303495,0.007319477845448427,0.8883683459497432,no,,,,,,,,,no,,,,,,,,,,,,,,,,,,,work_products/2026-07-01_claude_segment_friction/segment_friction.csv
viscosity_screening_salt_test_3_jin_coarse_mesh,3,salt,salt_jin,left_lower_leg,section_mean_total_pressure_gradient,yes_nominal_or_screen,usable_with_span_flags,mu_from_jin_corr_T_from_rho_eos,yes,96.7702467137881,1.4740119561477825,0.6613603062239698,2.2287578227420983,18.32074924672053,-18.32074924672053,0.021814958682552486,466.24682209303495,0.007319477845448427,0.8883683459497432,no,,,,,,,,,no,,,,,,,,,,,,,,,,,,,work_products/2026-07-01_claude_segment_friction/segment_friction.csv
viscosity_screening_salt_test_3_jin_coarse_mesh,3,salt,salt_jin,left_upper_leg,,yes_nominal_or_screen,usable_with_span_flags,none,no,,,,,,,,,,,no,,,,,,,,,yes,0.3163771712158809,0.05605273180271971,7.745095865,3.361041448441408,376552.591,52.902902850000004,analyzed,,,,,,,,,,,,work_products/2026-06-30_claude_upcomer_convection_cell/upcomer_convection_cell_viscosity_screening_salt_test_3_jin_coarse_mesh.csv
viscosity_screening_salt_test_3_jin_coarse_mesh,3,salt,salt_jin,left_upper_leg,section_mean_static_gradient,yes_nominal_or_screen,usable_with_span_flags,mu_from_jin_corr_T_from_rho_eos,yes,88.44346571728263,1.529634870229785,0.7236260981063504,2.113847018830126,16.20840243753235,-16.20840243753235,0.021814958682552486,465.3609039835069,0.007395805417135894,0.8797559649947716,no,,,,,,,,,no,,,,,,,,,,,,,,,,,,,work_products/2026-07-01_claude_segment_friction/segment_friction.csv
viscosity_screening_salt_test_3_jin_coarse_mesh,3,salt,salt_jin,left_upper_leg,section_mean_total_pressure_gradient,yes_nominal_or_screen,usable_with_span_flags,mu_from_jin_corr_T_from_rho_eos,yes,88.44346571728263,1.5329725580809055,0.7236260981063504,2.1184594669713066,16.243769431940432,-16.243769431940432,0.021814958682552486,465.3609039835069,0.007395805417135894,0.8797559649947716,no,,,,,,,,,no,,,,,,,,,,,,,,,,,,,work_products/2026-07-01_claude_segment_friction/segment_friction.csv
viscosity_screening_salt_test_3_jin_coarse_mesh,3,salt,salt_jin,lower_leg,,yes_nominal_or_screen,usable_with_span_flags,none,no,,,,,,,,,,,yes,269.04105533920483,17.666645506309827,nan,,265.82811155400003,279.96169791127255,computed,Nu_direct_not_admitted_on_these_spans,yes,0.0,-0.0,,,,,analyzed,,,,,,,,,,,,work_products/2026-06-30_claude_thermal_htc/segment_htc_uaprime_viscosity_screening_salt_test_3_jin_coarse_mesh.csv;work_products/2026-06-30_claude_downcomer_recirculation/downcomer_recirculation.csv
viscosity_screening_salt_test_3_jin_coarse_mesh,3,salt,salt_jin,lower_leg,section_mean_static_gradient,no,rejected_friction_sign,mu_from_jin_corr_T_from_rho_eos;negative_f_pressure_recovery_or_noise,yes,90.20420441297262,-0.5313558656160512,0.7095012967133483,-0.7489145799697232,-5.802496454891008,5.802496454891008,0.02182132919954016,465.7265476611124,0.0073641483989271795,0.9906168390378546,no,,,,,,,,,no,,,,,,,,,,,,,,,,,,,work_products/2026-07-01_claude_segment_friction/segment_friction.csv
viscosity_screening_salt_test_3_jin_coarse_mesh,3,salt,salt_jin,lower_leg,section_mean_total_pressure_gradient,no,rejected_friction_sign,mu_from_jin_corr_T_from_rho_eos;negative_f_pressure_recovery_or_noise,yes,90.20420441297262,-0.5285175049867541,0.7095012967133483,-0.7449140789946788,-5.771501073913885,5.771501073913885,0.02182132919954016,465.7265476611124,0.0073641483989271795,0.9906168390378546,no,,,,,,,,,no,,,,,,,,,,,,,,,,,,,work_products/2026-07-01_claude_segment_friction/segment_friction.csv
viscosity_screening_salt_test_3_jin_coarse_mesh,3,salt,salt_jin,right_leg,,yes_nominal_or_screen,usable_with_span_flags,none,no,,,,,,,,,,,no,,,,,,,,,yes,0.4932821497120921,0.03407452483566309,,,,,analyzed,,,,,,,,,,,,work_products/2026-06-30_claude_downcomer_recirculation/downcomer_recirculation.csv
viscosity_screening_salt_test_3_jin_coarse_mesh,3,salt,salt_jin,right_leg,section_mean_static_gradient,no,rejected_friction_sign,mu_from_jin_corr_T_from_rho_eos;negative_f_pressure_recovery_or_noise,yes,84.74917869256562,-1.80832445749276,0.7551695601932036,-2.3945939465967294,-21.456115940349427,21.456115940349427,0.02181495869709446,457.03155123160394,0.008180371632784803,0.9999996586756715,no,,,,,,,,,no,,,,,,,,,,,,,,,,,,,work_products/2026-07-01_claude_segment_friction/segment_friction.csv
viscosity_screening_salt_test_3_jin_coarse_mesh,3,salt,salt_jin,right_leg,section_mean_total_pressure_gradient,no,rejected_friction_sign,mu_from_jin_corr_T_from_rho_eos;negative_f_pressure_recovery_or_noise,yes,84.74917869256562,-1.8084794031863456,0.7551695601932036,-2.3947991266010007,-21.457954400672328,21.457954400672328,0.02181495869709446,457.03155123160394,0.008180371632784803,0.9999996586756715,no,,,,,,,,,no,,,,,,,,,,,,,,,,,,,work_products/2026-07-01_claude_segment_friction/segment_friction.csv
viscosity_screening_salt_test_3_jin_coarse_mesh,3,salt,salt_jin,test_section_span,,yes_nominal_or_screen,usable_with_span_flags,none,no,,,,,,,,,,,no,,,,,,,,,yes,0.3125,0.05127911601016256,6.468778665,6.468778665,296048.012,36.4261101,analyzed,,,,,,,,,,,,work_products/2026-06-30_claude_upcomer_convection_cell/upcomer_convection_cell_viscosity_screening_salt_test_3_jin_coarse_mesh.csv
viscosity_screening_salt_test_3_jin_coarse_mesh,3,salt,salt_jin,test_section_span,section_mean_static_gradient,no,rejected_friction_sign,mu_from_jin_corr_T_from_rho_eos;negative_f_pressure_recovery_or_noise,yes,91.05094038525839,-0.29149750519430384,0.7029032289968741,-0.41470503074840787,-3.8285478859986224,3.8285478859986224,0.02069210493406325,465.4446026333238,0.0073885395995068335,0.8840742011396813,no,,,,,,,,,no,,,,,,,,,,,,,,,,,,,work_products/2026-07-01_claude_segment_friction/segment_friction.csv
viscosity_screening_salt_test_3_jin_coarse_mesh,3,salt,salt_jin,test_section_span,section_mean_total_pressure_gradient,no,rejected_friction_sign,mu_from_jin_corr_T_from_rho_eos;negative_f_pressure_recovery_or_noise,yes,91.05094038525839,-0.303082161002659,0.7029032289968741,-0.43118618395763103,-3.9807015364236435,3.9807015364236435,0.02069210493406325,465.4446026333238,0.0073885395995068335,0.8840742011396813,no,,,,,,,,,no,,,,,,,,,,,,,,,,,,,work_products/2026-07-01_claude_segment_friction/segment_friction.csv
viscosity_screening_salt_test_3_jin_coarse_mesh,3,salt,salt_jin,upcomer,,yes_nominal_or_screen,usable_with_span_flags,none,no,,,,,,,,,,,yes,101.57469215035427,6.693614741925504,4.059673513497697,,-32.618906683839995,-34.353229473826104,computed,,no,,,,,,,,,,,,,,,,,,,work_products/2026-06-30_claude_thermal_htc/segment_htc_uaprime_viscosity_screening_salt_test_3_jin_coarse_mesh.csv
viscosity_screening_salt_test_3_jin_coarse_mesh,3,salt,salt_jin,upper_leg,section_mean_static_gradient,no,rejected_friction_sign,mu_from_jin_corr_T_from_rho_eos;negative_f_pressure_recovery_or_noise,yes,83.86183409722794,-8.172100408542565,0.7631600320808573,-10.708239510735707,-87.71999262332537,87.71999262332537,0.021821740388825197,460.25363373378866,0.007861812870092282,0.9913604537676526,no,,,,,,,,,no,,,,,,,,,,,,,,,,,,,work_products/2026-07-01_claude_segment_friction/segment_friction.csv
viscosity_screening_salt_test_3_jin_coarse_mesh,3,salt,salt_jin,upper_leg,section_mean_total_pressure_gradient,no,rejected_friction_sign,mu_from_jin_corr_T_from_rho_eos;negative_f_pressure_recovery_or_noise,yes,83.86183409722794,-8.175227264240863,0.7631600320808573,-10.712336758451592,-87.75355654754027,87.75355654754027,0.021821740388825197,460.25363373378866,0.007861812870092282,0.9913604537676526,no,,,,,,,,,no,,,,,,,,,,,,,,,,,,,work_products/2026-07-01_claude_segment_friction/segment_friction.csv
viscosity_screening_salt_test_4_jin_coarse_mesh,4,salt,salt_jin,downcomer,,yes_nominal_or_screen,usable_with_span_flags,thermal_blocked,no,,,,,,,,,,,yes,nan,nan,nan,,-28.124643037,nan,thermally_blocked_segment_right_leg,,no,,,,,,,,,,,,,,,,,,,work_products/2026-06-30_claude_thermal_htc/segment_htc_uaprime_viscosity_screening_salt_test_4_jin_coarse_mesh.csv
viscosity_screening_salt_test_4_jin_coarse_mesh,4,salt,salt_jin,left_lower_leg,,yes_nominal_or_screen,usable_with_span_flags,none,no,,,,,,,,,,,no,,,,,,,,,yes,0.14583333333333334,0.03712605167301079,2.3675156250000002,2.3675156250000002,494400.7925,105.7491755,analyzed,2.1895176546978283,2.073253452260287,-5.310037221580977,2.20917141717455,,,,,,,,work_products/2026-06-30_claude_upcomer_convection_cell/upcomer_convection_cell_viscosity_screening_salt_test_4_jin_coarse_mesh.csv;work_products/2026-07-01_claude_1d_predictivity_trial/segment_dp_compare.csv
viscosity_screening_salt_test_4_jin_coarse_mesh,4,salt,salt_jin,left_lower_leg,section_mean_static_gradient,yes_nominal_or_screen,usable_with_span_flags,mu_from_jin_corr_T_from_rho_eos,yes,134.88326391686644,1.2464353995725181,0.47448436626982554,2.626926171185388,21.354624986619,-21.354624986619,0.021814958682552486,482.05936058837113,0.006146468503318279,0.9004606235110378,no,,,,,,,,,no,,,,,,,,,,,,,,,,,,,work_products/2026-07-01_claude_segment_friction/segment_friction.csv
