item_type,id,name_or_symbol,latex_or_units,meaning,admission_boundary,writer_use,source_path
equation,GE-11,Dynamic pressure basis,q_i=\frac{1}{2}\rho_iV_i^2,Pressure-loss velocity basis for segment i.,Velocity basis must match pressure planes and reduction basis before K admission.,Use in pressure glossary.,reports/thesis_dossier/Chapters_and_sections/current/17_ch5_csem_fluid_walls_model.md
equation,GE-12,Throughflow-plus-exchange variables,"V_{\mathrm{recirc}},\ \dot{m}_{\mathrm{exchange}},\ \tau_{\mathrm{recirc}},\ T_{\mathrm{main}},\ T_{\mathrm{recirc}}",Named variable contract for future upcomer exchange-cell model.,"Diagnostic/blocked until production harvest, same-QOI UQ, source/property, and admission gates pass.","Use as future model-form vocabulary, not admitted closure.",reports/thesis_dossier/Chapters_and_sections/current/17_ch5_csem_fluid_walls_model.md
symbol,SYM-01,s,m,Loop or segment coordinate,definition_only_property_or_runtime_boundary_must_be_named,Use consistently for one-dimensional path position.,work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_governing_equations_glossary/symbol_glossary.csv
symbol,SYM-02,i,dimensionless,Segment index,definition_only_property_or_runtime_boundary_must_be_named,"Segment i may be ordinary pipe, junction, test section, heater/cooler span, or recirculation-effective region.",work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_governing_equations_glossary/symbol_glossary.csv
symbol,SYM-03,\dot{m},kg/s,Mass flow rate,definition_only_property_or_runtime_boundary_must_be_named,"CFD mdot can be target/score/diagnostic context, not predictive runtime input for scored row.",work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_governing_equations_glossary/symbol_glossary.csv
symbol,SYM-04,\rho,kg/m^3,Density,definition_only_property_or_runtime_boundary_must_be_named,Property lane must be named.,work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_governing_equations_glossary/symbol_glossary.csv
symbol,SYM-05,c_p,J/(kg K),Specific heat capacity,definition_only_property_or_runtime_boundary_must_be_named,Property lane must be named.,work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_governing_equations_glossary/symbol_glossary.csv
symbol,SYM-06,T,K,Temperature,definition_only_property_or_runtime_boundary_must_be_named,"TP/TW/validation temperatures are score targets or diagnostics, not runtime inputs.",work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_governing_equations_glossary/symbol_glossary.csv
symbol,SYM-07,T_{\mathrm{drive}},K,Temperature driving heat loss,definition_only_property_or_runtime_boundary_must_be_named,"Must specify bulk, inner wall, outer wall, or insulation surface.",work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_governing_equations_glossary/symbol_glossary.csv
symbol,SYM-08,T_{\mathrm{env}},K,Environment or external boundary temperature,definition_only_property_or_runtime_boundary_must_be_named,Predictive runtime use requires setup-known external boundary input.,work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_governing_equations_glossary/symbol_glossary.csv
symbol,SYM-09,T_{\mathrm{sur}},K,Surroundings/radiation temperature,definition_only_property_or_runtime_boundary_must_be_named,Only setup-known values are runtime-legal.,work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_governing_equations_glossary/symbol_glossary.csv
symbol,SYM-10,\Delta p,Pa,Pressure difference,definition_only_property_or_runtime_boundary_must_be_named,Always state static/hydrostatic/kinetic/section basis.,work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_governing_equations_glossary/symbol_glossary.csv
symbol,SYM-11,\Delta p_{\mathrm{drive}},Pa,Buoyancy driving pressure,definition_only_property_or_runtime_boundary_must_be_named,Depends on density/property lane and elevation path.,work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_governing_equations_glossary/symbol_glossary.csv
symbol,SYM-12,\Delta p_{\mathrm{loss}},Pa,Modeled pressure loss,definition_only_property_or_runtime_boundary_must_be_named,Sum of admitted or candidate distributed/local/model-form slots.,work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_governing_equations_glossary/symbol_glossary.csv
symbol,SYM-13,f_i,dimensionless,Darcy friction factor slot,definition_only_property_or_runtime_boundary_must_be_named,Slot notation is not admission; recirculating rows may be invalid for ordinary f_D.,work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_governing_equations_glossary/symbol_glossary.csv
symbol,SYM-14,K_i,dimensionless,Local loss coefficient slot,definition_only_property_or_runtime_boundary_must_be_named,Do not call component K unless component isolation and pressure-basis gates pass.,work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_governing_equations_glossary/symbol_glossary.csv
symbol,SYM-15,q_i,Pa,Dynamic pressure basis one-half rho V squared,definition_only_property_or_runtime_boundary_must_be_named,State velocity/area basis.,work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_governing_equations_glossary/symbol_glossary.csv
symbol,SYM-16,Q,W,Integrated heat rate,definition_only_property_or_runtime_boundary_must_be_named,Use sign convention from sign ledger.,work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_governing_equations_glossary/symbol_glossary.csv
symbol,SYM-17,q',W/m,Line heat rate,definition_only_property_or_runtime_boundary_must_be_named,Use for distributed source/sink terms along s.,work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_governing_equations_glossary/symbol_glossary.csv
symbol,SYM-18,R,K/W,Thermal resistance,definition_only_property_or_runtime_boundary_must_be_named,Resistance owner and drive temperature must be named.,work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_governing_equations_glossary/symbol_glossary.csv
symbol,SYM-19,UA,W/K,Overall conductance slot,definition_only_property_or_runtime_boundary_must_be_named,Can be diagnostic/candidate/admitted depending on source and gate status.,work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_governing_equations_glossary/symbol_glossary.csv
symbol,SYM-20,h,W/(m^2 K),Heat-transfer coefficient,definition_only_property_or_runtime_boundary_must_be_named,Internal/external/source lane and admission status must be labeled.,work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_governing_equations_glossary/symbol_glossary.csv
symbol,SYM-21,Nu,dimensionless,Nusselt number,definition_only_property_or_runtime_boundary_must_be_named,Must not absorb wall/source/radiation/residual errors.,work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_governing_equations_glossary/symbol_glossary.csv
symbol,SYM-22,Re,dimensionless,Reynolds number,definition_only_property_or_runtime_boundary_must_be_named,Property lane and characteristic length/velocity basis required.,work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_governing_equations_glossary/symbol_glossary.csv
symbol,SYM-23,Pr,dimensionless,Prandtl number,definition_only_property_or_runtime_boundary_must_be_named,Property lane required.,work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_governing_equations_glossary/symbol_glossary.csv
symbol,SYM-24,Gz,dimensionless,Graetz/development coordinate,definition_only_property_or_runtime_boundary_must_be_named,Use only where source basis defines it.,work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_governing_equations_glossary/symbol_glossary.csv
symbol,SYM-25,Ri,dimensionless,Richardson number or mixed-convection indicator,definition_only_property_or_runtime_boundary_must_be_named,Use as diagnostic/regime context unless a later source admits it.,work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_governing_equations_glossary/symbol_glossary.csv
symbol,SYM-26,V_{\mathrm{recirc}},m^3,Recirculating volume variable,definition_only_property_or_runtime_boundary_must_be_named,"Current upcomer exchange lane is diagnostic/blocked, not admitted.",work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_governing_equations_glossary/symbol_glossary.csv
symbol,SYM-27,\dot{m}_{\mathrm{exchange}},kg/s,Exchange mass-flow proxy/variable,definition_only_property_or_runtime_boundary_must_be_named,Current S13 evidence has temporal UQ but lacks same-label mesh/GCI admission.,work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_governing_equations_glossary/symbol_glossary.csv
symbol,SYM-28,\tau_{\mathrm{recirc}},s,Recirculation residence-time proxy/variable,definition_only_property_or_runtime_boundary_must_be_named,Current S13 evidence has temporal UQ but lacks same-label mesh/GCI admission.,work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_governing_equations_glossary/symbol_glossary.csv
symbol,SYM-29,Q_{\mathrm{residual}},W,Unassigned residual after declared sources/sinks,definition_only_property_or_runtime_boundary_must_be_named,Accounting lane only; never silently convert into internal Nu.,work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_governing_equations_glossary/symbol_glossary.csv
