candidate_id,source_table,case_id,split_role,reported_segment_or_span,canonical_leg_id,upcomer_member,qoi,reverse_area_fraction,reverse_mass_fraction,review_admission_class,residual_owner_gate,mesh_gci_gate,sign_heat_balance_gate,recirculation_gate,internal_nu_fit_allowed_now,admission_class,reason,source_path
thermal:salt_2:upcomer:Nu,thermal_row_admission_gate,salt_2,,upcomer,upcomer_left_vertical,yes,Nu,,,validation_only,pass,fail_no_current_admitted_mesh_gci,fail,fail,no,hybrid_recirculation_lane_only,source_gate_does_not_allow_internal_Nu_fit;sign_heat_balance_gate=fail:coarse_sign_review_required;fine_sign_review_required;high_recirculation_forward_bulk_used;high_recirculation_interface;high_recirculation_interface_temperature;internal_Nu_residual_absorption_forbidden;large_wallHeatFlux_enthalpy_residual;medium_sign_review_required;repaired_q_sign_label_conflict;wallHeatFlux_enthalpy_opposed_direction;recirculation_gate=fail:upcomer/test-section parent is recirculation hybrid lane;fail_no_current_admitted_mesh_gci;test_section_and_left_spans_are_upcomer_hybrid_lane,work_products/2026-07/2026-07-16/2026-07-16_thermal_parity_resolution_gate/thermal_row_admission_gate.csv
thermal:salt_2:upcomer:UA_prime,thermal_row_admission_gate,salt_2,,upcomer,upcomer_left_vertical,yes,UA_prime,,,validation_only,pass,fail_no_current_admitted_mesh_gci,fail,fail,no,hybrid_recirculation_lane_only,not_internal_Nu_qoi;source_gate_does_not_allow_internal_Nu_fit;sign_heat_balance_gate=fail:coarse_sign_review_required;fine_sign_review_required;high_recirculation_forward_bulk_used;high_recirculation_interface;high_recirculation_interface_temperature;internal_Nu_residual_absorption_forbidden;large_wallHeatFlux_enthalpy_residual;medium_sign_review_required;repaired_q_sign_label_conflict;wallHeatFlux_enthalpy_opposed_direction;recirculation_gate=fail:upcomer/test-section parent is recirculation hybrid lane;fail_no_current_admitted_mesh_gci;test_section_and_left_spans_are_upcomer_hybrid_lane,work_products/2026-07/2026-07-16/2026-07-16_thermal_parity_resolution_gate/thermal_row_admission_gate.csv
thermal:salt_2:downcomer:wallHeatFlux,thermal_row_admission_gate,salt_2,,downcomer,downcomer_right_vertical,no,wallHeatFlux,,,blocked,pass,fail_no_current_admitted_mesh_gci,fail,unknown,no,blocked_or_diagnostic_nonfit,not_internal_Nu_qoi;source_gate_does_not_allow_internal_Nu_fit;sign_heat_balance_gate=fail:blocked_downcomer_policy;high_recirculation_forward_bulk_used;high_recirculation_interface;high_recirculation_interface_temperature;large_wallHeatFlux_enthalpy_residual;wallHeatFlux_enthalpy_opposed_direction;recirculation_gate=unknown:no branch-local recirculation metric;fail_no_current_admitted_mesh_gci,work_products/2026-07/2026-07-16/2026-07-16_thermal_parity_resolution_gate/thermal_row_admission_gate.csv
thermal:salt_2:downcomer:enthalpy_change,thermal_row_admission_gate,salt_2,,downcomer,downcomer_right_vertical,no,enthalpy_change,,,blocked,pass,fail_no_current_admitted_mesh_gci,fail,unknown,no,blocked_or_diagnostic_nonfit,not_internal_Nu_qoi;source_gate_does_not_allow_internal_Nu_fit;sign_heat_balance_gate=fail:blocked_downcomer_policy;high_recirculation_forward_bulk_used;high_recirculation_interface;high_recirculation_interface_temperature;large_wallHeatFlux_enthalpy_residual;wallHeatFlux_enthalpy_opposed_direction;recirculation_gate=unknown:no branch-local recirculation metric;fail_no_current_admitted_mesh_gci,work_products/2026-07/2026-07-16/2026-07-16_thermal_parity_resolution_gate/thermal_row_admission_gate.csv
thermal:salt_2:downcomer:segment_duty,thermal_row_admission_gate,salt_2,,downcomer,downcomer_right_vertical,no,segment_duty,,,blocked,pass,fail_no_current_admitted_mesh_gci,fail,unknown,no,blocked_or_diagnostic_nonfit,not_internal_Nu_qoi;source_gate_does_not_allow_internal_Nu_fit;sign_heat_balance_gate=fail:blocked_downcomer_policy;high_recirculation_forward_bulk_used;high_recirculation_interface;high_recirculation_interface_temperature;large_wallHeatFlux_enthalpy_residual;wallHeatFlux_enthalpy_opposed_direction;recirculation_gate=unknown:no branch-local recirculation metric;fail_no_current_admitted_mesh_gci,work_products/2026-07/2026-07-16/2026-07-16_thermal_parity_resolution_gate/thermal_row_admission_gate.csv
thermal:salt_2:downcomer:thermal_segment_closure,thermal_row_admission_gate,salt_2,,downcomer,downcomer_right_vertical,no,thermal_segment_closure,,,blocked,pass,fail_no_current_admitted_mesh_gci,fail,unknown,no,blocked_or_diagnostic_nonfit,not_internal_Nu_qoi;source_gate_does_not_allow_internal_Nu_fit;sign_heat_balance_gate=fail:blocked_downcomer_policy;coarse_sign_review_required;fine_sign_review_required;high_recirculation_forward_bulk_used;high_recirculation_interface;high_recirculation_interface_temperature;internal_Nu_residual_absorption_forbidden;large_wallHeatFlux_enthalpy_residual;medium_sign_review_required;missing_or_nonfinite_coarse_medium_or_fine_value;wallHeatFlux_enthalpy_opposed_direction;recirculation_gate=unknown:no branch-local recirculation metric;fail_no_current_admitted_mesh_gci,work_products/2026-07/2026-07-16/2026-07-16_thermal_parity_resolution_gate/thermal_row_admission_gate.csv
salt2_lo5q:upcomer_inlet:left_lower_leg,ordinary_pipe_candidate_rows,salt2_lo5q,holdout,upcomer_inlet,upcomer_left_vertical,yes,Nu,0.6177451405,0.5000044571,recirculation_hybrid_onset_lane_only,missing,fail_no_current_admitted_mesh_gci,fail,fail,no,hybrid_recirculation_lane_only,source_gate_does_not_allow_internal_Nu_fit;residual_owner_gate=missing;sign_heat_balance_gate=fail:recirculation_hybrid_onset_lane_only;recirculation_gate=fail:upcomer/test-section parent is recirculation hybrid lane;fail_no_current_admitted_mesh_gci;test_section_and_left_spans_are_upcomer_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_branch_specific_ordinary_pipe_scorecard/ordinary_pipe_candidate_rows.csv
salt2_lo5q:upcomer_mid:test_section_span,ordinary_pipe_candidate_rows,salt2_lo5q,holdout,upcomer_mid,upcomer_left_vertical,yes,Nu,0.3692928784,0.5000060995,recirculation_hybrid_onset_lane_only,missing,fail_no_current_admitted_mesh_gci,fail,fail,no,hybrid_recirculation_lane_only,source_gate_does_not_allow_internal_Nu_fit;residual_owner_gate=missing;sign_heat_balance_gate=fail:recirculation_hybrid_onset_lane_only;recirculation_gate=fail:upcomer/test-section parent is recirculation hybrid lane;fail_no_current_admitted_mesh_gci;test_section_and_left_spans_are_upcomer_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_branch_specific_ordinary_pipe_scorecard/ordinary_pipe_candidate_rows.csv
salt2_lo5q:upcomer_outlet:left_upper_leg,ordinary_pipe_candidate_rows,salt2_lo5q,holdout,upcomer_outlet,upcomer_left_vertical,yes,Nu,0.7901396438,0.5000621677,recirculation_hybrid_onset_lane_only,missing,fail_no_current_admitted_mesh_gci,fail,fail,no,hybrid_recirculation_lane_only,source_gate_does_not_allow_internal_Nu_fit;residual_owner_gate=missing;sign_heat_balance_gate=fail:recirculation_hybrid_onset_lane_only;recirculation_gate=fail:upcomer/test-section parent is recirculation hybrid lane;fail_no_current_admitted_mesh_gci;test_section_and_left_spans_are_upcomer_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_branch_specific_ordinary_pipe_scorecard/ordinary_pipe_candidate_rows.csv
salt2_hi5q:upcomer_inlet:left_lower_leg,ordinary_pipe_candidate_rows,salt2_hi5q,holdout,upcomer_inlet,upcomer_left_vertical,yes,Nu,0.6096763649,0.4999936722,recirculation_hybrid_onset_lane_only,missing,fail_no_current_admitted_mesh_gci,fail,fail,no,hybrid_recirculation_lane_only,source_gate_does_not_allow_internal_Nu_fit;residual_owner_gate=missing;sign_heat_balance_gate=fail:recirculation_hybrid_onset_lane_only;recirculation_gate=fail:upcomer/test-section parent is recirculation hybrid lane;fail_no_current_admitted_mesh_gci;test_section_and_left_spans_are_upcomer_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_branch_specific_ordinary_pipe_scorecard/ordinary_pipe_candidate_rows.csv
salt2_hi5q:upcomer_mid:test_section_span,ordinary_pipe_candidate_rows,salt2_hi5q,holdout,upcomer_mid,upcomer_left_vertical,yes,Nu,0.3748113482,0.4999916556,recirculation_hybrid_onset_lane_only,missing,fail_no_current_admitted_mesh_gci,fail,fail,no,hybrid_recirculation_lane_only,source_gate_does_not_allow_internal_Nu_fit;residual_owner_gate=missing;sign_heat_balance_gate=fail:recirculation_hybrid_onset_lane_only;recirculation_gate=fail:upcomer/test-section parent is recirculation hybrid lane;fail_no_current_admitted_mesh_gci;test_section_and_left_spans_are_upcomer_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_branch_specific_ordinary_pipe_scorecard/ordinary_pipe_candidate_rows.csv
salt2_hi5q:upcomer_outlet:left_upper_leg,ordinary_pipe_candidate_rows,salt2_hi5q,holdout,upcomer_outlet,upcomer_left_vertical,yes,Nu,0.785845516,0.5000672828,recirculation_hybrid_onset_lane_only,missing,fail_no_current_admitted_mesh_gci,fail,fail,no,hybrid_recirculation_lane_only,source_gate_does_not_allow_internal_Nu_fit;residual_owner_gate=missing;sign_heat_balance_gate=fail:recirculation_hybrid_onset_lane_only;recirculation_gate=fail:upcomer/test-section parent is recirculation hybrid lane;fail_no_current_admitted_mesh_gci;test_section_and_left_spans_are_upcomer_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_branch_specific_ordinary_pipe_scorecard/ordinary_pipe_candidate_rows.csv
salt4_lo5q:upcomer_inlet:left_lower_leg,ordinary_pipe_candidate_rows,salt4_lo5q,training,upcomer_inlet,upcomer_left_vertical,yes,Nu,0.5466041262,0.5000026995,recirculation_hybrid_onset_lane_only,missing,fail_no_current_admitted_mesh_gci,fail,fail,no,hybrid_recirculation_lane_only,source_gate_does_not_allow_internal_Nu_fit;residual_owner_gate=missing;sign_heat_balance_gate=fail:recirculation_hybrid_onset_lane_only;recirculation_gate=fail:upcomer/test-section parent is recirculation hybrid lane;fail_no_current_admitted_mesh_gci;test_section_and_left_spans_are_upcomer_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_branch_specific_ordinary_pipe_scorecard/ordinary_pipe_candidate_rows.csv
salt4_lo5q:upcomer_mid:test_section_span,ordinary_pipe_candidate_rows,salt4_lo5q,training,upcomer_mid,upcomer_left_vertical,yes,Nu,0.3764033442,0.4999969289,recirculation_hybrid_onset_lane_only,missing,fail_no_current_admitted_mesh_gci,fail,fail,no,hybrid_recirculation_lane_only,source_gate_does_not_allow_internal_Nu_fit;residual_owner_gate=missing;sign_heat_balance_gate=fail:recirculation_hybrid_onset_lane_only;recirculation_gate=fail:upcomer/test-section parent is recirculation hybrid lane;fail_no_current_admitted_mesh_gci;test_section_and_left_spans_are_upcomer_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_branch_specific_ordinary_pipe_scorecard/ordinary_pipe_candidate_rows.csv
salt4_lo5q:upcomer_outlet:left_upper_leg,ordinary_pipe_candidate_rows,salt4_lo5q,training,upcomer_outlet,upcomer_left_vertical,yes,Nu,0.7765350946,0.5000757768,recirculation_hybrid_onset_lane_only,missing,fail_no_current_admitted_mesh_gci,fail,fail,no,hybrid_recirculation_lane_only,source_gate_does_not_allow_internal_Nu_fit;residual_owner_gate=missing;sign_heat_balance_gate=fail:recirculation_hybrid_onset_lane_only;recirculation_gate=fail:upcomer/test-section parent is recirculation hybrid lane;fail_no_current_admitted_mesh_gci;test_section_and_left_spans_are_upcomer_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_branch_specific_ordinary_pipe_scorecard/ordinary_pipe_candidate_rows.csv
salt4_hi5q:upcomer_inlet:left_lower_leg,ordinary_pipe_candidate_rows,salt4_hi5q,training,upcomer_inlet,upcomer_left_vertical,yes,Nu,0.5228637749,0.4999749795,recirculation_hybrid_onset_lane_only,missing,fail_no_current_admitted_mesh_gci,fail,fail,no,hybrid_recirculation_lane_only,source_gate_does_not_allow_internal_Nu_fit;residual_owner_gate=missing;sign_heat_balance_gate=fail:recirculation_hybrid_onset_lane_only;recirculation_gate=fail:upcomer/test-section parent is recirculation hybrid lane;fail_no_current_admitted_mesh_gci;test_section_and_left_spans_are_upcomer_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_branch_specific_ordinary_pipe_scorecard/ordinary_pipe_candidate_rows.csv
salt4_hi5q:upcomer_mid:test_section_span,ordinary_pipe_candidate_rows,salt4_hi5q,training,upcomer_mid,upcomer_left_vertical,yes,Nu,0.3778960681,0.4999891842,recirculation_hybrid_onset_lane_only,missing,fail_no_current_admitted_mesh_gci,fail,fail,no,hybrid_recirculation_lane_only,source_gate_does_not_allow_internal_Nu_fit;residual_owner_gate=missing;sign_heat_balance_gate=fail:recirculation_hybrid_onset_lane_only;recirculation_gate=fail:upcomer/test-section parent is recirculation hybrid lane;fail_no_current_admitted_mesh_gci;test_section_and_left_spans_are_upcomer_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_branch_specific_ordinary_pipe_scorecard/ordinary_pipe_candidate_rows.csv
salt4_hi5q:upcomer_outlet:left_upper_leg,ordinary_pipe_candidate_rows,salt4_hi5q,training,upcomer_outlet,upcomer_left_vertical,yes,Nu,0.7762644,0.5001364439,recirculation_hybrid_onset_lane_only,missing,fail_no_current_admitted_mesh_gci,fail,fail,no,hybrid_recirculation_lane_only,source_gate_does_not_allow_internal_Nu_fit;residual_owner_gate=missing;sign_heat_balance_gate=fail:recirculation_hybrid_onset_lane_only;recirculation_gate=fail:upcomer/test-section parent is recirculation hybrid lane;fail_no_current_admitted_mesh_gci;test_section_and_left_spans_are_upcomer_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_branch_specific_ordinary_pipe_scorecard/ordinary_pipe_candidate_rows.csv
salt_2:left_lower_leg__s00->left_upper_leg__s04,ordinary_pipe_candidate_rows,salt2_mainline,hydraulic_raw_tap_diagnostic,test_section_complex,upcomer_left_vertical,yes,ordinary_pipe_label,0.837962963,,section_effective_pressure_diagnostic_only,missing,fail_no_current_admitted_mesh_gci,fail,fail,no,hybrid_recirculation_lane_only,not_internal_Nu_qoi;source_gate_does_not_allow_internal_Nu_fit;residual_owner_gate=missing;sign_heat_balance_gate=fail:section_effective_pressure_diagnostic_only;recirculation_gate=fail:upcomer/test-section parent is recirculation hybrid lane;fail_no_current_admitted_mesh_gci;test_section_and_left_spans_are_upcomer_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_branch_specific_ordinary_pipe_scorecard/ordinary_pipe_candidate_rows.csv
salt_3:left_lower_leg__s00->left_upper_leg__s04,ordinary_pipe_candidate_rows,salt3_mainline,hydraulic_raw_tap_diagnostic,test_section_complex,upcomer_left_vertical,yes,ordinary_pipe_label,0.8302469136,,section_effective_pressure_diagnostic_only,missing,fail_no_current_admitted_mesh_gci,fail,fail,no,hybrid_recirculation_lane_only,not_internal_Nu_qoi;source_gate_does_not_allow_internal_Nu_fit;residual_owner_gate=missing;sign_heat_balance_gate=fail:section_effective_pressure_diagnostic_only;recirculation_gate=fail:upcomer/test-section parent is recirculation hybrid lane;fail_no_current_admitted_mesh_gci;test_section_and_left_spans_are_upcomer_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_branch_specific_ordinary_pipe_scorecard/ordinary_pipe_candidate_rows.csv
salt_4:left_lower_leg__s00->left_upper_leg__s04,ordinary_pipe_candidate_rows,salt4_mainline,hydraulic_raw_tap_diagnostic,test_section_complex,upcomer_left_vertical,yes,ordinary_pipe_label,0.8287037037,,section_effective_pressure_diagnostic_only,missing,fail_no_current_admitted_mesh_gci,fail,fail,no,hybrid_recirculation_lane_only,not_internal_Nu_qoi;source_gate_does_not_allow_internal_Nu_fit;residual_owner_gate=missing;sign_heat_balance_gate=fail:section_effective_pressure_diagnostic_only;recirculation_gate=fail:upcomer/test-section parent is recirculation hybrid lane;fail_no_current_admitted_mesh_gci;test_section_and_left_spans_are_upcomer_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_branch_specific_ordinary_pipe_scorecard/ordinary_pipe_candidate_rows.csv
corrected_pm5_salt2_salt4::upcomer_matched_planes,ordinary_pipe_candidate_rows,corrected_pm5_salt2_salt4,mixed_training_holdout,upcomer_matched_planes,upcomer_matched_planes,no,ordinary_pipe_label,,,recirculation_hybrid_onset_lane_only,missing,fail_no_current_admitted_mesh_gci,fail,unknown,no,blocked_or_diagnostic_nonfit,not_internal_Nu_qoi;source_gate_does_not_allow_internal_Nu_fit;residual_owner_gate=missing;sign_heat_balance_gate=fail:recirculation_hybrid_onset_lane_only;recirculation_gate=unknown:no branch-local recirculation metric;fail_no_current_admitted_mesh_gci,work_products/2026-07/2026-07-15/2026-07-15_branch_specific_ordinary_pipe_scorecard/ordinary_pipe_candidate_rows.csv
salt2_lo5q:upcomer_inlet:left_lower_leg,ordinary_pipe_candidate_rows,salt2_lo5q,holdout,left_lower_leg,upcomer_left_vertical,yes,Nu,0.6177451405,0.5000044571,recirculation_hybrid_onset_lane_only,missing,fail_no_current_admitted_mesh_gci,fail,fail,no,hybrid_recirculation_lane_only,source_gate_does_not_allow_internal_Nu_fit;residual_owner_gate=missing;sign_heat_balance_gate=fail:recirculation_hybrid_onset_lane_only;recirculation_gate=fail:upcomer/test-section parent is recirculation hybrid lane;fail_no_current_admitted_mesh_gci;test_section_and_left_spans_are_upcomer_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_branch_specific_ordinary_pipe_scorecard/ordinary_pipe_candidate_rows.csv
salt2_lo5q:upcomer_mid:test_section_span,ordinary_pipe_candidate_rows,salt2_lo5q,holdout,test_section_span,upcomer_left_vertical,yes,Nu,0.3692928784,0.5000060995,recirculation_hybrid_onset_lane_only,missing,fail_no_current_admitted_mesh_gci,fail,fail,no,hybrid_recirculation_lane_only,source_gate_does_not_allow_internal_Nu_fit;residual_owner_gate=missing;sign_heat_balance_gate=fail:recirculation_hybrid_onset_lane_only;recirculation_gate=fail:upcomer/test-section parent is recirculation hybrid lane;fail_no_current_admitted_mesh_gci;test_section_and_left_spans_are_upcomer_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_branch_specific_ordinary_pipe_scorecard/ordinary_pipe_candidate_rows.csv
salt2_lo5q:upcomer_outlet:left_upper_leg,ordinary_pipe_candidate_rows,salt2_lo5q,holdout,left_upper_leg,upcomer_left_vertical,yes,Nu,0.7901396438,0.5000621677,recirculation_hybrid_onset_lane_only,missing,fail_no_current_admitted_mesh_gci,fail,fail,no,hybrid_recirculation_lane_only,source_gate_does_not_allow_internal_Nu_fit;residual_owner_gate=missing;sign_heat_balance_gate=fail:recirculation_hybrid_onset_lane_only;recirculation_gate=fail:upcomer/test-section parent is recirculation hybrid lane;fail_no_current_admitted_mesh_gci;test_section_and_left_spans_are_upcomer_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_branch_specific_ordinary_pipe_scorecard/ordinary_pipe_candidate_rows.csv
salt2_hi5q:upcomer_inlet:left_lower_leg,ordinary_pipe_candidate_rows,salt2_hi5q,holdout,left_lower_leg,upcomer_left_vertical,yes,Nu,0.6096763649,0.4999936722,recirculation_hybrid_onset_lane_only,missing,fail_no_current_admitted_mesh_gci,fail,fail,no,hybrid_recirculation_lane_only,source_gate_does_not_allow_internal_Nu_fit;residual_owner_gate=missing;sign_heat_balance_gate=fail:recirculation_hybrid_onset_lane_only;recirculation_gate=fail:upcomer/test-section parent is recirculation hybrid lane;fail_no_current_admitted_mesh_gci;test_section_and_left_spans_are_upcomer_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_branch_specific_ordinary_pipe_scorecard/ordinary_pipe_candidate_rows.csv
salt2_hi5q:upcomer_mid:test_section_span,ordinary_pipe_candidate_rows,salt2_hi5q,holdout,test_section_span,upcomer_left_vertical,yes,Nu,0.3748113482,0.4999916556,recirculation_hybrid_onset_lane_only,missing,fail_no_current_admitted_mesh_gci,fail,fail,no,hybrid_recirculation_lane_only,source_gate_does_not_allow_internal_Nu_fit;residual_owner_gate=missing;sign_heat_balance_gate=fail:recirculation_hybrid_onset_lane_only;recirculation_gate=fail:upcomer/test-section parent is recirculation hybrid lane;fail_no_current_admitted_mesh_gci;test_section_and_left_spans_are_upcomer_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_branch_specific_ordinary_pipe_scorecard/ordinary_pipe_candidate_rows.csv
