qoi_id,reported_span_or_segment,canonical_leg_id,qoi_family,quantity,current_publication_ready,current_fit_admissible,complete_triplet,gci_status,final_use_decision,resolution_action,source_paths
momentum_corrected_friction::left_lower_leg,left_lower_leg,upcomer_left_vertical,closure,f_corrected,no,no,yes,not_computed_non_monotone_or_divergent,diagnostic_only_upcomer_hybrid_lane,do not use for single-stream Nu/f_D/K; use onset/hybrid diagnostics,work_products/2026-07/2026-07-01/2026-07-01_claude_momentum_budget/momentum_budget.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/momentum_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/momentum_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_gci_results.csv
momentum_corrected_friction::left_upper_leg,left_upper_leg,upcomer_left_vertical,closure,f_corrected,no,no,yes,not_computed_non_monotone_or_divergent,diagnostic_only_upcomer_hybrid_lane,do not use for single-stream Nu/f_D/K; use onset/hybrid diagnostics,work_products/2026-07/2026-07-01/2026-07-01_claude_momentum_budget/momentum_budget.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/momentum_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/momentum_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_gci_results.csv
momentum_corrected_friction::lower_leg,lower_leg,heater_lower_leg,closure,f_corrected,no,no,yes,not_computed_non_monotone_or_divergent,not_publication_gci_current_triplet_exclude_or_reextract,either exclude row from final closure set or rerun same-QOI extraction on better mesh/source contract,work_products/2026-07/2026-07-01/2026-07-01_claude_momentum_budget/momentum_budget.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/momentum_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/momentum_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_gci_results.csv
momentum_corrected_friction::right_leg,right_leg,downcomer_right_vertical,closure,f_corrected,no,no,yes,not_computed_non_monotone_or_divergent,not_publication_gci_current_triplet_exclude_or_reextract,either exclude row from final closure set or rerun same-QOI extraction on better mesh/source contract,work_products/2026-07/2026-07-01/2026-07-01_claude_momentum_budget/momentum_budget.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/momentum_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/momentum_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_gci_results.csv
momentum_corrected_friction::test_section_span,test_section_span,upcomer_left_vertical,closure,f_corrected,no,no,yes,not_computed_non_monotone_or_divergent,diagnostic_only_upcomer_hybrid_lane,do not use for single-stream Nu/f_D/K; use onset/hybrid diagnostics,work_products/2026-07/2026-07-01/2026-07-01_claude_momentum_budget/momentum_budget.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/momentum_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/momentum_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_gci_results.csv
momentum_corrected_friction::upper_leg,upper_leg,cooler_hx_branch,closure,f_corrected,no,no,yes,not_computed_non_monotone_or_divergent,not_publication_gci_current_triplet_exclude_or_reextract,either exclude row from final closure set or rerun same-QOI extraction on better mesh/source contract,work_products/2026-07/2026-07-01/2026-07-01_claude_momentum_budget/momentum_budget.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/momentum_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/momentum_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_gci_results.csv
thermal_segment_closure::downcomer::thermal_segment_closure,downcomer,downcomer_right_vertical,thermal,thermal_segment_closure,no,no,no,not_computed_blocked_downcomer_policy,blocked_pending_downcomer_policy,decide downcomer/right-leg thermal policy before extracting or interpreting closure QoI,work_products/2026-07/2026-07-13/2026-07-13_salt2_coarse_thermal_repair_smoke/outputs/coarse/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-13/2026-07-13_reconstructed_t_repair_trial/outputs/medium/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_fine_reconstructed_t_repair_plan_sbatch/repair_trial_output/outputs/fine/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv
thermal_segment_closure::lower_leg::HTC,lower_leg,heater_lower_leg,thermal,HTC,no,no,yes,not_publication_gci_sign_review_required,blocked_pending_sign_heat_balance_source_admission,"resolve thermal sign labels, enthalpy direction, heat-balance residual, source ownership, and internal-Nu residual guardrail",work_products/2026-07/2026-07-13/2026-07-13_salt2_coarse_thermal_repair_smoke/outputs/coarse/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-13/2026-07-13_reconstructed_t_repair_trial/outputs/medium/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_fine_reconstructed_t_repair_plan_sbatch/repair_trial_output/outputs/fine/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv
thermal_segment_closure::lower_leg::UA_prime,lower_leg,heater_lower_leg,thermal,UA_prime,no,no,yes,not_publication_gci_sign_review_required,blocked_pending_sign_heat_balance_source_admission,"resolve thermal sign labels, enthalpy direction, heat-balance residual, source ownership, and internal-Nu residual guardrail",work_products/2026-07/2026-07-13/2026-07-13_salt2_coarse_thermal_repair_smoke/outputs/coarse/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-13/2026-07-13_reconstructed_t_repair_trial/outputs/medium/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_fine_reconstructed_t_repair_plan_sbatch/repair_trial_output/outputs/fine/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv
thermal_segment_closure::lower_leg::Nu,lower_leg,heater_lower_leg,thermal,Nu,no,no,no,not_computed_missing_triplet,blocked_pending_same_qoi_triplet_reconciliation,missing_or_unreconciled_mesh_levels=coarse|medium|fine,work_products/2026-07/2026-07-13/2026-07-13_salt2_coarse_thermal_repair_smoke/outputs/coarse/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-13/2026-07-13_reconstructed_t_repair_trial/outputs/medium/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_fine_reconstructed_t_repair_plan_sbatch/repair_trial_output/outputs/fine/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv
thermal_segment_closure::upcomer::HTC,upcomer,upcomer_left_vertical,thermal,HTC,no,no,yes,not_publication_gci_sign_review_required,diagnostic_only_upcomer_hybrid_lane,do not use for single-stream Nu/f_D/K; use onset/hybrid diagnostics,work_products/2026-07/2026-07-13/2026-07-13_salt2_coarse_thermal_repair_smoke/outputs/coarse/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-13/2026-07-13_reconstructed_t_repair_trial/outputs/medium/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_fine_reconstructed_t_repair_plan_sbatch/repair_trial_output/outputs/fine/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv
thermal_segment_closure::upcomer::UA_prime,upcomer,upcomer_left_vertical,thermal,UA_prime,no,no,yes,not_publication_gci_sign_review_required,diagnostic_only_upcomer_hybrid_lane,do not use for single-stream Nu/f_D/K; use onset/hybrid diagnostics,work_products/2026-07/2026-07-13/2026-07-13_salt2_coarse_thermal_repair_smoke/outputs/coarse/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-13/2026-07-13_reconstructed_t_repair_trial/outputs/medium/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_fine_reconstructed_t_repair_plan_sbatch/repair_trial_output/outputs/fine/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv
thermal_segment_closure::upcomer::Nu,upcomer,upcomer_left_vertical,thermal,Nu,no,no,yes,not_publication_gci_sign_review_required,diagnostic_only_upcomer_hybrid_lane,do not use for single-stream Nu/f_D/K; use onset/hybrid diagnostics,work_products/2026-07/2026-07-13/2026-07-13_salt2_coarse_thermal_repair_smoke/outputs/coarse/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-13/2026-07-13_reconstructed_t_repair_trial/outputs/medium/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_fine_reconstructed_t_repair_plan_sbatch/repair_trial_output/outputs/fine/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv
