case_id,qoi_id,lane,span,method,quantity,numeric_triplet_complete,source_gate,gci_verdict,gci_trustworthy,publication_ready,admission_decision,blocker,recommended_use
salt_2,pressure_gradient_friction::upper_leg::section_mean_static_gradient,pressure_gradient_friction,upper_leg,section_mean_static_gradient,apparent_darcy_f,yes,diagnostic_or_not_fit_safe,oscillatory,no,no,diagnostic_not_publication_gci,not_fit_safe_pressure_recovery_or_noise,keep diagnostic; do not publish as closure-QOI mesh GCI
salt_2,pressure_gradient_friction::upper_leg::section_mean_total_pressure_gradient,pressure_gradient_friction,upper_leg,section_mean_total_pressure_gradient,apparent_darcy_f,yes,diagnostic_or_not_fit_safe,oscillatory,no,no,diagnostic_not_publication_gci,not_fit_safe_pressure_recovery_or_noise,keep diagnostic; do not publish as closure-QOI mesh GCI
salt_2,momentum_corrected_friction::left_lower_leg,momentum_corrected_friction,left_lower_leg,streamwise_momentum_budget_debuoyed,f_corrected,yes,medium_fine_source_rows_admitted,oscillatory,no,no,blocked_gci_not_trustworthy,computed GCI failed monotonic/asymptotic gate: oscillatory,treat as mesh sensitivity diagnostic; refine extraction/admission before publication
salt_2,momentum_corrected_friction::left_upper_leg,momentum_corrected_friction,left_upper_leg,streamwise_momentum_budget_debuoyed,f_corrected,yes,medium_fine_source_rows_admitted,monotonic_divergence,no,no,blocked_gci_not_trustworthy,computed GCI failed monotonic/asymptotic gate: monotonic_divergence,treat as mesh sensitivity diagnostic; refine extraction/admission before publication
salt_2,momentum_corrected_friction::lower_leg,momentum_corrected_friction,lower_leg,streamwise_momentum_budget_debuoyed,f_corrected,yes,medium_fine_source_rows_admitted,oscillatory,no,no,blocked_gci_not_trustworthy,computed GCI failed monotonic/asymptotic gate: oscillatory,treat as mesh sensitivity diagnostic; refine extraction/admission before publication
salt_2,momentum_corrected_friction::right_leg,momentum_corrected_friction,right_leg,streamwise_momentum_budget_debuoyed,f_corrected,yes,medium_fine_source_rows_admitted,oscillatory,no,no,blocked_gci_not_trustworthy,computed GCI failed monotonic/asymptotic gate: oscillatory,treat as mesh sensitivity diagnostic; refine extraction/admission before publication
salt_2,momentum_corrected_friction::test_section_span,momentum_corrected_friction,test_section_span,streamwise_momentum_budget_debuoyed,f_corrected,yes,medium_fine_source_rows_admitted,monotonic_divergence,no,no,blocked_gci_not_trustworthy,computed GCI failed monotonic/asymptotic gate: monotonic_divergence,treat as mesh sensitivity diagnostic; refine extraction/admission before publication
salt_2,momentum_corrected_friction::upper_leg,momentum_corrected_friction,upper_leg,streamwise_momentum_budget_debuoyed,f_corrected,yes,medium_fine_source_rows_admitted,oscillatory,no,no,blocked_gci_not_trustworthy,computed GCI failed monotonic/asymptotic gate: oscillatory,treat as mesh sensitivity diagnostic; refine extraction/admission before publication
salt_2,thermal_segment_closure::lower_leg::htc_wm2k,thermal_segment_closure,lower_leg,segment_htc_uaprime_repair_trial,htc_wm2k,no,blocked_missing_thermal_triplet,,,no,blocked_missing_triplet_qoi,fine_thermal_extraction_missing; coarse_thermal_triplet_not_reconciled,extract or reconcile the missing mesh-level QoI
salt_2,thermal_segment_closure::lower_leg::uaprime_wmk,thermal_segment_closure,lower_leg,segment_htc_uaprime_repair_trial,uaprime_wmk,no,blocked_missing_thermal_triplet,,,no,blocked_missing_triplet_qoi,fine_thermal_extraction_missing; coarse_thermal_triplet_not_reconciled,extract or reconcile the missing mesh-level QoI
salt_2,thermal_segment_closure::lower_leg::Nu,thermal_segment_closure,lower_leg,segment_htc_uaprime_repair_trial,Nu,no,blocked_missing_thermal_triplet,,,no,blocked_missing_triplet_qoi,medium_Nu_not_finite_or_not_admitted,extract or reconcile the missing mesh-level QoI
salt_2,thermal_segment_closure::upcomer::htc_wm2k,thermal_segment_closure,upcomer,segment_htc_uaprime_repair_trial,htc_wm2k,no,blocked_missing_thermal_triplet,,,no,blocked_missing_triplet_qoi,fine_thermal_extraction_missing; coarse_thermal_triplet_not_reconciled,extract or reconcile the missing mesh-level QoI
salt_2,thermal_segment_closure::upcomer::uaprime_wmk,thermal_segment_closure,upcomer,segment_htc_uaprime_repair_trial,uaprime_wmk,no,blocked_missing_thermal_triplet,,,no,blocked_missing_triplet_qoi,fine_thermal_extraction_missing; coarse_thermal_triplet_not_reconciled,extract or reconcile the missing mesh-level QoI
salt_2,thermal_segment_closure::upcomer::Nu,thermal_segment_closure,upcomer,segment_htc_uaprime_repair_trial,Nu,no,blocked_missing_thermal_triplet,,,no,blocked_missing_triplet_qoi,fine_thermal_extraction_missing; coarse_thermal_triplet_not_reconciled,extract or reconcile the missing mesh-level QoI
salt_2,thermal_segment_closure::downcomer::blocked,thermal_segment_closure,downcomer,segment_htc_uaprime_repair_trial,thermal_segment_closure,no,blocked_thermal_segment,,,no,blocked_missing_triplet_qoi,thermally_blocked_segment_right_leg,extract or reconcile the missing mesh-level QoI
