case_id,qoi_id,lane,span,method,quantity,units,coarse_value,medium_value,fine_value,r21,r32,numeric_triplet_complete,coarse_source_path,medium_source_path,fine_source_path,coarse_admission_status,medium_admission_status,fine_admission_status,source_gate,blocker
salt_2,pressure_gradient_friction::upper_leg::section_mean_static_gradient,pressure_gradient_friction,upper_leg,section_mean_static_gradient,apparent_darcy_f,dimensionless,-11.0708767528,-11.0192919874,-11.206516151,1.5,1.5,yes,work_products/2026-06/2026-06-30/2026-06-30_claude_segment_friction/segment_friction.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,admitted_mainline,not_fit_safe_pressure_recovery_or_noise,not_fit_safe_pressure_recovery_or_noise,diagnostic_or_not_fit_safe,not_fit_safe_pressure_recovery_or_noise
salt_2,pressure_gradient_friction::upper_leg::section_mean_total_pressure_gradient,pressure_gradient_friction,upper_leg,section_mean_total_pressure_gradient,apparent_darcy_f,dimensionless,-11.0738529204,-11.0221357209,-11.2078620673,1.5,1.5,yes,work_products/2026-06/2026-06-30/2026-06-30_claude_segment_friction/segment_friction.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,admitted_mainline,not_fit_safe_pressure_recovery_or_noise,not_fit_safe_pressure_recovery_or_noise,diagnostic_or_not_fit_safe,not_fit_safe_pressure_recovery_or_noise
salt_2,momentum_corrected_friction::left_lower_leg,momentum_corrected_friction,left_lower_leg,streamwise_momentum_budget_debuoyed,f_corrected,dimensionless,1.39581975045,1.35536317092,1.36437896511,1.5,1.5,yes,work_products/2026-07/2026-07-01/2026-07-01_claude_momentum_budget/momentum_budget.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/momentum_mesh_comparison.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/momentum_mesh_comparison.csv,admitted_mainline,fit_safe_momentum_corrected,fit_safe_momentum_corrected,medium_fine_source_rows_admitted,
salt_2,momentum_corrected_friction::left_upper_leg,momentum_corrected_friction,left_upper_leg,streamwise_momentum_budget_debuoyed,f_corrected,dimensionless,0.995691546845,1.00486829829,1.01614705201,1.5,1.5,yes,work_products/2026-07/2026-07-01/2026-07-01_claude_momentum_budget/momentum_budget.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/momentum_mesh_comparison.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/momentum_mesh_comparison.csv,admitted_mainline,fit_safe_momentum_corrected,fit_safe_momentum_corrected,medium_fine_source_rows_admitted,
salt_2,momentum_corrected_friction::lower_leg,momentum_corrected_friction,lower_leg,streamwise_momentum_budget_debuoyed,f_corrected,dimensionless,2.50887650965,2.31629298737,2.34666892699,1.5,1.5,yes,work_products/2026-07/2026-07-01/2026-07-01_claude_momentum_budget/momentum_budget.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/momentum_mesh_comparison.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/momentum_mesh_comparison.csv,admitted_mainline,fit_safe_momentum_corrected,fit_safe_momentum_corrected,medium_fine_source_rows_admitted,
salt_2,momentum_corrected_friction::right_leg,momentum_corrected_friction,right_leg,streamwise_momentum_budget_debuoyed,f_corrected,dimensionless,2.2959982846,2.19091313694,2.23011349428,1.5,1.5,yes,work_products/2026-07/2026-07-01/2026-07-01_claude_momentum_budget/momentum_budget.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/momentum_mesh_comparison.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/momentum_mesh_comparison.csv,admitted_mainline,fit_safe_momentum_corrected,fit_safe_momentum_corrected,medium_fine_source_rows_admitted,
salt_2,momentum_corrected_friction::test_section_span,momentum_corrected_friction,test_section_span,streamwise_momentum_budget_debuoyed,f_corrected,dimensionless,1.36075179112,1.32067321753,1.26014443368,1.5,1.5,yes,work_products/2026-07/2026-07-01/2026-07-01_claude_momentum_budget/momentum_budget.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/momentum_mesh_comparison.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/momentum_mesh_comparison.csv,admitted_mainline,fit_safe_momentum_corrected,fit_safe_momentum_corrected,medium_fine_source_rows_admitted,
salt_2,momentum_corrected_friction::upper_leg,momentum_corrected_friction,upper_leg,streamwise_momentum_budget_debuoyed,f_corrected,dimensionless,2.27949410277,2.20007711588,2.24457976036,1.5,1.5,yes,work_products/2026-07/2026-07-01/2026-07-01_claude_momentum_budget/momentum_budget.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/momentum_mesh_comparison.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/momentum_mesh_comparison.csv,admitted_mainline,fit_safe_momentum_corrected,fit_safe_momentum_corrected,medium_fine_source_rows_admitted,
salt_2,thermal_segment_closure::lower_leg::htc_wm2k,thermal_segment_closure,lower_leg,segment_htc_uaprime_repair_trial,htc_wm2k,W/m2/K,,457.342555912,,1.5,1.5,no,,work_products/2026-07/2026-07-13/2026-07-13_reconstructed_t_repair_trial/outputs/medium/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv,,not_reconciled_for_thermal_gci,repair_smoke_computed_not_closure_admitted,missing_fine_thermal_extraction,blocked_missing_thermal_triplet,fine_thermal_extraction_missing; coarse_thermal_triplet_not_reconciled
salt_2,thermal_segment_closure::lower_leg::uaprime_wmk,thermal_segment_closure,lower_leg,segment_htc_uaprime_repair_trial,uaprime_wmk,W/m/K,,40.0499199715,,1.5,1.5,no,,work_products/2026-07/2026-07-13/2026-07-13_reconstructed_t_repair_trial/outputs/medium/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv,,not_reconciled_for_thermal_gci,repair_smoke_computed_not_closure_admitted,missing_fine_thermal_extraction,blocked_missing_thermal_triplet,fine_thermal_extraction_missing; coarse_thermal_triplet_not_reconciled
salt_2,thermal_segment_closure::lower_leg::Nu,thermal_segment_closure,lower_leg,segment_htc_uaprime_repair_trial,Nu,dimensionless,,,,1.5,1.5,no,,work_products/2026-07/2026-07-13/2026-07-13_reconstructed_t_repair_trial/outputs/medium/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv,,not_reconciled_for_thermal_gci,repair_smoke_computed_not_closure_admitted,missing_fine_thermal_extraction,blocked_missing_thermal_triplet,medium_Nu_not_finite_or_not_admitted
salt_2,thermal_segment_closure::upcomer::htc_wm2k,thermal_segment_closure,upcomer,segment_htc_uaprime_repair_trial,htc_wm2k,W/m2/K,,77.9372395781,,1.5,1.5,no,,work_products/2026-07/2026-07-13/2026-07-13_reconstructed_t_repair_trial/outputs/medium/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv,,not_reconciled_for_thermal_gci,repair_smoke_computed_not_closure_admitted,missing_fine_thermal_extraction,blocked_missing_thermal_triplet,fine_thermal_extraction_missing; coarse_thermal_triplet_not_reconciled
salt_2,thermal_segment_closure::upcomer::uaprime_wmk,thermal_segment_closure,upcomer,segment_htc_uaprime_repair_trial,uaprime_wmk,W/m/K,,6.69189468429,,1.5,1.5,no,,work_products/2026-07/2026-07-13/2026-07-13_reconstructed_t_repair_trial/outputs/medium/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv,,not_reconciled_for_thermal_gci,repair_smoke_computed_not_closure_admitted,missing_fine_thermal_extraction,blocked_missing_thermal_triplet,fine_thermal_extraction_missing; coarse_thermal_triplet_not_reconciled
salt_2,thermal_segment_closure::upcomer::Nu,thermal_segment_closure,upcomer,segment_htc_uaprime_repair_trial,Nu,dimensionless,,4.28483646142,,1.5,1.5,no,,work_products/2026-07/2026-07-13/2026-07-13_reconstructed_t_repair_trial/outputs/medium/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv,,not_reconciled_for_thermal_gci,repair_smoke_computed_not_closure_admitted,missing_fine_thermal_extraction,blocked_missing_thermal_triplet,fine_thermal_extraction_missing; coarse_thermal_triplet_not_reconciled
salt_2,thermal_segment_closure::downcomer::blocked,thermal_segment_closure,downcomer,segment_htc_uaprime_repair_trial,thermal_segment_closure,mixed,,,,1.5,1.5,no,,work_products/2026-07/2026-07-13/2026-07-13_reconstructed_t_repair_trial/outputs/medium/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv,,,thermally_blocked_segment_right_leg,missing_fine_thermal_extraction,blocked_thermal_segment,thermally_blocked_segment_right_leg
