case_id,qoi_id,lane,span,method,quantity,coarse_value,medium_value,fine_value,blocker,recommended_next_action
salt_2,pressure_gradient_friction::upper_leg::section_mean_static_gradient,pressure_gradient_friction,upper_leg,section_mean_static_gradient,apparent_darcy_f,-11.0708767528,-11.0192919874,-11.206516151,not_fit_safe_pressure_recovery_or_noise,keep diagnostic; do not publish as closure-QOI mesh GCI
salt_2,pressure_gradient_friction::upper_leg::section_mean_total_pressure_gradient,pressure_gradient_friction,upper_leg,section_mean_total_pressure_gradient,apparent_darcy_f,-11.0738529204,-11.0221357209,-11.2078620673,not_fit_safe_pressure_recovery_or_noise,keep diagnostic; do not publish as closure-QOI mesh GCI
salt_2,momentum_corrected_friction::left_lower_leg,momentum_corrected_friction,left_lower_leg,streamwise_momentum_budget_debuoyed,f_corrected,1.39581975045,1.35536317092,1.36437896511,computed GCI failed monotonic/asymptotic gate: oscillatory,treat as mesh sensitivity diagnostic; refine extraction/admission before publication
salt_2,momentum_corrected_friction::left_upper_leg,momentum_corrected_friction,left_upper_leg,streamwise_momentum_budget_debuoyed,f_corrected,0.995691546845,1.00486829829,1.01614705201,computed GCI failed monotonic/asymptotic gate: monotonic_divergence,treat as mesh sensitivity diagnostic; refine extraction/admission before publication
salt_2,momentum_corrected_friction::lower_leg,momentum_corrected_friction,lower_leg,streamwise_momentum_budget_debuoyed,f_corrected,2.50887650965,2.31629298737,2.34666892699,computed GCI failed monotonic/asymptotic gate: oscillatory,treat as mesh sensitivity diagnostic; refine extraction/admission before publication
salt_2,momentum_corrected_friction::right_leg,momentum_corrected_friction,right_leg,streamwise_momentum_budget_debuoyed,f_corrected,2.2959982846,2.19091313694,2.23011349428,computed GCI failed monotonic/asymptotic gate: oscillatory,treat as mesh sensitivity diagnostic; refine extraction/admission before publication
salt_2,momentum_corrected_friction::test_section_span,momentum_corrected_friction,test_section_span,streamwise_momentum_budget_debuoyed,f_corrected,1.36075179112,1.32067321753,1.26014443368,computed GCI failed monotonic/asymptotic gate: monotonic_divergence,treat as mesh sensitivity diagnostic; refine extraction/admission before publication
salt_2,momentum_corrected_friction::upper_leg,momentum_corrected_friction,upper_leg,streamwise_momentum_budget_debuoyed,f_corrected,2.27949410277,2.20007711588,2.24457976036,computed GCI failed monotonic/asymptotic gate: oscillatory,treat as mesh sensitivity diagnostic; refine extraction/admission before publication
salt_2,thermal_segment_closure::lower_leg::htc_wm2k,thermal_segment_closure,lower_leg,segment_htc_uaprime_repair_trial,htc_wm2k,,457.342555912,,fine_thermal_extraction_missing; coarse_thermal_triplet_not_reconciled,extract or reconcile the missing mesh-level QoI
salt_2,thermal_segment_closure::lower_leg::uaprime_wmk,thermal_segment_closure,lower_leg,segment_htc_uaprime_repair_trial,uaprime_wmk,,40.0499199715,,fine_thermal_extraction_missing; coarse_thermal_triplet_not_reconciled,extract or reconcile the missing mesh-level QoI
salt_2,thermal_segment_closure::lower_leg::Nu,thermal_segment_closure,lower_leg,segment_htc_uaprime_repair_trial,Nu,,,,medium_Nu_not_finite_or_not_admitted,extract or reconcile the missing mesh-level QoI
salt_2,thermal_segment_closure::upcomer::htc_wm2k,thermal_segment_closure,upcomer,segment_htc_uaprime_repair_trial,htc_wm2k,,77.9372395781,,fine_thermal_extraction_missing; coarse_thermal_triplet_not_reconciled,extract or reconcile the missing mesh-level QoI
salt_2,thermal_segment_closure::upcomer::uaprime_wmk,thermal_segment_closure,upcomer,segment_htc_uaprime_repair_trial,uaprime_wmk,,6.69189468429,,fine_thermal_extraction_missing; coarse_thermal_triplet_not_reconciled,extract or reconcile the missing mesh-level QoI
salt_2,thermal_segment_closure::upcomer::Nu,thermal_segment_closure,upcomer,segment_htc_uaprime_repair_trial,Nu,,4.28483646142,,fine_thermal_extraction_missing; coarse_thermal_triplet_not_reconciled,extract or reconcile the missing mesh-level QoI
salt_2,thermal_segment_closure::downcomer::blocked,thermal_segment_closure,downcomer,segment_htc_uaprime_repair_trial,thermal_segment_closure,,,,thermally_blocked_segment_right_leg,extract or reconcile the missing mesh-level QoI
