case_key,plane_location,station_label,case_role,pre_wrapper_admission_status,metric_status,parse_status,post_3305547_admission_status,fit_candidate,source_path
salt2_lo10q,upcomer_mid,test_section_span__s02,pending-terminal-harvest,blocked-compute-node-sampling-required,awaiting_compute_node_sampling,parser_inputs_present,blocked_parser_rollup_required,false,work_products/2026-07/2026-07-20/2026-07-20_pressure_upcomer_matched_plane_relaunch_package/matched_plane_metrics_admission.csv
salt2_lo10q,upcomer_outlet,left_upper_leg__s04,pending-terminal-harvest,blocked-compute-node-sampling-required,awaiting_compute_node_sampling,parser_inputs_present,blocked_parser_rollup_required,false,work_products/2026-07/2026-07-20/2026-07-20_pressure_upcomer_matched_plane_relaunch_package/matched_plane_metrics_admission.csv
salt2_hi10q,upcomer_inlet,left_lower_leg__s00,pending-terminal-harvest,blocked-compute-node-sampling-required,awaiting_compute_node_sampling,job_pending_or_parser_outputs_missing,blocked_compute_or_parser_outputs_missing,false,work_products/2026-07/2026-07-20/2026-07-20_pressure_upcomer_matched_plane_relaunch_package/matched_plane_metrics_admission.csv
salt2_hi10q,upcomer_mid,test_section_span__s02,pending-terminal-harvest,blocked-compute-node-sampling-required,awaiting_compute_node_sampling,job_pending_or_parser_outputs_missing,blocked_compute_or_parser_outputs_missing,false,work_products/2026-07/2026-07-20/2026-07-20_pressure_upcomer_matched_plane_relaunch_package/matched_plane_metrics_admission.csv
salt2_hi10q,upcomer_outlet,left_upper_leg__s04,pending-terminal-harvest,blocked-compute-node-sampling-required,awaiting_compute_node_sampling,job_pending_or_parser_outputs_missing,blocked_compute_or_parser_outputs_missing,false,work_products/2026-07/2026-07-20/2026-07-20_pressure_upcomer_matched_plane_relaunch_package/matched_plane_metrics_admission.csv
salt4_lo10q,upcomer_inlet,left_lower_leg__s00,pending-terminal-harvest,blocked-compute-node-sampling-required,awaiting_compute_node_sampling,job_pending_or_parser_outputs_missing,blocked_compute_or_parser_outputs_missing,false,work_products/2026-07/2026-07-20/2026-07-20_pressure_upcomer_matched_plane_relaunch_package/matched_plane_metrics_admission.csv
salt4_lo10q,upcomer_mid,test_section_span__s02,pending-terminal-harvest,blocked-compute-node-sampling-required,awaiting_compute_node_sampling,job_pending_or_parser_outputs_missing,blocked_compute_or_parser_outputs_missing,false,work_products/2026-07/2026-07-20/2026-07-20_pressure_upcomer_matched_plane_relaunch_package/matched_plane_metrics_admission.csv
salt4_lo10q,upcomer_outlet,left_upper_leg__s04,pending-terminal-harvest,blocked-compute-node-sampling-required,awaiting_compute_node_sampling,job_pending_or_parser_outputs_missing,blocked_compute_or_parser_outputs_missing,false,work_products/2026-07/2026-07-20/2026-07-20_pressure_upcomer_matched_plane_relaunch_package/matched_plane_metrics_admission.csv
salt4_hi5q,upcomer_inlet,left_lower_leg__s00,sensitivity-only,blocked-terminal-harvest-or-new-cfd-run,blocked_before_sampling,no_wrapper_parse_row,blocked_compute_or_parser_outputs_missing,false,work_products/2026-07/2026-07-20/2026-07-20_pressure_upcomer_matched_plane_relaunch_package/matched_plane_metrics_admission.csv
salt4_hi5q,upcomer_mid,test_section_span__s02,sensitivity-only,blocked-terminal-harvest-or-new-cfd-run,blocked_before_sampling,no_wrapper_parse_row,blocked_compute_or_parser_outputs_missing,false,work_products/2026-07/2026-07-20/2026-07-20_pressure_upcomer_matched_plane_relaunch_package/matched_plane_metrics_admission.csv
salt4_hi5q,upcomer_outlet,left_upper_leg__s04,sensitivity-only,blocked-terminal-harvest-or-new-cfd-run,blocked_before_sampling,no_wrapper_parse_row,blocked_compute_or_parser_outputs_missing,false,work_products/2026-07/2026-07-20/2026-07-20_pressure_upcomer_matched_plane_relaunch_package/matched_plane_metrics_admission.csv
salt4_hi10q,upcomer_inlet,left_lower_leg__s00,pending-terminal-harvest,blocked-compute-node-sampling-required,awaiting_compute_node_sampling,job_pending_or_parser_outputs_missing,blocked_compute_or_parser_outputs_missing,false,work_products/2026-07/2026-07-20/2026-07-20_pressure_upcomer_matched_plane_relaunch_package/matched_plane_metrics_admission.csv
salt4_hi10q,upcomer_mid,test_section_span__s02,pending-terminal-harvest,blocked-compute-node-sampling-required,awaiting_compute_node_sampling,job_pending_or_parser_outputs_missing,blocked_compute_or_parser_outputs_missing,false,work_products/2026-07/2026-07-20/2026-07-20_pressure_upcomer_matched_plane_relaunch_package/matched_plane_metrics_admission.csv
salt4_hi10q,upcomer_outlet,left_upper_leg__s04,pending-terminal-harvest,blocked-compute-node-sampling-required,awaiting_compute_node_sampling,job_pending_or_parser_outputs_missing,blocked_compute_or_parser_outputs_missing,false,work_products/2026-07/2026-07-20/2026-07-20_pressure_upcomer_matched_plane_relaunch_package/matched_plane_metrics_admission.csv
salt2_mesh_refinement_family_coarse_medium_fine,upcomer_inlet,left_lower_leg__s00,diagnostic-only,blocked-compute-node-sampling-required,awaiting_compute_node_sampling,no_wrapper_parse_row,blocked_compute_or_parser_outputs_missing,false,work_products/2026-07/2026-07-20/2026-07-20_pressure_upcomer_matched_plane_relaunch_package/matched_plane_metrics_admission.csv
salt2_mesh_refinement_family_coarse_medium_fine,upcomer_mid,test_section_span__s02,diagnostic-only,blocked-compute-node-sampling-required,awaiting_compute_node_sampling,no_wrapper_parse_row,blocked_compute_or_parser_outputs_missing,false,work_products/2026-07/2026-07-20/2026-07-20_pressure_upcomer_matched_plane_relaunch_package/matched_plane_metrics_admission.csv
salt2_mesh_refinement_family_coarse_medium_fine,upcomer_outlet,left_upper_leg__s04,diagnostic-only,blocked-compute-node-sampling-required,awaiting_compute_node_sampling,no_wrapper_parse_row,blocked_compute_or_parser_outputs_missing,false,work_products/2026-07/2026-07-20/2026-07-20_pressure_upcomer_matched_plane_relaunch_package/matched_plane_metrics_admission.csv
new_targeted_re150,upcomer_inlet,left_lower_leg__s00,not-admissible,blocked-terminal-harvest-or-new-cfd-run,blocked_before_sampling,no_wrapper_parse_row,blocked_compute_or_parser_outputs_missing,false,work_products/2026-07/2026-07-20/2026-07-20_pressure_upcomer_matched_plane_relaunch_package/matched_plane_metrics_admission.csv
new_targeted_re150,upcomer_mid,test_section_span__s02,not-admissible,blocked-terminal-harvest-or-new-cfd-run,blocked_before_sampling,no_wrapper_parse_row,blocked_compute_or_parser_outputs_missing,false,work_products/2026-07/2026-07-20/2026-07-20_pressure_upcomer_matched_plane_relaunch_package/matched_plane_metrics_admission.csv
new_targeted_re150,upcomer_outlet,left_upper_leg__s04,not-admissible,blocked-terminal-harvest-or-new-cfd-run,blocked_before_sampling,no_wrapper_parse_row,blocked_compute_or_parser_outputs_missing,false,work_products/2026-07/2026-07-20/2026-07-20_pressure_upcomer_matched_plane_relaunch_package/matched_plane_metrics_admission.csv
new_targeted_re200,upcomer_inlet,left_lower_leg__s00,not-admissible,blocked-terminal-harvest-or-new-cfd-run,blocked_before_sampling,no_wrapper_parse_row,blocked_compute_or_parser_outputs_missing,false,work_products/2026-07/2026-07-20/2026-07-20_pressure_upcomer_matched_plane_relaunch_package/matched_plane_metrics_admission.csv
new_targeted_re200,upcomer_mid,test_section_span__s02,not-admissible,blocked-terminal-harvest-or-new-cfd-run,blocked_before_sampling,no_wrapper_parse_row,blocked_compute_or_parser_outputs_missing,false,work_products/2026-07/2026-07-20/2026-07-20_pressure_upcomer_matched_plane_relaunch_package/matched_plane_metrics_admission.csv
new_targeted_re200,upcomer_outlet,left_upper_leg__s04,not-admissible,blocked-terminal-harvest-or-new-cfd-run,blocked_before_sampling,no_wrapper_parse_row,blocked_compute_or_parser_outputs_missing,false,work_products/2026-07/2026-07-20/2026-07-20_pressure_upcomer_matched_plane_relaunch_package/matched_plane_metrics_admission.csv
new_targeted_re250,upcomer_inlet,left_lower_leg__s00,not-admissible,blocked-terminal-harvest-or-new-cfd-run,blocked_before_sampling,no_wrapper_parse_row,blocked_compute_or_parser_outputs_missing,false,work_products/2026-07/2026-07-20/2026-07-20_pressure_upcomer_matched_plane_relaunch_package/matched_plane_metrics_admission.csv
new_targeted_re250,upcomer_mid,test_section_span__s02,not-admissible,blocked-terminal-harvest-or-new-cfd-run,blocked_before_sampling,no_wrapper_parse_row,blocked_compute_or_parser_outputs_missing,false,work_products/2026-07/2026-07-20/2026-07-20_pressure_upcomer_matched_plane_relaunch_package/matched_plane_metrics_admission.csv
new_targeted_re250,upcomer_outlet,left_upper_leg__s04,not-admissible,blocked-terminal-harvest-or-new-cfd-run,blocked_before_sampling,no_wrapper_parse_row,blocked_compute_or_parser_outputs_missing,false,work_products/2026-07/2026-07-20/2026-07-20_pressure_upcomer_matched_plane_relaunch_package/matched_plane_metrics_admission.csv
