source_id,case_id,patch_name,role,one_d_segment,bc_type,area_m2,start_face,n_boundary_faces,n_owner_samples,n_unique_owner_cells,T_wall_shell_K,T_wall_shell_min_K,T_wall_shell_max_K,T_wall_shell_std_K,proxy_definition,support_status,recon_case_dir,time_s,owner_path,boundary_path,T_field_path
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,junction_upper_right_upper_extension,junction_other,junction,rcExternalTemperature,0.005316631,6428996,3552,3552,3552,442.3882778,413.848508,450.57677,6.541775794,boundary_face_owner_cell_temperature_mean,ok_patch_internal_owner_cell_proxy,tmp/2026-06-30_claude_action_items/recon_salt2_of13,7915,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/owner,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/boundary,tmp/2026-06-30_claude_action_items/recon_salt2_of13/7915/T
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,pipeleg_left_01_upper,ambient_wall,upcomer,rcExternalTemperature,0.024699414,6559028,15168,15168,15168,451.416857149,446.512415,457.664542,3.802803379,boundary_face_owner_cell_temperature_mean,ok_patch_internal_owner_cell_proxy,tmp/2026-06-30_claude_action_items/recon_salt2_of13,7915,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/owner,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/boundary,tmp/2026-06-30_claude_action_items/recon_salt2_of13/7915/T
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,pipeleg_left_02_connector,ambient_wall,upcomer,rcExternalTemperature,0.000158588,6574772,96,96,96,450.531172896,446.260704,457.530676,4.529480996,boundary_face_owner_cell_temperature_mean,ok_patch_internal_owner_cell_proxy,tmp/2026-06-30_claude_action_items/recon_salt2_of13,7915,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/owner,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/boundary,tmp/2026-06-30_claude_action_items/recon_salt2_of13/7915/T
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,pipeleg_left_03_fitting,ambient_wall,upcomer,rcExternalTemperature,0.002075764,6575328,1080,1080,1080,451.122619311,445.97307,457.575907,4.511449704,boundary_face_owner_cell_temperature_mean,ok_patch_internal_owner_cell_proxy,tmp/2026-06-30_claude_action_items/recon_salt2_of13,7915,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/owner,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/boundary,tmp/2026-06-30_claude_action_items/recon_salt2_of13/7915/T
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,pipeleg_left_04_test_section,test_section,upcomer,rcExternalTemperature,0.012258449,6576408,6600,6600,6600,451.740955877,446.08794,458.718888,4.447142636,boundary_face_owner_cell_temperature_mean,ok_patch_internal_owner_cell_proxy,tmp/2026-06-30_claude_action_items/recon_salt2_of13,7915,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/owner,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/boundary,tmp/2026-06-30_claude_action_items/recon_salt2_of13/7915/T
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,pipeleg_left_05_fitting,ambient_wall,upcomer,rcExternalTemperature,0.002075764,6583468,1080,1080,1080,452.168779527,445.575703,459.120252,4.904658347,boundary_face_owner_cell_temperature_mean,ok_patch_internal_owner_cell_proxy,tmp/2026-06-30_claude_action_items/recon_salt2_of13,7915,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/owner,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/boundary,tmp/2026-06-30_claude_action_items/recon_salt2_of13/7915/T
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,pipeleg_left_06_connector,ambient_wall,upcomer,rcExternalTemperature,0.000158588,6585124,96,96,96,452.539940958,445.61419,458.987917,4.658734335,boundary_face_owner_cell_temperature_mean,ok_patch_internal_owner_cell_proxy,tmp/2026-06-30_claude_action_items/recon_salt2_of13,7915,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/owner,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/boundary,tmp/2026-06-30_claude_action_items/recon_salt2_of13/7915/T
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,pipeleg_left_07_lower,ambient_wall,upcomer,rcExternalTemperature,0.021145,6585796,12960,12960,12960,451.382607476,443.87509,459.061197,4.263723814,boundary_face_owner_cell_temperature_mean,ok_patch_internal_owner_cell_proxy,tmp/2026-06-30_claude_action_items/recon_salt2_of13,7915,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/owner,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/boundary,tmp/2026-06-30_claude_action_items/recon_salt2_of13/7915/T
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,pipeleg_lower_01_fitting,ambient_wall,lower_leg,rcExternalTemperature,0.002184983,6440468,1296,1296,1296,455.557083494,422.707415,474.947956,12.495108923,boundary_face_owner_cell_temperature_mean,ok_patch_internal_owner_cell_proxy,tmp/2026-06-30_claude_action_items/recon_salt2_of13,7915,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/owner,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/boundary,tmp/2026-06-30_claude_action_items/recon_salt2_of13/7915/T
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,pipeleg_lower_02_straight,ambient_wall,lower_leg,rcExternalTemperature,0.005436027,6441764,3312,3312,3312,458.74264785,447.983826,481.890327,10.685441903,boundary_face_owner_cell_temperature_mean,ok_patch_internal_owner_cell_proxy,tmp/2026-06-30_claude_action_items/recon_salt2_of13,7915,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/owner,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/boundary,tmp/2026-06-30_claude_action_items/recon_salt2_of13/7915/T
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,pipeleg_lower_03_bend,ambient_wall,lower_leg,rcExternalTemperature,0.000660878,6445076,384,384,384,463.460513594,452.98421,487.176637,10.430069841,boundary_face_owner_cell_temperature_mean,ok_patch_internal_owner_cell_proxy,tmp/2026-06-30_claude_action_items/recon_salt2_of13,7915,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/owner,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/boundary,tmp/2026-06-30_claude_action_items/recon_salt2_of13/7915/T
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,pipeleg_lower_04_straight,heater,lower_leg,rcExternalTemperature,0.015262139,6445460,9360,9360,9360,466.310687477,458.422912,489.182878,8.32246718,boundary_face_owner_cell_temperature_mean,ok_patch_internal_owner_cell_proxy,tmp/2026-06-30_claude_action_items/recon_salt2_of13,7915,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/owner,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/boundary,tmp/2026-06-30_claude_action_items/recon_salt2_of13/7915/T
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,pipeleg_lower_05_straight,heater,lower_leg,rcExternalTemperature,0.015262139,6454820,9360,9360,9360,463.072306854,456.317229,483.37929,7.003804524,boundary_face_owner_cell_temperature_mean,ok_patch_internal_owner_cell_proxy,tmp/2026-06-30_claude_action_items/recon_salt2_of13,7915,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/owner,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/boundary,tmp/2026-06-30_claude_action_items/recon_salt2_of13/7915/T
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,pipeleg_lower_06_straight,heater,lower_leg,rcExternalTemperature,0.015262139,6464180,9360,9360,9360,457.843149409,439.420791,476.377505,5.655837423,boundary_face_owner_cell_temperature_mean,ok_patch_internal_owner_cell_proxy,tmp/2026-06-30_claude_action_items/recon_salt2_of13,7915,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/owner,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/boundary,tmp/2026-06-30_claude_action_items/recon_salt2_of13/7915/T
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,pipeleg_lower_07_bend,ambient_wall,lower_leg,rcExternalTemperature,0.000660878,6473540,384,384,384,440.513899201,435.257439,443.878664,3.214729344,boundary_face_owner_cell_temperature_mean,ok_patch_internal_owner_cell_proxy,tmp/2026-06-30_claude_action_items/recon_salt2_of13,7915,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/owner,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/boundary,tmp/2026-06-30_claude_action_items/recon_salt2_of13/7915/T
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,pipeleg_lower_08_straight,ambient_wall,lower_leg,rcExternalTemperature,0.005436027,6473924,3312,3312,3312,440.867099077,433.388598,443.740873,2.978371255,boundary_face_owner_cell_temperature_mean,ok_patch_internal_owner_cell_proxy,tmp/2026-06-30_claude_action_items/recon_salt2_of13,7915,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/owner,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/boundary,tmp/2026-06-30_claude_action_items/recon_salt2_of13/7915/T
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,pipeleg_lower_09_fitting,ambient_wall,lower_leg,rcExternalTemperature,0.002184983,6477812,1296,1296,1296,439.787681415,431.53854,442.643096,2.810409504,boundary_face_owner_cell_temperature_mean,ok_patch_internal_owner_cell_proxy,tmp/2026-06-30_claude_action_items/recon_salt2_of13,7915,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/owner,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/boundary,tmp/2026-06-30_claude_action_items/recon_salt2_of13/7915/T
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,pipeleg_right_01_lower,ambient_wall,downcomer,rcExternalTemperature,0.021145,6479684,12960,12960,12960,442.18362421,439.30875,443.694223,1.267887704,boundary_face_owner_cell_temperature_mean,ok_patch_internal_owner_cell_proxy,tmp/2026-06-30_claude_action_items/recon_salt2_of13,7915,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/owner,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/boundary,tmp/2026-06-30_claude_action_items/recon_salt2_of13/7915/T
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,pipeleg_right_02_middle,ambient_wall,downcomer,rcExternalTemperature,0.021145,6492644,12960,12960,12960,442.893523333,439.425641,444.66465,1.415905625,boundary_face_owner_cell_temperature_mean,ok_patch_internal_owner_cell_proxy,tmp/2026-06-30_claude_action_items/recon_salt2_of13,7915,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/owner,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/boundary,tmp/2026-06-30_claude_action_items/recon_salt2_of13/7915/T
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,pipeleg_right_03_upper,ambient_wall,downcomer,rcExternalTemperature,0.021145,6506180,12960,12960,12960,444.489257916,440.151303,448.167327,1.509142928,boundary_face_owner_cell_temperature_mean,ok_patch_internal_owner_cell_proxy,tmp/2026-06-30_claude_action_items/recon_salt2_of13,7915,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/owner,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/boundary,tmp/2026-06-30_claude_action_items/recon_salt2_of13/7915/T
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,pipeleg_upper_01_straight,ambient_wall,cooling_branch,rcExternalTemperature,0.007621011,6519716,4656,4656,4656,442.78821637,427.335349,450.623417,8.433442935,boundary_face_owner_cell_temperature_mean,ok_patch_internal_owner_cell_proxy,tmp/2026-06-30_claude_action_items/recon_salt2_of13,7915,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/owner,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/boundary,tmp/2026-06-30_claude_action_items/recon_salt2_of13/7915/T
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,pipeleg_upper_02_bend,ambient_wall,cooling_branch,rcExternalTemperature,0.000660878,6524372,384,384,384,442.422607357,426.905058,450.669029,8.845736535,boundary_face_owner_cell_temperature_mean,ok_patch_internal_owner_cell_proxy,tmp/2026-06-30_claude_action_items/recon_salt2_of13,7915,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/owner,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/boundary,tmp/2026-06-30_claude_action_items/recon_salt2_of13/7915/T
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,pipeleg_upper_03_straight,ambient_wall,cooling_branch,rcExternalTemperature,0.008003951,6524756,4896,4896,4896,443.340867988,418.435988,450.639779,9.086366889,boundary_face_owner_cell_temperature_mean,ok_patch_internal_owner_cell_proxy,tmp/2026-06-30_claude_action_items/recon_salt2_of13,7915,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/owner,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/boundary,tmp/2026-06-30_claude_action_items/recon_salt2_of13/7915/T
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,pipeleg_upper_07_straight,ambient_wall,cooling_branch,rcExternalTemperature,0.008003951,6547940,4896,4896,4896,452.818087387,449.798077,454.912679,1.761528594,boundary_face_owner_cell_temperature_mean,ok_patch_internal_owner_cell_proxy,tmp/2026-06-30_claude_action_items/recon_salt2_of13,7915,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/owner,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/boundary,tmp/2026-06-30_claude_action_items/recon_salt2_of13/7915/T
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,pipeleg_upper_08_bend,ambient_wall,cooling_branch,rcExternalTemperature,0.000660878,6552836,384,384,384,452.949393125,450.242433,454.786871,1.768610996,boundary_face_owner_cell_temperature_mean,ok_patch_internal_owner_cell_proxy,tmp/2026-06-30_claude_action_items/recon_salt2_of13,7915,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/owner,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/boundary,tmp/2026-06-30_claude_action_items/recon_salt2_of13/7915/T
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,pipeleg_upper_09_straight,ambient_wall,cooling_branch,rcExternalTemperature,0.007621011,6553796,4656,4656,4656,453.057907587,450.033939,456.152185,2.087224243,boundary_face_owner_cell_temperature_mean,ok_patch_internal_owner_cell_proxy,tmp/2026-06-30_claude_action_items/recon_salt2_of13,7915,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/owner,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/boundary,tmp/2026-06-30_claude_action_items/recon_salt2_of13/7915/T
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,junction_lower_left,junction_other,junction,rcExternalTemperature,0.002924521,6403796,2064,2064,2064,450.382201537,405.979783,487.695523,16.682890041,boundary_face_owner_cell_temperature_mean,ok_patch_internal_owner_cell_proxy,tmp/2026-06-30_claude_action_items/recon_salt3_of13,7618,tmp/2026-06-30_claude_action_items/recon_salt3_of13/constant/polyMesh/owner,tmp/2026-06-30_claude_action_items/recon_salt3_of13/constant/polyMesh/boundary,tmp/2026-06-30_claude_action_items/recon_salt3_of13/7618/T
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,junction_lower_left_left_extension,junction_other,junction,rcExternalTemperature,0.002183347,6416564,1632,1632,1632,448.257612094,401.40392,460.54357,13.228848907,boundary_face_owner_cell_temperature_mean,ok_patch_internal_owner_cell_proxy,tmp/2026-06-30_claude_action_items/recon_salt3_of13,7618,tmp/2026-06-30_claude_action_items/recon_salt3_of13/constant/polyMesh/owner,tmp/2026-06-30_claude_action_items/recon_salt3_of13/constant/polyMesh/boundary,tmp/2026-06-30_claude_action_items/recon_salt3_of13/7618/T
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,junction_lower_left_lower_extension,junction_other,junction,rcExternalTemperature,0.001910429,6418772,1440,1440,1440,349.289788578,316.207587,400.560152,26.608175335,boundary_face_owner_cell_temperature_mean,ok_patch_internal_owner_cell_proxy,tmp/2026-06-30_claude_action_items/recon_salt3_of13,7618,tmp/2026-06-30_claude_action_items/recon_salt3_of13/constant/polyMesh/owner,tmp/2026-06-30_claude_action_items/recon_salt3_of13/constant/polyMesh/boundary,tmp/2026-06-30_claude_action_items/recon_salt3_of13/7618/T
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,junction_lower_right,junction_other,junction,rcExternalTemperature,0.00292452,6406436,2064,2064,2064,449.029829528,428.962382,456.372437,5.922514113,boundary_face_owner_cell_temperature_mean,ok_patch_internal_owner_cell_proxy,tmp/2026-06-30_claude_action_items/recon_salt3_of13,7618,tmp/2026-06-30_claude_action_items/recon_salt3_of13/constant/polyMesh/owner,tmp/2026-06-30_claude_action_items/recon_salt3_of13/constant/polyMesh/boundary,tmp/2026-06-30_claude_action_items/recon_salt3_of13/7618/T
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,junction_lower_right_lower_extension,junction_other,junction,rcExternalTemperature,0.003544421,6423380,2448,2448,2448,364.155020949,313.486702,444.915725,40.455396834,boundary_face_owner_cell_temperature_mean,ok_patch_internal_owner_cell_proxy,tmp/2026-06-30_claude_action_items/recon_salt3_of13,7618,tmp/2026-06-30_claude_action_items/recon_salt3_of13/constant/polyMesh/owner,tmp/2026-06-30_claude_action_items/recon_salt3_of13/constant/polyMesh/boundary,tmp/2026-06-30_claude_action_items/recon_salt3_of13/7618/T
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,junction_lower_right_right_extension,junction_other,junction,rcExternalTemperature,0.002183347,6421172,1632,1632,1632,441.237358436,398.605164,451.110156,11.307354632,boundary_face_owner_cell_temperature_mean,ok_patch_internal_owner_cell_proxy,tmp/2026-06-30_claude_action_items/recon_salt3_of13,7618,tmp/2026-06-30_claude_action_items/recon_salt3_of13/constant/polyMesh/owner,tmp/2026-06-30_claude_action_items/recon_salt3_of13/constant/polyMesh/boundary,tmp/2026-06-30_claude_action_items/recon_salt3_of13/7618/T
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,junction_upper_left,junction_other,junction,rcExternalTemperature,0.002687301,6413444,1584,1584,1584,466.486025636,462.323298,469.107911,1.704424542,boundary_face_owner_cell_temperature_mean,ok_patch_internal_owner_cell_proxy,tmp/2026-06-30_claude_action_items/recon_salt3_of13,7618,tmp/2026-06-30_claude_action_items/recon_salt3_of13/constant/polyMesh/owner,tmp/2026-06-30_claude_action_items/recon_salt3_of13/constant/polyMesh/boundary,tmp/2026-06-30_claude_action_items/recon_salt3_of13/7618/T
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,junction_upper_left_upper_extension,junction_other,junction,rcExternalTemperature,0.010633262,6433124,6768,6768,6768,461.990156872,435.472479,468.487091,4.811383664,boundary_face_owner_cell_temperature_mean,ok_patch_internal_owner_cell_proxy,tmp/2026-06-30_claude_action_items/recon_salt3_of13,7618,tmp/2026-06-30_claude_action_items/recon_salt3_of13/constant/polyMesh/owner,tmp/2026-06-30_claude_action_items/recon_salt3_of13/constant/polyMesh/boundary,tmp/2026-06-30_claude_action_items/recon_salt3_of13/7618/T
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,junction_upper_right,junction_other,junction,rcExternalTemperature,0.00292452,6409652,2064,2064,2064,458.81007404,438.615048,464.125409,5.571274107,boundary_face_owner_cell_temperature_mean,ok_patch_internal_owner_cell_proxy,tmp/2026-06-30_claude_action_items/recon_salt3_of13,7618,tmp/2026-06-30_claude_action_items/recon_salt3_of13/constant/polyMesh/owner,tmp/2026-06-30_claude_action_items/recon_salt3_of13/constant/polyMesh/boundary,tmp/2026-06-30_claude_action_items/recon_salt3_of13/7618/T
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,junction_upper_right_right_extension,junction_other,junction,rcExternalTemperature,0.002183347,6426788,1632,1632,1632,452.491893699,405.579041,463.626186,12.43380656,boundary_face_owner_cell_temperature_mean,ok_patch_internal_owner_cell_proxy,tmp/2026-06-30_claude_action_items/recon_salt3_of13,7618,tmp/2026-06-30_claude_action_items/recon_salt3_of13/constant/polyMesh/owner,tmp/2026-06-30_claude_action_items/recon_salt3_of13/constant/polyMesh/boundary,tmp/2026-06-30_claude_action_items/recon_salt3_of13/7618/T
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,junction_upper_right_upper_extension,junction_other,junction,rcExternalTemperature,0.005316631,6428996,3552,3552,3552,454.91426057,424.407007,463.373779,6.721553871,boundary_face_owner_cell_temperature_mean,ok_patch_internal_owner_cell_proxy,tmp/2026-06-30_claude_action_items/recon_salt3_of13,7618,tmp/2026-06-30_claude_action_items/recon_salt3_of13/constant/polyMesh/owner,tmp/2026-06-30_claude_action_items/recon_salt3_of13/constant/polyMesh/boundary,tmp/2026-06-30_claude_action_items/recon_salt3_of13/7618/T
