case_id,fluid_case_name,source_id,variant_id,engine,segment_name,parent_segment,s_start_m,s_end_m,T_in_K,T_out_K,T_avg_K,Q_source_W,Q_hx_sink_W,Q_ambient_W,h_inner_W_m2K,h_outer_W_m2K,h_rad_W_m2K,reynolds_inner,nusselt_inner
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,solve_case,top_horizontal_inlet,top_horizontal_inlet,0.9144,0.9398,487.073704449,487.034464873,487.054084661,0,0,1.13636336579,640.134682916,5.41331339335,0,200.55254731,25.6850255271
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,solve_case,cooled_incline_pre_hx__s00,cooled_incline_pre_hx,0.9398,1.0414,487.034464873,486.875411979,486.954938426,0,0,4.60609557627,403.244662934,5.96621276132,0,200.351989498,16.1808514596
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,solve_case,cooled_incline_pre_hx__s01,cooled_incline_pre_hx,1.0414,1.143,486.875411979,486.716550893,486.795981436,0,0,4.60054094706,403.220763005,5.96478579628,0,200.030389227,16.1813309928
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,solve_case,cooled_incline_pre_hx__s02,cooled_incline_pre_hx,1.143,1.1684,486.716550893,486.675516747,486.69603382,0,0,1.1883333448,640.04922644,7.23470176948,0,199.82814567,25.686740144
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,solve_case,cooled_incline_pre_hx__s03,cooled_incline_pre_hx,1.1684,1.2446,486.675516747,486.555854871,486.615685809,0,0,3.46535461957,443.772086882,6.14078480745,0,199.665779941,17.8104569725
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,solve_case,cooled_incline_hx_active__s00,cooled_incline_hx_active,1.2446,1.3462,486.555854871,484.986418714,485.771136793,0,45.4503333333,0,,,0,,
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,solve_case,cooled_incline_hx_active__s01,cooled_incline_hx_active,1.3462,1.397,484.986418714,484.201700636,484.594059675,0,22.7251666667,0,,,0,,
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,solve_case,cooled_incline_hx_active__s02,cooled_incline_hx_active,1.397,1.4478,484.201700636,483.416982558,483.809341597,0,22.7251666667,0,,,0,,
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,solve_case,cooled_incline_hx_active__s03,cooled_incline_hx_active,1.4478,1.5494,483.416982558,481.847546401,482.632264479,0,45.4503333333,0,,,0,,
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,solve_case,cooled_incline_post_hx__s00,cooled_incline_post_hx,1.5494,1.6256,481.847546401,481.732232788,481.789889595,0,0,3.3394310694,442.995279808,6.0963951533,0,189.989132637,17.8260657495
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,solve_case,cooled_incline_post_hx__s01,cooled_incline_post_hx,1.6256,1.651,481.732232788,481.692739352,481.71248607,0,0,1.14371499625,638.89223673,7.18444985752,0,189.83516063,25.7099880797
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,solve_case,cooled_incline_post_hx__s02,cooled_incline_post_hx,1.651,1.7526,481.692739352,481.54006399,481.616401671,0,0,4.4214057559,402.463219143,5.91797987377,0,189.644287579,16.1965526386
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,solve_case,cooled_incline_post_hx__s03,cooled_incline_post_hx,1.7526,1.8542,481.54006399,481.387568972,481.463816481,0,0,4.41618309467,402.44152796,5.91659178215,0,189.34113527,16.1969891215
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,solve_case,top_horizontal_exit,top_horizontal_exit,1.8542,1.8796,481.387568972,481.35000392,481.368786446,0,0,1.08786979513,638.814676386,5.36506052714,0,189.152304612,25.7115487945
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,solve_case,right_vertical__s00,right_vertical,1.8796,2.01022857143,481.35000392,481.156836139,481.253420029,0,0,5.59404002996,370.074437611,5.50278502639,0,188.923434893,14.8959740304
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,solve_case,right_vertical__s01,right_vertical,2.01022857143,2.1082,481.156836139,481.010984505,481.083910322,0,0,4.22379466032,407.295326983,5.73114432907,0,188.587058865,16.3956298493
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,solve_case,right_vertical__s02,right_vertical,2.1082,2.14085714286,481.010984505,480.960623857,480.985804181,0,0,1.4584248688,587.401252379,7.07264357159,0,188.392404225,23.6469978564
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,solve_case,right_vertical__s03,right_vertical,2.14085714286,2.27148571429,480.960623857,480.768038354,480.864331106,0,0,5.57717761641,370.023835308,5.49938101893,0,188.151732465,14.8969925388
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,solve_case,right_vertical__s04,right_vertical,2.27148571429,2.3368,480.768038354,480.669878357,480.718958355,0,0,2.84267139566,466.177060564,6.12412393525,0,187.863593048,18.7695127514
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,solve_case,right_vertical__s05,right_vertical,2.3368,2.40211428571,480.669878357,480.571793236,480.620835797,0,0,2.84050300675,466.161050582,6.12320295358,0,187.669253524,18.7698350616
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,solve_case,right_vertical__s06,right_vertical,2.40211428571,2.53274285714,480.571793236,480.379788314,480.475790775,0,0,5.56036433042,369.973518176,5.4959783609,0,187.382196833,14.8980055147
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,solve_case,right_vertical__s07,right_vertical,2.53274285714,2.5654,480.379788314,480.329674462,480.354731388,0,0,1.45127777963,587.271520623,7.06616922618,0,187.142514038,23.6496095931
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,solve_case,right_vertical__s08,right_vertical,2.5654,2.66337142857,480.329674462,480.184757071,480.257215766,0,0,4.1967394938,407.177492272,5.72370950585,0,186.949722434,16.3980020759
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,solve_case,right_vertical__s09,right_vertical,2.66337142857,2.794,480.184757071,479.993329183,480.089043127,0,0,5.54365375091,369.923645441,5.49258796601,0,186.61728776,14.8990097479
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,solve_case,bottom_horizontal_inlet,bottom_horizontal_inlet,2.794,2.8194,479.993329183,479.956169132,479.974749158,0,0,1.07614113185,638.503053297,5.35311991862,0,186.391295844,25.7178223235
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,solve_case,heated_incline__s00,heated_incline,2.8194,2.95002857143,479.956169132,481.073121331,480.514645232,37.9571428571,0,5.61078009334,369.978458111,5.77767050412,0,187.457843738,14.8979060556
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,solve_case,heated_incline__s01,heated_incline,2.95002857143,3.048,481.073121331,481.908963065,481.491042198,28.4678571429,0,4.26227477903,407.353680951,5.93744993791,0,189.394259353,16.3944554591
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,solve_case,heated_incline__s02,heated_incline,3.048,3.08065714286,481.908963065,482.186095376,482.04752922,9.48928571429,0,1.46364120639,587.62150016,6.86246013245,0,190.501311626,23.6425658479
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,solve_case,heated_incline__s03,heated_incline,3.08065714286,3.21128571429,482.186095376,483.299676529,482.742885953,37.9571428571,0,5.70840550902,370.27004275,5.7976609818,0,191.8861998,14.8920389105
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,solve_case,heated_incline__s04,heated_incline,3.21128571429,3.2766,483.299676529,483.854481593,483.577079061,18.9785714286,0,2.91165543566,466.650877365,6.22209459388,0,193.553547772,18.759981462
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,solve_case,heated_incline__s05,heated_incline,3.2766,3.34191428571,483.854481593,484.408857448,484.131669521,18.9785714286,0,2.92408524432,466.744512845,6.22725393079,0,194.664334677,18.7580996102
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,solve_case,heated_incline__s06,heated_incline,3.34191428571,3.47254285714,484.408857448,485.519049276,484.963953362,37.9571428571,0,5.80656027467,370.567675373,5.81747505194,0,196.334709046,14.8860572137
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,solve_case,heated_incline__s07,heated_incline,3.47254285714,3.5052,485.519049276,485.794759697,485.656904487,9.48928571429,0,1.50481879427,588.389273035,6.89799258686,0,197.730282431,23.6271355478
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,solve_case,heated_incline__s08,heated_incline,3.5052,3.60317142857,485.794759697,486.625170785,486.209965241,28.4678571429,0,4.4195456778,408.049655454,5.98022132236,0,198.845235531,16.3804682001
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,solve_case,heated_incline__s09,heated_incline,3.60317142857,3.7338,486.625170785,487.731954002,487.178562394,37.9571428571,0,5.90527351048,370.871379243,5.83712241094,0,200.803458505,14.8799609235
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,solve_case,bottom_horizontal_exit,bottom_horizontal_exit,3.7338,3.7592,487.731954002,487.692518194,487.712236098,0,0,1.14204618038,640.292579436,5.41885429492,0,201.886299827,25.6818583607
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F1_heater_only,solve_case,left_lower_vertical__s00,left_lower_vertical,0,0.121412,457.383577915,457.213092021,457.298334968,0,0,4.28411141561,359.041416176,5.33931402439,0,124.632215886,14.6123525517
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F1_heater_only,solve_case,left_lower_vertical__s01,left_lower_vertical,0.121412,0.182118,457.213092021,457.126163272,457.169627647,0,0,2.18442405047,452.348595885,5.97581512962,0,124.432546954,18.4107207403
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F1_heater_only,solve_case,left_lower_vertical__s02,left_lower_vertical,0.182118,0.242824,457.126163272,457.039299361,457.082731317,0,0,2.18279473849,452.338324945,5.97493745667,0,124.297859213,18.410929759
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F1_heater_only,solve_case,left_lower_vertical__s03,left_lower_vertical,0.242824,0.364236,457.039299361,456.869316289,456.954307825,0,0,4.27147612868,359.009141679,5.33607211624,0,124.09897946,14.6130093536
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F1_heater_only,solve_case,test_section__s00,test_section,0.364236,0.4572,456.869316289,456.515917969,456.692617129,0,0,8.88044582042,408.844035405,8.31488155634,0,128.878926443,15.973621043
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F1_heater_only,solve_case,test_section__s01,test_section,0.4572,0.550164,456.515917969,456.163457212,456.339687591,0,0,8.85688612035,408.806670092,8.31135533079,0,128.310781594,15.9743510283
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F1_heater_only,solve_case,left_upper_vertical__s00,left_upper_vertical,0.550164,0.671576,456.163457212,455.99475023,456.079103721,0,0,4.23940954917,358.927781674,5.32780897155,0,122.746757835,14.6146654627
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F1_heater_only,solve_case,left_upper_vertical__s01,left_upper_vertical,0.671576,0.732282,455.99475023,455.908728166,455.951739198,0,0,2.16164007891,452.205857999,5.96349292514,0,122.550433896,18.4136261649
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F1_heater_only,solve_case,left_upper_vertical__s02,left_upper_vertical,0.732282,0.792988,455.908728166,455.822769953,455.865749059,0,0,2.16003558351,452.195878664,5.96262116641,0,122.418002477,18.4138293454
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F1_heater_only,solve_case,left_upper_vertical__s03,left_upper_vertical,0.792988,0.9144,455.822769953,455.654558153,455.738664053,0,0,4.22696621852,358.896423475,5.32458860612,0,122.22245403,14.6153039193
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F1_heater_only,solve_case,top_horizontal_inlet,top_horizontal_inlet,0.9144,0.9398,455.654558153,455.619493928,455.637026041,0,0,0.881127016469,604.552188916,5.13670942843,0,122.066008224,24.6200803136
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F1_heater_only,solve_case,cooled_incline_pre_hx__s00,cooled_incline_pre_hx,0.9398,1.0414,455.619493928,455.477363265,455.548428597,0,0,3.5715808275,380.835400877,5.67184695435,0,121.929870787,15.50985411
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F1_heater_only,solve_case,cooled_incline_pre_hx__s01,cooled_incline_pre_hx,1.0414,1.143,455.477363265,455.335407107,455.406385186,0,0,3.5671957276,380.821607668,5.67045694882,0,121.711615256,15.5101349878
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F1_heater_only,solve_case,cooled_incline_pre_hx__s02,cooled_incline_pre_hx,1.143,1.1684,455.335407107,455.298742695,455.317074901,0,0,0.92133797685,604.502870343,6.90713833067,0,121.57439281,24.621084612
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F1_heater_only,solve_case,cooled_incline_pre_hx__s03,cooled_incline_pre_hx,1.1684,1.2446,455.298742695,455.191818261,455.245280478,0,0,2.68689178778,419.131233923,5.84136705094,0,121.464246097,17.0714623257
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F1_heater_only,solve_case,cooled_incline_hx_active__s00,cooled_incline_hx_active,1.2446,1.3462,455.191818261,453.383135969,454.287477115,0,45.4503333333,0,,,0,,
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F1_heater_only,solve_case,cooled_incline_hx_active__s01,cooled_incline_hx_active,1.3462,1.397,453.383135969,452.478794823,452.930965396,0,22.7251666667,0,,,0,,
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F1_heater_only,solve_case,cooled_incline_hx_active__s02,cooled_incline_hx_active,1.397,1.4478,452.478794823,451.574453677,452.02662425,0,22.7251666667,0,,,0,,
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F1_heater_only,solve_case,cooled_incline_hx_active__s03,cooled_incline_hx_active,1.4478,1.5494,451.574453677,449.765771385,450.670112531,0,45.4503333333,0,,,0,,
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F1_heater_only,solve_case,cooled_incline_post_hx__s00,cooled_incline_post_hx,1.5494,1.6256,449.765771385,449.663911132,449.714841259,0,0,2.55963475321,418.56726128,5.78579228956,0,113.105055699,17.0829593988
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F1_heater_only,solve_case,cooled_incline_post_hx__s01,cooled_incline_post_hx,1.6256,1.651,449.663911132,449.629026071,449.646468602,0,0,0.87662478947,603.668844083,6.84491280773,0,113.003291242,24.6380869333
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F1_heater_only,solve_case,cooled_incline_post_hx__s02,cooled_incline_post_hx,1.651,1.7526,449.629026071,449.494165382,449.561595727,0,0,3.38889508564,380.280045621,5.61271488316,0,112.8771568,15.521175157
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F1_heater_only,solve_case,cooled_incline_post_hx__s03,cooled_incline_post_hx,1.7526,1.8542,449.494165382,449.359466368,449.426815875,0,0,3.38483239304,380.268156558,5.61137046473,0,112.676865988,15.5214177894
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F1_heater_only,solve_case,top_horizontal_exit,top_horizontal_exit,1.8542,1.8796,449.359466368,449.326287957,449.342877163,0,0,0.833738508916,603.626332935,5.07816933495,0,112.552134447,24.6389545023
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F1_heater_only,solve_case,right_vertical__s00,right_vertical,1.8796,2.01022857143,449.326287957,449.155678041,449.240982999,0,0,4.28722697802,349.69530384,5.2093711215,0,112.400991355,14.2744450756
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F1_heater_only,solve_case,right_vertical__s01,right_vertical,2.01022857143,2.1082,449.155678041,449.026861271,449.091269656,0,0,3.23701894178,384.876188961,5.43006270944,0,112.178904414,15.7113310796
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F1_heater_only,solve_case,right_vertical__s02,right_vertical,2.1082,2.14085714286,449.026861271,448.982385497,449.004623384,0,0,1.11762890029,555.076439158,6.73013245515,0,112.050417654,22.659886634
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F1_heater_only,solve_case,right_vertical__s03,right_vertical,2.14085714286,2.27148571429,448.982385497,448.812297903,448.8973417,0,0,4.27410167905,349.667626713,5.20606820782,0,111.89158672,14.2750099946
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F1_heater_only,solve_case,right_vertical__s04,right_vertical,2.27148571429,2.3368,448.812297903,448.72560674,448.768952321,0,0,2.17845352893,440.540623245,5.81030370291,0,111.701469585,17.985650539
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F1_heater_only,solve_case,right_vertical__s05,right_vertical,2.3368,2.40211428571,448.72560674,448.638982687,448.682294713,0,0,2.17676713598,440.531881019,5.80941218447,0,111.573269709,17.9858289981
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F1_heater_only,solve_case,right_vertical__s06,right_vertical,2.40211428571,2.53274285714,448.638982687,448.469415943,448.554199315,0,0,4.2610133492,349.640151068,5.20276628605,0,111.383946747,14.2755708676
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F1_heater_only,solve_case,right_vertical__s07,right_vertical,2.53274285714,2.5654,448.469415943,448.425161115,448.447288529,0,0,1.11207676874,555.0055994,6.7238833157,0,111.225904544,22.6613327182
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F1_heater_only,solve_case,right_vertical__s08,right_vertical,2.5654,2.66337142857,448.425161115,448.297182158,448.361171636,0,0,3.21596570064,384.811845559,5.42285499647,0,111.098806132,15.7126445504
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F1_heater_only,solve_case,right_vertical__s09,right_vertical,2.66337142857,2.794,448.297182158,448.128133128,448.212657643,0,0,4.24800382971,349.612963668,5.19947597722,0,110.879694904,14.2761259215
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F1_heater_only,solve_case,bottom_horizontal_inlet,bottom_horizontal_inlet,2.794,2.8194,448.128133128,448.095318093,448.111725611,0,0,0.824607256967,603.456170508,5.06657550046,0,110.730776831,24.6424281007
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F1_heater_only,solve_case,heated_incline__s00,heated_incline,2.8194,2.95002857143,448.095318093,449.434433391,448.764875742,37.9571428571,0,4.30674818169,349.656942239,5.47847920915,0,111.694412234,14.2752280938
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F1_heater_only,solve_case,heated_incline__s01,heated_incline,2.95002857143,3.048,449.434433391,450.436741969,449.93558768,28.4678571429,0,3.28098332834,384.951550331,5.63643503843,0,113.432928929,15.7097931129
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F1_heater_only,solve_case,heated_incline__s02,heated_incline,3.048,3.08065714286,450.436741969,450.769458338,450.603100154,9.48928571429,0,1.12847717504,555.283331982,6.53802059654,0,114.42983822,22.6556648211
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F1_heater_only,solve_case,heated_incline__s03,heated_incline,3.08065714286,3.21128571429,450.769458338,452.104461466,451.436959902,37.9571428571,0,4.41008430486,349.875923875,5.50473273707,0,115.679212083,14.2707600784
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F1_heater_only,solve_case,heated_incline__s04,heated_incline,3.21128571429,3.2766,452.104461466,452.76998284,452.437222153,18.9785714286,0,2.25475248215,440.92252115,5.91940568838,0,117.187076574,17.9778598616
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F1_heater_only,solve_case,heated_incline__s05,heated_incline,3.2766,3.34191428571,452.76998284,453.43497975,453.102481295,18.9785714286,0,2.2679318086,440.994270833,5.92615175105,0,118.194291851,17.976397305
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F1_heater_only,solve_case,heated_incline__s06,heated_incline,3.34191428571,3.47254285714,453.43497975,454.765840176,454.100409963,37.9571428571,0,4.51418769391,350.103915812,5.53067578017,0,119.711640765,14.2661126752
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F1_heater_only,solve_case,heated_incline__s07,heated_incline,3.47254285714,3.5052,454.765840176,455.096820984,454.93133058,9.48928571429,0,1.17209019845,555.871448886,6.58435884631,0,120.982527686,22.6436767026
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F1_heater_only,solve_case,heated_incline__s08,heated_incline,3.5052,3.60317142857,455.096820984,456.092493008,455.594656996,28.4678571429,0,3.44775495483,385.484688628,5.69240583024,0,122.000087368,15.6989257678
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F1_heater_only,solve_case,heated_incline__s09,heated_incline,3.60317142857,3.7338,456.092493008,457.419179278,456.755836143,37.9571428571,0,4.61908148638,350.340869849,5.5563234814,0,123.790663307,14.2612873963
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F1_heater_only,solve_case,bottom_horizontal_exit,bottom_horizontal_exit,3.7338,3.7592,457.419179278,457.383577911,457.401378595,0,0,0.894624795273,604.828487306,5.15290729223,0,124.792016273,24.6144561857
salt_3,Salt 3,viscosity_screening_salt_test_3_jin_coarse_mesh,F0_current_fluid_sources,solve_case,left_lower_vertical__s00,left_lower_vertical,0,0.121412,501.770079512,501.583271632,501.676675572,0,0,6.05073098419,396.774124131,5.72607466676,0,258.148162271,15.7812290119
salt_3,Salt 3,viscosity_screening_salt_test_3_jin_coarse_mesh,F0_current_fluid_sources,solve_case,left_lower_vertical__s01,left_lower_vertical,0.121412,0.182118,501.583271632,501.487997373,501.535634503,0,0,3.08595332853,499.874015256,6.39160950881,0,257.815228952,19.8837003693
salt_3,Salt 3,viscosity_screening_salt_test_3_jin_coarse_mesh,F0_current_fluid_sources,solve_case,left_lower_vertical__s02,left_lower_vertical,0.182118,0.242824,501.487997373,501.392788691,501.440393032,0,0,3.08382923297,499.85374681,6.39075014445,0,257.590543631,19.8841034949
salt_3,Salt 3,viscosity_screening_salt_test_3_jin_coarse_mesh,F0_current_fluid_sources,solve_case,left_lower_vertical__s03,left_lower_vertical,0.242824,0.364236,501.392788691,501.206488619,501.299638655,0,0,6.03428307706,396.710439336,5.72291234246,0,257.258689374,15.7824956587
salt_3,Salt 3,viscosity_screening_salt_test_3_jin_coarse_mesh,F0_current_fluid_sources,solve_case,test_section__s00,test_section,0.364236,0.4572,501.206488619,501.41084311,501.308665865,18.5,0,11.8809519943,451.811181488,8.6872223737,0,268.063700662,17.2513783425
salt_3,Salt 3,viscosity_screening_salt_test_3_jin_coarse_mesh,F0_current_fluid_sources,solve_case,test_section__s01,test_section,0.4572,0.550164,501.41084311,501.614764454,501.512803782,18.5,0,11.8949816226,451.850424332,8.68870747798,0,268.565375396,17.2506291921
