segment_name,parent_segment,mapped_source_segments,role_row_count_for_parent,role_Ta_K,heat_ledger_external_ambient_temperature_K,ambient_temperature_difference_K,T_avg_K,Q_ambient_W,expected_heat_loss_from_Tavg_gt_ambient,observed_Qambient_positive,sign_check,drive_check,claim_boundary
cooled_incline_pre_hx__s01,cooled_incline_pre_hx,cooling_branch,1,299.19,300.0,0.8100000000000023,369.59307654142924,2.3190641775622822,True,True,pass,review_role_vs_heat_ledger_Ta_offset,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
cooled_incline_pre_hx__s02,cooled_incline_pre_hx,cooling_branch,1,299.19,300.0,0.8100000000000023,369.33379116016414,2.310523365583653,True,True,pass,review_role_vs_heat_ledger_Ta_offset,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
cooled_incline_pre_hx__s03,cooled_incline_pre_hx,cooling_branch,1,299.19,300.0,0.8100000000000023,369.07546069326133,2.3020140083055685,True,True,pass,review_role_vs_heat_ledger_Ta_offset,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
cooled_incline_hx_active__s00,cooled_incline_hx_active,,0,,nan,,368.66917669909446,0.0,False,False,pass,pass,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
cooled_incline_hx_active__s01,cooled_incline_hx_active,,0,,nan,,368.2320457298276,0.0,False,False,pass,pass,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
cooled_incline_hx_active__s02,cooled_incline_hx_active,,0,,nan,,367.9233654902015,0.0,False,False,pass,pass,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
cooled_incline_hx_active__s03,cooled_incline_hx_active,,0,,nan,,367.5588967931545,0.0,False,False,pass,pass,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
cooled_incline_post_hx__s00,cooled_incline_post_hx,cooling_branch,1,299.19,300.0,0.8100000000000023,367.21783447866204,2.2408241481288944,True,True,pass,review_role_vs_heat_ledger_Ta_offset,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
cooled_incline_post_hx__s01,cooled_incline_post_hx,cooling_branch,1,299.19,300.0,0.8100000000000023,366.9672968052258,2.2325714840105326,True,True,pass,review_role_vs_heat_ledger_Ta_offset,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
cooled_incline_post_hx__s02,cooled_incline_post_hx,cooling_branch,1,299.19,300.0,0.8100000000000023,366.71768182948085,2.2243492133815974,True,True,pass,review_role_vs_heat_ledger_Ta_offset,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
cooled_incline_post_hx__s03,cooled_incline_post_hx,cooling_branch,1,299.19,300.0,0.8100000000000023,366.4689861532514,2.2161572243068166,True,True,pass,review_role_vs_heat_ledger_Ta_offset,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
top_horizontal_exit,top_horizontal_exit,cooling_branch;junction,2,299.19,300.0,0.8100000000000023,365.84045541895165,9.005982251579724,True,True,pass,review_role_vs_heat_ledger_Ta_offset,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
right_vertical__s00,right_vertical,downcomer,1,299.19,300.0,0.8100000000000023,364.5410294760128,14.194019269279824,True,True,pass,review_role_vs_heat_ledger_Ta_offset,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
right_vertical__s01,right_vertical,downcomer,1,299.19,300.0,0.8100000000000023,362.9701128269574,13.852821565649016,True,True,pass,review_role_vs_heat_ledger_Ta_offset,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
right_vertical__s02,right_vertical,downcomer,1,299.19,300.0,0.8100000000000023,361.43695807910035,13.51982561733181,True,True,pass,review_role_vs_heat_ledger_Ta_offset,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
right_vertical__s03,right_vertical,downcomer,1,299.19,300.0,0.8100000000000023,359.9406575068897,13.194834269454299,True,True,pass,review_role_vs_heat_ledger_Ta_offset,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
right_vertical__s04,right_vertical,downcomer,1,299.19,300.0,0.8100000000000023,358.4803252048,12.877655106377448,True,True,pass,review_role_vs_heat_ledger_Ta_offset,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
right_vertical__s05,right_vertical,downcomer,1,299.19,300.0,0.8100000000000023,357.0550965628195,12.568100337774661,True,True,pass,review_role_vs_heat_ledger_Ta_offset,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
right_vertical__s06,right_vertical,downcomer,1,299.19,300.0,0.8100000000000023,355.66412775454546,12.265986687447917,True,True,pass,review_role_vs_heat_ledger_Ta_offset,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
right_vertical__s07,right_vertical,downcomer,1,299.19,300.0,0.8100000000000023,354.3065952375855,11.971135284816576,True,True,pass,review_role_vs_heat_ledger_Ta_offset,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
right_vertical__s08,right_vertical,downcomer,1,299.19,300.0,0.8100000000000023,352.98169526596763,11.683371559014608,True,True,pass,review_role_vs_heat_ledger_Ta_offset,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
right_vertical__s09,right_vertical,downcomer,1,299.19,300.0,0.8100000000000023,351.68864341427127,11.402525135533358,True,True,pass,review_role_vs_heat_ledger_Ta_offset,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
bottom_horizontal_inlet,bottom_horizontal_inlet,junction,1,299.19,300.0,0.8100000000000023,350.754876113843,5.269024977406499,True,True,pass,review_role_vs_heat_ledger_Ta_offset,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
heated_incline__s00,heated_incline,lower_leg,1,299.19,300.0,0.8100000000000023,352.3908896340034,3.477124735686082,True,True,pass,review_role_vs_heat_ledger_Ta_offset,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
heated_incline__s01,heated_incline,lower_leg,1,299.19,300.0,0.8100000000000023,355.7095137655405,3.6940658798697545,True,True,pass,review_role_vs_heat_ledger_Ta_offset,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
heated_incline__s02,heated_incline,lower_leg,1,299.19,300.0,0.8100000000000023,357.4153421669912,3.8056262579858715,True,True,pass,review_role_vs_heat_ledger_Ta_offset,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
heated_incline__s03,heated_incline,lower_leg,1,299.19,300.0,0.8100000000000023,359.6382564050492,3.950818959151702,True,True,pass,review_role_vs_heat_ledger_Ta_offset,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
heated_incline__s04,heated_incline,lower_leg,1,299.19,300.0,0.8100000000000023,362.37448453451543,4.129727163649608,True,True,pass,review_role_vs_heat_ledger_Ta_offset,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
heated_incline__s05,heated_incline,lower_leg,1,299.19,300.0,0.8100000000000023,364.0316945002741,4.238043854752615,True,True,pass,review_role_vs_heat_ledger_Ta_offset,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
heated_incline__s06,heated_incline,lower_leg,1,299.19,300.0,0.8100000000000023,366.7358741639776,4.414725456364376,True,True,pass,review_role_vs_heat_ledger_Ta_offset,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
heated_incline__s07,heated_incline,lower_leg,1,299.19,300.0,0.8100000000000023,368.89079865366045,4.555672118929916,True,True,pass,review_role_vs_heat_ledger_Ta_offset,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
heated_incline__s08,heated_incline,lower_leg,1,299.19,300.0,0.8100000000000023,370.50047457764595,4.660815999953665,True,True,pass,review_role_vs_heat_ledger_Ta_offset,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
heated_incline__s09,heated_incline,lower_leg,1,299.19,300.0,0.8100000000000023,373.68699615067095,4.869056861924845,True,True,pass,review_role_vs_heat_ledger_Ta_offset,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
bottom_horizontal_exit,bottom_horizontal_exit,junction,1,299.19,300.0,0.8100000000000023,375.1056917455885,7.757250790276093,True,True,pass,review_role_vs_heat_ledger_Ta_offset,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
