source_path,line,term,context,classification,reason
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/README.md,190,external_boundary_role_rows,`external_boundary_role_rows` optionally replaces a targeted parent segment's,known_non_hook,role-local external heat-loss replacement; no second fluid stream or energy exchange
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/README.md,194,upcomer,boundaries such as Ethan's upcomer `ambient_wall` plus quartz `test_section`,upcomer_context_only,upcomer appears in geometry/friction/role-boundary context
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/README.md,202,heater_source_mode,- `heater_source_mode`: `baseline` or `tw4_to_tp3_three_span`,known_non_hook,heater source redistribution only
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/README.md,226,heater_source_mode,- `heater_source_mode=tw4_to_tp3_three_span` redistributes the tracked heater,known_non_hook,heater source redistribution only
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tests/test_solver_contracts.py,76,ri_table,"self.assertEqual(scenario.ri_table, {})",known_non_hook,"diagnostic CFD-derived Richardson table, not self-consistent UMX physics"
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tests/test_solver_contracts.py,88,external_boundary_role_rows,"self.assertEqual(scenario.external_boundary_role_rows, [])",known_non_hook,role-local external heat-loss replacement; no second fluid stream or energy exchange
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tests/test_solver_contracts.py,89,heater_source_mode,"self.assertEqual(scenario.heater_source_mode, ""baseline"")",known_non_hook,heater source redistribution only
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tests/test_solver_contracts.py,144,ri_table,ri_table:,known_non_hook,"diagnostic CFD-derived Richardson table, not self-consistent UMX physics"
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tests/test_solver_contracts.py,160,external_boundary_role_rows,external_boundary_role_rows:,known_non_hook,role-local external heat-loss replacement; no second fluid stream or energy exchange
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tests/test_solver_contracts.py,162,upcomer,one_d_segment: upcomer,upcomer_context_only,upcomer appears in geometry/friction/role-boundary context
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tests/test_solver_contracts.py,182,ri_table,"self.assertAlmostEqual(scenario.ri_table[""heated_incline""], 0.4)",known_non_hook,"diagnostic CFD-derived Richardson table, not self-consistent UMX physics"
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tests/test_solver_contracts.py,189,external_boundary_role_rows,"self.assertEqual(scenario.external_boundary_role_rows[0][""role""], ""test_section"")",known_non_hook,role-local external heat-loss replacement; no second fluid stream or energy exchange
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tests/test_solver_contracts.py,190,external_boundary_role_rows,"self.assertAlmostEqual(float(scenario.external_boundary_role_rows[0][""area_m2""]), 0.012258449)",known_non_hook,role-local external heat-loss replacement; no second fluid stream or energy exchange
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tests/test_solver_contracts.py,201,external_boundary_role_rows,"self.assertEqual(records[0][""external_boundary_role_rows""][0][""parent_segment""], ""left_upper_vertical"")",known_non_hook,role-local external heat-loss replacement; no second fluid stream or energy exchange
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tests/test_solver_contracts.py,388,external_boundary_role_rows,def test_external_boundary_role_rows_replace_target_parent_loss_only(self) -> None:,known_non_hook,role-local external heat-loss replacement; no second fluid stream or energy exchange
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tests/test_solver_contracts.py,396,external_boundary_role_rows,"""external_boundary_role_rows"": [",known_non_hook,role-local external heat-loss replacement; no second fluid stream or energy exchange
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tests/test_solver_contracts.py,399,upcomer,"""one_d_segment"": ""upcomer"",",upcomer_context_only,upcomer appears in geometry/friction/role-boundary context
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tests/test_solver_contracts.py,407,upcomer,"""one_d_segment"": ""upcomer"",",upcomer_context_only,upcomer appears in geometry/friction/role-boundary context
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tests/test_solver_contracts.py,419,upcomer,"upcomer = next(segment for segment in segments if segment.resolved_parent_name == ""left_upper_vertical"")",upcomer_context_only,upcomer appears in geometry/friction/role-boundary context
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tests/test_solver_contracts.py,422,upcomer,"q_upcomer, _ = ambient_loss_for_segment(upcomer, case, 470.0, 0.02, role_table)",upcomer_context_only,upcomer appears in geometry/friction/role-boundary context
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tests/test_solver_contracts.py,427,upcomer,"self.assertAlmostEqual(q_upcomer, expected_q)",upcomer_context_only,upcomer appears in geometry/friction/role-boundary context
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tests/test_solver_contracts.py,430,external_boundary_role_rows,def test_external_boundary_role_rows_reject_missing_conductance(self) -> None:,known_non_hook,role-local external heat-loss replacement; no second fluid stream or energy exchange
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tests/test_solver_contracts.py,438,external_boundary_role_rows,"""external_boundary_role_rows"": [",known_non_hook,role-local external heat-loss replacement; no second fluid stream or energy exchange
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tests/test_solver_contracts.py,448,upcomer,"upcomer = next(segment for segment in segments if segment.resolved_parent_name == ""left_upper_vertical"")",upcomer_context_only,upcomer appears in geometry/friction/role-boundary context
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tests/test_solver_contracts.py,451,upcomer,"ambient_loss_for_segment(upcomer, case, 470.0, 0.02, invalid)",upcomer_context_only,upcomer appears in geometry/friction/role-boundary context
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tests/test_solver_contracts.py,772,upcomer,"upcomer = profiled_segments[profiled_segments[""parent_name""].isin([""left_lower_vertical"", ""test_section"", ""left_upper_vertical""])].copy()",upcomer_context_only,upcomer appears in geometry/friction/role-boundary context
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tests/test_solver_contracts.py,775,upcomer,"self.assertTrue((upcomer[""profile_descriptor_source_kind""].astype(str) != """").all())",upcomer_context_only,upcomer appears in geometry/friction/role-boundary context
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tests/test_solver_contracts.py,798,heater_source_mode,"heater_source_mode=""tw4_to_tp3_three_span"",",known_non_hook,heater source redistribution only
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tests/test_solver_contracts.py,814,heater_source_mode,"heater_source_mode=""tw4_to_tp3_three_span"",",known_non_hook,heater source redistribution only
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tests/test_solver_contracts.py,853,heater_source_mode,"heater_source_mode=""tw4_to_tp3_three_span"",",known_non_hook,heater source redistribution only
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tests/test_solver_contracts.py,902,heater_source_mode,"self.assertEqual(summary[""heater_source_mode""], ""tw4_to_tp3_three_span"")",known_non_hook,heater source redistribution only
